# index, name, _pos
0,1,"array([2.09555151, 1.09101506])"
1,4152,"array([2.07748658, 1.08273958])"
2,932,"array([2.11458126, 1.08385439])"
3,2,"array([2.13840016, 1.13760935])"
4,5681,"array([2.12632925, 1.1104568 ])"
5,3,"array([2.03930878, 1.08517341])"
6,5,"array([2.05003919, 1.10370541])"
7,6,"array([2.15994829, 1.11212584])"
8,6756,"array([2.13035616, 1.08305614])"
9,7,"array([2.11934924, 1.04516445])"
10,11600,"array([2.1066753 , 1.06096644])"
11,3585,"array([2.1183372 , 1.07384681])"
12,9,"array([2.07677192, 1.05731453])"
13,12411,"array([2.09862855, 1.07189839])"
14,10,"array([2.10764817, 1.09060661])"
15,1913,"array([2.1276487 , 1.07093959])"
16,13,"array([2.1064574 , 1.09153854])"
17,9088,"array([2.1008024 , 1.07001092])"
18,15,"array([2.04076249, 1.09185026])"
19,16,"array([2.04520015, 1.11129192])"
20,476,"array([2.02722496, 1.12598157])"
21,17,"array([2.19221651, 1.04320235])"
22,4579,"array([2.17745132, 1.05469496])"
23,2007,"array([2.19435953, 1.04220994])"
24,7155,"array([2.17495601, 1.05156106])"
25,19,"array([2.04395292, 1.10295516])"
26,20,"array([2.07513713, 1.14076748])"
27,4522,"array([2.08171837, 1.12295519])"
28,22,"array([2.10851383, 1.10060189])"
29,2004,"array([2.11523764, 1.075398  ])"
30,788,"array([2.12871337, 1.07134198])"
31,4238,"array([2.10841796, 1.08666513])"
32,1084,"array([2.1134656 , 1.11952633])"
33,6894,"array([2.11450207, 1.12570262])"
34,11083,"array([2.11755051, 1.07839995])"
35,23,"array([2.04838145, 0.98041757])"
36,580,"array([2.03954214, 0.96726766])"
37,2498,"array([2.06623434, 1.01468115])"
38,1802,"array([2.04570295, 0.96609512])"
39,5217,"array([2.04232034, 0.96578689])"
40,5170,"array([2.03779344, 0.97025351])"
41,7793,"array([2.04370736, 0.96851562])"
42,1809,"array([2.04090433, 0.96999394])"
43,24,"array([2.11206556, 1.07893318])"
44,1527,"array([2.11252644, 1.07804186])"
45,9643,"array([2.09470694, 1.08606944])"
46,11434,"array([2.11015541, 1.07353396])"
47,11136,"array([2.12633895, 1.06880833])"
48,12401,"array([2.1131506 , 1.07568891])"
49,6508,"array([2.10417869, 1.07367787])"
50,26,"array([2.13318485, 1.06560676])"
51,8935,"array([2.11536933, 1.0781476 ])"
52,8609,"array([2.13539593, 1.07269715])"
53,5872,"array([2.13550961, 1.07016794])"
54,8512,"array([2.13964351, 1.07255172])"
55,4040,"array([2.12505737, 1.07018246])"
56,3109,"array([2.14342483, 1.07131911])"
57,9167,"array([2.13390911, 1.07100153])"
58,6041,"array([2.12443357, 1.05987002])"
59,28,"array([2.0779095 , 1.02798999])"
60,3019,"array([2.09322415, 1.05415597])"
61,30,"array([2.09563535, 1.05989722])"
62,7899,"array([2.10730973, 1.0779158 ])"
63,31,"array([2.10752519, 1.05606224])"
64,6128,"array([2.11144829, 1.07865399])"
65,32,"array([2.19790243, 1.10665686])"
66,8491,"array([2.21476227, 1.11565715])"
67,34,"array([2.09535803, 1.12111422])"
68,989,"array([2.09993503, 1.09249312])"
69,35,"array([2.06577372, 1.0915915 ])"
70,36,"array([2.14257433, 1.11481073])"
71,1591,"array([2.13019553, 1.12081076])"
72,37,"array([2.02336047, 1.0338569 ])"
73,2387,"array([2.04015118, 1.04383325])"
74,39,"array([2.16197381, 1.04521089])"
75,884,"array([2.13959691, 1.06354575])"
76,40,"array([2.18214787, 1.09713353])"
77,1297,"array([2.14830427, 1.07514179])"
78,41,"array([2.12266813, 1.0687685 ])"
79,42,"array([2.06707428, 1.06895517])"
80,44,"array([2.06420052, 1.0356063 ])"
81,1686,"array([2.08283876, 1.05773214])"
82,45,"array([2.10868499, 1.0570486 ])"
83,234,"array([2.11092219, 1.07413636])"
84,4834,"array([2.10323599, 1.07119181])"
85,46,"array([2.10233832, 1.0883375 ])"
86,10376,"array([2.10785192, 1.06439313])"
87,8472,"array([2.09739318, 1.0976268 ])"
88,12335,"array([2.1104882 , 1.08090375])"
89,6313,"array([2.1008398 , 1.08397639])"
90,9975,"array([2.12503922, 1.09300665])"
91,48,"array([2.05963081, 1.07113214])"
92,49,"array([2.06172001, 1.14471371])"
93,50,"array([2.11190021, 1.02729006])"
94,1759,"array([2.11443633, 1.07002285])"
95,52,"array([2.07078755, 1.11023589])"
96,53,"array([2.09969754, 1.11307618])"
97,8124,"array([2.12040976, 1.09808291])"
98,6765,"array([2.1075999 , 1.11648645])"
99,54,"array([2.14753087, 1.07361392])"
100,7294,"array([2.14073602, 1.06745806])"
101,10702,"array([2.15790731, 1.07145801])"
102,2473,"array([2.13919934, 1.07738614])"
103,1448,"array([2.14985279, 1.05423966])"
104,11479,"array([2.16308879, 1.07814556])"
105,12407,"array([2.15499467, 1.06279251])"
106,3217,"array([2.15014051, 1.06387648])"
107,2992,"array([2.13672349, 1.07488196])"
108,4743,"array([2.18381989, 1.07615586])"
