# index, name, date, _pos
0,9907233,1999-07-05,"array([-21.03495393,  -1.91117315])"
1,9301253,1993-01-21,"array([-21.17376523,  -1.95098485])"
2,9504304,1995-04-14,"array([-21.07805009,  -1.8327417 ])"
3,9505235,1995-05-04,"array([-21.03807745,  -1.92186337])"
4,9506257,1995-06-07,"array([-21.09095212,  -1.82764225])"
5,9606402,1996-06-21,"array([-21.00723464,  -1.77121124])"
6,9607354,1996-07-17,"array([-20.99167668,  -1.81240357])"
7,9611297,1996-11-11,"array([-21.10407715,  -1.79153505])"
8,9702314,1997-02-12,"array([-21.20017233,  -1.89667165])"
9,9704296,1997-04-11,"array([-21.01947014,  -1.87081752])"
10,9803214,1998-03-02,"array([-21.08557212,  -1.83459595])"
11,9903217,1999-03-01,"array([-21.20655522,  -1.96326546])"
12,9311274,1993-11-11,"array([-21.19837027,  -1.79228699])"
13,9502335,1995-02-17,"array([-21.17287569,  -1.70729892])"
14,9611296,1996-11-11,"array([-21.05885464,  -1.96495822])"
15,9612258,1996-12-05,"array([-20.94903599,  -1.87186491])"
16,9301203,1993-01-04,"array([-20.84511757,  -1.61102667])"
17,9301206,1993-01-05,"array([-21.29110467,  -1.89992117])"
18,9502274,1995-02-10,"array([-20.98510192,  -1.83535744])"
19,9503474,1995-03-30,"array([-21.10021716,  -1.50062388])"
20,9302247,1993-02-11,"array([-21.19618793,  -1.81841376])"
21,9501357,1995-01-23,"array([-21.22294285,  -1.76715015])"
22,9501384,1995-01-26,"array([-21.27774825,  -1.96063348])"
23,9502366,1995-02-22,"array([-21.24331278,  -1.66801193])"
24,9504372,1995-04-24,"array([-21.22150608,  -2.01203657])"
25,9511210,1995-11-02,"array([-21.16350174,  -1.98586486])"
26,9610453,1996-10-23,"array([-21.16032454,  -2.26191274])"
27,9706487,1997-06-24,"array([-21.1300718 ,  -1.88152859])"
28,9211239,1992-11-11,"array([-21.31961535,  -1.98198362])"
29,9302217,1993-02-04,"array([-21.14506451,  -1.6718852 ])"
30,9405341,1994-05-20,"array([-21.19603277,  -1.69957016])"
31,9409335,1994-09-15,"array([-21.26745266,  -1.60861691])"
32,9409371,1994-09-21,"array([-21.29189688,  -1.59271079])"
33,9411285,1994-11-14,"array([-21.24239448,  -1.6173839 ])"
34,9508393,1995-08-29,"array([-21.12514526,  -1.75989355])"
35,9602366,1996-02-22,"array([-21.2047774 ,  -1.53656355])"
36,9606210,1996-06-03,"array([-20.73666362,  -2.04839601])"
37,9610360,1996-10-15,"array([-21.18173471,  -1.70195435])"
38,9605245,1996-05-07,"array([-21.18211421,  -2.08827485])"
39,9610282,1996-10-08,"array([-21.30309921,  -1.92109951])"
40,9803242,1998-03-04,"array([-21.21413454,  -1.80395306])"
41,9804209,1998-04-02,"array([-21.22024935,  -1.83626232])"
42,9805334,1998-05-15,"array([-21.20621824,  -1.79848248])"
43,112133,2001-12-10,"array([-21.14561757,  -1.40434627])"
44,2171,2000-02-16,"array([-21.20890196,  -1.37163607])"
45,12308,2000-12-22,"array([-21.21498007,  -1.42902232])"
46,104062,2001-04-06,"array([-21.23656435,  -1.42176711])"
47,104110,2001-04-11,"array([-21.28451379,  -1.52193733])"
48,112008,2001-12-01,"array([-21.2444445 ,  -1.42274788])"
49,9403384,1994-03-29,"array([-21.18097539,  -1.3599783 ])"
50,9501265,1995-01-11,"array([-21.18690253,  -1.44654993])"
51,9512380,1995-12-15,"array([-21.25393196,  -1.4545669 ])"
52,9607469,1996-07-30,"array([-21.00993639,  -1.42290562])"
53,9711261,1997-11-07,"array([-21.25943429,  -1.39482351])"
54,9712252,1997-12-03,"array([-21.1365048 ,  -1.29294578])"
55,9910236,1999-10-05,"array([-21.1517478 ,  -1.43889874])"
56,9810333,1998-10-13,"array([-21.22639639,  -1.37033455])"
57,9901418,1999-01-26,"array([-21.0430596 ,  -1.39169897])"
