# index, name, date, _pos
0,1001,2000-01-01,"array([-35.48618042,   2.61689387])"
1,9304045,,"array([-35.87557624,   3.00667257])"
2,9308122,,"array([-35.70008027,   2.79443553])"
3,9309097,,"array([-35.54345744,   2.63365377])"
4,9311042,,"array([-35.60574828,   2.58590133])"
5,9401139,,"array([-35.37682655,   2.42637108])"
6,9404151,,"array([-35.46934684,   2.6399851 ])"
7,9407087,,"array([-35.70792833,   2.17797738])"
8,9408099,,"array([-35.72053795,   2.2100699 ])"
9,9501030,,"array([-35.27976672,   2.52111158])"
10,9503124,,"array([-35.26167709,   2.35382434])"
11,9504090,,"array([-35.36937265,   2.53337852])"
12,9504145,,"array([-35.3998328 ,   2.53121637])"
13,9505025,,"array([-35.47949322,   2.76446119])"
14,9505054,,"array([-35.53351293,   2.67511785])"
15,9505105,,"array([-35.5633174 ,   2.60912511])"
16,9505162,,"array([-35.4864645 ,   2.64124864])"
17,9506048,,"array([-35.45273795,   2.71058495])"
18,9506112,,"array([-35.54416616,   2.71264834])"
19,9506144,,"array([-35.19261681,   2.66698793])"
20,9507050,,"array([-35.43895212,   2.70616331])"
21,9507158,,"array([-35.38330374,   2.53417597])"
22,9508094,,"array([-35.07599026,   2.65152954])"
23,9508155,,"array([-35.63596746,   2.54459806])"
24,9510142,,"array([-35.55161785,   2.72618506])"
25,9510225,1995-10-04,"array([-35.44183196,   2.49241523])"
26,9510234,1995-10-05,"array([-35.57928259,   2.73894655])"
27,9511030,,"array([-35.37050748,   2.43774075])"
28,9511171,,"array([-35.60184686,   2.72245299])"
29,9601108,,"array([-35.56479292,   2.62897101])"
30,9602022,,"array([-35.3505211 ,   2.49426628])"
31,9602114,,"array([-35.44500955,   2.66127502])"
32,9603003,,"array([-35.33515683,   2.54482782])"
33,9603150,,"array([-35.38856623,   2.61885676])"
34,9603161,,"array([-35.43045165,   2.68745525])"
35,9603167,,"array([-35.37948723,   2.39626236])"
36,9605184,,"array([-35.37873228,   2.66944354])"
37,9605222,1996-05-03,"array([-35.63956134,   2.88613814])"
38,9606017,,"array([-35.45512022,   2.4165804 ])"
39,9606040,,"array([-35.60292167,   2.50469195])"
40,9607163,,"array([-35.62045638,   2.35225955])"
41,9607207,1996-07-01,"array([-35.56206508,   2.40028032])"
42,9608086,,"array([-35.51673251,   2.45647909])"
43,9609070,,"array([-35.49828615,   2.56904502])"
