# source, target, weight, time
0,1,0,885635999
0,2,0,885635999
0,3,0,885635999
0,4,1,885635999
0,5,0,885635999
0,806,0,896148000
0,453,0,896148000
0,826,0,901403999
0,1239,0,906660000
0,679,0,906660000
0,165,-1,906660000
0,1240,0,906660000
0,1241,0,906660000
0,807,0,925055999
0,818,0,925055999
0,447,0,927684000
0,1213,0,927684000
0,1216,0,927684000
0,2453,0,938196000
0,924,1,1064340000
0,90,1,1064340000
0,4476,0,1098504000
0,1362,0,1098504000
0,3643,1,1098504000
0,1614,0,1098504000
0,1050,0,1127412000
1,2,-1,885635999
1,1165,1,904032000
1,302,1,904032000
1,925,1,904032000
1,1116,0,904032000
1,2009,-1,930312000
1,171,0,930312000
1,2239,0,930312000
1,370,0,935568000
1,13,-1,935568000
1,276,-1,946080000
1,151,1,985500000
1,22,1,993384000
1,1438,-1,993384000
1,609,0,1011780000
1,3990,0,1048572000
1,171,1,1053828000
1,420,1,1059084000
1,461,1,1059084000
1,482,0,1064340000
1,878,1,1064340000
1,455,1,1066968000
1,622,0,1066968000
1,476,0,1074852000
1,3775,1,1082736000
1,672,1,1082736000
1,579,-1,1082736000
1,63,0,1082736000
1,2027,1,1085364000
1,1676,1,1087992000
1,111,0,1090620000
1,544,1,1090620000
1,638,0,1093248000
1,455,0,1109016000
1,411,0,1109016000
1,544,0,1119528000
1,982,0,1119528000
1,1528,1,1122156000
1,417,1,1124784000
1,620,0,1124784000
1,73,1,1127412000
1,3829,1,1127412000
1,1183,0,1130040000
1,8,0,1143180000
1,3988,0,1143180000
1,3464,1,1143180000
1,7199,1,1145808000
1,89,0,1145808000
1,2239,0,1145808000
2,88,0,885635999
2,171,-1,885635999
2,3,0,885635999
2,235,1,885635999
2,5,1,885635999
2,541,0,890892000
2,601,0,890892000
2,679,-1,901403999
2,116,1,901403999
2,1034,0,901403999
2,0,0,906660000
2,1180,1,906660000
2,90,1,906660000
2,58,0,906660000
2,1241,0,906660000
2,0,0,925055999
2,807,0,925055999
2,8,0,938196000
2,1471,-1,938196000
2,807,0,956591999
2,8,0,956591999
2,601,1,956591999
2,452,0,1019664000
2,1431,1,1019664000
2,452,1,1032804000
2,1124,0,1032804000
2,452,0,1051200000
2,8,0,1051200000
2,1034,0,1051200000
2,515,0,1064340000
2,447,0,1064340000
2,1240,0,1064340000
2,806,0,1098504000
2,1362,0,1098504000
2,1405,0,1098504000
2,1122,-1,1101132000
2,90,1,1101132000
2,17,1,1101132000
2,3933,-1,1119528000
2,1808,0,1119528000
2,4233,0,1119528000
2,3057,0,1122156000
2,1065,0,1122156000
2,117,0,1122156000
2,4181,0,1124784000
2,680,0,1124784000
2,393,0,1127412000
3,88,0,885635999
3,171,0,885635999
3,235,1,885635999
3,90,1,885635999
3,991,1,1051200000
3,1244,0,1051200000
4,3,0,885635999
4,235,1,885635999
4,5,-1,885635999
4,114,-1,998640000
4,3317,-1,998640000
4,55,0,998640000
4,2265,0,1103760000
4,4636,-1,1103760000
4,4627,-1,1135296000
4,2676,0,1135296000
5,3,0,885635999
5,90,0,885635999
5,452,1,890892000
5,2,0,890892000
5,453,0,890892000
5,181,0,896148000
5,117,1,896148000
5,679,1,901403999
5,141,1,901403999
5,1034,0,901403999
5,817,0,906660000
5,138,1,906660000
5,1261,1,906660000
5,256,0,946080000
5,585,0,946080000
5,83,1,985500000
5,1710,0,985500000
5,213,1,985500000
5,89,-1,1024920000
5,89,0,1024920000
5,331,1,1024920000
5,331,1,1024920000
5,1165,1,1032804000
5,1555,1,1032804000
5,439,0,1032804000
5,499,1,1032804000
5,912,0,1082736000
5,1307,-1,1082736000
5,2971,0,1082736000
5,4301,-1,1101132000
5,4028,1,1101132000
5,4861,-1,1122156000
5,1281,-1,1122156000
5,3736,1,1122156000
5,5918,0,1132668000
5,3496,1,1132668000
5,4882,0,1132668000
5,6000,1,1132668000
5,6022,0,1132668000
5,3102,0,1135296000
5,38,0,1140552000
5,3112,1,1140552000
5,127,0,1140552000
5,7114,0,1143180000
5,869,0,1143180000
5,7165,-1,1143180000
5,2007,0,1145808000
6,7,0,885635999
6,8,1,885635999
6,9,1,885635999
7,66,-1,885635999
7,19,0,885635999
7,67,1,885635999
7,68,1,885635999
7,276,0,888264000
7,66,-1,888264000
7,321,-1,888264000
7,322,0,888264000
7,323,0,888264000
7,630,0,919800000
7,945,0,1143180000
7,4059,0,1143180000
8,112,-1,885635999
8,113,0,885635999
8,476,0,890892000
8,268,1,890892000
8,199,0,919800000
8,435,0,919800000
8,284,-1,922428000
8,1193,0,922428000
8,435,0,922428000
8,447,0,927684000
8,806,0,927684000
8,1213,1,927684000
8,1490,1,927684000
8,1166,1,938196000
8,2456,1,938196000
8,2514,1,938196000
8,818,0,938196000
8,90,-1,938196000
8,818,1,948707999
8,1122,0,948707999
8,309,0,951336000
8,1251,1,956591999
8,2246,0,956591999
8,601,0,956591999
8,735,0,977616000
8,2412,0,977616000
8,1465,1,977616000
8,129,0,985500000
8,668,-1,985500000
8,711,0,985500000
8,3112,-1,985500000
8,129,-1,993384000
8,652,-1,993384000
8,329,-1,993384000
8,730,0,993384000
8,80,1,1006524000
8,3138,1,1006524000
8,126,0,1006524000
8,3100,1,1009152000
8,1928,-1,1009152000
8,888,-1,1024920000
8,222,0,1038060000
8,3037,1,1038060000
8,3134,1,1038060000
8,127,1,1038060000
8,3504,1,1048572000
8,634,-1,1048572000
8,452,0,1051200000
8,86,1,1051200000
8,1034,-1,1051200000
8,3200,0,1051200000
8,816,1,1056456000
8,1926,-1,1072224000
8,4542,1,1101132000
8,4544,1,1101132000
8,4543,1,1101132000
8,3523,0,1135296000
8,329,1,1135296000
8,38,0,1140552000
8,4059,0,1143180000
8,1116,0,1143180000
8,1675,1,1145808000
8,3112,1,1145808000
8,4548,1,1145808000
8,4541,1,1145808000
9,113,-1,985500000
10,11,-1,885635999
11,47,-1,885635999
11,516,0,917171999
11,1931,0,917171999
11,114,1,948707999
11,92,1,948707999
11,277,0,948707999
11,2069,1,972359999
11,973,1,980243999
11,3657,1,1030176000
11,1795,1,1064340000
11,76,0,1090620000
11,1086,1,1101132000
11,223,-1,1101132000
11,3464,0,1101132000
11,365,0,1101132000
11,33,1,1122156000
11,4885,0,1122156000
