# index, _pos
0,"array([-2.2068792 , -8.70661731])"
1,"array([-2.68855915, -9.06644239])"
2,"array([-2.23553725, -8.79715183])"
3,"array([-2.53198102, -9.32059839])"
4,"array([-2.5817773, -9.155138 ])"
5,"array([-2.65993986, -9.19720861])"
6,"array([-3.15563229, -9.4984417 ])"
7,"array([-2.99800611, -9.36839443])"
8,"array([-2.65805143, -9.01155578])"
9,"array([-3.40216348, -9.37313447])"
10,"array([-1.07594261, -9.10139187])"
11,"array([-2.17462791, -8.76997178])"
12,"array([-2.5472895 , -8.97098802])"
13,"array([-2.70733725, -8.91437928])"
14,"array([-1.73991013, -8.34640295])"
15,"array([-0.89684134, -8.4974617 ])"
16,"array([-2.31467867, -8.88065154])"
17,"array([-2.06545157, -8.76825858])"
18,"array([-2.41093708, -9.12879293])"
19,"array([-3.16649466, -9.53872667])"
20,"array([-2.76328054, -8.89814596])"
21,"array([-3.04040188, -9.69021518])"
22,"array([-2.79964508, -9.23707907])"
23,"array([-2.43290032, -8.27075009])"
24,"array([-2.27296317, -8.78269216])"
25,"array([-0.78638242, -8.12445991])"
26,"array([-1.06397754, -8.1057046 ])"
27,"array([-2.78476451, -8.82360107])"
28,"array([-2.03278543, -8.4857264 ])"
29,"array([-2.52720601, -9.47425335])"
30,"array([-2.78260297, -8.50295166])"
31,"array([-2.68231155, -8.68388655])"
32,"array([-2.6109094 , -8.64319051])"
33,"array([-2.2807598 , -8.74805428])"
34,"array([-2.04710351, -8.65041606])"
35,"array([-2.46325639, -9.00689923])"
36,"array([-2.24934841, -8.5594337 ])"
37,"array([-3.09230013, -9.30008539])"
38,"array([-2.97115092, -9.11487539])"
39,"array([-3.18757842, -9.31797969])"
40,"array([-3.02025974, -9.01813019])"
41,"array([-2.16320992, -8.89709235])"
42,"array([-2.07115403, -9.09571826])"
43,"array([-2.20418382, -8.78150878])"
44,"array([-2.85053701, -9.10253662])"
45,"array([-2.96115905, -9.23160968])"
46,"array([-2.62627392, -8.81618602])"
47,"array([-2.26515843, -8.72738233])"
48,"array([-2.02177038, -8.72937106])"
49,"array([-1.8057579 , -8.44415248])"
50,"array([-2.79428534, -8.88615601])"
51,"array([-0.99839602, -8.81300297])"
52,"array([-2.68255931, -8.96322661])"
53,"array([-2.62604554, -9.6450765 ])"
54,"array([-2.6206206 , -8.57320495])"
55,"array([-3.05373787, -8.88350136])"
56,"array([-1.81768897, -8.72049222])"
57,"array([-1.91338556, -8.47706061])"
58,"array([-1.86881269, -8.65522015])"
59,"array([-1.91812874, -8.06421403])"
60,"array([-2.48337143, -8.58529593])"
61,"array([-2.29056559, -8.99103865])"
62,"array([-2.05430088, -9.31874969])"
63,"array([-2.40875862, -8.81320218])"
64,"array([-2.6402269 , -8.42507817])"
65,"array([-2.3102764 , -9.00452043])"
66,"array([-2.94601877, -9.10549512])"
67,"array([-3.14433893, -9.39729865])"
68,"array([-3.49636912, -9.54581281])"
69,"array([-1.84601806, -8.80216787])"
70,"array([-2.01694059, -8.94993174])"
71,"array([-2.15077393, -8.41296225])"
72,"array([-2.86534955, -8.37907609])"
73,"array([-3.03683224, -8.90624453])"
74,"array([-2.14661072, -8.72532081])"
75,"array([-1.88642727, -9.01656854])"
76,"array([-2.11513702, -8.67773268])"
77,"array([-1.85386843, -8.88780917])"
78,"array([-2.34628369, -8.90320588])"
79,"array([-3.20035708, -9.68469005])"
80,"array([-3.14731078, -9.31831075])"
81,"array([-2.76028833, -8.83970501])"
82,"array([-2.89252847, -9.22189203])"
83,"array([-3.10533285, -9.25239411])"
84,"array([-2.97722625, -9.39317816])"
85,"array([-3.35354544, -9.46896994])"
86,"array([-1.7918912, -8.601653 ])"
87,"array([-2.0465056 , -8.61324123])"
88,"array([-2.03835761, -8.8255343 ])"
89,"array([-2.74376797, -9.12266856])"
