V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CAN_HFCE,CAN_NPISH,CAN_GGFC,CAN_GFCF,CAN_INVNT,CAN_DPABR
CAN_A01_02,9134.8587,130.0637,18.5908,14.5465,2.3331,17283.6969,4.5262,6468.4927,847.8711,9.2694,497.4682,4.0764,205.7703,6.8351,7.9399,7.1879,1.5236,2.1617,6.1719,11.595,2.6018,23.1017,42.9164,2.2673,1237.8408,103.206,58.1611,0.9759,1.3033,17.8442,5.6689,1327.7128,12.5063,4.7842,5.4461,22.7496,13.9989,43.3912,13.4531,173.2213,30.9216,50.9248,18.2833,37.987,0.0,10334.1939,0.0937,0.897,58.7914,489.3604,0.0
CAN_A03,76.0809,34.3516,0.1916,0.0607,0.0281,1530.946,0.0125,0.0428,0.0677,0.0445,0.3381,6.3615,0.1537,0.046,0.0569,0.0472,0.0224,0.014,0.0527,0.0967,0.0415,0.0474,0.0872,0.0218,1.0465,1.1206,0.2416,0.0025,0.0154,0.0896,0.0284,185.4987,0.0531,0.0798,0.1089,0.5398,0.1569,0.2931,0.1765,1.7986,0.1221,0.1811,0.0393,0.0884,0.0,488.5607,0.0,0.014,3.3015,34.7498,0.0
CAN_B05_06,162.4638,2.1371,2270.6888,224.3992,190.3964,195.8158,8.842,63.2899,147.851,12719.4945,832.9615,17.4409,47.3043,177.4722,697.8803,64.68,11.1084,8.5395,35.5751,42.845,23.2055,41.8963,1298.8182,15.2799,913.9708,690.5769,92.6751,7.5831,12.7021,52.4669,76.9451,58.4388,59.6513,26.4501,21.2191,346.8114,523.6291,180.9589,124.6734,276.9589,247.0064,227.9413,33.8689,110.0172,0.0,2777.3448,0.0,0.0,719.0007,330.3751,0.0
CAN_B07_08,151.2385,0.2591,282.912,149.3619,32.1255,27.1515,1.3553,4.9792,65.3807,265.0174,208.125,4.1814,8.0711,979.37,8786.019,16.6172,6.2988,2.9379,18.8998,12.3812,8.843,1079.0813,172.7386,4.181,1266.4847,182.7434,12.0439,2.2473,2.1847,39.142,1.8456,17.6392,18.2965,16.5454,12.7867,117.3234,44.0092,75.7445,42.7448,257.897,37.1375,138.2629,7.1465,15.9625,0.0,133.9495,0.0819,0.0869,177.1192,51.1102,0.0
CAN_B09,4.3627,0.0779,4463.2914,1044.5619,387.6818,6.3474,0.3331,1.3263,2.0927,0.9796,2.696,1.1738,1.3922,2.04,1.8439,1.328,1.0761,0.3926,2.0524,1.6714,2.6651,1.7402,6.8512,1.1673,5648.6643,61.3646,3.5266,0.0601,0.9476,1.6734,0.507,3.9907,3.6421,6.0533,6.4666,45.093,17.7183,23.4311,15.3014,21.738,6.0862,12.1248,2.6349,5.4467,0.0,31.0894,0.0006,0.1797,2280.8297,0.2765,0.0
CAN_C10T12,2582.7528,191.9232,98.4903,36.9014,16.449,9348.4871,27.0028,22.0353,72.6694,13.2651,103.1329,71.6408,29.5074,26.3004,24.8082,32.9827,16.4567,9.8395,41.9147,31.3152,28.5467,70.7415,53.2369,29.3154,276.5614,818.9215,39.2254,4.2558,19.9295,34.2128,7.5648,8943.1252,78.012,62.66,62.2593,288.9358,160.4123,239.574,159.4607,325.1075,259.1505,731.0175,234.8287,118.2375,0.0,42862.2549,0.2074,11.1924,259.8956,689.6845,0.0
CAN_C13T15,49.2383,8.9289,8.2043,4.0382,2.0085,25.0331,225.3331,6.5473,36.807,2.6543,29.3874,3.9071,46.7458,11.6326,6.189,7.8032,1.9941,1.8124,7.0992,70.348,4.5466,128.876,3.177,7.5129,327.1118,41.8574,5.5655,0.731,1.0846,5.7135,0.7726,57.4455,9.8161,4.1642,5.6152,14.7317,8.6878,28.8723,11.7335,78.2633,46.5488,118.2604,16.8854,37.6434,0.0,2632.0788,0.0369,1.9687,59.2063,51.2174,0.0
CAN_C16,99.3944,3.7435,28.3692,14.9498,5.9743,92.6464,12.6834,2415.021,1585.3593,22.0652,23.7662,6.8955,53.3987,38.8445,23.5063,41.2441,5.2284,3.7247,27.0341,29.7392,21.3997,713.7639,27.4143,19.3713,7309.8513,143.2926,47.5257,2.8452,15.8385,8.0111,6.997,21.3605,8.5367,9.5806,9.403,52.3063,27.3098,39.0715,33.2421,100.0053,16.553,63.1249,12.8664,14.6823,0.0,653.54,0.1057,1.0592,136.7334,155.9357,0.0
CAN_C17_18,141.8536,16.4441,82.3372,25.5681,11.8495,1039.4584,31.1353,83.3785,2916.796,25.3924,168.9272,58.5193,153.8381,61.5924,24.9072,76.8325,42.1219,35.55,80.2901,39.7967,28.4876,166.5281,35.0126,40.3322,466.0712,1634.6185,54.0476,6.3994,18.7203,80.8461,52.8743,182.0896,698.3389,185.1723,159.2307,644.9409,159.7957,640.4362,278.6129,381.831,536.4479,608.0816,249.9567,381.8302,0.0,2927.7432,0.09,1.6937,560.0577,171.8793,0.0
CAN_C19,1374.7571,71.8224,831.9071,469.5586,289.2364,172.5827,15.3687,145.6907,95.3718,1615.6501,535.7866,30.0584,100.7878,124.8645,215.8393,57.3174,11.624,12.9605,40.7551,34.5818,25.5338,220.4822,207.3034,199.1951,2728.8403,1449.9507,3300.8426,244.1373,1343.9195,171.7861,225.9515,172.7137,63.002,183.0564,52.4927,433.3965,494.8865,284.7027,810.603,844.0949,580.6967,701.5558,65.8496,339.1864,0.0,9664.4288,0.0492,2.1103,43.0513,284.9123,0.0
CAN_C20,2082.1208,13.1625,299.4437,307.5202,48.1815,242.9564,185.4486,223.7902,608.7519,263.2221,4038.3588,674.135,2212.4992,188.9412,576.1171,154.031,36.5684,76.4889,115.8736,277.9172,54.2251,187.0867,128.7342,33.9812,1170.0931,388.1217,136.579,7.9897,37.526,71.9803,22.9598,110.3946,102.6604,43.0874,64.1142,190.1696,110.8304,272.2062,370.2303,320.1548,172.6042,541.2503,38.9398,296.5471,0.0,3586.0392,0.0885,19.411,299.5267,215.2764,0.0
CAN_C21,33.0578,2.6656,15.3166,7.7731,2.6176,39.8576,3.0608,6.6353,12.1284,5.0617,57.6909,352.2797,25.9345,6.4849,10.96,8.0174,2.7065,1.9765,7.22,10.9844,4.6355,11.7872,7.3446,12.3712,78.8522,45.4917,6.9177,0.5039,1.5423,3.7311,1.0987,17.06,7.8787,5.5078,5.1302,27.1824,14.0871,24.1541,14.6941,1444.6009,21.8055,619.077,8.1786,16.6882,0.0,2225.4526,0.0208,928.1903,220.1675,58.3988,0.0
