V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T,CHL_HFCE,CHL_NPISH,CHL_GGFC,CHL_GFCF,CHL_INVNT,CHL_DPABR
CHL_A01_02,1947.377,1.409,0.0372,0.6591,0.0024,4634.8733,19.0444,808.244,580.4581,0.1185,7.1991,3.4014,19.395,1.8985,0.142,0.4226,0.0537,0.1181,2.3054,0,0.2193,4.6202,56.5031,0.0438,9.0212,35.1596,1.6585,4.2958,0.8834,12.804,0.007,429.1656,1.1886,0.5133,1.9428,4.2044,0.888,3.2397,27.7085,61.6051,8.0285,44.0652,0.6014,33.6119,0,3595.1691,0.0,43.642,362.9496,0.7579,0.0
CHL_A03,0.0709,450.9278,0.0005,0.0923,0.0,3135.5184,0.0249,0.0246,0.0405,0.016,0.6387,0.0473,0.0021,0.02,0.0051,0.0411,0.0037,0.0071,0.0016,0,0.0049,0.193,0.0168,0.0068,0.0116,16.5053,0.0083,2.4112,0.0424,0.0309,0.001,20.0059,0.0107,0.0771,0.2956,0.337,0.0082,0.1712,0.1532,1.0018,0.1581,2.9648,0.0228,0.7559,0,190.6005,0.0,0.0089,3.2558,0.0151,0.0
CHL_B05_06,0.1291,0.0068,0.9796,5.8954,0.4886,2.825,0.1221,0.0588,0.814,101.1587,0.9494,1.0579,0.1642,2.3976,3.9334,0.0835,0.0045,0.0113,0.0567,0,0.0169,0.0528,68.5205,0.0637,4.4636,0.9692,1.1937,0.0041,0.0292,0.195,0.0076,0.3676,0.0608,0.1595,0.2581,0.3749,0.1427,2.3539,0.4171,0.0925,0.1242,0.0594,0.0322,0.1101,0,17.7169,0.0,0.004,43.1795,0.0035,0.0
CHL_B07_08,141.4438,2.3851,6.7982,2110.5129,4.4464,67.0927,10.2571,17.973,41.1952,16.5893,757.096,10.9998,61.0314,530.0874,409.9043,25.9894,3.5835,14.2378,15.4658,0,5.0863,16.1051,23.3386,4.6381,206.1435,60.8896,5.3327,0.4714,1.8387,5.1549,0.1196,15.2714,3.5428,8.8703,17.5765,39.9226,10.8072,56.8717,49.8415,11.6304,18.7943,22.7147,11.097,3.697,0,259.4057,0.0001,6.4111,445.2046,-2.0946,0.0
CHL_B09,5.0483,0.0212,0.2469,1.2308,0.1676,0.6316,0.0592,0.0645,0.4418,0.1063,21.7187,0.1287,0.4588,24.0504,0.4888,0.3107,0.0094,0.0408,0.378,0,0.0239,0.1329,0.4846,0.0258,7.4141,0.0978,0.0095,0.001,0.0025,0.0031,0.0,0.495,0.0052,0.0016,0.0544,0.0744,0.0101,0.5053,0.541,0.055,0.0385,0.0961,0.4563,0.0496,0,1.7123,0.0,0.0002,14.1355,-0.0144,0.0
CHL_C10T12,940.5555,808.7302,2.3757,42.1144,0.1421,2719.907,23.7893,10.1425,33.0439,6.626,77.629,16.8498,21.0167,10.2768,5.4984,8.7379,0.7474,2.7835,5.346,0,3.3445,7.8755,16.4823,2.0009,60.8588,472.0343,13.8215,6.6948,11.8565,6.0501,0.1316,1691.4996,5.4108,5.2398,9.4696,26.9051,13.3616,32.7785,36.271,101.9569,38.4693,116.9942,7.4445,41.4048,0,16692.423,0.0141,56.3355,144.9192,-18.5907,0.0
CHL_C13T15,13.1186,3.5138,0.1014,13.1459,0.0283,25.4886,90.2853,2.6631,10.8854,0.869,6.0638,2.2958,8.347,2.9988,2.3892,2.8487,0.4564,1.5433,2.0764,0,1.5869,8.318,7.0432,1.5043,70.3666,16.5665,5.8447,0.2359,1.4468,0.8623,0.0697,8.8961,1.8971,1.5731,2.2866,9.0582,0.9548,8.3899,7.8574,12.3405,5.7059,12.5724,1.0245,3.1569,0,1308.3548,0.0057,2.9987,42.7227,-1.143,0.0
CHL_C16,51.4895,1.3142,0.5466,25.3922,0.032,62.463,5.7427,532.5779,31.117,0.8599,4.0498,0.6562,3.4575,10.0748,5.3358,14.0725,0.5364,2.1406,3.7374,0,1.9788,91.5468,18.7943,0.9169,1095.3793,32.8108,1.8403,0.7813,0.8928,1.1431,0.1177,2.5153,0.3523,1.0594,2.5995,8.314,0.81,4.2766,10.5856,5.8742,1.2608,4.7106,1.1016,6.0973,0,129.3964,0.0013,0.2708,31.3326,-9.5575,0.0
CHL_C17_18,30.2829,7.7617,0.6669,141.5866,0.2174,430.4215,14.1503,30.2439,786.7482,9.3665,45.9631,39.7659,19.549,43.1467,7.6085,12.1002,3.9423,11.8741,14.9888,0,0.9536,11.5185,280.451,8.5248,53.8794,525.0758,20.5661,0.0972,1.9878,9.7612,0.7725,29.3709,84.7006,44.4087,12.4595,85.3611,11.9994,303.5958,84.2323,60.6808,82.1322,87.155,12.779,43.7699,0,1188.1658,0.0015,8.3869,21.9395,-3.0167,0.0
CHL_C19,163.1911,22.2059,2.6819,231.972,0.8979,56.9275,3.8621,6.9723,22.204,48.3222,56.9849,1.7154,6.3168,28.0001,8.0966,5.6856,0.4024,1.7807,6.0074,0,1.4458,8.932,66.6945,13.8415,119.8191,84.5688,926.4804,33.3225,197.3949,16.0774,0.0403,14.4448,0.8865,1.4262,0.9345,2.3562,3.4935,20.6536,46.2649,43.8949,8.5017,40.2944,2.3848,20.8651,0,1630.2723,0.0032,0.2562,17.5431,0.0155,0.0
CHL_C20,248.5377,14.9498,2.2736,357.2775,0.9157,227.8801,38.7716,49.5828,156.2706,82.0366,557.4139,36.648,359.7509,89.5692,26.4768,52.6246,3.2769,13.5731,23.9904,0,13.4607,38.4115,17.8461,13.3348,248.2477,85.2622,18.0407,1.2666,3.7928,4.2413,0.0723,27.9575,5.7061,3.8968,7.3294,26.1295,10.304,37.1934,50.7595,32.341,37.1917,86.4638,3.9223,16.6251,0,1307.1177,0.0078,2.8846,88.4323,-2.4508,0.0
CHL_C21,59.6186,34.0621,0.0781,10.0151,0.0197,56.7499,1.731,1.5458,3.9369,1.2552,15.4913,103.2833,4.9713,1.542,0.9009,1.2947,0.6214,1.6716,1.1243,0,0.8397,1.6098,1.7741,0.4004,9.9911,6.1383,3.1156,0.1051,1.3062,0.5056,0.0122,2.1841,2.9074,0.6797,1.5202,3.4219,1.3845,13.6722,3.2304,16.2874,3.4661,515.1204,0.4493,1.1178,0,723.9496,0.0026,0.3851,45.0061,0.0283,0.0
CHL_C22,76.4228,12.9939,0.1421,136.8972,0.7931,266.4043,11.7667,5.8298,48.267,8.608,57.7708,24.3961,105.7301,11.7728,3.9511,17.297,2.3756,9.3763,49.3784,0,5.8538,17.9266,6.8677,1.979,312.4243,303.0049,176.5553,0.2484,2.5426,5.1168,0.0941,16.9124,2.1699,2.6536,2.2773,53.6228,2.9159,9.2711,15.2147,10.0755,5.7074,19.1497,1.7975,8.2958,0,484.7563,0.005,0.5098,175.6568,-25.4821,0.0
CHL_C23,17.1656,1.2856,0.3316,82.227,0.3654,156.2484,4.3974,7.394,6.1512,0.9975,13.7814,8.5783,9.8966,451.9422,7.5036,28.226,8.3725,30.8482,15.27,0,5.3078,10.7422,5.1008,0.3602,2013.2209,49.0185,6.218,0.0393,1.4508,0.4152,0.1347,13.3293,1.7031,12.1218,1.2302,5.1099,1.6622,9.3072,2.7346,6.222,16.2917,6.9606,0.1288,3.9813,0,254.5687,0.0009,2.9734,62.3335,-6.7215,0.0
CHL_C24,11.4613,1.4247,0.7604,47.0151,0.0192,15.5713,2.8779,5.1854,8.7229,1.197,6.1278,0.9219,8.3483,16.5589,250.1107,309.6516,5.8403,40.2735,103.0482,0,32.1022,58.5238,5.385,0.7947,476.2292,15.7193,5.8338,0.3243,0.6754,0.8713,0.0956,1.3073,1.0794,4.3515,1.8847,7.7033,0.8187,4.7789,7.6964,4.465,1.145,11.0254,0.5421,3.5119,0,82.7902,0.001,0.3598,92.9148,-43.6174,0.0
CHL_C25,25.815,2.4985,1.8453,286.5586,0.1872,102.8187,9.4251,21.0998,17.289,3.0117,25.9902,3.7589,17.0737,19.2105,15.3426,100.6105,2.3749,10.2655,37.1274,0,13.9181,33.7409,30.7133,2.5145,1084.3607,40.3061,46.6397,0.8499,9.149,9.5838,0.2512,5.6648,10.4461,16.6726,3.8229,26.1931,6.6897,16.1328,40.2151,10.9728,8.3205,26.2249,1.595,13.3146,0,410.4316,0.0034,0.6127,697.0706,-107.7979,0.0
CHL_C26,0.1474,0.0128,0.0096,1.7845,0.0089,0.3891,0.0685,0.0618,0.2816,0.0171,0.1643,0.0538,0.0735,0.0731,0.0431,0.1131,0.2131,0.1154,0.1741,0,0.0447,0.0573,0.1291,0.0618,0.7275,5.2805,0.6144,0.0161,0.0989,0.3294,0.0072,0.2935,0.1158,3.5155,5.898,3.2299,0.4149,1.6387,0.6761,2.7742,0.864,0.2986,0.0649,0.3496,0,191.0609,0.0,3.2942,47.9005,-75.4312,0.0
CHL_C27,7.5328,1.3665,0.4823,18.1844,0.0575,10.0061,1.1614,1.8116,4.5887,0.6266,4.0284,1.588,1.5084,1.5146,4.4483,5.3635,3.621,22.9306,9.9987,0,7.3667,6.1075,13.2161,1.4388,85.0327,78.2819,19.6467,0.5581,1.3018,2.6326,0.1407,5.4992,3.134,21.344,3.7057,17.8678,2.6883,8.7579,25.6819,15.4615,4.6641,44.6672,3.146,7.0491,0,392.4402,0.0019,1.096,492.2646,-284.4375,0.0
CHL_C28,18.4234,6.2229,2.5701,207.7843,0.5171,30.8032,2.2808,9.9396,15.7632,3.1712,11.5979,2.0688,9.0112,6.9119,13.4265,17.387,2.5848,10.9358,26.9104,0,9.8641,43.6791,43.1503,3.5018,114.6989,81.4432,45.1043,1.9835,11.7035,7.9634,0.2758,9.7971,1.6163,20.7399,18.5876,10.2162,5.8085,30.3096,41.2022,25.8065,7.4305,18.6636,3.1798,7.4198,0,108.5443,0.0036,0.3707,1058.1923,-342.1534,0.0
CHL_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
CHL_C30,5.4914,0.0666,0.1591,15.4356,0.0,0.017,0.0614,0.0625,0.1,0.0903,0.0048,0.0,0.5929,0.076,0.0647,0.4468,0.7021,1.4746,1.5762,0,15.0763,3.4427,1.2127,0.5145,4.6685,82.9122,61.5686,0.7776,11.5595,2.2084,0.0312,1.0336,0.1898,0.1125,0.6078,0.3672,0.4204,1.8874,14.6286,64.3468,0.0073,0.7557,0.2518,1.462,0,71.9527,0.0,0.0,480.4271,-75.4507,0.0
CHL_C31T33,13.3701,2.6275,1.7975,218.0911,0.8677,27.0306,8.6693,12.5777,32.2255,0.5114,11.2294,3.3561,7.4417,11.255,38.1413,3.6262,2.1033,4.035,11.6714,0,0.3686,4.9408,100.1364,26.1338,50.3957,110.7848,147.4075,8.0596,14.6421,27.5392,1.1803,14.2547,4.1489,92.5776,5.5975,15.6568,11.5402,30.5072,85.2548,27.7077,17.7939,47.7673,5.2395,9.997,0,635.0117,0.0008,0.7007,493.1559,-19.954,0.0
