V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,CHN_HFCE,CHN_NPISH,CHN_GGFC,CHN_GFCF,CHN_INVNT,CHN_DPABR
CHN_A01_02,270357.2088,7715.113,470.507,162.9059,13.0805,580859.567,126470.4551,39972.4089,28098.2877,25.9786,22460.7114,54202.4889,13617.4797,445.9024,164.4403,321.8409,2.2858,66.4835,194.7873,28.6966,18.6695,9779.0413,116.9456,376.0492,32527.0726,478.7441,2090.5955,73.724,789.598,3332.6682,84.3523,31539.2153,73.3562,976.3788,2.7251,28.0154,136.3281,8200.1058,1087.1534,6.7782,1559.39,1315.1341,569.4453,702.3561,0,266739.9817,159.0248,28269.5844,43462.6299,11002.9657,0.0
CHN_A03,3609.051,37078.8538,0.0,4.0521,1.2779,50388.8209,504.9529,296.1784,751.9859,0.6435,2033.2488,82.3933,28.7212,17.0095,24.8576,0.0,0.0,0.0,26.8357,4.3965,1.4703,302.2965,7.8679,490.7153,0.0,59.5052,0.0,1049.1415,0.0,0.0,130.7726,29518.5919,7.8087,72.002,0.0,2.6566,14.904,1845.4766,109.4256,0.8646,355.37,78.9456,46.6019,68.3726,0,45211.8519,35.2564,0.0,0.0,1345.215,0.0
CHN_B05_06,586.6107,34.3231,59039.2577,2441.7973,204.1953,2356.2918,2018.2432,340.1891,3390.0896,193331.6485,39103.8253,377.0985,1575.3002,32899.5928,36432.0146,1655.3878,111.1658,227.3187,1339.9614,395.8653,188.668,260.1857,128182.0386,630.3864,807.6891,316.6161,284.215,11.1032,64.4606,32.9246,63.1901,372.9595,18.2828,0.0,1228.7661,196.7029,26.0355,367.1459,30.4993,483.1677,440.5405,347.1563,6.9681,128.4909,0,3983.1107,0.0,0.0,0.0,3516.319,0.0
CHN_B07_08,5.0941,1.0877,24982.5264,14672.5096,75.497,349.4153,13.7947,17.0029,536.1269,100.6945,13128.1914,368.9719,491.8736,52602.4771,131101.4187,2589.4503,36.3992,788.6243,279.6184,117.4591,36.6299,201.4033,327.8874,172.6102,19772.0687,102.2404,33.1518,0.7726,1.0598,22.1244,0.6326,2.3522,1.1466,0.0,0.0143,116.3973,0.0552,154.1775,35.8896,8.8944,1.1736,1.1499,0.4367,17.9952,0,1130.9033,0.0,0.0,0.0,1375.9819,0.0
CHN_B09,0.0,0.0,21758.3385,685.3378,105.0623,316.2395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,94.4706,0.0,1321.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
CHN_C10T12,194419.155,16990.3798,2602.5624,3281.7411,24.5612,359314.3791,20589.89,1332.7246,2376.4835,4124.0134,48362.0428,7339.3948,1217.4574,4637.8003,14167.3983,4791.9159,9697.8821,5400.4101,8219.5696,1836.8444,1165.4135,2341.1386,5058.046,2865.9137,9504.0298,15661.0542,4005.6588,871.2206,7310.1577,3425.8336,991.4218,152600.5933,2333.3911,2963.5571,2063.2361,1972.422,2132.1659,15660.4471,1699.5484,9267.2565,12465.1661,8146.164,1800.2184,3446.2966,0,652235.2121,412.9123,0.0,0.0,11233.1393,0.0
CHN_C13T15,791.7261,18.4089,3920.8079,2007.0867,563.7599,4742.2461,549566.0167,1656.8688,12369.0012,859.6511,8486.6754,7688.1675,15328.7696,10790.2116,3530.2494,4900.7276,3016.2337,4450.6294,7393.3116,10121.4859,2130.5706,33131.693,1274.7621,3482.6291,15172.5445,8552.5834,3629.0569,202.9648,993.3048,1552.175,1116.3956,6245.8221,4357.9063,924.2087,100.1962,3159.193,1265.5697,10713.6781,2045.0726,25881.8264,1687.5201,10425.7212,540.4027,1171.8997,0,207528.8327,176.3139,0.0,0.0,9314.4586,0.0
CHN_C16,37.8409,6.7879,6997.3985,577.0765,7.4244,587.5132,822.0,59593.7787,4309.7877,76.1936,1261.0554,76.0835,772.6078,3047.284,746.7832,4914.7542,700.673,965.2029,2253.7833,427.5037,118.0451,42706.0875,72.2704,259.4049,57623.7966,338.4575,91.4275,5.571,5.2787,40.5813,14.33,40.0559,2.6369,0.0873,0.208,4.3491,110.4146,89.0109,7.589,30.5506,54.8935,27.1637,26.6963,50.8968,0,4234.0634,24.2697,0.0,0.0,1224.1178,0.0
CHN_C17_18,211.132,50.6899,173.4625,615.1888,27.6146,15301.8784,4213.1835,1452.8873,105654.9336,143.1995,5706.3636,3765.2985,2447.7502,12540.5146,726.7572,2599.9215,6399.3365,6788.505,4402.0161,976.5846,226.6225,10339.859,669.745,564.6638,3250.6173,26936.3087,731.7067,22.0855,149.9024,369.6246,3433.6485,1470.8603,7888.8062,1438.1419,18227.9316,9108.1369,2254.377,58570.203,3031.7268,13187.3264,6975.254,233.2304,108.0607,1024.1896,0,28378.2859,58.9508,0.0,2911.1736,2758.3666,0.0
CHN_C19,10367.8426,2110.2231,19131.9232,14740.2681,1524.4198,1181.0266,1088.1111,709.6284,701.4904,39602.2609,82391.3233,320.1412,2741.2062,23215.4928,67767.1039,3409.4423,1284.4451,1251.6361,3034.602,1214.3396,617.4499,1183.7259,18168.0925,1535.3109,32786.4509,6772.0037,60037.4979,23549.835,14124.0609,19483.8357,1519.1376,902.6869,251.7635,473.8878,191.5624,1071.4593,561.5432,18433.8801,4273.1245,4097.5814,1576.4191,318.0556,75.4922,388.9865,0,34291.3663,0.0,0.0,0.0,3440.8379,0.0
