V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T,CYP_HFCE,CYP_NPISH,CYP_GGFC,CYP_GFCF,CYP_INVNT,CYP_DPABR
CYP_A01_02,61.8855,0.0613,0.0011,0.0049,0.0001,273.7738,0.0065,0.0357,0.028,0.0022,0.0864,0.2818,0.0489,0.0203,0.0059,0.0138,0.0015,0.0033,0.0175,0.0014,0.0007,0.059,0.0524,0.095,5.7796,0.6304,0.004,0.0009,0.0023,0.4394,0.0132,8.1372,0.0685,0.0418,0.0101,0.4425,0.7071,0.6289,0.3699,2.9921,0.2682,2.8,0.1853,0.2554,0.0,287.0333,0.0072,31.5579,5.7655,-0.0166,0.0
CYP_A03,0.0,0.6191,0.0,0.0,0.0,7.7594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0186,0.0248,0.0104,0.0,0.0,0.0,0.0,0.0,0.4836,0.0005,1.6266,0.0482,0.0195,0.0,0.224,0.0,0.0,0.0,0.0547,0.0
CYP_B05_06,0.0038,0.0,0.0084,0.0112,0.0002,0.0087,0.0,0.0,0.0,0.0226,0.0498,0.034,0.0,0.3955,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2418,0.0,0.7432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514,0.0,0.0,0.0314,0.0,0.0,0.0,0.0,0.0,0.1379,0.0,0.0,0.357,0.0,0.0
CYP_B07_08,0.0575,0.0,0.0294,0.2577,0.0019,0.0726,0.0,0.0,0.0,0.3327,0.7651,0.5146,0.0,4.5838,0.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8965,0.0,0.0,0.4782,0.0,0.0,0.0,0.0,0.0,1.2828,0.0,0.0,0.7906,-0.0028,0.0
CYP_B09,0.0035,0.0003,0.0104,0.026,0.0005,0.0032,0.0,0.0001,0.0011,0.0025,0.0011,0.0004,0.0003,0.0274,0.0051,0.0018,0.0,0.0,0.0001,0.0,0.0,0.0003,0.164,0.0019,0.0778,0.003,0.0026,0.0026,0.0,0.0106,0.0,0.001,0.0,0.0,0.0,0.0,0.0027,0.002,0.0008,0.0033,0.0001,0.0007,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP_C10T12,58.2154,0.06,0.0032,0.0125,0.0003,134.6738,0.0313,0.0144,0.0306,0.0001,0.7404,0.6494,0.0144,0.0133,0.0037,0.0254,0.0004,0.0332,0.0071,0.0037,0.0086,0.5606,0.0468,0.0461,0.1738,1.7122,0.338,0.7272,0.0119,0.072,0.0309,155.7577,0.7594,0.3395,0.0584,0.1727,0.7665,0.3761,0.0799,3.9435,2.5749,16.038,4.1037,1.2473,0.0,669.0306,0.0145,0.0,3.6369,-4.2342,0.0
CYP_C13T15,0.0849,0.0055,0.0003,0.0013,0.0,0.2882,1.3431,0.1069,0.0842,0.0005,0.0054,0.01,0.0066,0.0228,0.0128,0.0791,0.0055,0.0184,0.0086,0.0143,0.0004,0.272,0.0131,0.0126,0.4881,0.1931,0.0068,0.033,0.0011,0.0528,0.0011,1.6801,0.0472,0.0085,0.0031,0.054,0.1543,0.0518,0.0236,0.1806,0.0167,0.5932,0.0815,0.0741,0.0,30.1719,0.0,0.1586,0.0844,-0.135,0.0
CYP_C16,0.2969,0.0073,0.0019,0.0114,0.0001,6.5585,0.1131,18.7711,0.0168,0.0005,0.3357,0.011,0.0133,0.1898,0.0112,0.256,0.0059,0.0148,0.0401,0.1155,0.0568,2.8886,0.5921,0.0202,20.0864,7.5125,0.0109,0.3808,0.0184,2.1036,0.0115,16.0226,0.7244,0.239,0.0217,0.106,2.9265,0.8375,0.1141,0.6569,0.1837,1.4391,1.3105,0.0333,0.0,14.3412,0.0003,0.0515,1.8801,-1.7996,0.0
CYP_C17_18,0.1144,1.137,0.0104,0.0462,0.0005,3.0413,0.1224,0.1116,12.8773,0.0013,0.1481,4.8598,2.8672,0.2807,0.0677,0.2594,0.0202,0.1514,0.1061,0.1234,0.0062,0.3886,0.3323,0.8959,2.1771,13.0075,0.45,0.6428,0.0157,1.8096,1.9454,2.4783,4.0009,2.4054,1.2761,5.8385,1.969,13.5682,3.119,1.23,2.9976,1.7802,2.4803,2.3625,0.0,28.2779,0.0,0.1418,0.0839,-0.1168,0.0
CYP_C19,0.0217,0.0016,0.002,0.0119,0.0001,0.0332,0.0012,0.0026,0.004,0.0011,0.0091,0.0035,0.0178,0.029,0.0014,0.0066,0.0003,0.0003,0.0011,0.0002,0.0,0.005,1.1066,0.029,0.0426,0.1123,0.0827,0.0113,0.0029,0.0167,0.0067,0.0537,0.0038,0.0033,0.0029,0.0383,0.0264,0.0241,0.0193,0.0429,0.0159,0.03,0.0063,0.0124,0.0,1.7154,0.0,0.0,0.0,0.0,0.0
CYP_C20,2.5199,0.0572,0.0136,0.06,0.0005,0.5425,0.1345,0.2229,0.8983,0.0592,0.7586,6.7744,1.529,0.6972,0.1901,0.3214,0.0617,0.1184,0.1357,0.0184,0.02,0.4258,0.0665,0.1245,0.6648,0.582,0.0137,0.0047,0.0011,0.1393,0.0141,0.6401,0.088,0.0683,0.0726,0.8907,0.1892,0.6418,0.59,0.2702,0.2152,0.9493,0.1524,0.8378,0.0,22.1773,0.0002,0.0002,0.1446,-0.008,0.0
CYP_C21,0.0169,0.0002,0.0211,0.1238,0.0,0.0363,0.0423,0.0002,0.0005,0.0,1.4309,3.3165,0.0007,0.0023,0.2942,0.0003,0.0,0.0,0.0003,0.0,0.0017,0.0004,0.0014,0.0274,0.0012,0.0119,0.2206,0.0,0.0,0.0017,0.0022,0.3753,0.0029,0.0327,0.0199,0.0039,0.0006,0.7261,0.067,0.1234,0.327,22.1031,0.0109,0.4001,0.0,57.521,0.7412,11.9511,6.421,0.0841,0.0
CYP_C22,0.4812,0.1692,0.0371,0.2764,0.0034,9.4963,0.1925,0.4254,0.7863,0.0038,0.5381,2.174,1.5152,2.2516,0.0601,2.8148,0.0143,0.6048,1.3324,0.2037,0.0008,2.8733,0.1617,0.1091,4.2257,11.6949,6.0008,0.1321,0.0487,0.5007,0.0527,2.8121,0.3699,0.1724,0.1276,0.8398,0.4968,0.5322,0.4033,0.4222,0.3896,0.6997,0.3965,0.1224,0.0,13.7125,0.0551,0.5599,0.8486,-0.605,0.0
