V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T,FRA_HFCE,FRA_NPISH,FRA_GGFC,FRA_GFCF,FRA_INVNT,FRA_DPABR
FRA_A01_02,12572.7475,0.0,0.8272,4.2472,0.0219,23591.8762,144.1923,5479.7209,745.3767,0.0,105.303,0.0,122.1499,0.0,0.0,0.0,0.0,0.0,7.2594,0.0,0.0,6.559,182.8493,7.1927,3047.9304,8.8265,0.0,0.0,0.0,0.0,0.0,626.0119,46.0964,0.0,0.0,16.541,0.0,20.0864,15.6398,1468.4627,97.4892,14.2033,119.1199,90.6475,0.0,25357.7356,0.0,0.0,2105.5874,1713.1627,0.0
FRA_A03,0.3336,27.3607,0.0,0.0,0.0,593.04,4.3794,0.0,0.0,0.0,3.0522,3.6834,4.1423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0414,7.8874,1.4873,45.2832,0.0,0.0,13.994,0.0,0.0,0.0,354.3427,2.5402,0.3129,0.0,0.0,0.0,0.6769,0.887,0.3359,0.0,49.3361,3.3186,10.2041,0.0,962.6287,0.0,0.0,0.0,40.7326,0.0
FRA_B05_06,0.2915,0.0097,0.1247,0.0144,0.0119,2.1789,0.1164,0.0024,0.1287,127.0093,6.3372,0.1028,0.0098,0.0487,5.2685,0.0166,0.0077,0.0066,0.0153,0.1107,0.112,0.1822,99.909,0.092,0.27,1.1174,0.6682,0.1796,0.4524,0.1112,0.0142,0.4828,0.0536,0.0765,0.0544,0.0408,0.0209,0.2495,0.3519,12.6662,1.672,0.1583,0.0767,0.1062,0.0,3.741,0.0,0.0,0.0,1.1589,0.0
FRA_B07_08,205.9147,39.6198,0.0,28.7995,0.5798,201.7194,10.5032,1.4344,80.7458,3.4173,557.9015,9.3357,34.7853,795.27,514.8733,78.6377,16.3439,16.4082,19.1915,8.6317,10.8858,26.847,13.8699,18.9597,1130.2611,28.443,0.6713,0.3766,1.5803,1.2384,0.7993,44.8282,0.8754,3.4834,1.5293,9.038,0.2831,24.8105,19.9266,0.0,0.0,11.6776,2.8459,7.6311,0.0,6.6233,0.0,0.0,0.0,56.1594,0.0
FRA_B09,0.4343,0.0208,0.0794,2.2235,0.1088,0.506,0.0145,0.0052,0.3409,13.513,1.2482,0.0438,0.1059,2.5417,3.584,0.522,0.0086,0.0186,0.1293,0.012,0.0714,0.1384,8.8819,0.2935,16.1108,0.4144,0.6657,0.0305,0.0464,0.2816,0.001,0.0585,0.0024,0.0,0.0028,0.0016,0.804,0.997,0.4738,0.4523,0.0156,0.1642,0.0464,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA_C10T12,4594.3873,51.5906,0.6761,16.4016,0.0163,19284.4737,239.8586,7.3986,82.3679,37.524,1477.4219,266.4839,51.9142,27.2956,56.0265,60.3506,34.9546,27.0904,46.2077,71.0465,14.1651,131.1902,31.6754,87.6203,267.7896,1827.5093,56.5064,69.4152,196.234,100.5328,31.7354,15932.657,342.0767,196.269,173.3066,54.527,93.636,1478.8618,853.8241,416.8545,2146.0117,2386.4696,1052.7559,191.6782,0.0,86179.4434,0.1262,227.179,0.0,2498.5653,0.0
FRA_C13T15,52.4262,2.4391,0.1008,0.8093,0.0195,159.5702,3018.0781,10.6571,263.0008,8.4402,74.7643,35.7927,67.936,15.144,20.0552,34.5448,52.0483,27.4485,64.5749,236.2336,72.3668,246.9577,9.9536,25.9388,252.997,839.0738,9.7375,29.9747,10.4224,27.0922,7.0291,147.3092,316.0291,60.2855,6.5326,16.917,35.81,116.223,119.2822,65.9734,49.8928,224.8558,99.6102,73.249,0.0,11162.8047,0.0188,12.7182,0.3499,414.17,0.0
FRA_C16,480.1213,26.2606,0.0,31.4457,0.0291,322.6849,10.1392,540.9826,220.9898,1.1607,54.0019,50.2068,64.8989,236.6536,63.8204,104.9089,46.762,31.5267,78.0421,396.5361,124.9844,770.7889,2.4896,76.7511,3507.9611,320.6226,3.3518,14.3038,4.2888,76.8646,1.0629,60.9957,247.1462,98.2724,12.7647,5.432,186.4703,35.6995,150.8352,6.3949,35.7399,31.5529,115.8,86.9479,0.0,948.3075,0.0,0.0,0.0,156.6332,0.0
FRA_C17_18,100.8166,7.1854,0.0,17.1298,0.0336,1006.1325,123.0461,13.6516,2643.8643,15.5936,400.0081,290.1112,180.975,121.8931,16.9484,51.9768,84.5636,69.6874,65.9055,63.3192,37.905,171.1502,19.9689,157.3296,251.1597,1717.3649,28.0581,25.0444,7.4791,128.2816,8.0508,120.1908,3417.2023,301.3474,212.2815,1231.9477,226.9795,2472.1755,1049.2167,788.3362,532.0482,393.2788,528.1409,279.6206,0.0,2539.7013,0.3729,2.8331,0.0,363.7912,0.0
FRA_C19,1028.9602,34.2525,0.3132,50.9242,0.9345,301.6919,37.9063,8.4585,70.8122,760.4129,2006.8379,27.7028,34.7186,135.8056,106.9666,58.7514,27.259,23.4993,53.9298,82.4382,9.5236,92.5046,244.2369,150.2654,891.0363,2050.1601,2337.7557,621.3992,1541.4427,348.7667,19.0363,70.9383,157.9189,145.6334,137.3695,144.2357,62.9783,639.8755,527.8323,364.5635,99.3247,107.0249,163.9845,89.2048,0.0,12321.9732,0.0,0.0,0.0,435.8597,0.0
