V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T,GBR_HFCE,GBR_NPISH,GBR_GGFC,GBR_GFCF,GBR_INVNT,GBR_DPABR
GBR_A01_02,4290.4119,0.444,5.4872,4.7515,2.7862,8933.8757,33.0328,425.9346,153.7914,2.0025,40.8435,135.8325,29.2426,6.9322,5.8855,13.014,4.0691,4.1247,10.3653,11.0154,10.6398,14.8809,438.8356,13.5229,269.9148,263.0496,36.5941,4.2074,24.1088,17.5608,3.9554,67.8781,16.1952,10.0449,23.1093,110.2846,93.7294,136.7888,71.913,66.2115,36.1445,112.4367,38.1971,10.7736,0.0,17060.1176,14.4851,33.3823,1607.6985,367.4939,0.0
GBR_A03,0.1081,218.8701,0.0917,0.0243,0.0266,818.332,0.0526,0.0387,0.1099,0.0564,0.1553,0.0829,0.1004,0.0724,0.1188,0.1625,0.0899,0.0677,0.1692,0.2434,0.1329,0.1235,0.1502,0.1006,0.8724,2.288,0.2404,0.507,0.3605,0.4337,0.0343,159.6963,0.3646,0.0804,0.1857,1.0361,13.9918,2.6479,1.1418,0.6941,0.4792,0.9395,0.6022,0.1043,0.0,308.7826,0.641,2.6987,10.0609,24.7238,0.0
GBR_B05_06,30.5418,0.0,322.8016,12.8714,0.7399,4.1329,0.0007,0.0011,1.1739,6471.6445,245.2702,2.6499,0.5244,11.0059,253.8885,0.022,0.0,0.6667,0.001,0.0106,0.6894,4.2849,5042.4755,0.0426,5.9998,2.9826,5.3267,0.7781,0.0143,4.6562,1.4511,0.055,0.8199,2.0202,0.8415,4.7563,78.6624,53.0144,7.0459,7.8566,9.1924,9.2549,12.6162,33.7867,0.0,111.3981,0.0181,0.0,6.8467,279.6043,0.0
GBR_B07_08,16.6428,0.1215,1.037,427.7732,6.6251,49.9777,3.2122,4.7155,8.322,1.7852,118.2874,7.173,40.9781,1225.672,29.2853,325.3323,5.7376,12.0295,4.7532,45.8213,12.5467,85.2911,5.1809,7.667,2562.219,68.0819,19.2222,1.6175,5.0169,13.1841,1.863,11.4325,5.3002,2.7639,7.186,22.662,42.4158,32.1922,200.4383,24.6188,25.0185,25.093,12.1779,12.4096,0.0,454.878,0.8297,0.8834,42.6278,58.7166,0.0
GBR_B09,4.798,0.1799,2832.9657,268.3622,1351.7564,25.872,1.7567,2.0331,5.7323,1.7056,7.1616,2.8875,4.5297,8.9569,4.4999,6.6286,2.3278,2.879,7.1721,8.1878,8.0771,5.5268,9.8165,6.9429,384.4009,99.9469,49.1568,1.6565,2.815,8.4354,3.901,7.4453,6.2175,3.3911,10.3752,52.0233,14.56,90.028,26.3945,23.2272,16.1415,40.8837,6.4365,3.7159,0.0,278.668,1.6768,1.3029,111.56,-24.4839,0.0
GBR_C10T12,1161.9652,259.3996,23.8013,16.8809,15.9892,16784.887,56.8468,24.8611,87.0329,19.3505,336.5075,67.1093,153.8522,41.0704,36.9432,61.6559,209.0843,166.6725,447.5096,207.9535,56.4126,65.8814,68.1428,47.7357,269.7276,1746.8687,998.9331,71.5906,46.4637,814.2068,72.6286,11869.2777,623.2733,55.5117,213.7891,575.6765,362.3956,275.1441,452.8347,195.1095,1359.3705,1923.9584,698.053,348.3417,0.0,64520.5901,12.852,25.0775,574.3486,1582.5428,0.0
GBR_C13T15,15.6474,1.532,4.7036,3.1921,3.1518,52.0665,785.6262,7.0622,70.1296,2.6017,35.2105,12.3804,62.4072,15.0886,8.2844,20.1538,12.8781,8.9114,21.2386,217.1284,19.7559,164.3221,16.5746,9.6304,312.9657,502.658,16.9116,1.7235,12.418,12.2523,3.7334,29.9992,29.0832,6.2116,10.8372,62.6389,33.0607,129.886,25.0062,95.7966,52.1714,158.4034,25.8192,58.7989,0.0,10058.3635,1.1091,8.6923,374.0099,181.1731,0.0
GBR_C16,2.5895,0.1016,16.06,4.7836,1.4906,20.0482,3.9838,1584.739,298.9898,0.2624,10.6228,5.1973,8.4219,50.6133,4.7151,141.511,3.6832,18.0421,9.8457,131.8056,57.9947,1252.6812,2.6731,6.9741,4279.225,89.1721,8.8347,0.9061,2.5007,8.6992,2.6408,6.4159,10.8778,2.7873,9.4562,45.168,55.5355,24.377,276.5223,19.7368,78.7597,31.6077,23.1566,112.6612,0.0,1285.5868,0.574,0.6938,71.3967,111.5067,0.0
GBR_C17_18,116.2634,1.7759,14.4471,8.6865,3.3496,975.7581,52.4305,30.6398,3550.7242,3.9366,337.0271,110.526,294.3839,71.7324,19.0443,79.2152,62.2631,51.0464,93.3374,111.2301,40.922,169.4861,53.6113,92.4992,386.2096,2210.0417,80.6748,7.676,15.2436,240.1349,86.2936,176.8042,2200.8517,146.6441,175.8203,2725.036,134.3234,950.9353,482.698,1531.5548,2188.8008,2087.7781,690.1665,209.4766,0.0,3730.0147,1.0906,8.9582,298.2689,279.3651,0.0
GBR_C19,763.9454,33.4934,33.2911,41.345,1.4302,83.1193,4.7502,31.2867,39.5609,653.5964,357.766,0.7146,34.524,184.9864,8.4453,87.0021,3.4857,11.6236,37.3453,30.8697,4.2187,227.6887,4.8053,160.2603,1850.851,3603.5966,3370.731,490.3716,3692.9213,728.1474,314.0897,55.4666,36.8511,58.6644,30.5226,859.5085,141.4194,389.6797,761.5955,889.7885,438.3578,640.7393,83.193,144.2481,0.0,5372.313,0.0457,0.003,8.4976,166.3662,0.0
