V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T,IDN_HFCE,IDN_NPISH,IDN_GGFC,IDN_GFCF,IDN_INVNT,IDN_DPABR
IDN_A01_02,4484.7041,13.1522,1.234,0.7543,0.0559,43497.9748,1272.1149,2674.6324,960.3253,11.234,1042.7908,115.719,3151.9637,52.434,0.0033,47.2486,2.6291,0.0259,253.4402,0.0017,66.4433,514.3148,0.9809,4.8933,3531.3146,185.1398,0.3304,67.205,160.1699,0.8782,0.0038,6153.9766,0.1199,0.0156,0.0859,9.7423,2.999,0.1773,6.4077,345.1503,24.9153,347.7538,128.0973,207.185,0.0,30566.6283,474.4498,0.0,14648.6152,-32.4205,0.0
IDN_A03,1.0151,995.079,0.0,0.0,0.0,3249.1293,0.354,0.3925,0.0,0.0,203.5405,2.2721,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,271.6328,0.0,18.1502,0.0,0.0,0.0,47.8402,0.0,0.0,0.0,3383.762,0.0,0.0,10.612,0.0,0.0,9.2022,0.8802,17.789,46.9899,194.6752,89.2451,15.9057,0.0,19132.8467,0.0,0.0,0.0,-2.0414,0.0
IDN_B05_06,0.0987,0.0,2199.4959,54.542,0.3901,20.9808,141.0331,2.2897,421.9262,9908.6915,5395.3828,0.187,46.3452,3043.7333,330.2567,220.7046,0.4626,0.5182,44.3767,3.1595,0.2759,61.3563,10050.0133,0.0,0.9529,0.0,0.239,0.0,0.0,0.1183,0.0,0.8054,0.0239,0.0,0.0,0.0,0.0057,9.7578,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.1611,0.0,0.0,300.455,-3.3277,0.0
IDN_B07_08,0.0608,0.8761,0.5817,157.7241,109.0911,48.6301,1.2176,16.6564,0.1631,736.1179,869.1164,9.0152,26.1231,1706.2406,4675.0297,1076.5935,18.9046,1.6814,24.276,2.4222,20.7299,288.34,0.117,3.8545,9223.346,0.2587,0.0,0.0,0.0,0.0101,0.0,0.0209,0.0,0.0,0.6621,0.0,0.0,2.4517,0.0612,3.2892,87.1869,0.003,0.0005,0.0049,0.0,17.9066,0.0,0.0,0.0,-0.4389,0.0
IDN_B09,0.0,0.0,1911.7666,588.1729,13.3565,0.0891,0.0051,0.0,0.0,4.9314,27.5374,0.0,3.2679,29.0654,19.1437,3.1947,1.6115,7.4514,0.0,0.0393,0.0226,15.9285,10.3249,0.0,147.2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537,0.0,0.0,90.6233,0.6144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.8285,0.0,0.0
IDN_C10T12,3365.3575,1053.7306,69.8131,79.6852,1.8864,15281.6594,637.2474,42.082,22.9979,9.6601,2995.1305,8.9807,3.6503,54.0443,1.994,28.3528,5.4776,3.1658,578.0214,0.021,0.4101,88.4853,17.5108,50.0888,9.0146,379.3547,230.1692,244.7213,223.3478,117.0771,28.09,14009.8277,62.0941,20.0488,14.9704,161.7896,149.8683,9.1997,396.4524,308.5879,262.0155,1230.6581,152.2668,5.635,0.0,88962.8812,845.6539,2313.7831,0.0,-27.7462,0.0
IDN_C13T15,65.1003,36.6682,6.2411,5.9843,0.7343,40.7676,8354.6838,81.9027,39.7088,4.4959,34.0976,7.0585,30.4064,22.9108,11.6776,21.7207,4.1515,37.0637,63.2544,16.0397,39.9662,542.4247,0.6608,9.3932,238.3968,1453.0379,134.8368,32.6972,135.762,44.2243,55.9056,42.8125,58.4556,7.8245,0.7586,30.914,49.4068,0.2369,345.257,183.9912,244.253,99.7186,19.1657,193.856,0.0,13186.5241,117.8876,0.0,412.3142,-49.5841,0.0
IDN_C16,14.2793,5.5843,0.0042,17.0012,5.4238,19.6902,3.5613,788.0396,55.9972,22.509,14.1916,0.054,5.6449,5.0295,0.6155,31.8499,0.3075,0.8992,3.6516,2.125,79.7614,1339.3029,0.0001,2.2742,5565.5149,632.764,1.069,0.0,0.0916,11.253,0.3302,6.1021,0.2295,0.183,0.0618,0.0,0.7848,0.0876,5.9455,115.1543,0.7465,0.3986,0.7887,10.1274,0.0,392.9213,3.7556,0.0,8.5002,-20.2327,0.0
IDN_C17_18,16.6461,0.6529,6.7988,5.2575,2.7764,387.9582,46.824,6.7476,2988.3238,15.7679,95.6596,10.1302,27.663,74.0587,10.0426,9.113,95.7483,24.4652,48.6849,1.5048,10.4064,111.8015,4.4245,34.8534,136.5257,3568.5281,225.3387,79.8901,180.2622,196.4583,37.0811,22.2856,282.739,19.0021,2.0207,623.7933,259.485,41.5933,792.4025,621.8501,962.9999,54.1313,2.27,1.9853,0.0,1211.6707,16.3772,0.0,0.1221,-12.5293,0.0
IDN_C19,196.1097,270.2077,483.4068,202.2587,37.7286,169.1789,100.32,53.0769,40.0475,760.4615,458.0907,9.5828,68.4678,393.2067,77.622,136.5617,12.1856,50.4475,146.5804,18.6994,130.1532,139.2963,790.4191,119.5579,4909.6919,7754.6328,4650.8813,1133.8238,4288.1655,104.772,118.7779,109.448,83.1247,67.5573,55.626,48.0702,307.0169,5.5438,689.7998,404.8241,102.0743,102.3304,11.7317,92.4578,0.0,9600.1929,160.1705,0.0,0.0,-0.5978,0.0
IDN_C20,2306.8619,21.4268,156.4305,279.1967,37.5567,1147.1697,1131.7918,387.8433,999.1127,272.4403,4409.9309,76.8991,2764.0613,489.6856,82.6667,120.1179,602.6491,1139.9507,1036.017,60.6719,200.3752,1007.4187,30.4117,357.7863,837.5854,1594.1205,133.9122,36.2016,168.8275,71.9483,3.0191,55.2493,150.165,16.3731,17.3844,103.1093,102.0699,5.9948,407.874,153.7721,238.8361,344.0945,20.2698,18.7342,0.0,8549.9711,0.4901,0.0,0.0,-18.9864,0.0
IDN_C21,41.1697,5.4939,0.4142,3.357,0.1401,5.3757,0.4184,0.776,15.5314,1.1158,15.3704,17.0486,1.8285,0.5327,0.109,3.5906,12.693,1.8512,0.1521,0.6661,0.0391,5.1976,0.1084,5.4287,0.0073,14.4972,46.2567,11.3839,9.8605,36.0013,0.1737,0.8276,0.4847,0.815,1.5114,5.8293,0.2003,0.2508,18.9093,16.4428,17.115,630.2583,0.3266,0.4058,0.0,1857.3283,65.7346,575.7368,0.0,-1.2928,0.0
