V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_A01_02,110.4154,0.4099,0.2185,0.363,0.047,497.0221,1.0727,77.5254,1.8597,0.4043,0.6811,0.1985,0.4129,0.0016,0.0011,0.0041,0.0025,0.0017,0.0001,0.0014,0.0008,12.1509,0.0301,1.1747,3.1893,2.2325,0.0001,0.0,0.0001,0.0,0.001,24.7692,0.4502,0.0046,0.0068,0.0001,0.0001,0.0294,0.013,0.0003,1.4994,0.0,0.0445,0.166,0.0,1592.4695,0.0595,0.0004,0.0015,-1.0557,0.0
LAO_A03,57.0024,22.0905,0.0444,0.0921,0.0155,34.6573,0.1746,3.2015,0.4044,0.1007,0.1169,0.0604,0.0261,0.0003,0.0003,0.001,0.0008,0.0005,0.0,0.0004,0.0005,2.7225,0.0081,0.4085,0.7266,0.6145,0.0,0.0,0.0001,0.0,0.0006,14.8523,0.3339,0.0024,0.0033,0.0001,0.0,0.0125,0.0041,0.0001,0.5412,0.0,0.0218,0.0613,0.0,297.3413,0.0118,0.0001,0.0,0.0098,0.0
LAO_B05_06,0.2912,0.01,118.6723,103.9915,19.8886,11.6658,1.3594,0.511,0.0129,44.7155,8.1636,0.1232,3.0298,39.3172,0.3852,0.5097,0.5952,0.512,0.0488,0.5089,0.6991,26.1963,132.4324,8.8501,107.8857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081,0.0,0.0667,0.0,0.0,0.2672,0.0764,0.0,0.0,0.0,2.1663,2.0457,0.0,232.4572,0.0,0.0,0.0,414.9716,0.0
LAO_B07_08,0.203,0.0058,33.6328,132.6947,11.5983,4.5781,0.499,0.2121,0.0052,1.7352,3.5874,0.2344,1.4503,45.8745,0.2888,0.3455,0.3086,0.3446,0.0271,0.233,0.1818,0.2982,33.849,4.5503,170.8569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6424,0.0,0.0216,0.0,0.0,0.111,0.0464,0.0,0.0,0.0,0.7306,0.8461,0.0,342.8545,0.0,0.0,0.0,0.5091,0.0
LAO_B09,0.1624,0.0086,95.5033,68.2729,28.2034,2.5581,0.0611,0.264,0.0025,1.9419,1.0867,0.0324,0.7416,3.2379,0.104,0.1726,0.0285,0.0364,0.0151,0.1192,0.121,0.0,15.9397,2.6826,26.7873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353,0.0,0.0028,0.0,0.0,0.0948,0.0134,0.0,0.0,0.0,0.3499,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO_C10T12,36.7284,1.0152,0.307,0.6816,0.0376,116.6372,0.0553,0.0711,0.0024,0.1046,0.1579,0.0367,0.095,0.0302,0.0008,0.0024,0.0,0.0,0.0,0.0007,0.0006,0.1171,0.0178,0.0351,0.028,0.6814,0.047,0.0017,0.0012,0.0002,0.0005,76.0404,0.0024,0.0023,0.0172,0.0078,0.0016,0.0791,0.0158,0.026,0.3734,0.0698,0.0025,0.0466,0.0,945.4783,0.1167,0.0045,0.0098,-0.4397,0.0
LAO_C13T15,6.7092,0.4104,0.1347,0.223,0.0323,0.3501,61.6167,0.972,0.0452,0.0197,0.0327,0.0086,0.0151,0.0285,0.0012,0.0051,0.0032,0.002,0.0001,0.0043,0.0028,1.209,0.3605,0.5526,1.6718,2.644,0.1149,0.0041,0.0019,0.0013,0.0115,4.5178,0.4002,0.0315,0.2355,0.0003,0.0003,0.7384,0.3527,3.9521,0.1721,0.0948,0.3084,0.6642,0.0,154.7048,0.1011,0.0002,0.0023,-0.1937,0.0
LAO_C16,3.5393,0.0636,0.0322,0.0618,0.0082,15.364,2.258,34.4873,1.5809,0.8395,1.8982,0.2232,0.7592,0.5622,0.0125,0.0701,0.0159,0.0166,0.0004,0.0299,0.0121,12.005,0.6179,2.324,28.592,22.9616,0.5911,0.0196,0.0079,0.015,3.7284,6.0006,0.8558,15.1717,0.4045,8.3105,0.0008,2.2726,0.7946,45.1757,2.642,0.4945,0.9253,2.6257,0.0,59.2446,0.0203,0.0,0.0053,0.0386,0.0
LAO_C17_18,0.0388,0.0012,0.0003,0.0008,0.0001,0.2468,0.0311,0.4978,0.0231,0.0061,0.0192,0.0066,0.0122,0.0085,0.0001,0.0004,0.001,0.0008,0.0,0.0002,0.0001,0.1458,0.0043,0.0338,0.2833,0.195,0.0052,0.0002,0.0001,0.0002,0.0277,0.0702,0.0132,0.1055,0.0055,0.0562,0.0002,0.0216,0.0045,0.2942,0.016,0.0045,0.006,0.012,0.0,0.4598,0.019,0.0,0.0003,-0.0016,0.0
LAO_C19,7.328,0.2694,2.2815,5.5506,0.4956,2.6537,0.5293,0.4114,0.0168,0.569,0.9823,0.0723,0.4135,0.3413,0.1863,0.3561,0.0894,0.1116,0.001,0.1905,0.1289,0.2145,2.0894,0.4144,10.736,7.5831,3.1456,6.4922,2.0158,2.3328,0.0608,1.8234,0.0996,0.1492,0.0367,0.882,0.0713,0.3553,0.7341,5.8769,0.2928,0.6635,0.094,0.3818,0.0,42.0417,0.0,0.0,0.02,0.0016,0.0
