V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T,MLT_HFCE,MLT_NPISH,MLT_GGFC,MLT_GFCF,MLT_INVNT,MLT_DPABR
MLT_A01_02,2.4162,1.0583,0.0024,0.0058,0.0027,37.6302,0.0374,0.0006,0.0279,0.0001,0.0189,0.48,0.0455,0.0366,0.0,0.0364,0.009,0.0031,0.0202,0.0005,0.0095,0.1961,0.0762,0.1634,3.8862,1.0164,0.1704,0.0289,0.098,1.9315,0.0386,18.8705,0.0309,0.0298,0.3359,6.2094,0.8864,0.7937,2.248,0.4544,0.7416,0.1863,0.4279,0.1309,0.0,46.7099,0.0,1.9194,39.2287,1.1024,0.0
MLT_A03,0.0152,38.7081,0.0001,0.0003,0.0001,0.0105,0.0005,0.0,0.0013,0.0,0.0274,0.1699,0.0008,0.002,0.0,0.0016,0.0002,0.0001,0.0004,0.0,0.0005,0.0199,0.0048,0.0074,0.2546,0.025,0.0096,0.0007,0.0051,0.0342,0.0009,6.7761,0.0016,0.0012,0.0073,0.1124,0.0553,0.0154,0.0165,0.0201,0.0205,0.0101,0.0117,0.0049,0.0,8.7112,0.0,0.7731,0.9941,1.3299,0.0
MLT_B05_06,0.0,0.0001,0.0,0.0003,0.0019,0.0046,0.0,0.0,0.0004,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0093,3.4997,0.0,0.0,0.0006,0.0,0.0046,0.0008,0.0007,0.0,0.0003,0.0004,0.0132,0.0,0.0211,0.0,0.0037,0.0005,0.0026,0.0005,0.0015,0.0068,0.0,0.0,0.0146,0.0,0.0,0.0,-0.0117,0.0
MLT_B07_08,0.0094,0.0043,0.0031,0.5506,0.2588,0.1992,0.0033,0.0,0.0175,0.0,0.0388,0.0065,0.007,7.161,0.32,0.0211,0.4649,0.0021,0.0031,0.0004,0.1099,0.0614,0.0303,0.0885,9.3165,0.0801,0.0909,0.0067,0.045,0.0957,0.0026,0.0854,0.017,0.0171,0.009,0.8348,0.2065,0.1699,0.0446,0.0604,0.0669,0.0764,0.0853,0.0206,0.0,0.4,0.0,0.053,1.5587,0.106,0.0
MLT_B09,0.0088,0.0214,0.0534,0.0757,0.1142,0.0174,0.0002,0.0001,0.0126,0.0073,0.007,0.0048,0.0076,0.2982,0.0009,0.0295,0.0034,0.001,0.0024,0.0,0.0006,0.0067,1.665,0.0301,1.0358,0.0244,0.0358,0.008,0.027,0.0366,0.0002,0.007,0.0001,0.0,0.0008,0.0018,0.0257,0.0502,0.019,0.0208,0.0013,0.0077,0.1196,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT_C10T12,8.0626,11.375,0.1778,0.1754,0.0007,45.0053,0.0022,0.0012,0.0175,0.0,0.3211,0.6034,0.0,0.6632,0.0,0.0067,0.0001,0.003,0.0,0.0,0.0,0.0576,0.0,0.0,1.4931,0.3955,0.0989,2.3404,3.762,0.6821,0.0,104.7796,0.0906,0.0199,0.0,2.1748,0.0045,0.1519,0.1267,0.2592,0.035,0.0714,0.0374,0.2358,0.0,215.6652,0.0,0.0,0.0,3.8907,0.0
MLT_C13T15,0.0018,0.0257,0.0,0.0002,0.001,0.0408,0.5313,0.0198,0.0937,0.0003,0.0013,0.0055,0.0394,0.0031,0.0,0.0106,0.0031,0.0039,0.007,0.0039,0.0127,0.1615,0.2016,0.0254,0.5567,0.0382,0.1959,0.0503,0.0615,0.0459,0.0341,0.3903,0.0273,0.0146,0.02,2.595,0.0083,0.1114,0.1208,0.153,0.0744,0.1196,0.1329,0.233,0.0,29.9496,0.0,0.0001,0.3513,0.7568,0.0
MLT_C16,0.0092,0.0017,0.0019,0.0046,0.0002,0.0347,0.0007,0.0847,0.068,0.0061,0.0027,0.0042,0.0042,0.0104,0.0001,0.0184,0.0301,0.0067,0.0275,0.0122,0.0697,1.1102,0.0024,0.0187,0.8649,0.0797,0.0212,0.1201,0.0061,0.0959,0.0037,0.0813,0.0177,0.0126,0.036,0.1889,0.0969,0.0606,0.0433,0.0746,0.0196,0.065,0.0286,0.0388,0.0,0.3449,0.0,0.0041,0.0999,0.0259,0.0
MLT_C17_18,0.0365,0.0192,0.0104,0.0231,0.0031,0.8304,0.0154,0.0053,6.0626,0.0011,0.0412,0.3157,0.3832,0.0412,0.0001,0.0733,0.383,0.0592,0.173,0.0169,0.6772,0.7233,0.3718,0.0978,1.0347,2.6061,0.209,0.4106,1.6111,0.7707,2.1906,1.4988,3.5377,1.7024,4.0096,48.9595,0.1734,22.0511,0.5266,1.8502,1.3615,0.8078,3.5531,0.1509,0.0,6.1612,0.0004,1.1854,3.1285,1.9265,0.0
MLT_C19,0.0031,0.0017,0.0001,0.0003,0.0001,0.0021,0.0,0.0,0.0004,0.0,0.0002,0.0011,0.0002,0.0031,0.0,0.001,0.0066,0.0001,0.0,0.0,0.0004,0.0007,0.2958,0.0015,0.0111,0.0159,0.0218,0.0144,0.0688,0.0092,0.008,0.0045,0.0006,0.0007,0.0012,0.008,0.0003,0.0049,0.0061,0.0026,0.0005,0.0053,0.0034,0.0009,0.0,0.1147,0.0,0.0,0.0,0.0045,0.0
