V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T,PHL_HFCE,PHL_NPISH,PHL_GGFC,PHL_GFCF,PHL_INVNT,PHL_DPABR
PHL_A01_02,10190.5408,511.3774,6.2549,17.8864,1.1836,16385.9365,222.9882,134.5187,59.3676,49.7555,190.3328,29.7764,49.7819,111.8317,93.293,40.3315,137.9528,19.2814,7.8056,49.7884,8.7053,69.3804,23.2932,12.9211,346.3512,494.9811,45.8893,37.9372,18.3461,21.3729,2.7883,499.0825,5.576,33.1274,19.6566,145.2739,202.7294,40.7257,74.7814,89.0889,51.8614,26.5817,24.2253,20.6654,0,9155.144,9.6877,270.2325,3701.7287,-21.4962,0.0
PHL_A03,118.0011,325.1806,1.4833,13.1441,0.2661,1442.0078,48.9361,237.8261,54.9385,25.5269,192.0441,2.4549,29.2194,228.7632,13.323,8.8186,54.7333,5.7184,4.1176,61.25,2.6179,15.1844,8.5966,10.2677,52.0624,305.8714,5.815,4.0624,1.9547,3.1578,1.5989,48.8653,3.2455,5.557,4.1307,28.1301,17.7714,24.015,30.2821,38.1943,11.0745,11.2155,12.2394,15.8236,0,5794.1173,4.4653,37.0032,52.1955,0.2653,0.0
PHL_B05_06,0.6294,0.1724,0.8863,3.0246,0.5098,3.3894,0.4662,0.0998,0.2225,596.8393,3.9709,0.042,0.0774,32.285,206.7278,0.235,0.8187,0.1503,0.0754,0.1472,0.0573,0.2092,47.7743,0.1905,27.2198,7.5669,1.4409,0.54,0.7096,0.256,0.043,0.5012,0.0609,0.2501,0.1223,0.6602,0.6442,0.2262,0.5022,0.228,0.2625,0.2156,0.2574,0.2916,0,7.1809,0.0487,0.4895,14.4358,-0.0831,0.0
PHL_B07_08,1.5578,0.1982,23.2701,81.9934,2.0568,20.7078,0.7009,0.2589,0.4324,2.3549,36.8737,0.2283,1.4734,172.383,1045.9643,147.6405,5.0403,1.2955,1.9327,0.7967,0.6414,3.1048,14.8523,2.9822,374.3255,8.6673,1.2219,0.4338,0.5991,0.3722,0.0555,1.9989,0.1493,0.6527,0.2665,1.2665,27.2181,0.5787,1.1882,1.767,0.6696,0.5117,0.342,0.5488,0,30.8044,0.4107,1.8466,44.6348,-0.9077,0.0
PHL_B09,2.2148,0.6847,8.3788,14.1987,3.7227,2.1393,0.0606,0.0293,0.3334,71.3317,1.5768,0.0213,0.0654,3.8521,10.7089,0.2803,0.1598,0.0663,0.0621,0.0261,0.0192,0.0368,8.4308,0.2958,16.0551,0.7925,0.7346,0.1078,0.1481,0.144,0.0065,0.1364,0.0108,0.0416,0.0215,0.0947,0.4469,0.1698,0.3162,0.3908,0.0221,0.0534,0.0345,0.0285,0,0.9613,0.0177,0.1499,1.4876,-0.0084,0.0
PHL_C10T12,2285.9844,1862.1139,2.2398,13.8234,0.8396,15025.6824,168.1045,73.52,56.2646,181.9163,551.2924,71.06,106.9648,88.6831,63.2937,78.8648,884.9974,235.9065,96.0011,336.0529,33.0534,142.0323,15.3987,7.8908,315.5034,2431.1053,77.4647,31.1939,28.4566,62.3382,15.125,2480.1559,5.5422,21.1976,110.8278,300.7966,161.4015,288.3973,339.9869,280.3795,44.7931,61.8788,168.6299,45.6957,0,48734.4905,11.8606,1970.3825,619.7367,-7.4335,0.0
PHL_C13T15,45.6761,23.2167,0.8297,1.8288,0.6339,239.2466,1776.0576,12.9112,100.4598,25.9724,88.9458,10.2522,24.8764,26.3785,8.7789,10.6908,171.3324,35.0814,20.418,49.5137,10.4188,142.8932,5.7291,1.2356,85.39,245.6422,13.2835,6.4947,6.9984,6.9939,1.7574,64.6495,9.4377,15.9521,4.9432,35.5408,20.5692,11.8557,42.0326,27.9772,9.3042,10.3334,22.1491,12.0998,0,5577.7177,4.3315,57.8293,122.8422,-5.5775,0.0
PHL_C16,5.6851,0.3308,0.4144,0.5622,0.2159,60.1449,5.4764,172.5162,135.7685,45.8596,5.4349,2.0847,5.9511,17.2422,2.6703,2.4998,35.2471,2.7634,1.9285,1.3148,1.4574,145.7133,0.504,0.2746,126.1723,11.7202,1.8374,0.5841,1.0287,0.6059,0.0717,4.4711,3.2653,1.061,0.3188,2.4084,77.1919,0.9947,52.8708,61.166,16.2778,0.68,0.5479,34.6594,0,217.883,0.8689,2.9656,22.2201,-16.7825,0.0
PHL_C17_18,3.3181,0.5269,0.1426,0.5416,0.2123,41.1117,5.2008,1.8235,383.0396,7.2626,36.0356,1.7004,4.4952,1.9284,1.8015,11.6391,184.5966,49.7387,3.6376,3.2351,1.9411,13.804,1.2124,0.4119,19.7084,56.1622,38.1446,2.6529,2.6925,3.9871,5.0143,46.2675,254.1203,78.4572,51.6573,184.4102,9.6907,17.9766,52.7698,100.0183,159.1636,13.8473,13.7145,15.7064,0,316.5306,1.1565,565.2322,84.7386,-10.946,0.0
PHL_C19,132.4161,84.2962,23.8946,95.1088,4.8133,551.8442,86.0574,13.5417,66.4433,2051.7807,158.4915,10.8029,30.3198,327.9073,561.122,71.7142,179.4179,8.6701,9.4489,38.6138,7.6188,39.8919,802.0487,18.3195,431.6092,932.7703,1224.1057,476.0551,640.504,174.2106,31.4718,104.5424,2.7936,59.5006,38.0593,280.7897,88.456,54.4176,63.8339,94.6069,47.7404,57.0502,8.0089,57.653,0,2784.9665,1.0353,20.1648,67.489,-4.3106,0.0
PHL_C20,593.8479,19.5153,3.3332,79.0106,4.0835,335.3385,176.1946,18.8842,48.625,111.5394,2403.1853,171.7201,469.7953,24.5197,42.8646,25.0018,1093.4119,35.2046,40.3084,28.5265,36.97,50.7956,44.5765,26.0439,606.5394,575.7272,37.0168,16.1051,83.6088,20.772,3.4607,468.3599,3.2984,27.6389,12.0959,77.7051,58.9978,36.6144,96.7297,52.9325,64.5552,125.3288,52.0259,323.0096,0,2816.5814,3.8127,233.7815,217.6936,-15.431,0.0
