V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_A01_02,183.7244,0.122,0.4598,0.3793,0.021,191.7001,3.1432,56.4353,10.0227,0.0006,3.3438,4.4182,16.376,3.1508,5.4185,6.6017,1.7144,5.4422,3.4737,6.0055,0.4831,6.0322,9.6485,4.9652,27.1162,52.3514,9.8162,0.1132,1.6663,2.2864,1.1961,21.8312,2.3099,3.0118,1.9594,4.2164,4.2814,15.938,5.6547,6.6634,9.2889,8.3746,5.9711,4.452,0.0,615.0646,6.4332,8.2729,65.5182,12.9087,0.0
SVN_A03,0.0434,0.5828,0.0007,0.0017,0.0001,0.3985,0.0236,0.0219,0.016,0.0,0.019,0.0299,0.0245,0.0186,0.0273,0.2078,0.011,0.0492,0.0178,0.0298,0.0012,0.0137,0.0397,0.0092,0.0479,0.3972,0.0562,0.0028,0.0132,0.2087,0.0018,1.6876,0.1996,0.0162,0.0435,0.0454,0.0345,0.1113,0.0498,0.0326,0.1589,0.075,0.6807,0.0826,0.0,6.255,0.5236,0.0713,0.1031,0.1123,0.0
SVN_B05_06,0.0338,0.0003,0.4455,0.1651,0.0144,1.4129,0.1144,0.0853,3.5715,0.0006,3.9126,1.4684,0.3435,2.4091,10.9365,0.3289,0.0267,0.057,0.124,0.4166,0.0065,0.1119,86.2782,0.937,0.9364,3.6647,0.3314,0.0005,0.0112,0.7205,0.0532,0.768,0.0298,0.0768,0.0942,0.0634,0.473,1.0558,0.2669,0.2302,0.3548,1.678,0.3204,0.0897,0.0,0.6284,0.0002,0.0069,1.6028,0.9636,0.0
SVN_B07_08,0.4349,0.0024,0.0472,2.0573,0.049,2.1901,0.0988,0.1206,1.1093,0.0,5.7683,2.1755,0.1281,18.8271,17.0155,1.8196,0.0416,0.9801,0.0665,0.2509,0.011,0.4651,0.5164,2.0051,20.4896,2.5341,1.2253,0.0007,0.0196,1.0806,0.0791,1.2096,0.0458,0.0959,0.0265,0.2254,0.7775,2.0676,0.5063,1.0213,0.3064,2.5049,0.4876,0.056,0.0,0.8755,0.0006,0.0149,4.2907,0.7094,0.0
SVN_B09,0.0319,0.0006,0.1791,0.3754,0.0862,0.0231,0.0012,0.0049,0.0614,0.0001,0.0805,0.0219,0.0194,0.3611,1.0836,0.1238,0.0008,0.0089,0.0245,0.0031,0.0003,0.0081,0.6413,0.0465,1.2813,0.0322,0.0907,0.0009,0.0025,0.0308,0.0001,0.0039,0.0001,0.0,0.0002,0.0001,0.026,0.0751,0.0167,0.0271,0.0012,0.0101,0.0039,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN_C10T12,76.3042,1.0295,0.1027,0.5942,0.0024,198.1901,0.1972,0.5937,0.7784,0.0,8.3174,3.7117,0.2805,0.5374,0.1326,2.1305,0.2925,0.8136,0.6393,0.4508,0.0288,1.7781,1.606,0.5102,3.6077,35.7089,2.0371,0.0888,1.7936,1.2197,0.0625,137.2737,0.5487,0.151,1.2511,6.5313,3.9392,4.092,3.9415,2.5312,39.2702,24.0673,10.8586,0.9621,0.0,1127.6721,0.0416,0.0,0.0,17.5373,0.0
SVN_C13T15,0.6469,0.04,0.1475,0.1794,0.0081,1.2722,109.454,1.3218,1.3002,0.0002,2.782,2.8135,21.5371,1.2071,0.7216,1.3864,0.2002,1.8679,0.767,20.4969,0.0832,3.5832,0.7549,1.6649,2.2312,8.6279,1.1428,0.0093,0.2234,1.2649,0.5608,2.6902,0.4435,0.3191,0.3636,0.6548,1.5286,7.0841,1.7244,2.1362,2.4264,12.5072,3.6483,0.6828,0.0,293.0836,0.005,5.8355,13.439,6.5636,0.0
SVN_C16,4.1338,0.0137,0.5321,0.2005,0.0078,1.8193,0.4826,49.7275,4.1672,0.0002,2.9356,3.2291,3.3597,2.1532,3.3973,11.1159,0.3161,3.822,1.5818,5.6544,0.0921,46.7266,5.1091,1.813,35.9778,14.7872,4.0592,0.0297,0.7331,0.6154,0.0706,1.6166,0.3924,0.3025,0.4151,0.6728,1.3561,16.0661,0.9955,2.3273,1.5638,1.8014,0.7743,0.5811,0.0,33.5372,0.0769,1.1285,18.87,3.0852,0.0
SVN_C17_18,2.2442,0.0496,0.0403,0.3275,0.0074,24.8345,1.1837,2.1452,190.9827,0.0022,3.3821,85.289,7.4218,6.61,1.5454,3.2777,1.3859,15.2491,3.0063,7.1349,0.2775,5.3495,3.0102,4.7178,2.9696,69.9722,2.6949,0.0652,0.6591,5.2916,0.7667,9.8566,15.1361,4.6353,4.108,15.5939,1.5971,52.0598,7.1918,8.9073,8.2389,5.2327,9.5821,2.9306,0.0,72.935,0.095,1.0134,3.5659,7.6042,0.0
SVN_C19,0.0046,0.0,0.0,0.0001,0.0,0.0017,0.0004,0.0012,0.0014,0.0,0.0013,0.0026,0.0019,0.0024,0.0032,0.0034,0.0013,0.0021,0.0019,0.0025,0.0001,0.0027,0.0019,0.0019,0.005,0.0212,0.0249,0.0001,0.0022,0.0018,0.0003,0.0027,0.0044,0.0008,0.0021,0.0055,0.0031,0.019,0.0048,0.0022,0.0022,0.0028,0.0018,0.002,0.0,0.0542,0.0001,0.0008,0.0024,0.0009,0.0
