V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T,UKR_HFCE,UKR_NPISH,UKR_GGFC,UKR_GFCF,UKR_INVNT,UKR_DPABR
UKR_A01_02,5450.7074,1.651,8.1086,4.3251,1.742,3730.1499,11.8128,109.5357,95.5302,0.2941,46.0017,4.1728,3.1265,2.488,0.7502,0.4238,0.0861,0.098,0.7316,0.0329,1.0963,16.0729,5.3027,0.6766,7.1841,981.6009,54.3041,42.5281,17.2291,36.473,0.2478,66.8042,0.0332,0.1156,1.4065,0.6723,6.2057,2.0322,11.4232,70.663,94.8002,18.4967,1.7997,0.5118,0.0,6781.5405,0.0,124.9724,134.5166,315.0643,0.0
UKR_A03,60.0516,17.0317,0.0113,0.006,0.0024,5.4228,0.0181,0.1498,0.1341,0.0004,0.0637,0.0059,0.0043,0.0035,0.0011,0.0006,0.0001,0.0001,0.001,0.0,0.0015,0.0223,0.0073,0.003,0.0233,1.3834,0.053,0.0715,0.0424,0.0377,0.0003,0.0936,0.0,0.0002,0.002,0.0,0.0206,0.0034,0.0158,0.0979,0.7419,0.0256,0.0025,0.0007,0.0,50.6057,0.0,0.0,0.0,9.6548,0.0
UKR_B05_06,100.2636,0.018,111.3345,38.0519,19.3532,213.4966,6.5026,12.4615,26.6636,847.4696,310.4655,4.2553,2.2243,106.5173,584.0258,5.2169,0.6973,5.1254,16.9093,1.8104,7.0669,2.999,1556.3494,3.2171,5.8611,114.0246,292.5299,72.8244,60.476,109.3137,3.1259,7.6264,0.4597,1.6154,2.1811,0.8231,12.5098,8.5915,40.1446,28.1326,56.8459,13.3734,6.7424,2.6024,0.0,435.5044,0.0,0.0,0.0,85.5235,0.0
UKR_B07_08,1.9972,0.0004,10.8349,34.6995,5.6884,14.2167,0.2385,0.3191,0.8491,6.8231,9.8654,0.0306,0.5077,129.9637,1059.5424,1.2286,0.3354,0.6595,0.9392,0.0506,0.0972,0.7445,0.4929,0.5154,155.7997,6.1881,18.1569,2.3136,3.4688,10.3921,2.4897,0.0234,0.329,0.0649,0.3715,0.6312,2.0182,2.2388,4.7633,0.0,1.3451,0.0776,0.2858,0.7253,0.0,33.9533,0.0,0.0,0.0,44.5932,0.0
UKR_B09,5.9732,0.0011,54.2873,113.1689,73.5663,25.0067,0.1349,1.4355,2.4711,18.5058,2.5643,0.0624,1.1413,80.6428,116.0956,2.2396,0.1071,0.3921,2.0677,0.1035,0.0664,0.7104,1.6583,0.9797,120.5989,13.4202,53.1681,7.7101,12.2638,25.7052,0.0,0.0539,0.0253,0.0,0.6604,0.1807,5.5281,4.0175,8.3225,0.0,3.6516,0.2934,0.2504,1.5541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR_C10T12,111.645,0.1026,3.2466,1.2063,0.3009,2629.6789,0.532,0.3097,0.6558,0.1293,6.9987,2.2287,0.0806,0.404,1.1735,0.2103,0.1081,0.1536,0.7731,0.2719,0.5833,0.7871,2.1605,0.2018,4.3812,271.2179,6.311,4.8292,4.8695,4.0429,0.0505,96.7193,0.6863,0.2601,4.2175,0.5796,9.9802,5.6501,2.8078,41.073,56.6748,11.6154,2.0023,1.0061,0.0,11916.6591,18.5663,37.13,0.0,340.5523,0.0
UKR_C13T15,2.2479,0.002,1.0628,1.58,0.5364,5.8816,79.2794,2.489,6.9424,0.5162,0.8654,0.8595,0.7494,1.1847,2.2906,0.8064,0.175,0.2605,0.7711,0.4533,1.0275,15.8414,2.1533,0.4903,2.0741,31.1064,2.0849,0.8511,0.9695,1.3418,0.2148,2.5491,0.1948,0.5062,0.2985,0.1036,1.6354,1.343,1.7029,9.7413,2.9915,1.604,1.4632,2.1225,0.0,678.7098,9.2817,18.0629,0.0,16.7179,0.0
UKR_C16,14.3078,0.0129,2.8708,2.7726,0.8587,114.4869,1.1418,301.285,36.4463,0.2759,8.8204,2.6363,4.5748,12.7754,2.7771,5.528,0.4798,1.4239,2.5122,0.7841,0.5998,36.5098,2.3769,1.7357,27.0401,52.7283,3.0287,1.0601,0.6304,3.5498,0.0317,1.1332,6.0754,0.6661,2.5156,1.1106,14.7993,5.2382,1.1497,32.2974,12.39,2.0468,0.9164,2.8209,0.0,69.7027,0.0,0.0,0.0,11.8878,0.0
UKR_C17_18,14.3228,0.0129,2.6105,3.324,1.1612,358.9902,3.212,22.472,288.8216,0.5888,19.9249,17.4464,7.1984,13.5762,4.3622,4.2906,1.2467,2.8831,2.7734,0.8105,0.5535,15.9426,3.0553,4.4622,1.797,183.787,8.738,1.7467,2.9515,8.4348,0.2647,3.7942,79.8672,4.8025,23.5218,12.684,19.0233,37.4426,4.7907,144.2398,57.5255,12.4343,5.5901,5.5311,0.0,193.5795,0.0,3.8661,0.0,27.8983,0.0
UKR_C19,448.8486,0.4116,14.8065,60.4085,16.6241,96.0517,2.2012,7.8716,7.5663,24.494,16.9249,1.42,4.4997,27.3309,434.0306,2.9144,0.6939,9.5255,3.366,1.104,3.3698,10.5512,51.7449,18.9929,121.5994,293.5291,245.4986,58.1244,110.6358,31.6594,6.0087,2.8735,3.577,4.1694,2.1083,4.2526,29.3022,14.2489,18.7006,18.0547,19.4353,11.1777,1.8474,5.361,0.0,298.6714,0.0,0.0,0.0,31.5945,0.0
