V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_A01_02,607.1807,0.0017,0,1.4121,0.0003,4403.3235,19.1071,164.0982,51.379,4.0719,82.1117,15.0138,9.9455,4.9338,8.3529,11.0242,0.4522,0.5284,1.4819,1.0224,0.1819,6.9944,21.2435,7.2548,26.1094,162.3991,6.0945,0.0444,0.1763,2.9341,0.2162,204.9631,2.7612,1.3458,5.1696,2.4609,3.4465,16.6303,83.1084,12.5959,4.0319,61.6746,2.2913,12.8212,0.0
BEL_A03,0.0029,1.4306,0,0.001,0.0,8.7634,0.0022,0.0029,0.005,0.0278,0.1033,0.0169,0.0076,0.0231,0.0205,0.0973,0.0044,0.0066,0.0077,0.0161,0.0008,0.0078,0.0061,0.0025,0.0383,3.6597,0.4273,0.0408,0.0811,0.7566,0.0406,27.9432,0.117,0.0232,0.0257,0.0533,0.0087,0.2671,3.7088,0.0121,0.0477,0.3507,0.0289,0.1218,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,1.4038,0.0324,0,8.6358,0.0036,1.2454,0.1883,0.2679,2.047,1.682,10.4016,0.2964,0.1255,104.591,24.1736,0.0405,0.0306,0.1769,0.3028,0.872,0.0077,90.3601,0.0487,3.9006,206.5498,79.7248,7.8666,0.016,0.05,4.2177,0.0133,30.8944,0.0401,0.0477,0.1575,0.0435,1.6008,0.256,0.7003,0.7044,0.0242,0.0903,0.3692,0.2947,0.0
BEL_B09,0.0011,0.0,0,0.0058,0.0,0.0025,0.0,0.0001,0.0021,0.3401,0.0135,0.0009,0.0007,0.0134,0.0509,0.0031,0.0,0.0001,0.0008,0.0001,0.0,0.0003,0.023,0.0023,0.0875,0.0018,0.003,0.0001,0.0002,0.0026,0.0,0.0002,0.0,0.0,0.0,0.0,0.0024,0.0037,0.0017,0.0018,0.0001,0.0006,0.0001,0.0002,0.0
BEL_C10T12,1635.0491,0.0331,0,0.0977,0.0002,6675.2487,3.8486,2.0599,31.0804,68.4729,451.2821,14.1314,6.3072,1.2644,2.0944,23.2043,0.6617,0.9697,4.0984,3.363,0.1225,3.9914,14.1154,46.7694,38.2472,446.8704,11.0117,0.147,1.3162,60.7742,1.2287,2819.0031,19.2539,6.8422,10.3732,9.9547,0.7081,67.6355,44.6091,224.1254,52.1284,595.3868,111.3659,37.1757,0.0
BEL_C13T15,3.9231,4.5996,0,0.7347,0.0004,37.613,543.0715,2.7715,54.4991,7.1614,37.8054,5.7913,42.9154,7.1105,7.0319,9.225,2.6959,2.0956,7.103,97.5598,1.2501,108.9658,1.3665,6.3462,133.4438,83.5143,2.8824,0.0971,0.4693,7.901,0.3502,19.3784,3.7644,2.5472,4.608,3.0692,10.577,28.2688,37.5402,15.6884,4.6457,73.3696,7.532,33.3219,0.0
BEL_C16,9.4578,0.1222,0,1.5198,0.0004,71.3651,2.5331,505.8612,38.8985,5.8712,39.5607,3.9764,19.8505,31.0136,17.6506,27.8633,3.1979,7.0695,40.0009,11.9041,1.5418,127.7157,82.0572,11.4235,887.2758,65.0379,13.5196,0.2201,0.3289,9.5706,0.2326,9.2852,1.648,0.7837,2.2262,3.08,186.524,29.2728,63.7322,8.3515,8.1176,26.1886,19.7983,21.6279,0.0
BEL_C17_18,8.2685,0.1318,0,0.5951,0.0005,425.1101,25.0404,37.5043,877.6031,11.7505,92.6728,59.6241,81.4206,37.0416,38.8331,18.4528,9.0159,12.6472,12.1445,16.4983,1.1635,36.7093,5.1203,14.4562,53.6818,829.7707,14.1444,0.1697,7.0684,105.4082,5.4641,40.3238,465.9823,12.8787,13.7141,86.6428,18.4548,361.2676,200.824,242.9979,65.8583,119.2978,27.4314,81.8642,0.0
BEL_C19,229.8128,11.7612,0,11.34,0.0148,175.3584,50.2945,30.625,70.5845,3967.8812,1700.9815,87.4592,175.9938,93.9035,98.8188,62.6038,18.4686,19.3826,35.071,31.9634,3.3269,61.3977,34.7918,81.3385,413.1033,592.8606,616.0673,112.6911,452.7408,209.7221,23.7793,62.7565,22.3834,18.0484,63.184,125.0652,68.3915,357.1505,295.3263,275.0436,49.6932,254.7812,21.4968,50.4327,0.0
