V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_A01_02,5128.4965,37.4194,3.8327,0.3504,0.1994,9913.7785,796.8288,755.5953,289.3639,39.1619,187.2673,43.7618,90.2921,17.9793,9.747,6.5373,6.3812,5.491,7.2488,8.3559,2.6861,76.9567,40.447,7.652,348.8116,172.6614,22.9623,6.7755,6.8117,7.9556,1.4036,534.2364,10.821,12.5906,2.8032,8.3177,14.4591,15.7217,19.0225,93.3082,39.0774,55.7913,20.5039,40.2891,0
BGD_A03,41.4979,707.5849,0.698,0.0513,0.0374,1354.5287,27.0788,1.5434,2.1229,7.0275,8.9272,2.3694,1.7281,1.9262,1.5583,0.973,1.2957,1.1199,1.4148,1.3362,0.381,5.2417,1.7148,0.8109,19.7538,17.4194,3.876,2.6804,1.7271,1.1206,0.2139,267.07,2.6132,2.4493,0.6275,1.1483,1.1196,2.395,1.7481,10.9553,5.7666,8.5133,3.3532,4.7572,0
BGD_B05_06,2.8138,0.4375,8.2441,0.1448,0.1554,4.559,4.7894,0.2746,1.4945,2368.5963,18.4893,0.4693,0.9671,9.4633,11.0236,0.7934,0.5298,0.5311,0.9224,0.6605,0.2365,0.7578,83.4309,0.5232,18.8774,2.988,5.1038,0.7781,1.2311,0.5667,0.1466,1.0604,0.2918,0.5039,0.0777,0.2978,0.6168,0.6311,0.4234,1.6385,0.7311,0.818,0.3468,1.0496,0
BGD_B07_08,1.0237,0.075,0.3538,0.3348,0.0738,0.8013,0.6155,0.043,0.5001,8.2008,8.4987,0.1636,0.2324,42.9793,11.836,0.3814,0.1421,0.2163,0.1904,0.1159,0.0395,0.6479,1.6318,0.2209,84.7769,0.2526,0.2283,0.0165,0.0147,0.0745,0.0044,0.0793,0.0183,0.0285,0.0054,0.0133,0.1909,0.0621,0.0493,0.3789,0.0564,0.0565,0.0349,0.1048,0
BGD_B09,0.14,0.0329,3.0982,0.0939,0.186,0.1249,0.1165,0.008,0.1219,33.6857,0.3148,0.0121,0.037,1.3006,1.4807,0.0819,0.0131,0.0157,0.0412,0.015,0.007,0.0242,1.2487,0.0231,7.0985,0.0831,0.1469,0.0176,0.0226,0.0339,0.0027,0.0174,0.0102,0.0154,0.0034,0.0092,0.0518,0.0527,0.0232,0.0732,0.0103,0.0208,0.0084,0.0225,0
BGD_C10T12,1750.3233,140.9339,1.6683,0.1805,0.0838,3573.6593,240.2197,2.8129,22.2753,46.5455,241.151,50.8132,17.1088,10.4974,7.8588,4.7938,5.6357,5.6931,6.5736,5.8552,1.4918,14.5092,10.6126,6.2267,84.537,138.6005,13.5557,12.1713,8.0503,7.4369,0.8979,1658.6379,14.8186,10.4502,2.7211,7.6131,8.2738,16.3854,12.5874,104.3502,79.6662,131.613,35.77,54.3478,0
BGD_C13T15,38.0726,10.7543,3.7115,0.2225,0.1804,65.1667,8746.3205,7.0179,26.5877,33.8344,28.7395,7.9642,33.2483,18.1556,13.6003,13.0258,13.8968,12.7126,17.3488,36.5944,6.4111,73.2893,10.9227,7.1311,185.6555,61.8349,17.8744,3.9369,6.1094,4.5338,2.0338,22.7334,10.5645,10.4214,2.0917,5.5339,4.5708,12.0233,10.3251,55.0541,12.0604,36.0752,11.4878,53.2295,0
BGD_C16,16.6818,2.0478,0.7148,0.1434,0.0355,19.6889,30.6048,232.0307,42.045,4.2196,12.5812,1.3575,9.4673,23.2282,6.5428,9.8495,4.3039,7.2167,7.1513,18.1841,7.2516,236.111,11.3741,1.7789,1101.6612,18.3792,3.8177,0.4821,0.4343,2.1562,0.2103,2.9524,2.7268,1.4114,0.3005,0.75,11.6709,3.6904,2.2641,4.0551,2.5691,3.2167,2.0374,16.9473,0
BGD_C17_18,33.2246,5.4335,1.7512,0.245,0.086,328.129,301.3764,20.2323,1308.7456,24.4453,93.2818,45.9846,59.0844,80.773,16.4508,16.9021,33.4418,37.0424,22.7457,21.1843,3.8798,62.8317,12.1728,9.4213,129.8291,174.3556,17.0988,2.3024,3.393,10.675,8.7106,30.4299,347.4161,33.9875,10.4426,48.7842,13.4003,81.548,29.2859,98.0634,72.3232,40.7404,23.6809,60.5737,0
BGD_C19,379.532,91.8742,31.4434,4.6225,2.3185,107.2623,192.8681,18.139,40.1898,3069.7279,417.4784,20.5686,64.0733,207.2789,135.5408,31.863,19.5074,28.8976,27.3898,32.0179,10.7168,53.2578,226.2664,45.0561,1077.1047,260.4437,1016.0195,168.8373,336.2312,47.1203,18.4506,32.0753,16.7078,31.353,4.9076,22.1511,19.3255,35.5693,37.6039,155.7135,35.2746,56.932,17.31,79.2908,0
