V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_A01_02,7075.0581,85.5213,9.6537,10.3935,1.3772,57590.2574,1140.7983,657.9038,1256.0748,18.1748,4825.993,9.5057,460.8392,38.4671,262.925,4.2857,0.7411,0.5005,1.5224,17.9766,1.6325,38.2012,16.9839,26.2121,412.2162,2853.0034,1.8072,0.1188,0.2479,4.7673,0.8235,1692.1875,290.6926,12.5775,3.3813,7.9601,9.1952,12.189,40.3029,342.5381,175.6125,218.1942,32.5507,410.1195,0.0
BRA_A03,48.4837,168.7464,0.0079,0.3478,0.0016,826.5301,0.0,2.8794,13.9963,0.0,0.0,0.0,0.0,0.0,0.2121,0.0,0.0,0.0,0.0,0.0,0.0,5.6851,0.2027,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.6126,3.8317,0.0,0.0,0.0,0.0,0.0,0.0,36.2554,39.0234,38.2856,0.5408,5.765,0.0
BRA_B05_06,15.4493,0.3287,2106.0827,40.7671,41.1763,180.6631,22.9391,6.9417,123.578,15970.2559,335.3266,6.472,16.1339,98.4258,488.6658,68.3987,1.1162,4.7251,3.2246,45.5389,1.1217,0.8422,2097.6102,258.6116,272.7984,44.2194,62.688,1.242,8.1837,7.7527,1.4323,7.4769,1.3376,18.3684,5.1584,9.6233,10.6914,25.1019,16.0234,60.867,11.774,14.3013,2.8343,3.4375,0.0
BRA_B07_08,137.1568,1.6814,170.6022,498.0111,33.9769,124.6839,16.1493,6.3086,7.1883,54.9735,873.9757,8.4325,12.493,1412.4775,2818.4403,23.8018,1.0168,33.4295,88.1107,26.3855,11.6055,26.769,3.6146,83.0614,1839.5839,22.3559,2.3006,0.0487,0.2283,1.2123,0.3662,8.1716,1.1723,0.4954,0.2245,0.6138,112.3586,2.6071,2.1181,17.0974,5.2253,2.9154,0.6483,12.09,0.0
BRA_B09,11.7976,0.4057,473.2797,266.4553,97.9827,9.1795,0.4331,0.1488,7.6947,726.4096,25.6951,0.3654,1.5271,38.4303,90.2004,4.2179,0.0987,0.2739,1.647,0.1969,0.2121,0.6621,86.8672,1.5424,150.4903,4.1667,9.9212,0.1771,0.3495,1.81,0.0075,0.5417,0.0128,0.0,0.0164,0.0104,14.9604,3.1006,4.3304,6.7781,0.2136,1.0844,0.1124,0.5039,0.0
BRA_C10T12,5428.1933,152.5142,181.7183,129.9811,6.56,26618.7479,873.7151,36.0149,373.5205,572.8027,3622.2348,109.0064,501.0498,114.9266,94.2296,101.4249,13.8127,84.5967,56.3692,68.6713,20.2216,107.2434,128.9721,46.7579,294.9861,1099.3854,36.0989,0.6988,11.1585,12.3538,2.7288,13691.1468,348.1603,12.1215,4.3409,78.4251,40.0099,63.6495,86.2066,947.8376,898.252,1135.0594,26.7872,261.8469,0.0
BRA_C13T15,181.2746,1.2712,62.7936,69.733,2.8538,135.8691,8255.0185,52.8455,57.575,25.7858,54.7778,27.7167,142.1034,12.3709,7.4424,34.9088,16.9027,8.6848,22.4784,367.8467,41.6059,313.3193,63.9139,23.9531,185.2843,146.8194,59.5029,4.8126,40.7068,16.7423,6.2315,162.2787,34.0099,27.7555,2.1512,133.7959,16.0377,60.5923,81.6478,140.8836,150.4731,44.6043,27.3079,335.0164,0.0
BRA_C16,212.8189,2.6498,2.5835,2.2442,1.9713,139.7982,15.0364,738.1048,117.0436,1.5273,17.6346,13.8511,19.8873,10.3402,7.7458,64.6342,49.9119,1.6319,77.4833,60.9022,52.8996,1284.6697,100.9238,1.8011,1375.9944,557.7209,1.8548,0.1443,0.2093,20.4816,4.1284,6.2631,27.0766,4.9163,2.1434,6.1714,111.684,8.2906,31.2412,19.3219,12.2235,8.8023,4.3289,40.8114,0.0
BRA_C17_18,185.0759,3.4698,20.6981,36.5948,3.0722,2285.3087,475.7956,218.4218,4311.9854,38.5136,505.9153,242.4457,569.4324,473.9158,23.4579,388.3638,233.2035,120.0884,57.463,311.9274,23.7167,262.4641,29.6695,20.188,139.9945,3208.1338,69.6876,12.4104,17.0045,64.1831,27.8796,345.0116,795.2514,171.5648,244.1958,703.5348,111.0836,1805.0355,938.2864,438.2464,382.4003,273.1553,96.7461,205.9033,0.0
BRA_C19,3391.4503,72.4776,893.6432,1439.1909,113.679,2165.3819,144.9547,61.9076,412.7686,33994.3429,3908.4997,40.5145,425.4421,908.761,1388.1635,116.5113,38.8416,203.6607,116.999,360.3393,34.3955,138.6729,578.2445,222.5064,1922.2837,3676.0733,14370.5575,277.7221,1912.7235,305.6793,81.6211,429.0603,25.9823,30.2665,45.8588,170.0862,22.0991,336.3987,343.7735,602.8855,123.9998,110.8862,32.7233,140.7003,0.0
