V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_A01_02,2.8289,0.0,1.7133,0.7385,0.1939,1.2115,0.0607,0.003,0.0038,0.3244,0.0015,0.0,0.0151,0.0008,0.0,0.2964,1.3381,0.0002,0.6823,0,1.1778,0.5148,0.0003,0.1694,6.7026,0.5804,0.0703,0.001,0.0398,0.0001,0.0,4.0817,0.0027,0.1841,0.035,0.092,0.0081,0.1431,0.1394,48.5801,6.7946,4.3985,0.005,0.0074,0.0
BRN_A03,0.0354,0.0,0.0287,0.0177,0.0036,0.0275,0.0022,0.0,0.0001,0.0092,0.0,0.0,0.0004,0.0,0.0,0.0084,0.0001,0.0064,0.0194,0,0.0357,0.014,0.0008,0.0046,0.0,0.0066,0.002,0.0,0.0011,0.0,0.0,0.1808,0.0002,0.0052,0.001,0.0026,0.0002,0.0036,0.0027,2.3159,0.1928,0.1248,0.0002,0.0002,0.0
BRN_B05_06,0.0001,0.1993,315.2056,44.4691,11.4019,0.0843,0.3132,0.0633,0.0,719.4427,19.4236,0.001,0.0603,0.003,0.0001,0.0,0.2439,0.0341,0.1913,0,0.5207,0.1338,3.8211,0.1434,9.5027,5.2338,0.3323,0.0,0.4217,0.4612,0.3696,0.149,0.0286,0.4882,0.1366,0.0616,1.3616,0.5674,0.1632,0.0,0.0,0.4198,0.0305,0.0418,0.0
BRN_B07_08,0.1578,0.0,107.2363,96.9823,10.6096,0.1292,0.6902,1.7901,8.9626,0.0252,13.6289,0.0063,0.1105,34.8469,11.5127,9.7391,0.0,5.8375,0.3499,0,0.6581,0.5118,3.4876,0.3782,346.451,53.0738,9.7206,127.8482,1.0498,0.0792,0.0,10.2187,0.6291,49.3442,1.8906,180.3589,38.5402,9.4679,2.7472,390.8283,73.5146,2.3566,0.0836,0.1729,0.0
BRN_B09,0.0009,0.0032,6.71,0.9583,0.3026,0.0045,0.0101,0.0119,0.0045,11.9798,0.3105,0.0,0.0018,0.0001,0.0,0.0625,0.004,0.0025,0.006,0,0.015,0.0043,0.061,0.0074,0.4622,0.4975,0.0684,0.0002,0.0378,0.0075,0.0059,0.0065,0.0041,0.0403,0.0269,2.1679,0.2542,0.0752,0.0248,2.6368,0.4926,0.0174,0.0138,0.003,0.0
BRN_C10T12,1.9576,0.0255,2.2043,1.1361,0.1504,2.5379,0.2492,0.0062,0.0158,2.2146,0.0124,0.0,0.0524,0.0026,0.0,0.0907,0.0027,0.123,0.182,0,0.361,0.1112,0.8084,0.1173,2.9461,2.8108,0.025,0.0101,0.3268,0.2636,0.0,4.6354,0.0515,0.2471,0.1968,0.442,0.131,0.6931,0.2144,7.3278,1.9186,0.9484,0.039,0.0614,0.0
BRN_C13T15,0.0136,0.0,2.1637,0.8721,0.1511,0.0947,2.6341,0.0004,0.0008,1.4927,0.0082,0.0,0.0068,0.0004,0.0,0.2222,0.026,0.2972,0.4471,0,1.0316,0.3177,0.0162,0.08,12.4446,1.481,0.0011,0.0124,0.4894,0.0,0.5892,0.0773,0.0042,0.2112,0.0896,0.1444,0.0008,0.2553,0.1454,0.8177,0.941,0.3316,0.0019,0.0048,0.0
BRN_C16,0.0006,0.0,0.2192,0.1787,0.0276,0.0017,0.0103,0.0021,0.0055,0.0134,0.0001,0.0,0.0011,0.0001,0.0,0.0,0.0001,0.0023,0.0033,0,0.0075,0.0025,0.0066,0.0028,0.1851,0.1262,0.0011,0.0,0.0063,0.0087,0.0375,0.0023,0.0019,0.0,0.0104,0.0365,0.0011,0.0544,0.0225,0.0656,0.052,0.0079,0.0013,0.0035,0.0
BRN_C17_18,0.0027,0.0,1.4848,0.6654,0.0996,0.005,0.0428,0.0065,0.0176,0.0509,0.0002,0.0,0.0039,0.0002,0.0,0.0064,0.0089,0.004,0.0116,0,0.0264,0.0061,0.011,0.0204,0.5998,0.4494,0.0034,0.0001,0.0198,0.0006,0.0,0.0103,0.0188,0.1674,0.0477,0.1183,0.0034,0.1704,0.0615,0.2371,0.1826,0.0256,0.0083,0.0113,0.0
BRN_C19,14.2211,1.4043,640.0575,399.3102,37.8164,2.6788,3.4336,0.3221,0.1964,282.0047,3.9169,0.0012,0.4126,0.0209,0.0,0.3345,1.6202,0.0,0.8891,0,3.8414,0.595,84.784,3.3306,164.372,125.2113,18.5954,3.7524,86.9729,21.203,0.0007,7.2438,1.3274,7.8376,7.9425,8.8951,1.3908,29.4599,27.5116,234.1238,18.0628,15.4995,0.7334,1.3406,0.0
BRN_C20,0.2247,0.0,14.6026,6.767,0.8833,0.044,0.3121,0.0041,0.1553,3.5102,0.037,0.0,0.0101,0.0004,0.0,0.0094,0.0253,0.0,0.0132,0,0.0217,0.0109,0.0,0.5907,3.5371,1.5425,0.2278,0.0432,1.0407,0.0,0.1344,0.1675,0.0305,0.0,0.1315,0.3865,0.0519,0.7854,0.7554,3.2227,0.2414,4.1388,0.0128,0.1437,0.0
BRN_C21,0.0,0.0,0.0006,0.0004,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0017,0.0001,0.0091,0.0,0.0,0.0
BRN_C22,0.0719,0.0,0.8743,0.6628,0.1231,0.0367,0.0581,0.0019,0.0023,0.1222,0.0011,0.0,0.5232,0.0269,0.0,0.0271,0.1388,0.0,0.077,0,0.3662,0.0512,0.0,0.0729,1.9426,1.3482,0.0025,0.0004,0.0374,0.0,0.6416,0.0403,0.0113,0.8476,0.0177,0.4594,0.0019,0.0784,0.1372,1.4424,0.2095,0.1629,0.0037,0.0456,0.0
BRN_C23,0.1765,0.0,2.4224,1.6704,0.2802,0.0688,0.0731,0.0046,0.0097,0.3063,0.0015,0.0,1.1956,0.0607,0.0,0.1502,0.3175,0.0,0.1739,0,0.5163,0.1293,0.0007,0.1805,5.8045,3.4588,0.0051,0.001,0.0865,0.0001,0.0,0.109,0.0214,4.3278,0.0475,1.1139,0.01,0.2621,0.3488,3.4784,0.5068,0.4072,0.0136,0.038,0.0
BRN_C24,0.0009,0.0,0.8083,0.2711,0.0549,0.0016,0.0059,0.0007,0.0017,0.0,0.0002,0.0,0.0014,0.0001,0.0,0.0097,0.0095,0.0044,0.0042,0,0.004,0.0019,0.0,0.0096,0.2972,0.1114,0.0003,0.0,0.0064,0.0029,0.0,0.0028,0.0007,0.0414,0.0015,0.0079,0.0007,0.0075,0.0012,0.0126,0.0157,0.0083,0.0003,0.0057,0.0
