V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_A01_02,1041.2025,1.1584,3.0613,6.371,0.9812,2883.2712,108.8024,741.5571,95.3409,4.6399,19.8174,15.5045,15.8168,2.5343,9.1813,3.3515,6.7612,2.0633,4.9321,23.6524,3.2585,19.7677,113.6458,9.0113,17.9667,280.9374,10.7723,0.1441,0.659,3.6111,0.1909,246.403,3.2312,1.2736,0.8796,3.4764,17.0933,25.1703,31.5387,3.3207,1.9177,17.3344,30.5335,5.4958,0.0
CZE_A03,1.4206,0.1938,0.005,0.0059,0.0004,8.8021,0.1651,0.0185,0.0184,0.009,0.056,0.03,0.06,0.0184,0.0138,0.0304,0.0722,0.1698,0.0812,0.0979,0.0076,0.0506,0.17,0.0943,0.1084,0.6373,0.0909,0.0006,0.0051,0.0408,0.0018,0.4255,0.0424,0.0106,0.067,0.0424,0.1448,0.3317,0.1518,0.1802,0.0984,0.1425,0.1737,0.6428,0.0
CZE_B05_06,6.9885,0.0671,7.3164,2.0022,2.1377,8.1784,2.1603,1.3962,6.4317,53.0168,27.9569,0.6213,3.8166,16.9485,196.4836,3.6489,4.1963,1.819,6.0479,8.3403,0.4006,1.6845,615.993,1.5915,4.394,10.3707,9.3556,0.0381,0.4014,10.6213,0.4209,2.069,0.7763,0.6728,0.7255,1.4437,13.2819,5.672,3.5103,9.2862,6.5966,5.348,1.6563,1.3455,0.0
CZE_B07_08,6.9728,0.1993,0.8153,29.4246,0.0682,4.7436,0.7331,0.5031,1.0078,0.4614,20.2513,0.3,3.091,104.3354,109.7159,3.5796,3.0686,4.0859,4.8827,3.855,1.014,2.5527,6.1832,14.0289,182.9612,8.4443,4.7764,0.053,0.059,5.559,0.0898,0.5442,0.1966,0.0933,0.1071,0.3038,4.9751,5.7316,5.0157,1.9091,0.487,1.2265,0.7441,0.7038,0.0
CZE_B09,25.0663,0.1966,10.4323,0.1135,12.6965,0.3294,0.049,0.1448,0.1382,1.346,2.075,0.1763,0.9389,1.0578,17.6161,0.5066,0.0969,0.1822,0.3582,1.6103,0.0604,0.2587,18.8167,0.0398,1.3226,0.6211,5.5011,0.0044,0.0533,1.2715,0.0191,0.0937,0.0103,0.0116,0.007,0.0179,0.2029,20.3336,2.2094,0.1097,0.1288,0.3859,0.0395,0.0656,0.0
CZE_C10T12,674.8562,1.9561,1.8263,1.4235,0.1215,1112.0538,13.1904,6.8138,9.6134,2.7766,50.1059,7.1907,61.659,11.2783,11.0606,21.7216,26.56,14.3907,21.2638,53.9424,2.7019,13.5148,20.1195,8.2365,18.1449,177.7337,15.569,0.4083,3.6267,7.2375,0.6044,500.9848,5.8553,2.3021,5.5996,8.1464,35.7004,30.4883,38.6005,36.0104,34.8087,64.5257,13.1202,12.9096,0.0
CZE_C13T15,22.9037,0.1121,3.7413,0.7546,0.0877,9.4533,276.2623,1.9885,10.7202,0.6424,12.0634,31.8559,70.2368,4.4504,3.556,16.223,11.4876,13.2585,25.6334,343.4482,5.4246,44.137,15.5567,7.7403,16.3447,72.3287,11.1823,0.0933,0.2233,2.1588,1.1502,9.1102,12.0108,0.5797,1.6671,2.1106,16.8228,15.5972,30.0875,8.5805,3.504,48.4117,12.7472,7.8472,0.0
CZE_C16,48.4337,0.0632,5.0016,2.3456,0.0648,13.2474,1.4496,561.4689,121.7053,0.8211,7.8183,0.7303,31.0202,35.506,111.1082,29.7068,18.2157,8.05,22.767,258.3137,4.7263,267.3613,33.0863,11.6962,127.7149,60.2878,6.1882,0.0419,0.4527,10.2936,1.2718,15.8994,8.7265,1.5338,7.4442,3.6437,352.6821,36.1637,17.0404,2.2459,6.1986,9.1369,3.6195,10.4263,0.0
CZE_C17_18,8.3366,0.0709,0.5989,1.069,0.0709,92.3113,12.6997,25.6295,794.6872,0.5582,29.8297,18.6028,37.2646,25.401,12.2468,18.2453,33.6265,22.9971,24.7758,61.9016,1.1758,36.1338,17.9628,6.1671,19.9799,121.8486,7.2201,0.4778,0.7304,12.3818,2.3237,26.8241,285.9831,1.9719,8.1763,87.5078,45.623,439.2558,104.6499,27.3905,44.5354,27.9414,21.4797,30.8751,0.0
CZE_C19,143.4831,0.1655,1.9856,1.9183,0.653,13.7144,4.9226,17.5592,6.0757,12.7765,130.3048,1.0356,34.423,26.3409,21.5727,30.2848,6.7881,11.1433,25.883,79.7596,1.5041,23.7217,15.5747,46.0197,172.0785,293.8759,591.0054,3.8018,81.3718,22.0473,7.8429,5.6382,2.7926,4.7454,7.5208,14.0182,67.2042,33.7211,45.5423,42.0088,5.5168,14.1686,6.7996,6.6059,0.0
CZE_C20,140.6761,0.4641,8.4981,10.0261,0.6558,51.9872,64.7269,49.644,57.9632,25.9282,480.6338,27.3763,761.8513,70.2205,37.6739,56.9774,90.1034,109.9617,68.9073,184.843,6.3019,76.439,53.0435,17.2841,44.7199,73.5061,52.3691,0.4273,7.0633,21.3302,1.0884,3.6789,2.2944,1.0108,1.538,3.2101,37.3065,29.9168,20.6741,10.8444,6.8152,31.6509,2.7521,9.5507,0.0
CZE_C21,9.4001,0.0305,0.3302,0.2187,0.0156,8.2941,2.7828,1.0863,3.7075,0.4106,7.5141,68.4456,14.7997,1.7615,1.3727,3.248,4.4996,2.846,3.3518,26.5434,0.7546,2.4137,1.6537,2.5757,3.5439,40.637,1.3181,0.0211,0.1669,0.5143,0.0696,1.842,0.9024,0.2525,0.6942,1.3319,4.1386,30.4061,3.9866,4.1739,0.8358,373.8386,3.015,6.6251,0.0
CZE_C22,25.0986,0.1355,10.5737,8.604,0.7563,70.4353,16.6036,13.3659,21.3222,0.8479,14.5982,8.1772,748.2435,33.5854,18.8124,271.6711,299.2742,123.9603,121.4396,1920.5643,74.8942,98.6883,10.3098,12.7234,176.1221,94.4266,27.7406,0.0535,0.5234,4.405,0.3081,6.572,1.8618,0.8383,1.6889,2.4455,165.477,38.2843,17.2126,3.9519,2.2269,9.4881,3.0248,3.4454,0.0
CZE_C23,13.7285,0.1767,2.9905,7.5194,0.9035,50.3661,36.8486,25.1996,4.8977,2.0666,25.3161,5.6566,20.9504,700.5774,38.9405,52.3014,151.4779,26.092,39.6408,100.8979,4.7786,38.6201,9.8887,11.6257,909.9896,29.6371,6.2622,0.201,0.4748,8.0234,0.3034,6.5416,2.5271,1.0338,4.2383,2.7772,336.4971,30.3073,12.0653,3.7694,3.0168,5.3225,2.8154,2.3916,0.0
CZE_C24,7.3382,2.8744,1.464,1.3568,0.1252,3.0698,0.4423,2.2677,1.2914,0.3278,2.9844,0.0094,18.8196,16.8033,629.6876,775.614,101.2605,498.2591,849.2398,694.4316,58.9899,98.6729,39.0316,111.5555,161.8435,24.6375,0.363,0.6346,0.0653,0.5249,0.0306,0.4051,0.5692,0.0162,0.4985,0.0549,6.3805,10.4625,2.7697,0.155,1.0996,0.0366,0.346,0.6882,0.0
CZE_C25,22.8253,0.1832,39.985,9.013,0.5878,48.5154,23.1491,68.8945,36.9597,5.9441,47.2866,11.5738,103.6945,62.6391,346.8704,2107.9291,222.8926,260.2698,1233.1551,964.8315,37.1284,251.6286,20.9274,17.8837,375.5316,123.6249,35.4224,0.1858,1.9667,18.4067,1.2229,5.2127,2.5888,2.0282,2.0634,3.1247,114.2342,85.865,22.0481,28.795,3.8045,17.0797,5.9445,6.1635,0.0
CZE_C26,8.777,0.1299,9.7246,2.3421,0.1517,4.9938,1.7576,3.6942,3.9496,1.0964,8.5038,1.5179,21.0065,8.261,3.3422,13.2798,379.7041,217.9706,88.6479,174.0141,166.0257,45.734,82.8611,16.9341,289.8172,50.2873,15.678,0.1837,0.6248,26.7035,11.5031,96.1683,3.674,270.1353,32.5635,66.8026,13.7527,139.9599,5.0175,24.3101,44.2986,32.1332,6.5717,12.7824,0.0
CZE_C27,22.7075,0.1789,10.7914,2.0971,0.4744,16.8606,6.0302,5.2376,8.1232,6.0622,8.1634,4.4987,53.318,11.4933,13.1818,75.5752,169.2282,575.057,196.7485,1068.9839,34.8916,156.4965,148.1549,8.3758,374.1045,132.1131,21.705,0.3228,5.1356,11.6389,2.8656,12.7134,1.6818,9.6002,10.9695,8.4448,120.8396,37.3158,33.6866,27.5428,6.347,12.4989,7.7932,3.9242,0.0
CZE_C28,94.6043,2.0603,51.9111,4.3675,1.9589,27.2698,10.1841,13.7585,17.1394,8.9058,47.5616,4.6952,40.8871,105.2083,24.396,138.3652,36.8757,78.9008,249.09,299.4897,51.9484,134.8141,112.3482,26.9634,267.2465,142.2305,19.7496,0.4281,6.8164,18.129,1.1084,9.0111,3.9382,4.4341,4.3496,4.1466,79.5934,53.5356,25.5491,13.0096,6.3088,15.0166,15.9254,20.7747,0.0
CZE_C29,51.0646,0.3239,3.1673,2.6217,0.2849,11.5121,11.4265,4.4108,2.4596,1.8147,5.4133,4.2205,150.5691,47.6327,69.5254,63.5242,20.624,691.4933,127.6227,8126.793,29.6396,29.0663,25.899,40.5796,170.6242,882.2292,386.108,0.241,0.6845,6.7161,2.464,2.8918,1.8773,3.6187,12.0062,14.5451,31.4837,57.6181,49.8239,9.236,4.8111,12.387,7.6671,6.8109,0.0
