V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_A01_02,2584.83,0.5681,16.7823,33.7046,0.234,21975.8602,69.8164,2644.6183,168.7183,23.4263,84.4238,21.0216,274.8446,26.6251,37.2583,60.6185,17.1947,18.4335,56.8407,140.7209,21.3091,228.8234,277.7284,42.41,322.0227,592.6624,60.9864,27.3378,3.8252,49.148,8.9576,395.7829,12.3974,19.4467,12.3373,37.0953,702.7328,70.5224,666.5809,466.0385,53.6254,311.4301,27.5548,109.3844,0.0
DEU_A03,0.0,15.2416,0.0,0.0,0.0001,162.3608,0.0,0.0,0.4409,0.0,0.6289,0.1348,0.0,0.0,0.0,0.0,0.0,0.4064,0.5006,0.4692,0.0,2.1544,0.0,0.0,0.4397,2.8598,0.0,0.936,0.0,0.0,0.0,57.8262,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.5648,0.0,17.5808,1.6312,0.0053,0.0
DEU_B05_06,11.0187,0.0605,53.7898,12.9448,0.4385,78.9615,7.8171,4.0487,40.7658,641.2538,99.6398,7.2765,14.6641,58.8442,236.0885,21.2492,5.8536,8.4083,46.9683,23.1961,4.7694,9.396,1509.9771,11.5216,17.3272,76.8593,17.1092,6.4662,5.6753,9.5029,3.1459,16.2201,3.5762,4.6035,2.3081,9.6902,5.9177,15.9551,13.6924,30.1309,8.5125,44.0459,4.0388,6.8556,0.0
DEU_B07_08,78.5459,1.8464,1.1578,207.4243,4.6828,55.217,4.0752,13.5732,20.8249,13.7105,96.0363,14.2633,11.3154,1078.0452,245.7935,14.9367,13.0141,13.9701,42.0103,40.6864,6.8754,39.4186,83.1328,9.8598,1678.8505,37.0733,7.5132,0.6803,0.7768,3.8327,0.9929,14.4849,2.1385,3.0303,0.3874,0.6784,3.0841,9.9929,13.9977,190.4061,1.4649,39.8347,2.9956,4.1571,0.0
DEU_B09,0.197,0.0027,2.9393,2.3819,0.7406,0.3927,0.0082,0.0244,0.6271,19.7645,1.8451,0.0817,0.2034,3.6896,7.2617,0.9349,0.0197,0.066,0.626,0.0556,0.0313,0.0887,8.4105,0.2694,13.0079,0.3531,0.585,0.0511,0.0503,0.5238,0.0027,0.0321,0.0022,0.0,0.0026,0.0012,0.7955,0.7511,0.3408,0.425,0.0156,0.1402,0.0398,0.0475,0.0
DEU_C10T12,3304.3652,0.1284,6.2542,13.7576,0.2535,24513.2571,48.1625,13.1726,41.3491,39.8373,1442.5019,571.568,44.5064,22.6515,41.9652,29.4797,26.4497,24.9299,60.2571,52.4654,10.2601,60.1298,25.8596,5.2068,217.655,123.1361,7.6455,473.5781,127.0458,4.9137,2.6008,12180.3957,32.7469,4.7717,4.3678,10.0508,2.8473,37.9678,28.2993,3108.5357,693.1796,7495.4287,113.0321,243.1516,0.0
DEU_C13T15,44.6396,13.7832,1.0835,1.7404,0.2546,56.5203,1355.3888,8.8891,26.2659,11.5748,30.0579,42.1616,525.8642,10.9788,13.3093,72.5635,56.8295,63.1523,150.2993,663.6662,44.074,436.6322,16.2892,8.9689,255.9987,108.4475,9.2731,5.5648,3.2559,10.9353,23.7668,116.8312,14.2726,5.5268,40.0274,24.6725,5.6755,30.4424,119.1774,55.1691,28.8466,132.1297,45.8923,50.9902,0.0
DEU_C16,61.2525,0.6197,17.4588,29.582,0.3133,213.336,33.6006,4522.55,264.3385,14.3081,234.5717,43.0855,76.3358,96.8324,81.4182,290.9411,115.6018,96.7648,372.3667,390.8467,425.8427,2154.4482,149.0392,59.245,4380.4738,243.9649,15.8049,2.5635,2.3273,49.0922,6.6036,69.1695,9.8503,36.297,6.7615,20.9368,104.5799,143.6182,305.6413,145.8297,140.177,73.9974,47.3917,739.5803,0.0
DEU_C17_18,58.4672,2.9855,8.5132,77.1831,0.4358,2544.2655,349.7463,121.9369,10420.7293,50.1596,1194.0818,942.1543,473.3779,250.9669,116.659,409.6372,542.7505,576.141,623.9534,682.6029,69.3845,648.3261,137.7367,113.5808,585.6645,4586.4093,118.4322,14.913,17.2892,104.5396,316.3195,120.8709,3852.9264,443.822,167.9762,949.2909,113.1338,2371.4795,1561.9839,788.2108,307.5323,858.2295,144.07,276.0487,0.0
DEU_C19,997.0936,5.4307,20.3913,130.3104,9.4428,287.3557,67.2372,80.3077,125.1049,2871.6766,2578.0038,201.6947,266.9426,484.9129,679.7005,164.7277,103.9549,181.1992,263.2941,451.2983,48.4071,140.1943,982.2583,336.4887,1750.9201,2432.7019,1730.8772,1074.0432,2833.0271,2103.4418,388.1388,153.9953,115.601,82.4764,109.6196,79.6337,75.017,639.7408,536.503,534.2562,127.7371,298.6665,109.3431,260.6851,0.0
