V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_A01_02,1928.1295,15.7963,0.9691,5.0117,0.1908,22968.4847,500.6719,133.4719,383.8359,24.7477,544.686,205.496,293.8107,28.5802,42.2254,55.1356,10.9142,28.0552,35.6841,115.4826,30.5282,83.1391,106.1726,38.7952,129.8077,732.219,36.0741,5.7463,11.068,47.7372,7.1594,716.3699,65.0638,51.5604,22.383,52.8187,21.6223,161.1116,244.9664,191.5443,128.0381,188.4588,309.2765,30.1605,0.0
ESP_A03,0.3227,28.0232,0.0658,0.1263,0.0111,139.5543,0.2257,0.1432,0.368,0.175,0.8212,1.1951,0.306,0.3819,0.5533,0.7984,0.0525,0.3049,0.208,0.9521,0.0972,1.1465,0.779,1.2,1.6621,6.2141,1.8706,0.3699,2.3512,1.1176,0.1101,4.4211,0.9111,1.2459,0.6062,0.8556,0.3711,1.1815,3.0207,6.6257,16.8579,13.9832,1.2571,0.9185,0.0
ESP_B05_06,2.0392,0.6231,0.1816,0.7749,0.0873,1.0608,0.1927,0.3361,0.3592,146.8631,5.6597,0.0452,0.8306,1.3259,18.3712,0.3196,0.0807,0.5644,0.1967,2.4769,0.0663,0.5022,235.1275,1.877,6.6719,6.4809,18.2649,0.347,4.2319,1.1314,0.1765,0.7641,0.5684,0.1357,0.1634,0.8908,0.5538,1.0144,1.6958,2.0469,1.102,0.6781,0.9446,0.2812,0.0
ESP_B07_08,2.7479,3.1241,0.6251,40.4295,2.1049,64.24,2.6217,1.0055,62.3355,0.3649,162.098,7.1295,1.4056,734.4884,429.2644,53.842,1.2135,94.1437,8.6253,45.2623,0.5383,11.7488,1.3537,44.1459,596.9725,70.403,0.9594,0.0163,0.1423,2.8567,0.0154,25.0124,0.5141,9.5522,7.8708,0.7418,0.5419,8.3242,1.3732,12.8036,0.4095,2.335,4.4431,0.9599,0.0
ESP_B09,0.2362,0.0237,0.4687,1.5525,0.3299,0.2737,0.0099,0.0076,0.2313,10.466,0.6312,0.02,0.0615,1.6477,3.1027,0.3219,0.0013,0.0139,0.0624,0.0122,0.0143,0.0304,4.5788,0.2464,7.2084,0.1952,0.3133,0.004,0.0202,0.1886,0.0004,0.0491,0.001,0.0,0.0009,0.0004,0.264,0.3098,0.1121,0.1499,0.0055,0.0588,0.0269,0.0182,0.0
ESP_C10T12,7163.552,156.5905,7.6717,31.463,0.451,19976.2297,148.0304,17.9698,108.4042,44.5964,391.5173,361.7465,84.9813,63.7212,57.9981,77.9852,14.2863,50.1927,56.7114,169.7665,109.3147,95.974,556.0168,203.8072,308.4648,2939.3647,146.6836,5.9411,54.1972,179.1229,8.3252,15994.4512,65.4278,137.3785,268.3157,249.9576,151.3206,483.2335,434.6404,566.7108,397.6037,1032.4569,169.6947,69.1191,0.0
ESP_C13T15,12.9145,23.8161,0.6866,0.8059,0.1324,77.1184,2342.7542,8.3762,76.0474,2.4074,77.3161,44.9306,163.6547,19.3335,20.8457,41.4124,4.8345,19.5077,16.0447,371.5379,5.5184,189.6638,17.4394,29.4332,125.304,206.4707,16.7237,0.791,16.3117,42.4265,1.4853,373.9069,33.07,3.3199,3.933,12.3354,8.8078,179.9147,72.9483,81.8673,21.8205,97.1123,33.998,58.0676,0.0
ESP_C16,30.006,10.0229,7.2663,15.7582,0.1221,211.678,14.4652,1418.6049,93.9907,2.6221,40.0387,21.6353,59.5392,93.1209,128.158,120.4795,4.0059,47.6944,97.4969,63.1823,7.2409,478.4521,22.4316,13.1363,863.527,151.575,81.9267,0.8755,3.8352,60.2397,0.5332,140.1863,6.7168,14.0794,13.3972,16.1289,11.8973,41.801,76.9961,25.4178,27.033,68.8171,12.8664,21.7116,0.0
ESP_C17_18,22.5788,0.8303,0.7996,5.6293,0.195,1612.0793,171.7376,157.1598,3680.5979,7.7783,492.9404,504.0948,246.6623,164.9303,95.9063,235.1869,14.9133,119.1887,125.9005,121.1043,19.9804,384.1035,270.5797,165.2477,60.5868,882.3162,23.0695,1.6454,10.7499,41.5827,6.0005,321.213,340.9139,61.0518,632.48,474.235,33.9811,1114.648,213.3925,193.2105,183.2739,134.1205,68.0917,98.7978,0.0
ESP_C19,384.1049,106.529,11.4101,63.0773,4.9781,168.519,36.8781,58.7546,73.1059,725.8071,793.9472,46.6858,193.0768,148.2196,172.4641,62.9434,5.95,101.5479,34.64,92.6964,12.0598,87.2438,1516.7836,322.3959,774.1469,903.011,3110.6555,59.5788,719.574,196.7295,29.3822,75.3158,27.2796,17.3996,19.2167,132.2389,31.2722,163.8613,103.278,272.6588,174.1569,137.8613,42.2506,48.8722,0.0
