V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1901.1641,4.7369,0.097,0.2752,0.0792,3035.6493,7.3803,108.983,9.4394,6.7004,127.1892,11.3153,50.5803,4.488,2.9324,7.2349,4.7812,4.0139,9.446,22.1293,0.5692,14.8541,35.9387,10.9189,48.7031,569.2198,14.1131,0.5613,3.3357,12.0226,0.9453,106.1223,8.9828,3.727,1.6867,2.822,23.8015,18.5095,37.8991,18.6923,4.98,19.5988,5.3968,12.4594,0.0
HUN_A03,0.9144,3.0991,0.0001,0.0005,0.0002,1.6077,0.0055,0.0014,0.0035,0.0115,0.0345,0.0361,0.0175,0.0034,0.003,0.0104,0.012,0.0071,0.0161,0.0886,0.0008,0.009,0.0204,0.0119,0.1988,0.2417,0.0194,0.0114,0.0007,0.0392,0.0009,5.6988,0.0339,0.0118,0.0177,0.0177,0.1065,0.0772,0.1012,0.0852,0.0135,0.0354,0.2235,0.0344,0.0
HUN_B05_06,0.3333,0.001,0.0058,0.0078,0.0009,0.3436,0.0313,0.0164,0.0994,9.3536,0.8853,0.1085,0.0862,0.2924,0.4414,0.0809,0.0551,0.0515,0.1117,0.227,0.0193,0.0289,2.9079,0.1171,0.9225,0.8647,0.1773,0.002,0.0021,0.2718,0.0172,0.2765,0.0305,0.0353,0.0256,0.0551,0.477,0.2176,0.1356,0.9849,0.3958,0.4995,0.2551,0.0776,0.0
HUN_B07_08,6.8787,0.0165,0.0636,0.1958,0.2027,1.5799,0.5786,0.7425,1.8218,0.2004,11.4421,0.3557,2.5406,29.45,3.9026,1.0017,0.8576,2.7415,2.3718,3.5866,0.1514,1.6421,1.124,1.2242,41.492,4.2187,1.1484,0.0721,0.0076,0.8613,0.0075,0.1571,0.0611,0.0425,0.6029,0.0164,13.5162,3.5504,0.8348,2.3595,1.7625,1.447,1.6847,1.7194,0.0
HUN_B09,0.2526,0.0005,0.6262,0.0163,0.2622,0.2552,0.0211,0.1408,0.0898,27.6981,0.6982,0.1135,0.5022,0.2529,0.9246,0.0814,0.086,0.0846,0.4524,1.2904,0.0389,0.5333,2.6332,0.1674,3.0801,0.7845,0.1746,0.0041,0.0198,0.1169,0.0131,0.1911,0.053,0.0276,0.0427,0.0486,0.1746,0.5416,0.2471,0.3763,0.1956,0.5375,0.2591,0.0685,0.0
HUN_C10T12,547.2078,1.7815,0.0667,0.1357,0.1049,903.0079,4.3024,2.0693,11.0339,7.5931,96.2939,14.6935,13.5296,3.8789,3.6311,5.624,4.4161,4.6791,6.4707,18.0387,0.5722,7.5558,9.5897,6.4757,10.9966,137.17,5.7855,1.1155,4.2957,2.7055,0.469,849.9645,5.5718,1.1888,1.8102,2.9023,11.7933,24.1461,32.5353,16.0947,4.1124,78.1906,8.5358,8.0204,0.0
HUN_C13T15,2.0001,0.0146,0.0492,0.0654,0.0264,3.6469,130.6022,0.445,4.2602,0.3491,1.1377,1.4108,26.5798,2.4622,1.0208,1.4369,4.7354,3.7004,7.1009,63.3376,0.3069,25.4961,1.0221,2.2736,9.6484,13.7878,2.4762,0.1074,0.1745,3.0628,0.5289,2.3655,0.375,0.5296,0.9431,0.6809,1.61,4.0687,3.9737,3.656,1.0916,7.4679,8.3581,14.0871,0.0
HUN_C16,17.6664,0.0229,0.019,0.0685,0.0217,10.8658,1.6666,101.3853,2.495,0.6477,9.5282,0.7752,8.19,11.8986,2.5861,13.6907,2.7311,8.957,10.2865,24.099,0.5674,71.236,37.9119,1.8994,119.1728,38.1554,5.8685,0.2358,0.5912,1.6691,0.141,1.1868,0.2426,0.8971,0.2746,0.3932,13.8431,9.8566,5.7869,1.8723,0.7551,2.3269,1.4712,4.4135,0.0
HUN_C17_18,12.5087,0.035,0.0294,0.1593,0.0125,109.4783,3.7058,7.1567,387.0504,0.7283,39.0005,25.3333,34.4162,9.6495,2.1268,8.2322,14.4881,23.6731,10.8281,15.3586,1.0143,19.0111,1.364,1.8613,5.2586,233.9453,8.3039,0.3682,0.4186,4.4579,4.9292,7.5762,166.1866,2.369,6.7493,51.9083,41.283,35.2683,32.0557,60.9374,19.9709,7.0122,16.0385,9.3181,0.0
HUN_C19,184.2291,1.1886,0.421,2.9977,1.6554,38.1914,3.8413,5.3931,7.7652,219.49,320.8161,11.2521,28.8665,34.4381,46.1271,11.824,5.4907,11.5098,13.6171,27.5213,1.0446,11.2151,43.5897,32.3465,87.4579,217.7386,680.4688,24.7098,167.157,67.0066,6.2321,9.6107,2.3101,4.9531,5.2448,12.8759,25.2783,37.3617,41.2993,31.8424,10.8524,28.444,12.9064,18.6952,0.0
