V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_A01_02,41.2282,0.0,0.0008,0.0,0.0,250.8585,1.2797,1.9752,0.0,0.0,0.0,0.0,0.3916,0.0,0.2597,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,1.053,0.0,0.0,0.0,0.0
ISL_A03,0.0,31.4557,0.0,0.0,0.0,626.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B05_06,0.0,0.0,0.0046,0.0,0.0001,0.0011,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0099,0.1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,2.4946,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B07_08,0.0,0.0,0.0146,3.5686,0.003,1.723,0.0,0.0,0.0,0.0015,0.0599,0.1504,0.0,3.0687,8.0906,0.0,0.0,0.0,0.0,0.0,0.0,0.0391,0.0,0.8186,17.9224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B09,0.0004,0.0019,0.001,0.0023,0.0001,0.0013,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0041,0.0588,0.0005,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0197,0.0003,0.0365,0.0004,0.0004,0.0001,0.0006,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,0.0014,0.001,0.0001,0.0004,0.0,0.0003,0.0002,0.0001,0.0
ISL_C10T12,54.775,13.1148,0.0031,0.1395,0.0001,287.1359,0.4743,0.136,0.4393,0.0002,0.2438,0.6106,0.2472,1.0183,5.4136,0.8938,0.0731,0.5566,1.0602,0.0399,0.0435,0.9152,2.6884,0.3898,12.8035,9.6224,1.3324,2.1051,9.6675,1.6412,0.3454,169.5548,2.0322,1.8965,2.1611,5.1134,7.27,6.4679,5.1461,6.3401,4.8144,14.3924,1.6659,2.125,0.0
ISL_C13T15,0.3871,16.599,0.0007,0.0044,0.0,0.664,5.5904,0.0009,0.0029,0.0,0.0017,0.0042,0.0221,0.061,0.6224,0.0428,0.0005,0.0038,0.0154,0.02,0.0183,1.4576,0.0168,0.0182,0.542,0.0497,0.0079,0.0136,0.0606,0.0101,0.0021,3.1419,0.0095,0.0117,0.0002,0.2029,0.0001,0.0208,0.2025,0.1887,0.0,0.9785,0.4412,0.0633,0.0
ISL_C16,0.0,0.0,0.0004,0.0,0.0,0.0064,0.0,1.1397,0.0,0.0,0.0,0.0,0.0,0.0,0.0294,0.0,0.0313,0.0,0.0,0.0189,0.0062,3.4088,0.0,0.0293,16.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745,0.0,0.0,0.0325,0.0
ISL_C17_18,0.1525,0.0588,0.001,0.0008,0.0,1.3215,0.0173,0.0102,11.0727,0.0,0.0398,0.104,0.0071,0.0092,0.017,0.1092,0.0068,0.0339,0.0259,0.0023,0.0014,0.1646,0.279,0.0848,0.1424,3.5032,0.1174,0.1584,0.48,0.124,0.2964,0.5988,12.6939,0.2191,1.3369,3.871,6.0601,1.4706,1.8074,8.4497,49.7855,0.3054,4.9583,0.6417,0.0
ISL_C19,0.0066,0.0557,0.0001,0.0023,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0015,0.0153,0.0009,0.0,0.0004,0.0014,0.0001,0.0,0.002,0.0069,0.0078,0.009,0.0146,0.0297,0.0591,0.1766,0.0106,0.0019,0.0033,0.0016,0.0043,0.0005,0.0012,0.0009,0.0018,0.016,0.0043,0.0004,0.0026,0.0002,0.0016,0.0
