V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_A01_02,9618.4746,3.0697,0.268,1.9372,0.184,35225.0816,106.9796,1800.7655,27.0725,1.7527,205.4974,83.1387,572.8611,7.2523,14.0223,12.0882,34.6596,20.1895,30.4903,9.9706,4.7151,123.6355,7.8865,7.0004,346.5246,2086.4114,11.4505,12.0184,1.4528,24.8716,6.3624,6925.5325,13.8023,7.9116,9.3355,53.0529,14.2289,114.0705,70.7482,34.2717,264.2386,1113.5281,219.2681,202.5887,0
JPN_A03,2.0392,414.1886,0.0326,0.3983,0.0003,6076.5017,0.4772,0.0807,1.6818,0.3645,6.7164,4.6128,5.2713,0.6667,2.2839,0.5292,12.0613,3.4987,3.8469,4.2845,0.8088,416.637,1.8669,1.3849,11.4129,63.263,4.951,4.9587,0.3483,4.5042,1.4638,1589.0144,3.421,1.8624,5.9449,12.7733,3.4731,5.2926,2.5949,5.0137,9.9948,249.4624,7.3115,22.4077,0
JPN_B05_06,0.6871,0.0372,0.0276,0.031,0.2901,3.3602,0.5467,0.1242,6.5464,514.2041,11.1792,0.3581,0.9567,8.219,10.4141,0.3314,0.4938,1.0023,0.9023,1.0621,0.1718,0.331,432.6419,0.2058,6.3067,1.8858,0.5503,0.0858,0.0732,0.1112,0.0086,1.2521,0.0531,0.1143,0.0963,0.1701,0.1753,0.3908,0.2284,0.4512,0.2459,0.587,0.2154,0.2472,0
JPN_B07_08,0.5537,0.0004,0.0,13.1223,4.3438,1.2452,2.6927,0.1556,19.9405,19.7758,91.1049,6.0244,10.5052,442.1562,3238.1474,6.8658,97.9852,20.7312,6.495,1.9918,0.2697,16.8028,0.0266,0.0002,35.0444,0.6099,1.8189,0.0,0.0,0.0,0.0,0.0,0.0285,0.2335,0.0,0.0002,0.0011,15.1115,0.0,0.17,0.0013,0.0133,1.2119,1.3173,0
JPN_B09,4.672,1.1291,5.6,19.9473,29.1716,8.2462,0.1051,0.2448,10.7613,325.1544,25.9268,0.7237,3.1118,42.1416,250.3564,7.6086,0.5449,1.2246,8.165,0.71,0.3908,0.5521,121.9773,9.1478,253.6275,7.5412,12.2928,0.4383,0.4292,3.4879,0.0073,1.4744,0.0276,0.0,0.0465,0.0159,12.9065,9.891,3.6142,6.4703,0.1521,2.7536,0.6187,0.3363,0
JPN_C10T12,4500.4405,539.9175,0.9489,10.9625,0.3535,27726.876,118.7935,19.5508,124.8139,12.9499,586.3132,179.7325,61.8685,35.0906,61.2401,44.9112,102.0641,75.9772,133.5529,72.5272,21.2477,108.6323,50.7333,49.9497,315.1518,3090.7127,103.1517,114.4275,9.1074,153.1071,39.0918,37608.4091,60.1594,228.7909,130.4692,280.7214,131.0453,284.7715,166.7648,222.8241,546.4062,2850.4733,168.3365,352.4314,0
JPN_C13T15,124.445,251.6316,0.8097,3.7782,0.8811,297.8778,5465.7958,20.763,423.6863,3.7286,54.1249,17.2494,648.6683,198.0014,58.1222,44.9974,118.1289,182.9008,206.7779,331.7837,72.7433,1011.3956,25.0134,31.9966,691.338,1034.4405,137.4707,243.5379,11.5825,131.7061,24.6388,198.8581,51.5849,143.8571,155.3363,176.5472,22.8209,303.9903,225.0227,322.9736,70.437,508.7187,384.1787,295.4943,0
JPN_C16,117.3149,15.1787,0.2909,0.2448,0.7258,99.701,7.0942,2253.2211,1430.7164,0.2477,30.542,4.7676,45.6992,130.9395,59.4622,28.1784,43.6944,25.7947,67.3588,57.8358,56.5859,2406.5985,190.8857,0.9364,10932.4238,506.6138,4.2338,2.6793,0.2145,429.3124,1.506,184.3818,10.7374,6.5421,4.5365,25.8871,2.6123,44.9722,30.5575,12.025,6.5515,13.5995,49.5706,39.9931,0
JPN_C17_18,2728.6655,35.1462,1.1318,10.9903,1.4342,7145.0414,221.4787,261.5985,24502.3582,19.5979,2012.1348,934.2437,892.4033,753.3155,244.8368,439.8745,1579.5916,1446.5662,1142.2499,528.9635,190.5213,1703.6004,340.7222,271.6129,1917.749,11097.3885,760.7703,284.8593,51.3059,2077.498,372.9437,1352.1921,6600.6738,2072.105,3025.1256,6487.717,288.0969,5025.6722,1716.3209,3575.2993,2576.2427,4369.2906,676.5242,833.7363,0
JPN_C19,1716.3699,467.3901,11.3529,323.1904,54.4134,1143.8119,173.3188,105.222,341.9142,4396.355,7524.8899,738.4709,225.2107,716.9868,1925.9348,325.4147,165.3812,114.6586,373.7056,10.1556,127.6877,422.4467,5538.3683,457.6592,7149.7151,8328.3704,8134.498,4787.9164,3965.0726,484.1655,133.0495,1239.4672,295.4901,251.9936,642.188,726.619,626.3919,2814.9631,3146.5182,3345.9356,607.8268,1427.9552,1115.0198,908.8953,0
JPN_C20,5255.2164,100.8596,2.1374,113.3803,29.2276,2222.2286,906.9337,678.151,3032.9502,634.8994,36255.5512,4503.3411,14666.0782,1211.3838,1459.6493,667.5484,1709.5552,1807.805,1788.4594,3440.368,534.1011,1977.444,140.3194,610.1337,2826.9975,23206.4242,162.0483,78.7426,9.43,160.7361,42.6583,907.3465,442.5785,68.2787,252.862,195.9335,89.0821,1725.4419,827.3274,253.296,120.9868,6784.6144,389.6616,1643.7886,0
JPN_C21,411.6947,33.8221,0.0939,9.0453,0.2155,399.3148,35.7724,47.0724,135.2921,51.0605,1852.1004,10331.6236,466.7419,54.9958,26.7419,44.4427,124.8972,82.3492,142.5256,165.1475,2.5797,192.2371,3.3305,35.6039,123.0865,2967.9258,14.009,13.4934,1.8085,14.0311,10.3982,99.8317,13.0778,11.7634,42.2556,33.0632,5.9761,377.6426,150.44,124.0721,35.1713,27619.8506,52.1394,91.6968,0
JPN_C22,905.8625,194.5336,5.4761,32.2699,7.8929,5293.8095,408.0873,183.5555,2924.1071,19.6994,2235.6451,757.7097,17675.3266,344.7569,546.1119,302.2835,4886.9396,3584.3421,4474.8192,12755.2069,758.138,4305.3847,5.384,1492.0125,6302.1915,9177.893,358.4627,148.4809,20.1918,444.0001,22.0442,527.6578,183.3999,62.5077,1885.8594,1011.4616,534.8951,1707.0673,952.3279,650.1728,158.3641,1339.4752,749.8367,1134.4209,0
JPN_C23,287.2682,1.6191,1.7988,2.2272,8.8263,809.7675,30.0283,4.6254,51.7933,27.9851,791.5945,316.231,344.5139,3615.007,1184.2792,274.3356,758.0494,2694.1329,1686.6454,2173.7276,251.4339,962.4356,10.7905,135.2302,25396.6472,796.1416,29.0883,22.9989,2.006,9.0968,3.6383,609.8264,12.9366,9.2795,15.1985,38.4066,72.4314,68.4088,36.0232,81.7953,315.4102,628.2328,137.3176,211.7959,0
JPN_C24,5.751,3.9129,11.2529,14.8728,24.367,398.4242,17.2546,48.1643,86.3367,9.4272,649.7215,67.8906,1100.0644,765.3056,118713.5671,27023.7492,7385.3106,9564.4442,30809.3896,28921.1673,6697.1394,3382.6112,29.2602,13.0381,18395.1437,369.2669,53.2223,8.372,0.0863,177.0477,0.396,118.9008,20.421,1.5344,1.1735,2.9048,0.3519,9.5078,1.4243,68.2107,2.8439,639.1335,1.9796,104.6719,0
