V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_A01_02,510.2002,2.4927,0.003,0.4358,0.0146,235.0335,1.15,415.5792,0.466,0.0062,28.2157,0.8694,0.3952,1.3073,0.1432,0.7568,0.2297,0.3259,0.5712,0.2121,0.202,2.9285,41.0187,0.7055,7.0454,20.3067,20.3783,0.1435,2.5289,2.4308,0.1883,9.8071,0.2603,0.6867,0.8335,0.4462,7.8905,1.1234,2.8539,4.2711,4.5328,2.841,1.9333,3.7959,0.0
LVA_A03,9.7303,4.6344,0.001,0.1402,0.0006,12.8634,0.0377,1.8493,0.1579,0.0005,0.0853,0.0502,0.0282,0.0692,0.0084,0.169,0.0385,0.0446,0.0327,0.0309,0.0173,0.2239,0.4864,0.0875,0.4588,1.3514,0.7435,0.0681,0.7674,0.6318,0.0231,1.5037,0.0292,0.0497,0.1154,0.0393,0.1672,0.1062,0.34,0.2169,0.0843,0.3234,0.1063,0.0824,0.0
LVA_B05_06,0.0638,0.0,0.0005,0.0204,0.0001,0.0007,0.0005,0.0019,0.0065,0.0,0.0024,0.0,0.0,0.0001,0.0,0.0001,0.0004,0.0,0.0001,0.0005,0.0001,0.0003,0.9133,0.0007,0.0037,0.0013,0.0011,0.0,0.0013,0.0006,0.0008,0.0001,0.0005,0.0016,0.0039,0.0011,0.0006,0.007,0.0042,0.0381,0.0098,0.0003,0.0001,0.0046,0.0
LVA_B07_08,8.1673,0.0518,0.0486,30.2461,0.0712,1.5471,0.0744,0.4455,0.0186,0.0006,9.1195,0.0252,0.0229,37.2801,0.0669,0.4687,0.0485,0.0159,0.0144,0.0087,0.0629,0.8598,54.5127,0.9172,80.2101,0.9023,1.5812,0.0003,0.0005,1.898,0.0099,0.0809,1.2414,0.0561,0.0331,0.0088,1.1889,0.2014,9.0958,0.7697,0.9724,0.971,0.4588,0.6049,0.0
LVA_B09,0.0167,0.0014,0.0009,0.1852,0.0041,0.0113,0.0002,0.005,0.0055,0.0011,0.0105,0.0007,0.0013,0.0883,0.0163,0.0097,0.0002,0.0004,0.0012,0.0001,0.0002,0.0013,0.2451,0.0045,0.3626,0.01,0.032,0.0005,0.0023,0.0256,0.0,0.0009,0.0,0.0,0.0001,0.0,0.0151,0.009,0.004,0.0087,0.0003,0.0014,0.0011,0.0005,0.0
LVA_C10T12,12.6646,0.358,0.0001,0.0127,0.0,192.9518,0.0295,0.0895,0.0175,0.0001,3.1829,0.2846,0.0048,0.158,0.0079,0.0294,0.0546,0.0317,0.0046,0.0123,0.0054,0.0958,0.1603,0.057,0.5343,11.3488,1.4404,0.0132,0.5848,0.3972,0.0122,87.3211,0.62,0.023,0.3929,0.127,0.4177,0.6298,1.1805,2.1297,15.2098,5.088,5.4974,1.0601,0.0
LVA_C13T15,1.5292,0.0351,0.0013,0.1435,0.0003,1.104,26.1577,0.5734,0.3654,0.0005,0.5581,0.0934,0.224,0.1908,0.0175,0.7151,0.0482,0.1952,0.3714,0.0613,0.3006,2.3629,0.2895,0.3195,1.8551,2.4185,0.5276,0.0144,0.2081,1.0148,0.0406,0.7452,0.1078,0.0506,0.0831,0.0586,0.4746,0.5068,1.2934,3.1344,0.5608,0.8957,1.3143,0.8971,0.0
LVA_C16,71.1174,0.254,0.0472,4.6971,0.0196,12.8531,0.3857,419.1065,1.9691,0.0034,3.4776,0.2411,1.1028,4.8411,0.3116,3.9757,0.2382,0.6911,0.6809,1.4811,0.2811,70.7356,13.463,1.5238,43.4957,10.4799,3.7068,0.1712,1.9487,5.1587,0.0938,0.9388,0.1368,0.1905,0.4085,0.4485,66.0988,1.7015,3.0896,2.0223,1.6254,1.8092,1.3251,3.1102,0.0
LVA_C17_18,4.2772,0.0864,0.0005,0.077,0.001,12.0697,0.4137,3.4143,54.4209,0.0059,0.5292,1.0407,0.8204,0.9948,0.0995,0.3146,0.3421,0.6852,0.5308,0.0387,0.0271,1.404,0.3148,0.7127,1.7947,28.0721,1.199,0.0404,0.7333,1.7918,5.4875,1.891,32.2745,0.5423,1.0408,4.6596,0.6846,3.8297,4.0783,10.9868,6.641,1.529,8.1479,2.8044,0.0
LVA_C19,0.1698,0.0064,0.0001,0.0138,0.0,0.0346,0.0039,0.0315,0.0012,0.0004,0.0186,0.0022,0.0008,0.0071,0.0004,0.0048,0.0006,0.0008,0.0014,0.0008,0.0005,0.0198,0.0115,0.0166,0.1016,0.1407,0.6358,0.0032,0.1092,0.111,0.0035,0.007,0.0053,0.002,0.0033,0.0036,0.0101,0.0165,0.035,0.0231,0.0069,0.0143,0.006,0.0051,0.0
LVA_C20,27.697,0.0437,0.0037,0.6791,0.0091,5.0413,1.7429,10.5129,2.433,0.0072,11.4541,1.9656,3.4273,6.2096,0.5399,2.2447,0.6177,1.058,0.4735,0.2266,0.345,2.2262,2.2932,1.7844,4.9995,6.7344,2.1001,0.2101,1.5553,1.329,0.0851,1.5013,0.2209,0.1481,0.232,0.1924,2.168,0.603,2.048,0.7754,0.6793,2.1074,0.5213,0.977,0.0
LVA_C21,2.4155,0.0137,0.0005,0.4698,0.0066,0.8539,0.1142,0.985,0.289,0.0067,0.6198,3.569,0.2054,0.5259,0.0477,0.3701,0.31,0.2053,0.0563,0.1794,0.1107,0.1961,0.2332,0.0924,0.8879,0.9464,0.3053,0.0137,0.1536,0.1705,0.0091,0.4299,0.0457,0.0154,0.0904,0.043,0.1649,0.7861,0.5121,0.8785,0.7392,17.9376,0.2614,0.1624,0.0
LVA_C22,4.0187,0.3475,0.0096,1.2364,0.0054,17.6599,0.6319,3.181,1.0847,0.0057,2.0775,0.5667,17.9243,0.748,0.5741,0.6463,1.1246,1.4086,1.8704,0.2271,0.3804,1.9064,0.3601,5.3232,15.5659,8.2313,4.8762,0.0174,1.3237,0.7909,0.0789,1.0276,0.3685,0.0615,2.6892,0.0995,3.2006,1.9255,1.3971,0.5966,1.26,0.4824,0.3452,0.2015,0.0
LVA_C23,1.1762,0.0432,0.0033,1.2918,0.0048,23.0646,1.248,5.5151,0.1819,0.009,0.7078,0.8086,1.1285,26.9402,0.2918,2.038,3.8023,2.4744,0.6062,0.3177,0.3512,1.4573,2.1842,2.0226,260.3304,2.5878,0.8783,0.0089,0.1342,1.4199,0.1338,2.001,0.089,0.0764,0.1513,0.0931,9.014,1.9256,1.822,0.9551,0.9644,1.2473,0.6722,0.17,0.0
LVA_C24,0.0302,0.0303,0.0001,0.0085,0.0006,2.6964,0.0782,0.3813,0.0352,0.0002,0.021,0.0869,0.5799,1.393,2.1748,25.193,0.0246,0.9083,3.2269,5.8352,0.8406,0.547,0.0925,0.0809,5.4638,3.5706,0.2414,0.0,0.0016,0.0664,0.0143,0.0026,0.0,0.062,0.1635,0.1034,0.1732,0.3224,0.136,0.006,0.0186,0.0422,0.0065,0.0717,0.0
LVA_C25,3.1169,0.332,0.0011,0.1694,0.0027,12.9847,0.6507,12.7752,0.815,0.0038,0.2915,0.0864,1.1945,8.4078,3.0807,26.8827,3.1665,4.6068,16.8391,9.1709,27.5727,16.7716,1.6464,1.9581,113.8867,9.4982,3.7313,0.0557,0.8264,6.5934,0.1048,1.1703,0.665,0.1318,0.3455,0.3529,7.0867,10.5283,3.2015,5.3605,1.3342,1.1695,1.8117,1.0412,0.0
LVA_C26,0.132,0.0034,0.0001,0.0118,0.0001,0.0866,0.0274,0.0626,0.2346,0.0003,0.0157,0.5457,0.0093,0.0173,0.0109,0.0262,12.1487,0.8722,0.0302,0.0347,0.2737,0.0994,0.2297,0.0296,0.7642,2.61,0.3212,0.0121,0.2269,0.2836,0.0464,0.1051,0.3488,1.456,3.0388,0.2638,0.2515,0.8555,1.0903,0.7357,0.3411,0.4117,0.2991,1.5142,0.0
LVA_C27,0.8826,0.0088,0.0002,0.0331,0.0008,0.2643,0.0838,0.4038,0.0454,0.0005,0.0532,0.0466,0.0848,0.1639,0.0098,0.1005,1.412,11.972,0.9789,0.0414,0.1911,2.6716,0.5325,0.0543,8.8513,1.7145,0.8091,0.1005,0.4189,0.3446,0.0238,0.2487,0.3697,1.1893,1.0096,0.2874,0.4806,2.3557,1.9562,0.442,0.4045,0.3698,0.5359,0.2133,0.0
