V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,3301.7019,14.5175,0.3808,2.612,2.673,21776.6703,430.5751,744.9079,12.7324,0.0614,115.7977,51.4434,283.5382,51.188,1.1281,0.8533,14.3002,0.3992,0.2011,2.1599,0.1575,27.7702,1.7302,3.1174,165.3583,876.7935,4.5978,0.2041,0.1343,1.5648,0.3189,317.5832,0.4362,0.0285,0.0794,2.4874,17.0701,2.0037,1.2839,8.7283,24.0505,8.5027,0.8592,1.2627,0.0
MEX_A03,0.1451,32.49,0.0158,0.0355,0.1682,470.3205,0.9963,0.0572,0.1769,0.002,0.1875,0.6715,0.0395,0.0233,0.0389,0.0253,0.0199,0.0158,0.0235,0.1181,0.004,1.362,0.006,0.0111,0.534,17.1162,0.0617,0.0083,0.1168,0.0227,0.0235,21.9187,0.0253,0.0251,0.0161,0.0566,0.0657,0.0665,0.0291,0.2542,0.0273,1.3979,0.575,0.0243,0.0
MEX_B05_06,0.0013,0.0001,507.0972,0.0861,53.2121,0.0115,0.0036,0.0001,0.0014,9276.6309,2899.4554,754.8058,0.0056,0.7491,361.642,0.0111,0.0017,3.2074,0.0085,0.0154,0.0055,36.2923,336.1736,0.0004,0.0575,0.0492,0.0047,0.0007,0.0106,0.0018,0.0021,0.0041,0.0022,0.0023,0.0015,0.0047,0.0024,0.0062,0.0024,0.0098,0.0016,0.0011,0.0021,0.002,0.0
MEX_B07_08,46.3968,23.7226,3.678,201.2056,3.0781,253.1942,6.0408,0.0167,13.7751,5.237,587.202,14.959,20.9915,2247.8009,7665.5669,9.063,25.2634,19.0167,16.472,30.5713,1.9879,4.1043,123.4817,1.7905,1318.2996,5.2812,1.1602,0.0176,0.2193,1.495,0.0481,0.6869,0.0503,0.0937,0.0766,0.1306,0.3786,0.5593,0.7764,1.7994,0.1592,1.1405,0.2672,0.0715,0.0
MEX_B09,2.0019,0.1209,661.6478,38.1692,177.4862,18.4862,2.4861,0.2173,2.3433,0.3226,6.3415,2.5636,2.8883,3.4422,1.7019,4.0119,3.2321,2.5526,2.7659,19.5511,0.6301,2.6812,0.3532,0.6824,119.1405,62.7542,8.8092,1.3518,20.0261,3.2959,3.9061,7.767,4.1794,4.301,2.7454,8.7476,4.2969,10.6413,4.5289,18.3356,2.9698,2.115,3.9014,3.8195,0.0
MEX_C10T12,3509.8141,54.3542,11.0241,11.3947,3.8497,11000.6405,253.0395,1.3501,88.0507,13.8647,182.597,138.6733,11.503,16.5989,9.6177,14.2099,6.6948,3.631,5.6745,20.3586,1.6863,7.4796,2.6173,1.4254,29.7572,231.9441,54.4634,0.4129,8.6703,13.6717,0.8851,2524.4692,6.6636,8.1533,2.426,63.1655,16.3268,73.1226,56.064,550.9023,57.06,119.6694,38.4055,10.5608,0.0
MEX_C13T15,45.0904,8.9962,11.2155,3.2419,1.9567,37.1386,2363.7833,2.8767,275.4044,14.8833,33.9152,0.9171,71.7627,12.0317,7.6859,23.8339,43.8714,11.2716,14.6497,1578.2401,12.508,294.832,0.9577,2.7574,35.2378,132.0191,87.9407,15.5482,7.6917,5.5905,2.3209,114.0947,5.9013,3.0864,0.0977,2.1838,29.8918,2.8514,19.1455,99.0231,30.2728,78.1709,3.7833,34.8269,0.0
MEX_C16,30.8021,5.2132,2.9425,33.7392,61.6407,206.7762,51.216,346.3411,29.8997,0.909,67.319,87.1244,32.3386,60.329,31.4665,100.0091,86.587,42.3976,27.7982,222.3164,4.961,602.5736,19.0738,43.5795,889.0426,179.5295,0.7429,0.0576,3.4529,0.4414,1.1216,4.8693,0.1863,0.2196,0.0667,2.662,3.8136,0.7631,23.8908,6.3055,1.0031,0.9025,0.1597,0.3435,0.0
MEX_C17_18,67.8467,0.6552,4.9048,6.044,117.3167,775.0158,246.8493,32.5724,2699.5118,13.7256,122.5891,115.9091,125.6906,153.4124,19.5013,168.1251,370.4684,125.5649,64.5351,343.4301,9.7296,333.5809,4.3222,15.8099,40.4589,1309.6489,60.3265,2.9623,5.4553,32.6263,11.7801,259.7259,10.1937,13.0695,13.4173,366.6576,255.8678,112.4429,459.9345,581.6157,288.8869,125.926,26.3025,15.7979,0.0
MEX_C19,332.7292,193.804,203.3323,322.4692,301.8718,346.2832,41.7923,42.0182,60.5738,5053.0026,885.3156,28.6596,48.1934,164.9399,235.1602,96.5912,31.3,58.089,30.8887,115.0824,9.2035,68.4295,1290.0951,49.8925,794.9598,860.3142,5886.9314,43.4744,1159.934,106.972,129.5273,67.1935,17.394,9.2359,3.0715,56.6186,76.7944,145.0201,202.7456,457.4141,32.3546,111.8151,10.1571,131.8457,0.0
