V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,27341.092,884.7884,1928.4362,0.0001,0.024,15040.6375,255.0948,105.7659,1.9523,345.8907,92.5042,26.0852,6.6023,0.0702,0.0473,0.0437,0.0001,0.0009,0.0027,0.0125,0.0006,5.4431,0.0586,0.0222,1957.5249,23839.4906,0.0166,0.0006,0.0328,0.0023,0.0,1562.4437,0.0431,0.0289,0.027,0.0008,0.0553,31.204,0.0061,0.0217,0.5585,0.0702,0.0085,0.1549,0.0
NGA_A03,2.6798,98.3803,0.0,0.0,0.0,21.0755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0008,0.0024,0.0018,0.007,187.1507,0.0012,0.0028,0.003,0.006,0.0001,95.8198,0.0009,0.0,0.0,0.0023,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,10.1076,0.3471,872.4546,0.336,0.2985,10.1242,9.9505,1.6889,0.9048,1461.2658,0.115,0.0242,668.8715,490.6976,14.7124,6.1234,0.0069,0.0489,0.4147,0.519,0.0306,3.0167,2.7349,0.9002,85.5954,868.0613,4.0093,0.0486,0.5172,0.1546,0.0767,1.4894,1.2166,5.1353,3.1822,0.2036,0.1629,0.551,0.1125,1.1449,7.471,1.2789,0.1471,2.6052,0.0
NGA_B07_08,0.0,0.0,0.1798,1.3298,0.1825,0.2694,0.4302,0.0008,0.8776,0.002,1.3152,0.062,0.0139,42.0757,5.2179,2.0326,0.0043,0.0497,0.1222,21.4605,1.4349,0.2474,20.2091,0.0426,272.0509,0.4512,0.0198,0.0004,0.0007,0.0012,0.0,0.0,0.0013,0.0473,0.0335,0.0001,0.0012,0.0002,0.0001,0.9337,0.0005,0.0052,0.0001,0.0003,0.0
NGA_B09,0.0071,0.0001,51.7957,0.0044,0.0032,0.0019,0.0016,0.0003,0.0005,0.497,0.0001,0.0,0.0003,0.0298,0.0084,0.0006,0.0,0.0,0.0,0.0,0.0,0.0001,0.0412,0.0006,0.2585,0.0018,0.0049,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.012,0.0031,0.0,0.0005,0.0001,0.0002,0.0,0.0011,0.0
NGA_C10T12,2.8326,4.5196,254.7951,0.0409,0.0195,3650.4362,0.7427,10.9662,36.5121,0.0,45.5252,10.5532,0.5335,45.7963,0.1255,0.1172,0.0198,0.0472,0.1161,40.8019,2.3956,4.2557,25.9305,3.7282,37.4251,6064.2933,1.9544,17.3082,5.9925,9.7037,0.3269,756.0056,140.9865,22.7525,10.7567,14.0928,15.6571,15.947,13.3873,131.4529,76.2297,257.9946,15.0871,619.8224,0.0
NGA_C13T15,0.0062,0.0014,6.0072,0.1765,0.009,0.1567,1365.3389,3.0707,0.2994,0.0615,0.026,0.006,0.4008,1.3836,2.3658,3.1863,0.0028,0.0322,0.4113,1.3317,0.0946,3.8495,0.4638,1.8858,4.3767,43.2255,7.893,0.0885,0.0493,0.2049,0.0027,0.3344,0.104,0.0836,0.0584,0.1587,0.0866,0.792,0.2617,0.3891,0.0947,3.8552,0.0268,1.5423,0.0
NGA_C16,0.2649,0.0,5.4559,0.0729,0.0052,0.1042,0.9288,21.5667,2.5994,0.0592,0.0826,0.009,1.2756,2.3773,2.2623,3.1665,0.0143,0.1665,0.7279,1.6316,0.0758,11.0336,5.3384,0.2654,877.3593,3.1317,0.0152,0.0018,0.0348,0.038,0.0013,0.0013,0.133,0.1158,0.0868,0.0548,1.2907,0.6913,0.2819,11.1781,1.9801,0.0531,0.0821,1.5484,0.0
NGA_C17_18,0.0091,0.0326,10.1494,0.0042,0.0027,1.1482,0.631,0.7167,2.2111,0.9006,0.166,0.0467,0.2133,5.5179,3.0759,4.8737,0.0148,0.1089,0.3376,1.3791,0.0645,0.5305,3.4211,0.8536,3.0096,12.6283,1.3548,0.0339,0.1618,0.5624,1.0617,0.0588,21.4234,7.8922,5.6549,0.9947,0.6767,2.8321,0.7062,6.4853,3.409,7.1107,0.6481,10.7564,0.0
NGA_C19,0.0026,0.0025,136.3383,0.4862,0.135,1.086,36.32,2.1937,1.8488,14.5024,0.0312,0.0017,0.4662,4.8046,22.8858,10.946,0.1116,0.1416,0.4135,0.135,0.0062,2.4826,56.86,22.8727,41.0889,57.437,145.0485,2.8893,4.9735,0.1487,0.2255,0.1704,9.6512,143.3635,82.8293,1.073,8.7221,1.5065,0.4816,1.6766,3.9393,5.0166,0.5672,2.5581,0.0
