V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_A01_02,11768.5231,13.5325,7.4044,0.5525,20.4359,23138.2649,109.2038,1458.6332,509.8608,16.0311,23.7186,17.5354,99.6135,6.2485,19.3881,9.6947,1.9466,1.2542,2.3513,1.9078,6.0369,75.1979,61.6599,5.566,103.4654,197.7735,25.6277,7.8236,6.2793,78.6304,1.4414,672.4802,2.1769,3.4181,1.0727,152.3073,26.7257,33.4604,15.1391,616.1362,88.0225,243.361,17.211,20.8474,0.0
RUS_A03,130.0488,103.5366,2.5602,0.2458,3.7428,1305.7022,1.6495,0.9932,1.5524,5.1286,3.7242,0.6042,0.8441,1.2109,3.497,5.56,1.1802,0.6374,0.9622,1.5709,1.7304,1.3078,4.2389,0.4437,7.1325,26.1519,3.2619,1.3333,0.972,6.9624,0.0621,188.0789,0.5371,0.5582,0.3228,4.9458,1.6834,3.8861,1.3103,35.5057,5.2891,21.0213,0.6521,2.2097,0.0
RUS_B05_06,242.9356,44.6899,944.7793,12.1807,987.4562,147.6875,6.3519,18.9804,32.7918,24248.3973,367.3724,7.1564,19.0366,76.1484,1083.1677,21.6619,10.1596,9.9766,32.5225,10.955,29.815,40.6005,12546.072,94.6484,396.9643,1871.8895,1062.3038,37.0555,211.6961,222.2927,7.9832,12.3575,5.2665,14.9639,4.2343,93.2652,54.3236,70.44,36.7955,199.9184,27.3125,76.3823,68.9822,9.8192,0.0
RUS_B07_08,38.9332,0.7012,70.985,41.2742,229.3986,47.7325,4.5249,5.5098,12.2354,26.0177,396.2739,7.3372,43.3388,602.6916,2037.2965,48.9488,7.7875,11.5911,11.2012,10.0387,31.6854,157.9457,23.0594,29.7175,903.2807,44.8681,28.8079,1.6118,8.1737,97.3164,0.3641,5.0919,1.1352,1.2784,0.6463,0.8195,22.168,15.793,6.1145,22.3383,4.2608,7.601,2.9123,8.9718,0.0
RUS_B09,37.5639,8.4437,6299.5558,5.0673,28905.9529,68.4291,5.7533,7.7283,10.1326,15467.2102,35.2781,4.5944,12.7103,39.5605,47.1184,28.362,14.0453,8.9627,19.6478,11.5497,19.6529,28.8993,90.6897,16.9093,365.196,251.1115,345.7915,20.0005,61.844,91.5542,1.6973,13.6344,11.3788,18.3186,9.7232,13.945,84.7688,242.6953,49.919,102.0522,18.3003,37.0885,18.1776,6.9833,0.0
RUS_C10T12,3659.2554,59.2361,14.9497,1.5554,32.7641,12358.6414,56.9993,10.6065,28.659,116.3738,126.6565,33.3697,20.8361,20.79,50.526,32.6067,14.2745,9.5784,13.4282,12.2264,20.7879,15.6825,75.7222,10.1356,100.1798,604.8272,37.9025,5.853,15.819,80.3377,1.4822,2270.1658,10.2378,5.9458,8.1754,189.3982,38.5252,72.2277,20.4832,890.1352,222.0008,741.6553,18.0418,44.0911,0.0
RUS_C13T15,29.795,21.7838,9.8443,1.178,52.4004,68.0164,662.6081,2.3832,9.2361,25.9512,48.2143,6.1319,66.0881,8.2611,30.6655,13.3519,8.8397,3.7048,6.9066,22.9259,24.9846,110.9965,44.7213,6.5616,75.5763,84.9668,27.4184,1.8781,2.2164,15.1321,3.8793,28.47,1.5349,5.7596,1.1715,2.4641,14.1725,45.0146,11.7165,200.2359,13.0162,68.9228,16.4197,45.3871,0.0
RUS_C16,109.5049,0.7943,8.9226,0.871,5.9211,68.9136,1.2715,528.6281,92.8987,5.0003,23.1392,6.4429,4.9668,84.7934,30.0439,36.5225,2.511,8.3821,8.2182,9.7107,13.1527,483.9276,19.5378,3.1878,1813.9805,64.6364,24.6379,1.9713,1.679,79.8242,0.4042,1.8011,1.4459,2.6258,0.2807,0.6797,642.9183,13.5602,5.6831,34.9771,10.169,8.5613,7.2374,17.1853,0.0
RUS_C17_18,257.3273,53.0287,7.4428,1.3272,15.8163,1832.429,26.4429,165.3006,2473.6418,32.4428,203.5529,88.3234,89.0415,148.8648,33.3738,50.0442,20.5595,25.1237,14.2791,17.9791,17.1553,101.3582,66.3636,13.8598,142.0384,1069.7455,31.9466,3.6422,6.7425,54.8628,25.6617,166.4658,639.3237,36.0051,51.9653,330.7723,460.3537,535.1081,128.9219,679.8971,100.7497,138.0867,45.7422,154.782,0.0
RUS_C19,2223.0422,412.2292,669.4532,99.3697,1759.9263,736.2064,72.4965,184.0106,227.4075,13120.9096,3136.7757,74.1345,423.2681,388.8182,2073.5478,159.0908,73.8612,98.7895,138.2797,95.3201,220.3737,239.0715,3196.8381,324.0313,3275.7773,2629.7862,5190.7495,333.9296,1926.6447,1755.3247,62.6147,81.332,32.8962,97.777,19.7324,138.2536,298.2162,396.2998,279.5598,1220.1678,163.0598,356.1226,74.0368,70.6196,0.0
