V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_A01_02,189.2019,0.0065,0.0006,0.0099,0.0002,726.5871,9.5502,7.2521,0.0057,0.0025,0.0108,0.0101,0.0023,0.2003,0.0027,0.0059,0.0003,0.0038,0.0009,0.0,0.0746,1.9336,0.0275,0.0093,0.8592,15.1706,4.5534,0.0007,0.0023,0.0129,0.0,72.3525,0.0011,0.0214,0.0012,0.006,0.0122,0.0223,0.0078,2.4899,0.6783,2.1247,0.0535,0.084,0.0
SEN_A03,0.6104,8.0002,0.0049,0.1121,0.0021,132.3936,0.2723,0.0797,0.0759,0.0282,0.1491,0.0135,0.0294,0.2473,0.0379,0.0832,0.0048,0.053,0.0127,0.0006,0.0334,0.0947,0.3795,0.0661,1.022,0.1507,0.2388,0.0099,0.0319,0.0942,0.0004,4.5257,0.0138,0.2707,0.0147,0.0687,0.0129,0.2556,0.0891,0.9778,0.1842,0.0976,0.0085,0.0131,0.0
SEN_B05_06,0.0,0.0,1.4023,2.988,0.0092,2.4279,0.0,0.0001,0.0,5.522,24.6049,0.0,0.0,8.8812,0.0169,0.0173,0.0,0.0,0.0,0.0,0.0,0.0043,0.5355,0.092,10.1235,0.0388,0.0,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_B07_08,0.6938,0.1142,0.315,5.9759,0.0334,4.8183,0.3392,0.1003,0.0956,0.0353,43.9421,0.0162,0.037,17.0773,68.6441,0.1312,0.006,0.0668,0.016,0.0007,0.0421,1.6767,0.4786,0.1445,34.447,0.2204,0.2994,0.0125,0.0402,0.1156,0.0004,0.5496,0.0174,0.3408,0.0185,0.0863,0.0132,0.3214,0.112,0.3128,0.1499,0.1043,0.0128,0.0376,0.0
SEN_B09,0.0427,0.007,0.6633,10.1134,0.103,0.1818,0.0205,0.0066,0.0061,0.0025,0.0118,0.001,0.0024,0.0197,0.0034,0.0073,0.0004,0.0044,0.0011,0.0,0.003,0.0079,0.0296,0.0052,1.5346,0.01,0.0185,0.0008,0.0026,0.0075,0.0,0.032,0.001,0.0221,0.0012,0.0053,0.0008,0.0196,0.0072,0.0189,0.009,0.0064,0.0006,0.001,0.0
SEN_C10T12,83.0658,4.8258,0.0467,0.8517,0.0162,305.1554,6.3689,0.5637,0.5163,0.2242,1.3232,1.0364,0.3053,2.9958,0.2928,0.6171,0.0317,0.3561,0.0921,0.0049,0.2525,0.6867,2.4324,0.7851,7.2622,18.7145,3.4516,0.0634,0.2067,2.3338,0.0032,116.4215,0.0972,2.005,0.0944,0.9099,0.1618,1.7715,0.6356,9.8137,1.6417,3.0898,0.1824,0.2648,0.0
SEN_C13T15,1.0558,0.032,0.0015,0.0293,0.0007,0.8036,55.6126,1.5983,0.0231,0.0023,0.0478,0.0056,0.025,0.0717,0.0028,0.0094,0.0012,0.0125,0.4293,0.0001,0.0445,0.6451,0.1313,0.056,0.2066,0.0708,0.0832,0.0029,0.0091,0.0238,0.0001,1.2997,0.0074,0.0704,0.0048,0.0252,0.0045,0.0956,0.3047,4.2525,2.4753,0.9792,0.1523,0.3307,0.0
SEN_C16,0.0066,0.0348,0.0016,0.019,0.0006,7.6829,0.5272,10.6784,0.0684,0.0002,0.0399,0.0024,2.7487,0.0068,1.2721,4.892,0.0,0.0006,0.0002,0.0056,8.6333,16.6738,0.0069,0.0514,16.4977,0.0273,0.0654,0.0015,0.0168,8.9151,0.0004,0.0175,0.0005,0.028,0.027,0.1257,0.0029,1.0285,0.0288,0.8197,0.5685,0.1944,0.0315,0.0481,0.0
SEN_C17_18,0.3698,0.2715,0.026,0.8857,0.0829,17.1572,0.3849,0.1865,15.4093,0.3835,2.4205,0.4699,0.3465,11.0424,0.0144,0.0435,0.012,0.0272,0.138,0.0311,0.025,0.353,0.4298,2.3522,2.0751,7.593,1.8597,0.0953,1.3983,2.7245,0.0335,1.8111,6.4088,4.9631,1.9312,10.0108,0.5084,10.7178,3.8241,13.3794,13.8445,3.0009,0.5694,0.6852,0.0
SEN_C19,6.1476,15.0111,0.5781,13.0654,0.4071,22.7312,0.9079,0.5277,0.3547,0.6048,20.7381,0.4105,0.7491,16.0367,0.1988,0.3252,0.0094,0.1768,0.0972,0.0221,0.065,0.5184,97.7496,5.3335,36.8536,15.1593,54.661,1.4177,2.515,6.3414,0.0164,1.9448,0.2675,4.3607,0.4137,2.9636,1.4529,11.7451,4.0959,16.3298,1.7636,3.8168,0.278,0.4689,0.0
