V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_A01_02,3848.2596,11.0584,0.0008,0.5476,0.1057,20829.3948,148.0591,133.9912,19.622,0.0002,181.3467,99.8494,3441.8343,0.3333,0.3229,0.1087,0.0,0.0,0.0175,0.0,0.3958,14.0823,6.5089,0.0041,53.6466,0.2389,0.0256,0.0008,56.751,0.0715,0.0069,2163.7631,0.0298,0.0114,0.8807,20.9673,11.4317,3.5215,2.3221,49.537,205.1953,259.5989,22.1488,39.4185,0.0
THA_A03,89.3054,290.3874,0.0,0.0,0.0003,2293.4989,0.0,0.0,0.0,0.0,0.027,112.8337,0.0,0.2243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0807,0.0,1095.2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6081,18.7283,40.1766,1.1139,0.0,0.0
THA_B05_06,0.0,0.0,167.052,0.0,4.2608,2.328,0.7698,0.0,6.2151,8260.7896,92.1237,0.0,0.0,77.3983,161.7633,0.0353,0.0,0.0,0.2506,0.5424,0.0,0.0381,3581.3522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_B07_08,7.4672,0.3709,1.8244,1.4984,3.9245,51.9441,0.7335,0.0,6.522,0.0658,115.1106,7.8683,1.8907,1014.1967,111.8819,3.2658,0.6324,6.0492,7.7755,13.7326,1.398,94.4655,0.2509,0.2734,1059.0909,0.0,0.4226,0.0,0.0,0.0,0.0,0.0905,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0455,0.2393,0.6149,0.0306,0.0
THA_B09,9.1139,1.7398,277.0053,47.211,52.0917,6.7988,0.5785,0.283,4.4123,357.4588,19.8576,0.1867,2.8142,57.2905,50.6164,4.1408,0.3662,0.3427,1.6196,0.2321,0.2022,0.4742,90.4153,1.3595,72.0423,2.4884,4.5138,0.4688,0.7622,0.0981,0.0053,0.5042,0.0085,0.0,0.0034,0.0047,0.7578,0.7345,0.2482,1.8895,0.0606,0.269,0.0456,0.1195,0.0
THA_C10T12,2661.7959,617.9818,0.0,0.0,0.3557,10885.9292,327.5826,16.5538,46.3416,2.6451,362.3677,128.3962,24.886,19.1858,0.0016,0.0,0.0,1.5137,0.0,0.0,0.1479,46.0452,32.2108,0.0,0.0,119.0899,17.4974,0.1715,297.1983,0.0,0.034,9427.5768,7.4219,0.0495,6.0798,25.3837,1.4296,10.1364,20.3164,121.2452,204.4696,186.8294,51.614,153.8858,0.0
THA_C13T15,14.3915,15.1337,0.0106,1.0947,1.9524,22.7501,8767.2859,0.1039,7.2414,0.374,223.8986,11.0057,225.7233,23.8005,1.6651,0.4262,56.5214,78.4016,7.1939,48.6252,71.3291,269.1129,6.3117,1.7801,9.1491,629.3205,19.388,41.5255,23.5035,4.8715,0.2951,439.6583,34.8738,0.409,25.6957,153.8513,2.6947,25.0364,51.402,215.6568,12.236,93.2016,8.4609,87.5823,0.0
THA_C16,81.1139,2.5813,0.0,3.6793,0.2598,2.3137,3.4554,532.1908,1.6462,0.27,11.4823,0.2078,5.7073,10.6641,0.4329,14.2781,12.9863,9.4985,20.3096,23.4265,36.036,237.2195,0.9394,2.0864,258.6432,51.9177,0.173,0.0134,0.1202,1.0797,0.0,4.9685,1.0525,0.0,1.1776,5.4642,0.1355,1.7919,11.3125,0.3316,0.0357,0.7598,0.0115,3.2962,0.0
THA_C17_18,9.8146,0.2115,1.4842,0.9794,0.4168,129.1514,68.5137,2.9357,1600.9001,3.1046,67.3621,40.4398,34.6721,54.2873,8.1331,19.4474,43.215,32.9794,4.5377,106.4849,5.0094,57.3427,8.728,2.1769,15.5716,220.9848,13.5239,4.4763,3.8796,0.7779,4.1164,52.6095,249.0869,6.2621,152.1199,262.3773,6.6182,210.3481,150.4548,135.8299,422.1751,22.9963,9.5795,21.7652,0.0
THA_C19,867.3221,718.897,1027.0584,220.2118,27.4551,478.8156,312.5596,52.2754,57.391,598.1356,1719.8853,9.846,283.127,449.3399,429.9604,110.8627,156.0105,102.3229,263.4338,540.6551,75.9282,98.7981,1299.8831,62.0676,624.1136,621.6468,3446.602,1579.8869,1799.9315,3.313,44.486,402.6497,39.6428,45.2199,71.7628,127.7617,25.5537,115.8095,328.3557,697.2729,269.0101,63.617,15.1009,239.528,0.0
