V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,12865.328,42.2259,0.1161,1.3656,0.8978,22036.8295,1012.7807,2269.7111,41.3128,0.345,1201.5259,57.9902,813.8243,6.1698,2.8121,0.1109,0.1188,4.4335,0.0671,0.0276,0.2535,919.6678,0.0574,1.546,38.9513,193.0706,0.1422,0.0959,0.0008,4.608,0.0001,1132.9396,1.5223,0.1247,2.6407,6.7957,23.5388,140.2367,47.6424,6.4529,88.985,6.1315,7.8172,3.2568,0.0
VNM_A03,13.1141,3703.0137,0.0013,0.0011,0.0003,8926.7151,0.2712,1.0913,0.0186,0.0008,1.5603,13.9819,0.2063,0.0045,0.002,0.0011,0.0013,0.0031,0.0001,0.0006,0.0005,0.4303,0.0,0.0006,0.0215,6.2389,0.0001,0.0092,0.0,41.0963,0.0,425.3391,0.0004,0.0001,0.0007,0.0453,0.4566,10.043,0.2477,0.002,16.0733,2.3349,0.2691,1.1327,0.0
VNM_B05_06,49.9035,0.1508,3077.5506,3.6401,8.9944,43.0481,57.5438,1.8165,46.0766,5885.1626,707.3055,5.9234,41.4156,1270.173,162.9716,54.0626,17.6733,31.9398,1.8921,7.5318,7.7058,38.8069,697.2407,4.3005,49.427,34.7455,1.8976,0.2133,0.0,0.3347,0.0,66.4301,0.0093,0.0014,0.2359,0.0268,11.6431,5.374,5.2446,0.3539,4.3355,1.0745,1.2242,6.6691,0.0
VNM_B07_08,1.3363,0.2973,5.5599,29.59,0.0609,17.8528,0.7048,0.0013,3.0341,6.8142,514.8825,0.2803,13.455,442.1701,97.8238,6.432,2.1578,0.0388,0.001,0.031,0.3702,9.5068,5.2977,0.6466,132.4027,14.7328,0.0031,2.4798,0.0,0.6036,0.0,0.2037,0.0001,0.003,0.0,0.3372,8.6778,8.9981,0.6798,0.4094,0.0161,0.2234,0.0156,9.839,0.0
VNM_B09,0.0013,0.6407,594.1598,14.1507,0.3012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9678,0.0018,0.0,0.0,0.0,0.0,0.0,0.1086,0.0,0.0,0.0,0.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0376,0.0003,0.0,0.0,0.0,0.0,1.0489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,7195.5977,5084.7527,16.0979,1.7805,0.6393,21178.5159,20.2448,0.8678,100.752,45.9118,26.5712,98.1763,13.6321,35.4073,2.2955,2.7319,0.5131,0.0406,0.0283,0.1046,0.0386,117.6673,1.8659,1.307,2.3258,334.5728,7.6745,5.5952,27.8424,4.7802,0.0003,3537.1285,1.1753,1.5178,2.76,2.8546,16.623,39.0338,7.3536,6.3435,96.4499,22.738,1.8816,15.6314,0.0
VNM_C13T15,85.5436,48.0637,88.2625,8.0985,1.2364,24.3362,10408.3842,17.5381,69.6122,28.7658,13.5764,2.5035,41.7186,103.5722,7.0867,9.0914,13.6517,4.769,2.8838,20.7018,11.8966,205.8579,19.4131,23.5288,65.642,205.3472,21.3231,4.0969,7.3807,19.7696,10.1445,63.1667,4.2998,14.5734,1.8326,35.5185,48.7808,26.0708,38.2285,64.107,62.4835,21.2913,30.0432,156.572,0.0
VNM_C16,93.4282,25.7672,0.1916,0.8671,0.0005,53.3218,73.3214,1864.1257,349.8879,0.1757,58.3659,0.7757,17.8166,32.4024,3.8692,7.1903,7.8786,7.6596,5.5734,0.4644,2.2908,2675.4817,0.8747,1.1271,335.6359,66.507,0.5971,3.9609,0.1391,2.8621,0.1166,9.2015,0.1977,4.7798,0.0081,2.3963,21.5891,11.4652,1.274,9.9123,3.9677,0.5597,1.4694,12.7506,0.0
VNM_C17_18,115.7033,6.4685,8.6404,0.9503,0.9791,462.3889,648.5427,57.2468,2805.4852,0.5464,91.573,39.7368,172.9444,189.9343,5.0844,22.0199,177.4791,282.4921,7.7014,8.3034,6.25,539.4528,8.9071,2.6368,40.5101,587.1701,13.413,1.7537,0.7561,11.9324,16.4972,89.7706,276.8184,28.2194,10.2232,122.1846,41.3965,167.2099,15.0118,184.3264,104.3021,17.968,452.3485,25.6512,0.0
VNM_C19,530.9961,1314.677,1966.8399,214.6033,4.5181,161.749,144.9609,69.4213,48.7145,3297.9459,76.4001,10.0189,168.9128,467.2681,118.2392,41.765,21.2482,50.5896,15.5672,15.0028,58.7287,195.5229,115.9645,81.685,1166.0989,987.2094,2243.5744,720.9735,681.7612,223.6723,27.3742,767.6765,19.8203,74.5281,4.5707,144.7137,56.9781,53.0344,75.005,155.4574,123.0267,11.6493,15.4999,27.9924,0.0
VNM_C20,2962.5911,60.2642,250.8423,90.6518,9.3639,192.819,1097.4594,151.7315,412.7419,152.8789,2646.888,76.1966,1044.4437,478.8049,124.7933,176.7775,242.4653,182.2575,17.5599,106.3708,63.2184,984.2618,5.5293,40.5087,322.7227,124.516,17.8033,5.3634,1.1735,2.5579,0.244,59.7359,10.6324,5.6235,2.5129,20.9764,49.4513,81.551,36.6684,41.0357,23.1506,35.6841,21.064,99.2904,0.0
VNM_C21,178.1459,18.7128,3.8331,0.6017,0.0405,117.8413,2.9482,0.6853,0.2274,0.0531,2.6087,792.5021,3.538,8.2703,0.1951,0.4039,0.0434,0.3601,0.0424,0.0149,0.0111,0.6333,0.1086,0.4851,2.6212,16.7688,1.0166,0.0584,0.0294,0.1075,0.0,0.4577,0.1875,3.4098,0.0088,2.6005,0.7151,6.2593,0.3722,4.5751,81.336,1294.7441,11.0875,2.3833,0.0
VNM_C22,110.3828,17.9093,166.2222,37.5715,0.0904,160.3482,1046.9105,31.8285,147.2956,15.9295,125.9827,20.978,3484.5647,32.5546,9.2285,22.5641,292.3906,1129.7444,56.0649,132.1979,110.9512,263.0612,3.874,8.1663,131.754,141.6221,178.1008,12.846,0.1029,8.2799,0.1235,9.063,1.3466,0.6879,4.6186,7.4788,3.1098,21.0343,4.0239,16.8299,8.7402,5.0984,2.3151,8.9945,0.0
VNM_C23,51.9071,1.8347,3.7522,3.9217,0.0221,32.8423,4.1406,1.6192,4.5235,0.1393,55.6246,18.7249,60.5471,2002.5208,43.8728,29.7063,269.4379,98.6338,1.1531,97.4049,5.7942,202.4193,1.8967,5.2407,6179.9241,55.7204,8.2155,5.3886,5.9011,8.6481,0.1246,16.9636,1.087,104.3275,0.9922,16.8085,311.7687,60.5014,5.4803,24.683,10.3395,3.1449,12.6068,34.108,0.0
VNM_C24,42.4169,2.6536,328.4372,33.3364,0.0023,107.8872,5.4147,17.3884,10.9758,0.1677,30.2988,0.601,86.2191,70.8134,2580.6323,1230.4661,135.8631,1686.431,170.1966,284.2021,295.0799,324.1337,13.4814,1.889,1723.6232,48.3115,3.7674,1.1689,8.1677,6.6908,0.0017,0.4217,1.5011,37.1839,0.0903,8.3598,52.2645,24.4765,1.4028,3.0023,1.1689,0.2738,0.6096,7.6756,0.0
