V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T,ARG_HFCE,ARG_NPISH,ARG_GGFC,ARG_GFCF,ARG_INVNT,ARG_DPABR
ARG_A01_02,6638.481,25.006,1.756,2.123,0.0,28817.157,1318.261,78.0839,65.7361,2.8389,69.4227,19.0371,15.6818,2.76,0.1434,2.4422,0.0411,0.0518,1.0405,4.0633,0.0517,3.2424,5.9786,2.9423,91.0732,63.7385,14.668,0.0648,0.3579,6.0618,0.2239,2470.6652,2.1243,8.0459,0.5889,2.3553,38.0104,43.4751,63.3816,153.1156,30.3541,21.6676,5.1325,37.1473,0.0,7073.2586,0.0,0.0,1466.1333,1898.1854,0.0
ARG_A03,2.9773,95.6413,0.0389,0.0001,0.0007,594.593,0.0111,0.0002,0.0716,0.1357,2.5683,0.7913,0.0039,0.0076,0.0074,0.009,0.008,0.0007,0.0079,0.0047,0.0011,0.038,0.0027,0.0004,0.0025,0.2606,0.2877,0.0021,0.079,0.0578,0.0018,513.7536,0.0922,0.002,0.0008,0.0069,0.0022,0.0557,0.1697,0.7727,0.4193,0.9479,0.0344,1.9412,0.0,635.851,0.0,0.1802,0.0052,65.0547,0.0
ARG_B05_06,4.9139,0.1156,188.8013,9.8303,23.8949,10.835,1.3462,0.4089,1.0298,9232.3526,145.297,128.8339,1.3354,18.3606,49.7882,2.23,1.26,0.819,2.3961,3.2624,0.1168,6.5969,1950.0854,13.6222,386.2832,61.8592,67.3649,0.3213,2.5954,26.5358,1.0922,16.8435,2.1515,40.8197,3.7824,19.6934,168.4106,19.8119,67.0581,75.1571,33.0011,39.3659,1.7475,13.6557,0.0,667.4063,0.0,0.3944,4598.9094,345.6323,0.0
ARG_B07_08,0.9206,0.0946,61.1715,401.0093,0.007,114.4568,7.9356,0.0434,6.6714,134.8537,72.4021,100.6899,1.0393,626.0492,658.6649,14.4124,0.2859,0.3519,1.4816,16.5968,0.307,1.527,0.0035,5.1512,714.1578,0.3158,0.1017,0.0019,0.1498,0.1463,0.0,14.0517,0.0972,10.7689,0.1199,0.1367,78.7359,0.8877,40.8903,25.4904,0.5062,0.4552,0.1713,0.4816,0.0,158.4539,0.0,1.5729,0.024,195.1778,0.0
ARG_B09,0.0,0.0,3823.9395,83.0804,130.8364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.0,36.7311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.1056,68.2255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8912,0.0,0.0
ARG_C10T12,2332.4504,25.1545,15.1668,13.9997,3.8006,9707.0718,76.1973,7.7734,92.9999,46.6628,256.1156,215.412,47.3034,84.1096,67.8152,28.2862,27.0085,17.3365,35.2533,54.2471,1.9839,30.5294,10.5702,11.2979,163.067,173.3481,31.3183,0.324,34.0235,23.7778,1.4568,8141.1424,26.6111,97.5231,23.6025,39.2115,25.5104,59.1309,87.3588,792.831,323.6818,641.3259,78.4553,236.7404,0.0,52697.2187,0.0,272.3922,157.2713,3228.3373,0.0
ARG_C13T15,168.4852,11.3438,54.7873,1.5618,13.0515,318.085,2077.5674,5.9848,54.1077,13.7837,26.9296,54.1356,267.8415,19.198,8.9178,13.042,9.4197,8.093,27.1709,48.0743,1.5962,93.5539,3.6837,42.833,37.8542,289.9406,23.0871,0.3442,12.665,71.8029,3.1819,261.1698,11.3508,27.9569,5.0273,16.3108,74.2029,65.5414,76.1569,278.9378,100.0383,218.0641,15.3926,212.5912,0.0,6966.5299,0.0,11.16,41.5529,414.6599,0.0
ARG_C16,31.2509,0.505,0.7613,0.3882,0.1486,96.5998,5.5396,297.2233,23.817,3.0317,11.5564,7.2682,10.2683,14.9534,2.2593,23.9338,5.671,10.7636,10.8807,9.2677,0.7338,303.6158,0.5472,72.3036,446.6751,634.632,1.7675,0.0102,0.7039,3.0426,0.1088,40.0624,2.3644,4.908,0.7352,1.3146,59.11,2.9382,31.4602,13.5578,2.4642,2.8279,2.6644,2.833,0.0,118.5576,0.0,1.2456,200.7794,72.6391,0.0
ARG_C17_18,11.552,14.8984,1.9036,64.2235,12.8287,908.7654,55.7046,42.8446,1838.1975,8.5776,119.2412,175.7711,30.6373,127.6331,9.4104,35.6986,69.0104,40.6012,24.0199,22.7449,3.2795,46.612,9.454,13.7972,17.7674,602.0211,24.7859,0.6316,26.3664,6.679,33.2727,106.5212,564.285,26.9501,98.347,554.5496,60.4175,412.6708,119.4701,242.487,214.4525,125.9029,30.4299,174.5058,0.0,2319.4648,0.0,4.9055,7.9225,237.0272,0.0
ARG_C19,911.7297,71.1823,13.0187,126.0103,30.9793,198.6737,27.503,22.8631,31.3776,1129.2564,606.4667,89.6759,128.042,110.6936,86.2793,32.1118,8.5283,26.0226,20.8806,19.3493,2.5785,23.6482,333.4498,152.7952,207.3263,779.4902,3329.7041,7.9305,715.2687,409.3108,13.7763,28.4463,8.8744,15.7775,9.8704,89.067,13.6897,69.0814,79.9169,479.0241,16.9588,58.6715,10.4672,23.1199,0.0,6413.1021,0.0,1.1218,1.7275,486.3931,0.0
