V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T,BGD_HFCE,BGD_NPISH,BGD_GGFC,BGD_GFCF,BGD_INVNT,BGD_DPABR
BGD_A01_02,5414.1837,53.991,5.1378,0.4174,0.249,11920.4151,885.5382,935.8178,341.8005,40.5597,248.2245,53.5561,110.2868,22.2374,11.8452,8.7206,7.9233,6.6024,8.2839,10.0052,3.0424,101.1802,44.2247,8.4875,401.7464,215.2118,26.5573,7.1614,6.9371,8.9584,1.5915,600.0725,11.1617,13.8843,3.2369,9.6561,17.4584,19.1652,28.2552,118.311,47.1385,68.9256,25.1801,50.459,0,23635.9152,3.7544,64.0028,2210.6811,86.0551,0.0
BGD_A03,41.5445,861.9632,0.9621,0.0621,0.0511,1617.0874,27.3059,2.0706,2.5171,7.724,12.2335,2.6615,2.0186,2.4358,1.9229,1.3658,1.6244,1.3393,1.6556,1.6355,0.4595,6.5327,1.9148,0.8938,22.3184,20.7925,4.4533,2.4839,1.756,1.3093,0.2406,314.7028,2.7171,2.7962,0.6731,1.3083,1.4373,2.7668,2.1953,15.096,6.3042,11.0344,4.069,6.2353,0,7526.924,2.0396,3.4789,82.9784,36.1023,0.0
BGD_B05_06,3.2787,0.6088,12.5083,0.2137,0.2228,6.279,5.7184,0.3983,2.1974,3113.8372,21.6343,0.6365,1.3776,12.9689,16.1476,1.2773,0.7738,0.7377,1.2219,0.9336,0.3281,1.1291,118.9413,0.7153,25.2384,3.9664,6.7214,0.9898,1.5232,0.758,0.2165,1.3324,0.3714,0.6635,0.1088,0.3994,0.9282,0.9056,0.6724,2.4588,1.0889,1.1095,0.464,1.4269,0,29.9789,0.0095,0.081,139.8444,1.4771,0.0
BGD_B07_08,0.9243,0.083,0.4821,0.4008,0.0871,0.884,0.5955,0.0458,0.5307,8.8959,8.5296,0.213,0.2865,51.8844,15.0842,0.4921,0.1683,0.2679,0.2055,0.1405,0.0408,0.5775,1.8468,0.2267,96.9784,0.2986,0.2431,0.0155,0.0147,0.08,0.0051,0.0851,0.0196,0.0323,0.0063,0.0153,0.2268,0.0713,0.0679,0.4843,0.0607,0.0656,0.0383,0.1152,0,3.1984,0.0015,0.0128,7.6664,0.0853,0.0
BGD_B09,0.136,0.0844,4.993,0.151,0.2651,0.1791,0.1239,0.0095,0.1494,43.1806,0.5314,0.0163,0.049,1.8244,2.1657,0.1182,0.0181,0.0188,0.0535,0.0196,0.0096,0.0328,1.5518,0.0321,9.6247,0.1162,0.2233,0.022,0.0259,0.0457,0.0034,0.0195,0.0119,0.0192,0.0044,0.0119,0.0718,0.0606,0.027,0.0969,0.0153,0.0246,0.0111,0.0256,0,0.5483,0.0006,0.0059,76.1246,0.0015,0.0
BGD_C10T12,1845.3729,176.4018,2.2266,0.2281,0.1161,4261.9417,247.6046,3.6893,27.3784,51.5758,290.8122,65.0161,20.8705,13.3919,9.8195,6.5233,7.2843,6.8303,7.9756,7.1966,1.8147,19.5775,11.958,6.6856,91.755,173.9888,15.2352,12.5361,8.9118,8.7761,1.0752,1919.5165,16.7717,11.9288,3.4043,9.0924,10.6002,18.6552,17.7556,147.8846,108.1375,168.322,45.3931,73.9288,0,22926.8245,2.8945,7.8572,145.0132,36.0343,0.0
BGD_C13T15,38.4968,14.7361,5.1747,0.2861,0.2541,74.7795,9893.6331,9.1494,37.2261,36.5524,37.4261,10.7848,47.7901,25.0314,16.8203,18.3175,18.5106,16.0998,21.4605,51.8915,8.4739,114.9347,12.3633,8.7555,226.3801,82.4168,20.7684,4.0602,6.2833,5.6701,2.5875,27.6007,11.9011,12.4891,2.4018,6.3899,6.2002,15.4994,16.0462,80.5204,16.743,50.2636,15.1232,74.0058,0,5855.4346,1.3096,4.3693,308.2657,62.13,0.0
BGD_C16,17.012,2.3725,0.9426,0.1734,0.0496,24.3841,30.9082,306.459,51.5494,4.9314,14.835,1.7133,12.4693,31.8136,8.4233,14.5794,5.6354,9.4568,8.8986,23.3312,9.3189,330.9169,14.6681,2.0914,1357.0382,24.0627,4.5262,0.5395,0.485,2.5769,0.2547,3.4827,2.7957,1.6192,0.3696,0.9136,15.6723,4.1285,3.3005,5.3934,3.5283,3.8042,2.5786,21.1949,0,287.052,0.2063,0.3258,175.5976,2.8527,0.0
BGD_C17_18,32.2853,6.767,2.0857,0.2891,0.1056,372.555,275.4959,26.045,1529.1123,24.2744,107.9442,51.9216,68.2833,100.3977,19.7532,23.2566,39.9818,44.5457,26.2273,24.6754,4.6399,79.5654,13.0693,10.0939,143.0115,206.4454,18.5204,2.4254,3.2652,12.4198,9.793,33.6365,376.2123,37.8428,12.0246,54.4367,16.6931,94.0355,39.4711,128.6526,87.4174,51.1873,27.8386,72.8402,0,1258.8538,0.527,2.8269,168.9726,7.4967,0.0
BGD_C19,379.4722,110.5606,38.9561,5.7062,3.2433,128.0223,194.7771,22.5394,47.5655,3426.9855,516.0111,23.5766,77.4209,264.6904,169.8071,42.6529,25.1784,36.5377,32.0032,39.1096,12.4332,67.8155,237.6025,52.0635,1254.3947,307.0258,1208.9295,190.2114,364.8332,61.9856,21.4158,36.0156,17.5748,35.6152,5.8229,26.0283,24.2533,42.9271,51.5139,204.4317,43.8262,67.3434,19.9791,96.8402,0,4967.008,0.1376,3.3841,216.8522,23.6116,0.0
BGD_C20,455.8651,8.0816,15.8342,1.9809,1.0512,143.8569,680.7827,49.1649,203.5363,843.7135,1940.1473,164.3504,917.7144,208.0299,101.2696,70.1928,85.363,119.4854,53.9923,93.248,21.0699,140.4058,28.3726,21.7452,601.8113,71.7864,20.3947,3.2793,4.595,5.9466,1.0067,20.0821,24.4141,5.2085,1.7292,4.5365,21.7142,21.8727,20.0581,33.7155,20.6214,108.3538,9.7159,70.7593,0,1553.144,0.5765,4.2941,136.2421,11.0322,0.0
BGD_C21,36.0417,1.3344,0.537,0.0514,0.0267,20.5521,18.2425,0.7744,2.9517,9.4792,41.6704,258.6305,11.5407,3.3772,2.1888,1.3492,2.3782,2.4228,1.8763,1.7732,0.4942,4.7163,0.8842,0.7972,15.42,7.0202,1.5045,0.4316,0.5705,0.4998,0.1594,1.7563,1.057,1.0676,0.2546,0.7913,0.6382,7.2625,1.043,15.9559,4.1745,375.5092,1.5133,4.9788,0,1249.4187,0.4485,47.1588,86.4074,1.7539,0.0
BGD_C22,39.7323,7.3526,4.3539,0.5707,0.3389,214.6628,276.7765,13.5465,62.6968,42.6474,115.4976,33.8817,423.8487,70.8692,21.3205,41.7814,94.3348,110.4081,85.0584,217.8453,23.0711,126.9178,7.3448,11.813,1097.6515,122.1316,73.7277,1.7257,3.1812,7.9973,2.1411,13.7746,11.3283,8.0321,1.9029,4.2633,12.5899,12.2568,9.7724,20.289,6.9622,20.1549,4.59,40.6629,0,683.5171,0.04,0.8978,242.7655,4.345,0.0
BGD_C23,15.9846,1.4877,2.6411,0.6558,0.306,64.0767,32.6075,8.4023,5.0379,18.8904,33.0223,11.8981,26.1511,627.5769,40.9247,24.3727,28.8551,30.9534,17.04,40.3875,8.3652,27.8865,8.6453,4.8748,3728.0882,25.402,7.2636,1.1583,1.2782,2.4673,0.2926,8.5878,1.9352,3.6176,0.5763,1.5989,23.9416,6.417,3.4764,11.9114,5.1179,7.5039,2.0731,8.9814,0,547.4032,0.0775,0.7526,287.3011,6.0181,0.0
BGD_C24,4.8096,0.5431,11.3807,0.2682,0.5795,16.1228,23.9335,5.7648,10.4334,20.3164,36.3011,3.6873,35.4775,77.2742,1835.2029,819.0319,157.1426,519.6621,408.2444,364.7973,81.6281,203.6442,12.414,18.3764,1449.5962,21.7984,8.2095,1.0148,0.7344,2.9785,0.0712,0.8172,1.6143,2.0247,0.2935,0.6525,4.3632,5.979,1.8549,3.7035,1.1912,1.9415,0.708,14.2759,0,16.2688,0.0268,0.3449,517.7597,8.5915,0.0
BGD_C25,19.5309,3.7035,9.4742,0.4736,0.5285,63.5545,61.6454,11.7022,10.8039,29.6892,27.9618,4.8779,27.8978,40.0293,81.3597,252.751,56.3799,80.1296,149.6969,153.4485,39.0345,89.5487,11.8542,6.4678,1216.3619,30.3447,11.1457,1.9493,2.3477,5.0006,0.4847,5.4461,2.9819,6.5351,1.0167,1.9072,7.696,9.0876,6.2472,24.7552,4.7784,6.1646,2.9473,25.9804,0,409.4558,0.1727,1.3478,1278.1859,2.7584,0.0
BGD_C26,4.4019,1.048,1.067,0.0617,0.0633,7.5074,13.7834,0.7894,3.2425,7.2669,4.6034,1.5891,3.7681,3.7386,3.4955,5.0163,307.2759,38.1947,18.966,20.6686,5.7375,17.2052,5.2257,1.3952,78.7474,16.8135,4.3273,0.8566,1.6976,1.6729,0.5875,2.1384,5.9485,42.0289,6.8,3.4849,1.5147,8.4354,3.4657,13.0333,5.1498,15.6527,2.4572,45.0754,0,573.3685,0.2084,1.6801,1897.8543,1.5362,0.0
BGD_C27,5.7655,1.7509,1.6454,0.1097,0.1032,8.6185,16.7234,1.2264,3.4516,8.5078,5.7671,1.313,5.7805,7.4767,12.6685,14.4399,106.2422,261.8332,56.5219,65.592,12.8484,35.6874,27.4632,2.4667,528.6113,25.0432,8.8121,1.2377,1.5633,2.5217,0.421,3.2599,3.2499,24.0665,1.8842,1.8439,4.0362,6.6216,3.9648,9.4445,2.9565,4.8164,2.615,36.5923,0,611.2233,0.1128,0.4073,1434.3214,2.5778,0.0
BGD_C28,17.384,3.0113,6.9307,0.4708,0.4069,16.2135,28.3193,2.8614,8.0527,22.4397,10.9172,2.4436,8.4001,16.582,14.945,18.7789,21.2713,25.718,136.0713,55.5598,13.8564,36.1503,11.955,3.2525,228.3179,19.5479,9.4434,2.188,3.2851,2.9525,0.422,2.4567,2.2057,5.6991,0.8672,1.4783,2.3443,4.6253,4.4195,9.2843,2.3284,4.4904,1.4585,11.9826,0,198.8599,0.0993,0.4546,2766.004,2.1884,0.0
BGD_C29,5.0325,0.8254,1.2106,0.0954,0.0602,7.2283,12.4214,0.8938,1.8291,4.8294,3.5982,0.8716,5.3083,5.4871,21.1895,10.1653,7.9452,14.2136,18.8741,501.8824,6.5359,16.175,1.9419,2.6666,54.3901,65.9806,34.5565,0.6762,1.3476,2.5601,0.6799,1.2703,0.9755,2.3772,0.392,0.9261,1.0448,2.3216,4.0927,6.4434,1.3239,2.1502,0.8805,7.7019,0,1298.4085,0.1693,0.6327,2942.1606,3.0199,0.0
BGD_C30,0.3232,2.0241,0.151,0.0085,0.0049,0.5099,0.7191,0.066,0.1252,0.4235,0.2232,0.0625,0.2684,0.251,0.3102,0.4949,0.7779,0.721,1.2749,7.4197,64.2543,10.0071,0.2298,0.1038,5.0128,1.8556,6.6442,5.0687,7.4928,0.6553,0.058,0.1164,0.0897,0.1711,0.0307,0.0746,0.0859,0.2428,0.5089,9.2619,0.1228,0.2315,0.1571,1.9128,0,119.3607,0.0043,0.5182,892.46,0.4547,0.0
BGD_C31T33,49.5076,11.9629,12.5543,0.8393,0.6489,43.2189,218.0064,15.3055,22.7199,57.3681,32.7306,10.6326,19.8694,39.5441,35.7439,24.7079,36.019,24.199,35.7871,36.2475,14.2221,229.3573,36.7064,12.2653,381.2893,55.5561,44.4675,12.5099,26.6758,11.6562,2.4505,16.2712,11.1488,28.2273,3.8473,14.4551,13.3083,19.759,17.2896,59.2313,27.5869,123.0286,19.8453,42.6547,0,1479.6794,0.3337,14.0444,1788.1226,0.3987,0.0
