V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T,BGR_HFCE,BGR_NPISH,BGR_GGFC,BGR_GFCF,BGR_INVNT,BGR_DPABR
BGR_A01_02,627.8404,0.0626,1.2584,2.2573,0.0871,438.674,9.8674,75.0052,12.6642,6.1148,31.9248,2.7925,3.9953,2.9855,11.4594,5.756,1.4435,2.7675,4.4882,2.9224,0.6416,4.0548,7.4396,2.5446,22.3392,61.007,12.2963,0.1605,1.1604,6.5258,0.6815,7.124,0.9149,3.6322,6.2764,2.3856,7.6722,6.887,12.9019,3.7658,0.8678,6.4727,3.5863,2.605,0.0,733.9726,0.2241,18.9585,75.0381,26.232,0.0
BGR_A03,0.3613,1.2792,0.0029,0.0043,0.0002,10.1824,0.0215,0.018,0.0063,0.0095,0.0433,0.0103,0.0065,0.0155,0.02,0.1695,0.0219,0.0052,0.0075,0.0043,0.001,0.0246,0.0122,0.0048,0.1526,3.159,0.0739,0.0018,0.0021,2.0654,0.0007,0.3862,0.0022,0.0071,0.0221,0.0068,0.0137,0.0297,0.0852,0.2394,0.0139,0.0155,0.0379,0.0368,0.0,17.7434,0.008,1.1746,0.0528,0.2152,0.0
BGR_B05_06,7.0218,0.024,2.1518,1.1043,0.0421,5.7065,0.703,2.4766,0.5464,24.6123,4.0467,0.874,0.5911,6.6321,11.0124,0.3299,0.0975,0.3992,0.725,0.1754,0.0615,1.2029,76.5888,0.5039,211.564,26.0937,63.9537,0.2029,0.1733,0.7638,0.1175,1.1025,0.1023,0.0989,4.5338,1.163,1.1269,0.6908,7.8314,0.2849,0.5315,0.908,0.3988,8.9947,0.0,49.8311,0.0,0.3833,8.4159,6.5988,0.0
BGR_B07_08,1.5433,0.019,0.0722,111.8972,0.2302,39.3481,0.3292,0.1636,1.3303,0.6215,52.0614,10.589,0.3923,1.8092,132.7191,16.823,1.1159,0.8123,22.1922,1.7582,0.469,2.7389,2.8577,5.4452,209.6984,11.3548,2.3074,0.0165,0.3449,4.1551,1.0276,13.325,1.046,0.6764,0.1772,0.2828,9.8897,4.6731,7.252,0.4803,0.2336,9.9474,4.4298,0.3254,0.0,18.1975,0.0026,1.7255,37.8215,15.0905,0.0
BGR_B09,0.1261,0.0069,1.7854,6.2579,0.4334,0.1176,0.0095,0.0029,0.0731,5.5811,0.1958,0.0046,0.0285,0.6432,3.5626,0.1129,0.001,0.0053,0.03,0.0008,0.0022,0.0088,1.2933,0.0749,2.5719,0.0554,0.273,0.0028,0.0059,0.0488,0.0001,0.0046,0.0001,0.0,0.0002,0.0,0.0995,0.0338,0.0136,0.0335,0.0014,0.0077,0.0079,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR_C10T12,30.7805,0.046,0.0575,0.5623,0.0129,1169.2021,0.4429,0.0961,0.0879,0.1863,0.9437,0.4523,0.224,0.2011,0.2723,0.3113,0.1267,0.0982,0.9873,0.1098,0.0531,0.5036,0.3335,0.0464,2.2724,24.0894,1.3949,0.1957,0.259,0.5455,0.1341,192.3828,0.0827,0.1529,0.4978,0.1457,2.0694,3.6836,3.3555,3.5269,1.3518,8.9254,5.5198,0.5608,0.0,2633.47,0.0001,0.0503,0.7542,51.5138,0.0
BGR_C13T15,3.6059,0.0117,0.2331,0.6763,0.0447,3.3395,242.4126,0.6814,1.668,1.0085,1.3061,4.8605,4.1821,0.7415,2.998,2.0597,0.3221,0.7199,0.9714,84.1136,0.1964,5.0788,3.5135,1.3146,6.6543,34.9909,3.3049,0.0231,0.3684,3.0282,0.0952,1.8669,0.5246,0.6676,0.2842,0.5221,6.6202,2.5536,6.0506,8.4101,0.1499,1.8098,2.7664,5.1458,0.0,384.3712,0.0003,0.3575,7.3522,16.5468,0.0
BGR_C16,6.8704,0.0121,0.2017,0.8987,0.028,6.2254,1.9431,91.215,1.2819,1.7328,8.9547,0.3025,2.122,0.6845,3.0828,3.0341,0.3649,2.8475,1.7783,0.708,0.2167,25.3341,1.5483,0.7916,15.4584,16.7972,2.8945,0.0173,0.1676,3.6062,0.3379,0.8307,0.7095,0.1775,0.3962,0.3782,6.7694,1.149,1.1863,0.7151,0.1309,0.4333,0.408,1.1522,0.0,79.0749,0.0099,0.495,5.2092,4.2744,0.0
BGR_C17_18,3.7674,0.0209,0.4774,0.6555,0.0386,44.286,3.2064,1.8262,216.5851,1.9612,13.6065,3.6215,3.516,4.9792,3.517,3.5313,3.2516,1.6533,5.2787,0.8366,1.9203,11.4126,1.8205,1.1205,4.701,87.1756,3.6121,0.0228,0.4512,2.4114,3.0461,4.8259,19.8242,1.1455,7.0499,42.9007,2.4583,49.9975,9.8974,60.8698,4.5242,10.7695,7.352,69.2553,0.0,91.4839,0.0062,0.4544,2.2388,9.0774,0.0
BGR_C19,109.1749,0.3982,1.1594,32.5988,0.5437,30.9313,3.5737,5.0989,1.9634,22.8422,8.9527,1.6275,2.8923,10.9825,44.1993,8.1314,0.5447,1.7003,2.4182,0.7397,0.3207,5.3693,15.5738,12.4659,96.8356,113.0256,497.3686,4.6033,38.9759,14.3463,8.3322,6.5488,0.6372,2.7034,1.7104,3.721,7.8191,4.3737,14.4411,1.567,1.9124,4.3012,1.9945,1.9986,0.0,383.1719,0.0006,0.4564,1.1007,19.407,0.0
