V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T,BLR_HFCE,BLR_NPISH,BLR_GGFC,BLR_GFCF,BLR_INVNT,BLR_DPABR
BLR_A01_02,1946.683,1.7635,1.1277,0.5525,0.4371,3354.8418,54.6394,143.4307,21.9418,2.0297,59.5505,7.701,16.4139,3.2935,2.9764,1.4727,1.4386,1.2696,3.3162,1.8471,0.5574,8.6751,5.419,1.4174,18.5929,29.4012,4.6525,4.9338,3.5878,1.802,0.2592,94.3233,1.9508,2.6885,1.7775,2.5561,2.216,4.4851,4.9194,14.5609,6.4888,11.1728,4.2959,6.5274,0,3126.6408,2.7267,72.6156,264.7326,206.4203,0.0
BLR_A03,0.8684,2.0589,0.0133,0.0063,0.0055,32.4632,0.0963,0.0515,0.0315,0.0255,0.2087,0.0302,0.0268,0.0297,0.0304,0.0154,0.0186,0.0158,0.041,0.0184,0.006,0.0706,0.024,0.0094,0.099,0.2285,0.0462,0.0834,0.0496,0.0145,0.0021,3.4224,0.0283,0.0305,0.0211,0.0186,0.0116,0.0404,0.024,0.1269,0.0556,0.114,0.0447,0.053,0,78.5399,0.1018,0.5332,0.7424,0.6736,0.0
BLR_B05_06,1.3019,0.0131,2.6144,0.4542,0.4077,2.8882,0.4357,0.2645,0.7435,124.9066,11.7313,0.169,0.433,3.3161,5.6072,0.2906,0.1292,0.1311,0.4139,0.1427,0.0702,0.2294,35.4341,0.1736,2.1104,0.7749,0.7516,0.3216,0.2287,0.1575,0.0306,0.3548,0.0622,0.1034,0.044,0.0861,0.1566,0.222,0.1304,0.4021,0.2438,0.2538,0.1224,0.229,0,0.9952,0.005,0.1253,7.973,5.8332,0.0
BLR_B07_08,1.7076,0.0139,0.2635,1.7832,0.3048,1.3022,0.1738,0.1281,0.4542,0.8918,10.8629,0.1612,0.2323,30.2049,14.0877,0.3529,0.1046,0.193,0.2963,0.1017,0.0354,0.436,1.2274,0.1774,21.8449,0.3314,0.2119,0.0474,0.04,0.0737,0.0053,0.0761,0.0233,0.0378,0.0199,0.0227,0.1175,0.0888,0.0617,0.3119,0.0503,0.0617,0.0377,0.0824,0,1.6706,0.0066,0.1647,3.3274,1.5583,0.0
BLR_B09,1.2706,0.082,12.822,3.8549,5.1018,0.964,0.0654,0.0685,0.6937,22.8219,3.744,0.0448,0.1939,6.1151,9.5081,0.3957,0.0223,0.0356,0.3102,0.0209,0.0257,0.0781,5.761,0.2047,12.4612,0.1942,0.6805,0.1754,0.1236,0.1234,0.0029,0.0361,0.0109,0.0147,0.0101,0.0135,0.1587,0.2812,0.068,0.2454,0.0235,0.0602,0.0271,0.0356,0,0.3129,0.0022,0.0584,37.925,0.0192,0.0
BLR_C10T12,939.5045,8.33,0.3906,0.3535,0.1487,1722.137,20.4981,2.735,6.7926,1.5783,97.8611,13.0125,3.829,2.8354,3.0133,1.5447,1.6364,1.5564,4.2038,1.486,0.4963,4.6036,2.9146,1.4129,7.2458,35.9003,3.6061,12.2625,6.0575,2.1336,0.1979,473.3067,3.5235,2.8308,2.2184,3.0303,1.5827,5.2798,4.0522,25.3004,19.688,35.8343,11.4276,12.8824,0,4183.0945,3.8643,26.4998,27.7877,199.8405,0.0
BLR_C13T15,15.6627,1.0129,0.9822,0.4274,0.3154,18.2631,869.0479,5.9131,11.4991,0.9837,12.0141,2.6754,15.58,5.1722,3.8904,3.4152,3.2296,2.9631,8.5784,12.8766,2.262,41.8376,2.6201,2.459,16.4841,22.5377,4.2794,3.9,3.3551,1.622,0.6196,8.4421,2.6996,2.6098,1.4317,1.9324,0.9664,5.9987,5.1093,24.3259,4.9673,17.765,5.8834,20.666,0,1355.8616,1.8236,10.3383,24.7104,93.9675,0.0
BLR_C16,4.5595,0.0547,0.0957,0.1089,0.0352,5.121,1.697,79.5424,5.4997,0.1833,2.7561,0.3231,1.6213,2.4083,1.2182,1.2862,0.5862,0.8814,1.8721,1.7684,0.7704,25.908,1.3223,0.3097,32.4771,3.0039,0.6367,0.4219,0.3381,0.3177,0.0331,0.5642,0.3774,0.3394,0.2037,0.2736,0.7894,0.6744,0.403,0.766,0.4296,0.9255,0.3561,1.4049,0,20.8954,0.1079,1.3237,13.8856,5.4197,0.0
BLR_C17_18,25.1206,0.499,0.44,0.567,0.1562,197.9286,24.011,25.7969,540.6585,1.017,57.3052,16.1361,24.9248,25.4661,6.5968,6.4509,8.9227,11.9531,14.6073,6.0521,1.4376,24.4203,4.2552,2.9345,13.4034,58.4336,5.5039,3.1207,2.8388,4.1456,2.3951,11.697,100.0325,11.2489,11.0665,23.0471,3.5957,38.0539,13.6884,38.1813,27.8988,17.6641,11.1383,20.1913,0,260.2273,0.7596,11.0915,29.8558,45.1312,0.0
BLR_C19,111.5189,3.3774,4.01,5.007,2.3633,38.699,11.8061,11.4015,7.9063,87.6212,104.7615,3.7477,10.8563,31.4146,29.3741,4.9705,4.4374,4.9316,8.6961,5.464,1.6484,9.9712,27.9335,5.9143,46.182,35.4607,129.9422,110.015,127.0631,7.5578,1.7541,6.8344,2.5172,4.8978,2.5719,4.8778,2.2718,8.0133,6.153,20.0365,5.0804,9.1296,2.9986,9.5765,0,197.8742,0.2089,5.7733,27.9951,43.8097,0.0
