V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,DEU_HFCE,DEU_NPISH,DEU_GGFC,DEU_GFCF,DEU_INVNT,DEU_DPABR
DEU_A01_02,2832.9037,0.7112,17.2698,41.5923,0.1635,26238.8366,84.892,2941.1454,187.841,25.6474,98.8748,17.3251,296.6398,27.1828,43.0538,62.2675,14.9584,17.0765,51.8629,144.9363,6.0516,172.5149,319.1226,47.7453,197.0666,683.2901,68.3212,39.5451,3.5672,55.1745,9.9596,484.5976,12.5664,20.4073,13.4907,37.9347,792.6075,75.2501,890.2833,583.2051,54.0071,364.7,30.2994,100.9333,0.0,21877.2317,6.6662,60.9487,1589.6986,601.2214,0.0
DEU_A03,0.0,26.2512,0.0,0.0,0.0,189.1003,0.0,0.0,0.4819,0.0,0.7643,0.1367,0.0,0.0,0.0,0.0,0.0,0.4647,0.5919,0.5264,0.0,2.4959,0.0,0.0,0.4991,3.2595,0.0,1.0212,0.0,0.0,0.0,64.5056,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.6073,0.0,19.1468,1.7281,0.0058,0.0,113.3852,0.0,0.0,0.0,4.3445,0.0
DEU_B05_06,10.8257,0.0843,45.9462,12.8784,0.2968,82.7247,8.2039,4.3143,44.0456,618.816,109.2061,6.3569,15.3222,56.8409,277.384,22.2497,6.077,9.042,46.7706,23.558,4.7521,9.6082,1545.8284,11.5075,18.6028,80.7923,17.5708,6.8694,5.8056,10.0594,3.2409,16.7208,3.5431,4.8249,2.4696,9.289,6.3695,16.5688,14.3114,30.6305,7.4975,41.5237,4.1464,7.3288,0.0,616.8857,0.0023,2.5458,19.3433,22.9116,0.0
DEU_B07_08,70.7767,1.8463,1.0127,200.2242,2.9045,58.5032,4.0916,13.9503,22.7209,13.8104,105.1599,13.7328,11.8568,1031.85,281.8108,15.3629,13.6302,14.6058,44.1828,40.4184,7.2664,38.7625,85.3401,9.9051,1718.81,41.5412,7.7171,0.6827,0.8011,3.8801,0.9836,15.0632,2.176,3.0543,0.418,0.6713,3.0473,10.3375,13.9221,186.3077,1.4203,37.9733,2.9203,4.1211,0.0,248.0666,0.044,4.7363,102.0999,62.9584,0.0
DEU_B09,0.1366,0.0062,2.0191,2.2139,0.3941,0.3356,0.006,0.0118,0.4248,15.1194,2.0182,0.0577,0.1495,2.7961,6.2278,0.6694,0.0145,0.0386,0.493,0.0331,0.0278,0.0703,6.4285,0.2245,10.3495,0.3104,0.5553,0.0546,0.037,0.4249,0.0011,0.0185,0.0013,0.0,0.0011,0.0003,0.6501,0.4515,0.1726,0.2788,0.0163,0.0957,0.0304,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU_C10T12,3389.2323,0.1927,6.2492,15.1834,0.203,28123.5957,53.6645,12.652,53.7355,40.4532,1740.8045,537.6555,47.9212,23.9686,49.0596,30.3415,26.1539,25.8036,64.3301,52.4852,11.78,66.3893,28.0492,5.4937,219.8271,136.188,8.0644,545.9545,144.2768,5.1856,2.7233,13079.8979,35.2355,4.8077,4.7992,10.5078,2.8388,39.5734,30.6418,3722.608,660.5592,8099.0315,108.551,273.5465,0.0,116383.7894,0.2288,727.6038,108.9671,2263.6894,0.0
DEU_C13T15,43.6726,20.2669,0.7036,1.2114,0.1943,56.5186,1345.2956,8.3198,26.5095,11.5698,37.567,44.0069,515.9424,10.5955,13.9077,77.8749,57.9745,67.5558,165.491,699.9743,46.9231,430.6237,16.2385,9.0166,238.9458,105.9613,9.7176,6.9104,3.2762,11.8425,21.8496,108.3066,13.997,5.4355,42.3831,24.6504,5.7706,28.306,115.1983,55.1496,21.9736,192.3736,39.9633,48.8142,0.0,16144.0136,0.0641,161.1653,226.2315,306.0574,0.0
DEU_C16,62.2899,0.8227,14.9604,28.4854,0.2272,203.7744,31.7574,4281.5055,278.6632,14.1141,254.0891,39.6651,76.2236,98.6427,85.3029,291.8673,113.4317,99.2926,375.4488,366.8755,492.5282,2080.952,147.0417,54.9176,4452.815,242.7487,16.9571,2.8505,2.2936,51.1719,7.9022,76.132,9.0328,35.63,9.2187,19.1791,91.9508,131.751,311.5601,144.3421,114.5609,83.1235,47.9035,697.5365,0.0,2455.5164,0.2498,6.426,2917.3094,206.3796,0.0
DEU_C17_18,60.2865,4.3866,8.1723,85.4255,0.3251,2725.8778,362.1131,129.97,11212.4199,51.6363,1457.3142,897.7979,493.4657,273.3515,129.7316,446.2049,580.5508,633.8601,679.8061,701.8721,77.4139,690.7575,144.5407,120.0788,547.4317,4936.6574,121.0347,15.747,19.9136,112.6261,265.972,120.144,3860.6603,460.1644,183.8671,783.2782,91.474,2338.1562,1644.6715,793.8079,272.5172,838.2996,148.4636,306.0408,0.0,8666.7945,5.0518,49.3442,429.3832,514.6215,0.0002
DEU_C19,997.0153,9.0016,18.949,139.5932,7.6531,320.7916,72.9403,83.6067,133.3478,2900.0761,3073.345,188.584,298.1205,557.963,811.8114,182.3266,112.162,202.9627,297.9573,512.4815,60.0285,156.9009,1059.1176,339.5589,2003.2897,2673.5956,1757.2198,876.0957,2940.9016,2169.8235,374.2478,168.5286,118.3169,84.1677,118.7633,76.965,73.208,672.2315,592.4231,605.8427,109.0047,304.0503,105.397,279.3091,0.0,18183.7482,2.3771,42.463,315.2201,402.3891,0.0005
