V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T,EGY_HFCE,EGY_NPISH,EGY_GGFC,EGY_GFCF,EGY_INVNT,EGY_DPABR
EGY_A01_02,2758.2787,0.421,40.5813,13.4743,5.0439,5556.7047,41.0188,0.7772,6.8904,0.2464,15.018,8.2465,1.7933,0.4431,0.5687,0.5205,0.1257,1.1363,0.1569,0.1295,0.0174,0.4094,0.669,0.0885,7.2356,1.5986,2.0819,2.7802,1.3635,1.4878,0.1081,217.981,0.1876,0.0894,0.0368,1.9508,2.631,0.6831,0.9666,5.9685,1.0246,11.106,0.1406,0.3255,0,20057.9929,0.0,0.0429,737.2907,480.8674,0.0
EGY_A03,0.0,10.4243,0.0,0.0,0.0,23.4242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0001,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,100.1578,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0894,0.0632,0.5314,0.0091,0.0057,0,2771.2679,0.0,0.0,0.0,61.1309,0.0
EGY_B05_06,0.333,62.4958,2492.0824,1.6838,2.8934,540.4669,115.086,134.4241,20.4598,10998.9116,58.9696,2.0181,3.0052,156.7936,205.1205,6.0838,0.2862,3.6274,0.0402,18.6208,0.0473,60.104,3378.7209,46.9672,56.2136,61.9245,824.4253,323.0841,391.3084,113.8686,0.489,449.2751,9.8775,43.726,2.6829,9.9716,1.2678,10.6255,12.7495,23.6474,4.5531,35.016,10.6654,17.3342,0,2862.7609,0.0,0.0,0.0218,1178.6449,0.0
EGY_B07_08,0.0,0.0,0.3775,25.9955,3.3783,0.2237,5.6357,0.6857,5.1692,3.9197,661.3292,39.3332,2.2759,201.8252,460.8763,3.4233,0.6434,8.3246,0.7038,2.3643,0.0232,9.6631,0.0047,0.0012,361.659,2.5014,0.3184,0.0018,0.0002,0.0059,0.0,22.4115,0.0008,0.0022,0.0002,0.174,0.0085,0.0719,0.1087,0.4019,0.4278,0.098,0.0064,0.057,0,353.5622,0.0,0.0,0.0,49.0987,0.0
EGY_B09,610.5518,13.329,18.0254,51.8825,12.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1961,0.0,0.0,0.0,0.0,4.0465,2.1917,0.0,0.0,0.0,0.0,40.3308,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
EGY_C10T12,906.4972,29.0995,11.6002,1.4382,0.4602,1103.0151,32.1229,0.5006,1.2065,0.2452,2.1641,0.9783,0.9438,2.9566,2.0589,2.148,0.1805,1.2641,0.9267,0.704,0.039,3.4929,4.8963,0.6114,7.4334,4.6094,12.8688,2.5956,11.0924,21.0909,0.1269,212.4431,0.2451,1.6842,0.0575,3.9857,1.4567,4.2279,1.8226,20.7395,20.1816,99.4811,6.4664,3.0412,0,17238.5764,0.0,0.0,429.6684,368.6634,0.0
EGY_C13T15,0.272,0.1392,0.2572,0.0692,0.1495,0.5059,1043.4317,1.7049,8.8105,0.2079,3.0117,2.0995,2.2045,0.2416,3.182,1.0724,0.6052,0.5826,0.1462,1.9503,0.1877,25.5632,0.1258,0.1283,5.6343,0.2666,0.1428,0.1507,1.9556,0.3037,0.0071,12.8268,0.1951,0.4115,0.0405,0.2526,0.065,2.9154,0.8513,0.9397,1.4382,7.5024,0.2712,1.1941,0,3452.2668,0.0,0.0,109.2759,92.7066,0.0
EGY_C16,0.2549,0.0121,0.3671,0.0564,0.1223,5.3641,1.582,94.359,4.3937,0.1082,0.8709,0.6504,0.9637,1.1631,15.1182,4.4451,0.4944,5.6256,0.6135,0.704,0.4614,506.0454,0.0269,0.0204,89.3138,0.5918,0.0545,0.0033,0.0151,0.0578,0.0089,0.4924,0.0133,0.0172,0.0102,0.2343,0.1401,1.8149,0.5669,0.3928,1.3614,1.8989,0.068,2.425,0,850.6444,0.0,0.0,89.3222,39.354,0.0
EGY_C17_18,1.5625,0.5098,0.9763,0.1376,0.1602,17.0679,5.1125,0.3356,172.2807,0.0892,1.9397,2.5578,0.7606,1.2247,4.4222,1.8086,0.2726,1.8603,0.4752,6.2519,0.1141,1.6201,1.5594,0.8133,17.8359,2.478,5.5616,5.6767,1.141,29.836,13.5273,33.9589,142.6425,0.7445,0.294,50.8039,10.127,23.656,7.215,3.2327,67.8687,52.6488,10.8539,5.7083,0,1658.4667,0.0,0.0004,347.7048,83.0787,0.0
EGY_C19,465.886,106.9945,73.5676,22.2871,1.4827,817.2511,105.5304,6.1071,51.403,17.9297,158.3561,13.7236,111.1391,382.9592,692.8068,37.3289,0.9506,20.8838,5.1328,1.2467,2.4247,14.2604,1476.0487,52.286,121.1648,113.6441,628.3506,870.6986,208.2297,268.412,5.4623,422.858,19.6288,9.9901,0.5105,8.032,11.4095,27.948,30.2849,30.5554,32.6909,47.2085,15.1161,56.6675,0,9935.2227,0.0,0.0,1.0331,351.0117,0.0
