V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T,GRC_HFCE,GRC_NPISH,GRC_GGFC,GRC_GFCF,GRC_INVNT,GRC_DPABR
GRC_A01_02,1937.2505,1.3133,13.1359,5.0869,0.041,3655.4634,24.6847,94.837,12.4136,8.2734,47.7227,13.8692,4.898,14.2275,33.5577,21.943,1.0288,2.1574,9.7184,0.5991,1.5643,14.3325,80.7173,48.3764,0.407,3.9849,1.6125,4.7355,0.5866,5.5871,0.0965,914.5147,0.8968,1.31,0.1385,0.6667,0.2497,1.4585,1.3291,60.8035,2.2229,4.9096,2.3907,28.7872,0.0,4754.5053,0.0,1.1965,166.6722,68.1881,0.0
GRC_A03,0.0,84.8432,0.0,0.0,0.0001,27.0537,1.0915,0.0,0.0,0.0,0.0,0.0129,2.2029,1.4647,0.0,1.0273,0.0,0.0,0.0,0.0,0.0,1.0929,0.0,0.0135,0.0,0.0,0.0,1.4279,0.0,0.0001,0.0,55.9157,0.0002,0.0,0.0002,0.0,0.0,0.0715,0.0003,0.2661,0.0263,0.1555,0.0077,5.9937,0.0,398.3927,0.0,0.1285,1.8669,6.9198,0.0
GRC_B05_06,0.0047,0.0,0.0001,0.0018,0.019,0.0082,0.0007,0.0199,0.0694,108.5158,0.0109,0.0033,0.0037,0.192,0.0366,0.0998,0.0611,0.0026,0.3312,0.0,0.6394,0.0653,64.0182,0.0385,0.0922,0.0724,0.0378,0.0012,0.0003,0.0037,0.0,0.0512,0.0011,0.0234,0.0055,0.0143,0.1594,0.0177,0.0045,0.0103,0.0113,0.0073,0.0042,0.0088,0.0,0.1886,0.0,0.284,1.1464,0.3506,0.0
GRC_B07_08,1.637,0.0315,0.0123,222.3255,0.4299,6.1675,0.1467,1.618,0.5881,193.4191,14.0242,1.871,0.3532,62.1391,25.5452,0.7639,0.6678,0.0653,0.1203,0.0062,0.0381,0.1636,15.0324,1.6648,18.3178,2.9363,1.4986,0.4161,0.4676,0.1909,0.0821,5.8755,0.0898,1.1358,0.2316,0.506,3.135,1.2342,0.7005,1.0049,0.4832,0.8739,0.3651,0.3845,0.0,12.6795,0.0,11.7936,15.494,2.0443,0.0
GRC_B09,0.1948,0.054,0.3473,3.3651,0.4039,0.1927,0.0034,0.0007,0.1002,19.0007,0.2182,0.0112,0.0249,0.9447,1.662,0.0935,0.0007,0.0023,0.0105,0.0001,0.0016,0.0086,3.5945,0.1341,1.9411,0.1386,0.2401,0.156,0.0215,0.0836,0.0001,0.0254,0.0003,0.0,0.0002,0.0001,0.7258,0.0801,0.0172,0.1768,0.009,0.0254,0.0134,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC_C10T12,637.0855,4.2118,0.0037,0.0177,0.0254,1083.032,4.2625,4.7966,1.7113,0.6958,3.6964,4.4679,0.7889,0.1113,12.1627,16.6208,5.7067,11.9817,9.7122,0.0966,0.7044,0.6344,0.2094,0.2828,0.3114,10.6945,1.0773,58.2863,0.0896,0.0467,0.0177,3136.2513,11.4239,0.0555,0.0102,1.1562,0.0875,8.3755,12.3715,60.99,25.5644,143.1821,0.354,62.2295,0.0,9487.916,0.0,0.4128,0.8768,55.1059,0.0
GRC_C13T15,12.2342,6.5407,0.0221,0.1351,0.0364,20.1745,160.9326,0.1846,3.0299,4.0801,1.6644,2.6406,2.2244,1.6253,2.4838,2.8029,0.5611,0.5055,0.5394,0.2534,0.4876,4.7485,3.6264,5.4511,2.3522,94.9635,1.6344,1.5049,1.565,0.3078,0.1595,30.7109,1.5799,7.6606,3.7151,24.8986,0.8949,10.1219,1.9526,10.6162,4.2012,7.2733,9.4967,6.5089,0.0,1172.7262,0.0001,2.6981,5.8939,6.8358,0.0
GRC_C16,7.3389,2.1948,0.0027,1.3988,0.0277,56.6146,2.5995,50.2527,2.3171,1.1527,4.9018,5.6442,1.4615,2.8202,3.9043,6.0391,0.6979,1.3132,1.7804,0.6036,1.1316,79.7768,14.5595,0.6874,18.9741,0.8053,0.8651,0.5667,0.6788,0.5719,0.1475,5.075,4.2885,0.1731,0.1245,0.2066,4.6643,3.7322,0.3822,1.0661,0.2127,1.9271,0.1045,5.0468,0.0,38.4935,0.0004,1.2338,12.2244,1.1932,0.0
GRC_C17_18,4.4281,1.3025,0.3035,0.2365,0.0446,66.4331,5.6755,1.6499,431.7491,2.7653,5.8837,13.5112,12.6594,4.7291,3.363,3.1777,0.4379,3.4414,0.8059,1.2419,1.031,1.828,16.8317,1.9513,10.1363,120.9101,17.2528,3.6708,4.6921,2.0344,0.9837,270.778,33.5055,11.3562,8.1619,37.1265,3.8247,105.5218,87.0008,72.0369,14.652,10.117,25.0565,36.9397,0.0,425.8147,0.0061,2.9119,23.9303,5.3345,0.0
GRC_C19,451.2643,39.3111,4.2244,12.1074,1.8368,160.5021,10.5496,2.6905,9.0668,782.9193,149.8554,12.5282,12.2134,40.6633,65.5236,42.9164,2.3734,3.7746,7.5774,1.894,1.9386,13.5962,807.007,57.0613,37.932,430.9135,261.9544,1625.35,199.0857,275.9568,47.0975,160.7882,1.8055,18.8996,8.9369,10.3387,2.4424,66.2852,50.7924,169.2614,41.2134,49.4405,37.257,36.2613,0.0,2923.3115,0.0055,4.9907,54.7627,46.3641,0.0
