V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T,LVA_HFCE,LVA_NPISH,LVA_GGFC,LVA_GFCF,LVA_INVNT,LVA_DPABR
LVA_A01_02,530.8233,2.4962,0.0034,0.4852,0.0305,327.2569,1.6161,430.9217,0.5116,0.0058,43.2524,0.8138,0.3413,1.171,0.1264,0.9201,0.2139,0.3663,0.7236,0.2678,0.4855,4.9239,36.0994,0.8246,8.2637,34.387,18.064,0.1786,4.6512,1.3743,0.2737,9.5718,0.3248,0.5189,0.9937,0.6396,5.2584,3.0282,3.6816,4.1578,4.6366,3.1266,2.4872,3.5794,0.0,537.2044,0.3746,22.1063,17.7102,29.1145,0.0
LVA_A03,4.4226,1.5941,0.0007,0.0848,0.001,12.5518,0.0415,1.4714,0.1124,0.0005,0.1198,0.0459,0.0346,0.106,0.0082,0.1688,0.0275,0.053,0.0363,0.0552,0.0153,0.1983,0.5046,0.0669,0.4482,1.9432,0.7786,0.0339,0.4067,0.5192,0.0121,0.9347,0.0306,0.0574,0.0634,0.0498,0.2185,0.211,0.2561,0.1981,0.1034,0.2585,0.0926,1.2163,0.0,16.1651,0.0641,2.2954,4.5081,0.5581,0.0
LVA_B05_06,0.0836,0.0,0.002,0.0513,0.0002,0.0009,0.0001,0.0041,0.0063,0.0,0.0042,0.0,0.0006,0.0002,0.0002,0.0001,0.0004,0.0,0.0002,0.0006,0.0,0.0004,0.7934,0.002,0.0042,0.0025,0.0009,0.0,0.0009,0.0005,0.0,0.0001,0.0005,0.0014,0.004,0.0009,0.0006,0.0009,0.0065,0.0593,0.0182,0.0006,0.0003,0.0051,0.0,0.0165,0.0,0.0001,0.0084,0.0107,0.0
LVA_B07_08,3.8812,0.0133,0.0843,37.1954,0.1568,1.159,0.0706,0.4875,0.0181,0.0007,7.3252,0.0088,0.1453,57.5183,0.3789,1.1227,0.0514,0.0152,0.0347,0.0104,0.024,0.8963,22.4529,1.334,134.76,0.6599,0.7789,0.0002,0.0004,0.7933,0.0297,0.1148,1.3327,0.0489,0.0408,0.0153,0.7836,0.1884,7.8356,0.6087,0.8604,1.0415,0.5047,0.6991,0.0,4.238,0.0,0.0012,0.0344,4.6579,0.0
LVA_B09,0.0159,0.0027,0.0012,0.2487,0.0084,0.0185,0.0003,0.0037,0.0055,0.0013,0.0202,0.0008,0.0015,0.0967,0.0155,0.0118,0.0002,0.0003,0.0015,0.0001,0.0001,0.0015,0.2575,0.0053,0.4673,0.013,0.0472,0.0006,0.0031,0.0305,0.0,0.0008,0.0,0.0,0.0,0.0,0.0154,0.0075,0.003,0.0085,0.0005,0.0014,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA_C10T12,17.6755,0.9487,0.0005,0.0427,0.0,238.6667,0.0138,0.0771,0.0251,0.0001,0.5011,0.0075,0.0248,0.2291,0.0084,0.0224,0.0119,0.0058,0.0221,0.0107,0.0122,0.0504,0.0519,0.0313,0.1391,14.0975,0.5792,0.0087,0.9153,0.0921,0.0043,105.8516,0.7607,0.02,0.3281,0.1356,1.0649,0.815,0.4359,1.997,17.0073,6.2293,4.9741,0.3668,0.0,1388.1333,12.9644,1.3525,0.0112,31.8117,0.0
LVA_C13T15,4.0065,0.0536,0.001,0.0819,0.0007,1.4748,28.5411,0.5473,0.7369,0.0006,0.1245,0.2714,0.2927,0.0865,0.0248,1.6161,0.0367,0.2337,0.1364,0.1108,0.0345,3.6098,0.5174,0.2617,1.6533,3.8028,0.7781,0.0107,0.3225,0.7177,0.0887,1.7854,0.0592,0.056,0.2522,0.0302,0.5622,0.3677,2.1017,3.4294,1.0988,1.6472,1.7206,1.1704,0.0,180.3039,0.002,0.0933,1.2974,4.3513,0.0
LVA_C16,51.2193,0.2384,0.0823,5.5377,0.0381,18.0925,0.2924,482.2233,2.4864,0.0031,1.6196,0.1755,1.3766,4.9891,0.2633,1.7605,0.1944,0.9509,2.3719,1.9342,0.6254,61.0356,18.6261,1.5843,42.2781,39.1952,8.8659,0.1287,2.3307,3.6109,0.1094,1.4776,0.126,0.1835,0.4859,0.3077,44.1692,1.9528,2.0797,1.9988,1.7328,2.0899,1.1397,5.5205,0.0,48.0453,0.0405,1.6571,16.9532,22.4578,0.0
LVA_C17_18,3.7948,0.0877,0.0014,0.1365,0.0021,13.3102,0.2578,3.5258,46.8535,0.0068,1.0842,2.149,0.8685,0.8679,0.1006,0.2565,0.0737,0.1001,0.1885,0.0587,0.0535,1.2475,0.4266,0.6678,1.1901,24.3761,1.5073,0.0257,0.8629,0.6777,5.5675,2.3448,26.1474,0.1406,2.5184,20.2101,4.2357,9.7165,8.1626,10.3827,6.1288,2.4475,5.0682,3.7294,0.0,63.8712,0.1243,0.9896,0.517,2.5639,0.0
LVA_C19,0.2353,0.0064,0.0001,0.0174,0.0001,0.0524,0.0016,0.0403,0.0016,0.0004,0.0479,0.0033,0.0017,0.0232,0.0006,0.0064,0.0013,0.0019,0.0027,0.0007,0.0009,0.0159,0.0177,0.0189,0.123,0.1983,0.9536,0.0046,0.2272,0.1389,0.0061,0.0088,0.006,0.0031,0.0094,0.004,0.0078,0.0231,0.0447,0.0361,0.011,0.0204,0.0071,0.0047,0.0,0.7857,0.0002,0.0013,0.0106,0.0259,0.0
