V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T,MMR_HFCE,MMR_NPISH,MMR_GGFC,MMR_GFCF,MMR_INVNT,MMR_DPABR
MMR_A01_02,20154.9041,207.0419,73.9207,30.1177,0.5914,5692.8869,824.5321,328.8181,75.438,11.802,241.3462,98.8625,154.8602,13.5255,7.7362,6.5226,8.6034,4.5234,6.0934,9.5363,2.2865,114.8075,31.5229,7.3224,232.6632,1083.1901,42.4565,24.6926,11.7562,27.9182,1.2731,741.3774,19.8599,25.303,9.0812,24.9221,78.1011,80.0437,127.2643,403.1334,206.6806,269.9285,69.8703,107.6056,0,10069.0015,5.8187,651.5201,1691.1221,113.8908,0.0
MMR_A03,141.7296,3757.597,12.59,5.8462,0.087,776.5728,18.6098,4.2564,2.1914,2.0601,11.278,3.991,1.7269,1.642,1.1719,1.2349,1.651,1.0541,1.2364,1.3379,0.3144,18.7982,1.4466,0.4705,9.2224,107.5246,5.5811,8.9683,2.7609,3.504,0.2413,423.5211,6.01,8.5206,3.0113,4.9331,8.3956,11.6119,5.9553,62.2335,29.7108,43.9989,11.0596,12.5182,0,2800.646,3.0929,62.8236,62.3579,42.4769,0.0
MMR_B05_06,7.5316,1.7049,194.0271,16.742,0.5655,1.8521,2.2665,0.7628,1.3952,847.342,7.3452,0.4515,0.905,8.8166,10.7294,1.0073,0.9629,0.623,1.0606,0.9741,0.2398,1.4198,78.0788,0.4966,12.5091,10.8117,12.7491,2.8359,4.807,2.2057,0.3168,0.7909,0.5143,1.8091,0.3285,1.4974,3.6358,2.2553,1.4443,4.1517,1.9553,1.8938,0.5798,1.1657,0,17.7392,0.0176,2.3166,128.0991,2.5291,0.0
MMR_B07_08,8.9236,0.9084,94.3406,404.5814,2.883,1.6585,1.576,0.6148,2.1707,33.3407,31.6885,1.3406,1.4261,247.8387,448.9592,7.2861,1.9267,3.2666,1.6608,1.4291,0.391,5.8182,13.4375,1.1302,295.3352,5.1725,2.6952,0.2098,0.2305,1.7634,0.0502,0.4275,0.212,0.6633,0.1364,0.4435,6.575,1.9536,1.3175,4.7575,0.8035,0.9222,0.4229,0.9941,0,67.8561,0.0265,3.084,48.3812,5.7173,0.0
MMR_B09,0.0521,0.0254,17.7199,2.6984,0.1448,0.012,0.0103,0.0036,0.0189,2.7199,0.039,0.0023,0.0067,0.2616,0.3177,0.0181,0.0042,0.003,0.008,0.0041,0.0013,0.0075,0.2326,0.0082,0.8709,0.0505,0.0617,0.008,0.0097,0.0222,0.0008,0.0032,0.0027,0.008,0.0022,0.007,0.0552,0.0327,0.0115,0.0279,0.0054,0.0079,0.0025,0.0038,0,0.0821,0.0003,0.0356,13.8687,0.0001,0.0
MMR_C10T12,1974.6765,188.301,25.1841,11.8291,0.1874,654.856,72.9154,4.0134,13.286,11.5793,83.3846,34.5956,7.9527,5.9613,3.9204,3.1918,5.2752,3.2354,3.969,4.1334,0.7726,16.4121,6.0956,2.2613,29.4476,318.833,16.0749,22.7159,15.2518,17.9765,0.9874,659.3566,18.8664,21.5318,8.0388,27.5208,29.3886,38.1354,30.5649,189.097,161.2971,208.8071,47.0736,47.74,0,3962.0757,2.4839,68.5894,47.862,-89.5695,0.0
MMR_C13T15,29.918,13.8701,62.6938,13.569,0.4268,7.5024,2319.5366,6.9132,13.9733,4.3123,5.7845,3.531,16.3066,8.9647,5.4129,6.4753,10.4459,5.276,7.4877,30.1654,3.3836,93.2253,4.6381,3.3087,54.2384,120.6262,15.2154,4.1721,6.1311,9.3536,2.6361,9.6422,9.5177,16.398,3.6564,14.3802,12.8801,29.6201,27.2556,108.5678,23.2388,62.0708,15.1542,50.171,0,2569.7019,2.5227,62.0494,83.6548,-2.5253,0.0
MMR_C16,12.4213,1.8901,7.6575,7.1852,0.0669,2.7446,5.2862,274.7885,16.114,0.7666,2.7101,0.578,3.9962,11.3725,2.9902,5.4662,3.1644,3.4959,3.159,10.5055,3.1951,187.9955,5.4104,0.4828,311.0058,24.9607,3.0303,0.4822,0.4023,3.2455,0.1523,0.9089,1.9332,1.8206,0.5165,1.4645,32.2746,5.2302,3.2562,3.7686,2.987,2.8325,1.4592,8.1253,0,76.497,0.2635,3.0973,81.1388,1.1582,0.0
MMR_C17_18,8.1428,1.7246,6.4291,3.7298,0.051,13.1293,14.8601,8.1644,202.6858,1.3971,6.9706,6.1445,7.7074,12.5959,2.5703,3.0712,7.9574,5.8013,3.2823,3.9581,0.5295,15.7647,1.6631,0.898,11.6116,78.0037,4.5562,0.8394,1.1697,5.6908,2.2331,2.7628,71.6847,16.5658,6.6976,36.6708,10.8409,39.6738,15.2033,34.259,27.1962,14.1761,5.7658,9.7638,0,153.7235,0.3148,19.8763,36.208,-1.1369,0.0
MMR_C19,105.6982,29.7113,142.0066,90.5014,1.8567,5.1527,11.9775,8.3576,6.9609,212.549,39.7738,3.3816,11.1956,38.9513,24.7951,6.5586,5.5469,5.5947,4.613,7.1989,1.6494,14.9496,36.0798,5.5806,118.0462,135.3078,350.6154,80.0073,159.6243,32.9873,5.6227,3.5046,4.7188,17.1852,3.4806,19.1862,17.7633,23.6451,19.9402,62.1148,15.4605,21.4751,4.78,14.9851,0,368.3378,0.0432,4.1801,29.9065,-5.2772,0.0
