V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_A01_02,2280.1372,38.8534,9.2981,4.3447,17.6653,13569.2352,763.613,1252.9748,815.8191,0.6867,16.8142,4.3301,1670.8371,9.3819,5.8414,14.2474,157.4871,17.9675,32.8947,22.0441,659.3439,93.8075,0.0876,3.122,2.2355,1626.6625,0.3235,0.2744,2.4152,0.7434,2.6255,942.5978,9.831,65.3716,1.6582,102.2515,27.4105,20.3629,14.9267,130.1935,65.0604,12.9237,8.4403,0.09,0.0,7309.556,0.462,10.5757,1642.5359,128.1067,0.0
MYS_A03,3.0533,33.2324,0.2759,0.1379,0.5013,758.5957,0.2159,0.0085,0.0368,0.0198,0.632,0.1012,0.5193,0.1443,0.0772,0.0894,2.9731,0.4284,0.1673,0.3514,0.0472,0.1102,0.0011,0.0952,0.0346,203.9601,0.0045,0.0037,0.0376,0.0148,0.08,880.557,0.2978,1.9741,0.0453,3.0672,0.429,0.5528,0.3876,3.5036,0.9689,0.3744,0.2495,0.0017,0.0,2148.8415,0.0688,0.0679,1.2214,16.5263,0.0
MYS_B05_06,14.9068,0.892,2745.6268,6.4406,52.2471,300.4365,2.0366,3.0363,3.611,15495.7539,1109.5327,0.7049,7.1391,33.5357,8.6608,7.2855,43.9061,6.1222,12.9465,8.3978,1.8095,18.9237,1390.6224,0.3127,287.1776,33.1594,3.5625,4.5519,7.4008,10.644,1.2739,2.8621,1.416,7.7276,0.4937,8.5997,1.7429,4.5751,5.1126,9.5146,3.1444,2.0483,2.2309,0.0822,0.0,45.2784,0.0092,6.812,89.9931,-28.2807,0.0
MYS_B07_08,3.5103,0.1443,0.5727,0.4723,41.509,2.0759,0.3025,0.0847,4.97,0.9036,10.4315,0.5031,9.4066,623.7763,363.9736,18.36,17.5745,13.7008,30.5687,19.8659,5.0678,57.6194,13.0511,0.0806,1018.7824,6.2205,0.0417,0.0723,0.131,0.4038,0.0712,0.3031,0.233,1.5556,0.2177,2.2965,1.3726,0.5318,0.4339,2.723,0.7184,0.225,0.2208,0.0021,0.0,6.2226,0.0027,0.4935,22.3933,7.9052,0.0
MYS_B09,11.8567,12.8889,1925.5813,119.1129,512.1838,9.7992,0.1875,0.5367,9.4213,1032.3721,57.9132,0.1334,4.6038,102.5985,144.1191,11.405,2.2627,0.5376,2.3203,0.2136,0.2811,0.6649,87.2952,4.2772,232.5696,7.6124,6.1039,0.7844,1.0528,3.9652,0.0039,0.4958,0.0159,0.0,0.0133,0.008,4.7577,3.2282,0.9797,4.0885,0.2657,0.5503,0.5008,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS_C10T12,2461.955,447.0838,4.7069,12.0396,4.025,16725.0904,46.6686,7.4624,16.4619,37.1457,302.361,8.9882,80.2567,14.6229,17.8345,26.1637,19.7458,7.3475,5.3616,3.0801,1.3498,7.3471,8.3346,1.7392,21.3955,3174.4815,10.9031,1.0763,5.3046,9.7614,1.2093,5039.8815,1.6494,2.3295,1.0375,4.1237,10.5654,2.7111,2.6535,290.9298,77.8493,181.6767,122.4122,0.602,0.0,16090.6394,0.8345,1.5085,10.656,31.6182,0.0
MYS_C13T15,2.9046,0.1786,0.4483,0.2052,1.9412,73.7696,643.1794,3.8279,69.9352,0.2603,11.2154,10.5715,32.5738,9.3416,3.6426,4.8435,13.3613,5.932,8.2203,45.3919,3.1565,47.7556,0.2133,0.9627,6.6365,522.8158,3.1263,0.6828,0.4735,3.8003,5.9156,34.1328,1.8324,1.9196,6.4861,77.8106,0.7647,2.9085,7.1478,69.2689,4.5382,5.9023,1.8991,0.474,0.0,1709.255,0.1317,1.3755,1.5481,-347.8672,0.0
MYS_C16,26.0244,2.3409,0.8538,0.8753,2.2519,23.7214,15.112,1310.3552,87.4528,1.6546,59.8246,0.2495,21.9237,42.4052,47.1292,74.7994,182.1501,14.4607,20.782,10.0215,28.4279,619.4561,0.0426,0.107,1570.7714,6.2126,0.1275,0.3684,0.302,0.4034,0.0849,0.2908,0.1147,0.6595,0.1047,1.0452,0.7342,0.2974,0.4733,6.7545,1.4493,0.5892,1.2573,0.021,0.0,117.2597,0.0467,0.0,2.5658,-3.6868,0.0
MYS_C17_18,1.8686,0.3787,38.0328,3.571,2.7307,97.3422,16.218,35.095,1006.4401,1.009,45.0997,3.2502,43.8655,33.281,28.2881,32.9897,157.4549,10.2599,10.4256,16.3319,4.5489,31.8007,0.2586,0.3421,3.7379,585.5818,46.1324,45.5576,2.8678,63.7663,19.6652,113.2759,64.8129,76.425,116.0897,301.79,22.0433,141.8123,94.6971,103.1738,209.0747,39.575,24.0472,5.5488,0.0,2117.6765,0.0882,0.1377,1263.5924,-17.6492,0.0
MYS_C19,567.1283,294.7636,151.6165,187.3505,87.9703,670.666,98.865,178.6794,204.3026,710.6661,3957.0024,13.9534,343.4122,554.1454,679.9654,452.345,376.1458,72.2804,97.9376,63.0616,46.4688,193.5907,1350.493,81.9789,1881.0091,1520.0851,1726.0344,85.7408,740.8834,1209.1655,131.3663,280.6094,134.5794,85.6823,73.3155,75.9582,1061.4894,178.9074,178.0184,193.7536,59.5794,65.617,183.986,20.7542,0.0,4378.9454,0.007,0.0026,54.0893,-154.2372,0.0
