V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T,ROU_HFCE,ROU_NPISH,ROU_GGFC,ROU_GFCF,ROU_INVNT,ROU_DPABR
ROU_A01_02,3235.4701,45.4089,0.0191,0.0113,0.024,4536.5001,91.1961,531.3432,102.4051,1.6704,3.353,0.3794,1.6442,2.244,0.3688,0.104,0.8643,0.8936,1.1934,0.5568,0.3716,114.4466,1.3199,0.9024,52.7196,207.6887,7.9567,0.4948,0.2751,1.7425,0.0015,15.5061,0.3768,0.0234,2.4016,0.9603,0.0278,44.618,13.1764,0.3614,0.7022,2.3882,1.8565,9.0101,0.0,5296.5969,0.0,396.1127,70.515,181.5845,0.0
ROU_A03,0.0001,26.855,0.0004,0.0001,0.0,220.0003,0.0,0.0159,0.0,0.0,0.0007,0.0001,0.0,0.0215,0.0,0.0886,0.0004,0.0,0.0,0.0,0.0017,0.0,0.0002,0.013,0.0853,17.9521,0.0004,0.0,0.0,0.0,0.0,7.0544,0.0089,0.0002,0.0,0.0,0.0,0.1494,0.0,0.0,0.0,0.0308,0.0567,0.326,0.0,156.8734,0.0,0.0533,0.0,10.3812,0.0
ROU_B05_06,0.0036,0.0,0.219,0.0001,1.4388,0.0051,0.002,0.0281,0.0001,1125.647,0.0986,0.001,0.0741,0.0033,1.7045,0.0258,0.0,0.0,0.0,0.003,0.312,0.0219,622.5534,3.7339,0.0002,0.7041,88.0415,0.0,0.0,0.0,0.001,5.0279,0.8107,0.011,0.0002,0.0,0.0005,1.1539,0.0005,0.0001,9.7072,0.3647,6.9496,3.2832,0.0,124.786,0.0,0.0,39.5601,25.572,0.0
ROU_B07_08,0.2689,0.0877,4.3109,17.3125,1.6121,0.0812,0.8348,0.051,0.3157,16.3593,1.7804,0.0179,2.4719,127.1128,28.4575,2.9656,0.0009,0.0161,0.0014,2.0528,0.1295,0.2109,19.1684,0.5745,19.0491,22.2503,2.4201,0.0217,0.0006,0.0,0.0,0.4365,0.0922,0.0,0.0,0.0,0.0091,4.3383,0.0102,0.0016,0.0,0.0011,0.4666,0.6809,0.0,19.8925,0.0,0.0,5.6261,2.8225,0.0
ROU_B09,1.4726,0.1218,32.1172,4.3353,10.0742,1.6297,0.0785,0.0579,0.4221,59.7064,1.5904,0.0191,0.3231,6.9919,13.7684,0.8495,0.0151,0.0761,0.2567,0.0487,0.0218,0.1547,18.529,0.4884,32.0229,0.9905,3.0276,0.0257,0.0315,0.3967,0.0007,0.0504,0.0017,0.0,0.0027,0.0002,0.6008,0.7783,0.1769,0.3653,0.0246,0.1417,0.0686,0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU_C10T12,404.5149,0.8854,9.1154,1.7197,0.104,2510.411,49.7968,24.9538,11.0445,6.2519,16.4542,14.1405,4.7052,15.7114,10.7871,17.3148,15.322,40.0264,16.1544,51.3036,6.0662,20.0732,11.0638,36.4114,119.9356,540.0971,40.6387,3.8474,8.0305,55.3985,9.9764,1369.4242,15.9799,29.5449,46.6094,16.3461,14.1503,174.771,67.588,54.5131,118.571,348.3776,166.386,268.8064,0.0,15600.612,0.0,119.8336,0.0,355.7782,0.0
ROU_C13T15,19.2888,0.1018,11.2228,0.3758,0.3831,23.9451,548.3353,28.4602,7.3374,9.2258,12.6186,0.6474,58.4387,21.6208,21.0159,15.2442,16.0922,29.6675,29.4501,69.9359,6.9299,107.4609,23.1348,8.6359,98.2904,526.901,67.3597,0.5845,0.801,12.3747,2.2311,9.0189,29.8029,6.3981,9.0778,2.376,7.4754,72.5316,16.5805,68.5988,5.168,123.6237,5.3536,62.4376,0.0,2518.2524,0.0,0.0059,0.1667,131.626,0.0
ROU_C16,17.6328,0.4463,0.3356,2.365,0.1917,11.1557,6.1092,320.9175,27.489,2.2741,5.3458,0.5704,5.7909,25.9908,22.5376,7.6372,8.4196,19.6571,24.3301,22.336,12.8171,330.2041,6.5867,7.0486,499.5157,232.2108,35.8105,0.2557,1.009,10.8077,1.9469,1.3921,3.0834,5.7937,9.6336,2.6038,27.2417,35.4505,12.8633,0.4756,0.4743,1.8143,10.0772,8.3115,0.0,584.1511,0.0,0.0,0.2807,41.482,0.0
ROU_C17_18,17.8605,0.5999,3.5637,0.4699,0.1599,21.2465,17.79,21.5513,108.6762,1.7825,15.4827,1.6904,5.8146,24.2166,16.8937,14.9027,20.5629,52.6163,16.1794,53.895,3.7241,40.8221,18.9903,12.3514,34.4822,384.9666,17.4422,0.2525,8.4237,11.2129,12.8383,5.6699,64.255,34.4418,10.0235,38.4349,36.3766,51.077,13.4172,66.0313,132.4819,37.9681,53.406,11.4753,0.0,567.3818,0.0,1.2788,0.0,24.4408,0.0
ROU_C19,360.0616,0.4633,15.3685,8.3899,9.3302,58.9804,18.5655,23.1679,11.3289,15.9181,102.4755,1.1491,28.9574,49.4487,389.7437,22.9604,2.4445,13.4347,17.4599,55.7008,9.4726,14.9794,205.8371,14.9759,276.6307,923.5664,735.7359,10.8877,28.8486,21.5273,3.8774,3.8618,6.171,11.6566,19.259,10.1841,11.0121,80.3354,25.7632,24.4247,1.8759,9.3734,12.4901,35.2934,0.0,3371.3274,0.0,0.0,0.0,94.8467,0.0
