V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T,SAU_HFCE,SAU_NPISH,SAU_GGFC,SAU_GFCF,SAU_INVNT,SAU_DPABR
SAU_A01_02,1847.2109,35.9369,24.5398,0.0,7.6295,5988.6027,421.8458,4.1617,44.4587,177.317,17.9181,0.7977,107.9284,0.0,0.0,0.0,0.0,0.0,0.0,0.1881,0.0,5.2873,4.4337,0.0935,261.5593,1028.1858,0.0,0.6888,0.0,0.1551,0.5847,3086.2785,9.6395,3.8478,0.0035,0.1482,33.4977,0.3329,16.7149,0.1704,94.8156,45.249,55.2863,2.077,0.0,7938.2665,0.0,489.583,1705.5368,1222.0832,0.0
SAU_A03,37.4959,9.3605,0.0,0.0,0.0,62.7839,0.0,0.0,0.0,0.0,1.1219,0.1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,5.3398,0.1647,0.0,0.0,0.0,0.0,0.0,289.8697,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,8.7011,0.1238,4.2169,0.0,0.2066,0.0,2009.5123,0.0,0.0,0.0,86.8326,0.0
SAU_B05_06,0.0,0.0,141.4805,6.7273,14.4586,1476.6764,561.7538,98.4187,399.9903,18435.7182,11897.1937,241.9872,462.9878,695.5267,496.6766,437.215,23.3753,407.3613,186.786,74.1335,32.3981,297.4932,1311.2937,11.6309,521.8112,0.0,31.4231,1.3477,130.4779,37.1472,5.3523,45.1803,43.0498,96.7737,5.2847,0.0439,2.2552,4.2639,42.3405,7.2858,21.5991,51.4537,12.5391,3.3439,0.0,157.7622,0.0,0.0,0.0,7412.9969,0.0
SAU_B07_08,0.0108,0.0219,0.4562,2.77,0.0183,5.4712,0.1785,0.0127,11.2344,0.0,124.8163,1.005,0.74,778.1352,411.3921,14.1397,0.0,10.6484,0.0,0.1099,0.0,4.2669,17.7193,14.3674,1081.4155,16.7893,0.0,0.0,0.0,0.001,0.0003,1.7096,0.1871,7.8636,0.2607,0.0016,1.9557,0.4767,0.1777,6.7131,0.8911,0.5581,1.5173,0.221,0.0,0.0,0.0,0.0,0.0,108.7144,0.0
SAU_B09,4.3941,2.2314,547.6707,5.3811,22.0607,86.86,25.6152,3.9815,16.094,71.16,90.4066,0.5398,19.1941,27.6343,19.5683,18.1817,1.2363,16.8256,8.6385,3.524,0.9031,7.2742,5.0665,0.2773,4.0122,0.0,1.8815,0.0193,8.5544,2.3756,0.2982,0.9139,0.5137,0.0,0.6566,0.0,0.0,0.0579,7.8591,0.0,0.0,1.2783,0.0769,0.1028,0.0,0.0,0.0,0.0,20.6208,0.0,0.0
SAU_C10T12,129.3571,71.8466,7.3873,0.0,2.2974,680.9621,170.2552,0.0154,4.9577,0.0,6.2747,0.2185,0.0,0.0125,0.0,0.0062,0.0019,0.0,0.0,0.0,0.0,0.0734,10.3649,10.0521,13.2386,60.2232,0.287,20.4572,213.2121,0.0003,0.063,1221.4372,54.1311,122.9971,5.4244,12.8257,22.1076,6.3821,19.3746,240.4057,274.0996,282.9188,55.5678,75.4349,0.0,23671.2462,0.0,0.0,0.0,732.1276,0.0
SAU_C13T15,0.7978,3.3419,1.3439,0.0028,0.2892,5.2759,313.8708,0.5659,12.1815,0.2715,5.5361,0.2003,14.4749,3.1123,4.0467,1.144,0.2724,3.8375,2.8446,4.6329,0.483,16.7922,1.2582,0.8036,158.1773,49.3126,0.0833,0.0759,7.2204,1.2446,0.8303,54.8208,2.2085,21.1643,0.9196,0.3033,2.6391,5.4401,5.4617,27.6798,4.5339,19.673,2.5907,4.9603,0.0,8181.4628,0.0,0.0,89.0773,329.3357,0.0
SAU_C16,5.4139,6.1844,1.459,1.1947,0.5272,23.7899,27.328,130.4129,61.8118,0.6332,2.6736,0.0562,4.6444,13.6666,4.1556,15.8595,0.2802,13.8368,2.2828,0.8421,1.0376,146.0178,0.5872,2.9615,952.6515,84.3394,0.5941,0.0246,1.7881,55.8757,0.3586,7.1216,2.6064,1.3841,0.0224,0.3025,1.421,3.1512,1.2577,1.6698,2.2663,20.9336,14.9919,5.6946,0.0,0.0,0.0,0.0,65.0606,77.6861,0.0
SAU_C17_18,1.4178,0.9614,8.2573,0.11,1.8689,28.11,7.581,1.9633,135.7959,25.4305,14.3834,1.0389,6.4056,5.9095,1.1578,1.826,0.3816,5.4229,1.2904,0.5186,0.2791,4.6956,14.3197,10.386,16.9763,952.8387,2.6764,0.0413,12.2231,25.2743,18.0642,38.8975,712.1248,121.6968,13.991,81.4247,1.6462,55.3829,44.3743,70.7272,57.678,114.1129,25.4934,14.6506,0.0,4119.6218,0.0,1.395,0.0,264.0058,0.0
SAU_C19,459.8995,162.0417,268.7721,17.3156,16.4167,294.6454,310.3437,144.229,317.2755,1054.6914,4440.527,39.6768,437.0314,1069.9343,588.1773,257.9127,4.3778,186.45,157.5447,21.1085,22.4398,87.5651,1860.2685,260.0298,2539.8166,1665.6643,796.3518,12.2199,3339.6523,132.8952,11.3733,291.4096,42.9606,532.7011,2.9028,45.0183,8.3134,132.0305,452.1897,762.3767,175.603,323.0527,70.641,123.789,0.0,3394.0211,0.0,0.0,0.0,1912.7398,0.0
