V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T,SGP_HFCE,SGP_NPISH,SGP_GGFC,SGP_GFCF,SGP_INVNT,SGP_DPABR
SGP_A01_02,1.6397,0.0135,0,0,0,23.0207,2.7341,0.0034,0.026,0.003,0.2103,0.1384,0.022,0.0002,0.0005,0.0226,0.1465,0.0178,0.1646,0.0072,0.0129,0.1654,0.6353,0.0004,0.923,0.0419,0.0091,0.7359,0.0038,0.0058,0.0013,45.0599,0.2786,0.0027,0.0129,0.1511,0.2018,0.6645,1.157,0.0859,0.0386,0.1576,0.202,0.303,0.0,96.7671,0.0646,0.0002,0.8223,-7.5985,0.0
SGP_A03,0.0019,6.7116,0,0,0,0.8372,1.4124,0.0003,0.004,0.0188,0.1129,0.1742,0.0012,0.0021,0.0061,0.0138,1.8128,0.0126,1.0424,0.0101,0.0172,0.2752,0.3448,0.0573,0.334,1.372,0.1355,1.381,0.0766,0.1238,0.0024,26.1419,0.0714,0.1129,0.4885,0.5903,0.1611,0.4638,0.347,0.4438,0.0551,0.073,0.231,0.1229,0.0,99.7379,0.0698,0.0047,0.0118,2.3141,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,7.4805,2.7659,0,0,0,984.9518,4.6611,0.1788,1.4016,8.6662,281.9346,16.7427,0.5631,0.4786,1.5354,2.1384,122.5529,2.1277,50.9636,0.9457,1.6481,29.0144,1.3462,2.4675,19.3622,62.984,6.1169,55.5983,5.9954,5.0919,2.0488,1018.3235,9.4662,3.9146,16.5964,25.4512,9.3724,20.8399,19.6979,33.9902,2.4348,15.593,5.6659,17.42,0.0,2712.6168,1.4415,1.4885,70.3036,200.6495,0.0
SGP_C13T15,0.0107,0.0388,0,0,0,1.6567,94.8443,0.2393,1.7387,0.3879,1.5109,0.6727,0.5024,0.0354,8.0014,0.3018,3.9635,0.5655,1.6543,0.6572,2.1604,5.3129,0.3316,0.6258,7.6226,22.7754,2.5533,0.5884,0.2628,3.5303,0.3975,6.9058,1.0389,0.9756,0.3518,0.3454,0.4217,1.6328,1.0946,2.2325,3.3941,4.0343,1.3087,6.628,0.0,567.947,0.2041,0.0041,1.8875,23.3213,0.0
SGP_C16,0.0636,0.0156,0,0,0,8.5731,0.3891,17.108,0.8632,0.9915,6.686,0.1871,0.475,0.4623,0.5618,8.0395,7.2354,5.109,4.5241,0.8054,0.4463,50.5775,0.1775,0.3224,82.5271,1.6277,0.1532,0.2391,0.0697,2.9401,0.0326,0.5967,1.6205,0.1038,0.2778,0.3488,1.8707,4.1615,0.7359,0.2874,2.7385,1.4647,0.0601,1.1348,0.0,8.3662,0.0804,0.0033,5.1675,5.7412,0.0
SGP_C17_18,0.3011,0.1122,0,0,0,21.3721,2.5149,0.2578,150.7695,1.7503,11.6824,1.8175,2.5939,1.0623,5.8499,6.4951,107.7555,20.801,11.114,2.3116,1.464,37.6102,2.1953,5.3102,8.4403,152.1905,3.2521,1.2338,1.344,32.7528,4.1925,16.2431,23.5344,11.2382,66.1042,43.3794,16.0101,112.9248,28.5499,26.944,54.2971,11.4245,12.6611,9.0369,0.0,162.3505,0.1851,0.0075,19.1455,37.6101,0.0
SGP_C19,0.1255,0.0923,0,0,0,21.6607,0.7262,0.0879,3.9192,2149.4995,1884.0475,6.0231,2.6968,6.0767,102.0137,8.1646,362.5187,108.2036,35.4979,3.1409,17.1249,8.5297,12.5629,20.2469,240.6646,218.3479,323.2905,3423.8657,1506.5708,95.4422,2.6761,51.566,23.8692,23.5315,82.0271,37.245,36.787,103.5357,87.0958,64.4038,9.488,18.3721,4.832,9.7358,0.0,649.2036,0.0331,0.0441,40.6361,1369.4998,0.0
