V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_A01_02,10538.2509,3.7969,134.0878,45.0616,0.0727,21426.2317,3628.1471,539.6607,169.7352,0.4415,74.6059,20.7115,179.2538,18.9106,3.3143,3.5646,0.1115,3.2294,6.1968,20.5135,1.4391,109.2801,0.6188,5.0782,92.6778,432.8698,13.3063,0.6727,5.8614,1.2152,2.8014,1380.5814,1.0586,1.314,2.7345,5.0245,27.9506,104.5877,84.6278,507.8023,52.8979,43.9054,40.2354,42.2933,0.0,29237.575,0.0,196.8972,3255.2721,488.3417,0.0
TUR_A03,3.2782,43.8753,0.0734,0.0529,0.0001,139.3272,0.0447,0.0,0.0,0.0292,0.0253,0.0,0.2388,0.7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0221,0.0,0.0,2.6981,18.6003,0.0,0.2501,0.1043,0.2795,0.0,288.0769,0.0,0.0,0.0,0.0,0.0224,1.6238,1.5756,2.6493,0.0638,0.7934,0.8754,0.1299,0.0,1320.176,0.0,0.0,0.0,18.1965,0.0
TUR_B05_06,6.2741,0.0615,63.6993,11.0484,0.4866,17.2227,7.1558,6.7099,1.7709,574.6217,2.589,0.2362,3.1922,30.599,552.0733,0.334,0.1533,0.4801,1.0758,1.5342,0.1188,1.345,1563.0665,2.5369,5.2296,106.4527,27.3181,0.2025,0.0999,0.2504,0.0178,26.1412,0.1647,0.1341,0.3739,12.252,319.3467,3.1917,1.5706,0.7662,1.6027,2.8392,0.1196,15.1641,0.0,275.1496,0.0,0.4284,28.5614,-102.1454,0.0
TUR_B07_08,39.6644,0.2453,37.8987,319.735,5.4039,97.2031,81.7921,4.2847,32.9917,146.4317,226.1449,0.4112,20.2751,1130.4904,3736.2154,31.5675,0.7799,21.2671,8.2465,22.7313,0.808,13.9639,20.3871,9.3669,754.5741,60.5905,29.2835,0.4956,1.0882,0.5027,0.1306,3.0916,0.1601,0.6677,0.1226,0.8563,7.7991,22.9631,5.929,2.9604,1.1614,20.0557,0.8147,1.6611,0.0,456.2683,0.0,10.4643,161.0677,36.5239,0.0
TUR_B09,3.0205,0.3687,28.6582,40.9662,8.8973,2.2512,0.2839,0.0547,1.8097,95.8046,4.282,0.0478,0.5851,31.1533,47.0321,2.1279,0.0098,0.095,0.5512,0.0406,0.0187,0.254,51.9133,1.5601,102.1455,1.5304,6.3994,0.1232,0.3058,0.6335,0.0017,0.1616,0.0023,0.0,0.0012,0.0006,1.6684,1.0401,0.3676,0.9163,0.0584,0.1378,0.0923,0.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR_C10T12,1611.1037,56.0382,2.5678,17.3315,0.1799,9430.6229,128.7864,3.9881,65.633,1.9085,37.5966,23.8033,11.2937,18.6369,9.3499,14.25,0.4111,9.2859,10.5137,4.831,3.5239,43.2701,12.5877,16.8317,68.2155,766.8575,50.4851,5.0722,1.6593,10.7848,13.3227,7603.0221,7.8297,10.3333,4.3332,22.3254,5.7145,87.2464,181.8365,541.4857,100.3293,155.6977,81.0197,88.5195,0.0,49997.4502,0.0,996.736,1.058,470.5806,0.0
TUR_C13T15,57.409,3.8114,77.5302,122.814,1.6274,252.8834,20655.5399,8.6326,233.8928,9.9719,154.5078,40.4053,155.5858,298.1766,40.1194,82.6714,9.7653,124.3788,163.4762,199.2394,14.0216,628.8214,40.6604,22.9945,369.9653,1129.9361,78.1736,1.2562,17.9987,41.3845,20.6666,226.803,10.0277,3.4075,2.8005,24.238,44.6146,67.5797,188.2928,655.5635,84.6396,62.921,56.8841,640.2622,0.0,25690.3982,0.0,2692.3783,1136.0798,747.4544,0.0
TUR_C16,41.8032,0.7362,3.9806,0.9172,0.4243,38.9134,43.9163,971.1822,30.6812,1.3061,28.9443,2.477,54.1059,113.7955,32.3448,86.4545,1.495,52.7051,47.7625,9.6895,14.5924,1492.1638,2.9998,9.1866,2076.2445,154.8366,17.3149,0.3409,2.2861,1.7943,0.9024,5.2851,1.6542,1.8558,14.041,4.229,13.3373,46.4896,25.5423,14.6973,2.4093,18.7194,2.769,87.8934,0.0,244.2844,0.0,2.2212,94.1981,36.816,0.0
TUR_C17_18,132.1102,6.7727,2.847,14.7861,0.6499,924.5739,537.0842,94.6706,3203.1743,22.2921,268.0674,69.5632,308.3686,317.4272,127.0602,125.3184,23.183,153.7196,85.8487,75.7365,8.7696,190.9914,62.6544,18.5538,185.2101,1550.4083,146.7253,2.6834,8.1277,102.2694,47.7119,273.92,577.5256,55.682,52.2298,231.4593,32.1564,626.0506,513.8611,313.7709,233.3817,180.188,101.4644,147.0169,0.0,2463.4455,0.0193,21.375,91.0031,109.9865,0.0
TUR_C19,637.7303,28.0409,242.267,378.9066,5.7171,165.0584,110.1856,24.678,37.3865,204.425,167.6116,11.1696,105.189,448.2417,85.5655,68.6635,3.0602,82.0568,40.7943,38.022,4.825,69.8534,100.3466,85.9038,1168.4098,1077.6596,3158.9738,160.7469,1414.0466,229.6567,67.0076,122.8863,5.4859,14.8784,6.5827,25.4603,132.5715,118.2853,212.3334,537.458,102.7208,48.0371,11.8111,109.8157,0.0,2082.919,0.0,3.3768,28.7849,71.88,0.0
