V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T,TWN_HFCE,TWN_NPISH,TWN_GGFC,TWN_GFCF,TWN_INVNT,TWN_DPABR
TWN_A01_02,1766.9234,29.1136,0.0249,0.1051,0.0507,4817.9475,196.2713,12.1985,2.7579,0.7036,9.8001,15.6244,20.5122,0.9914,1.0107,0.5674,4.3819,0.6546,1.208,0.2064,0.2235,2.2802,0.4987,0.4196,87.409,207.1221,0.405,0.6826,0.3036,0.5353,0.2804,749.8331,1.6275,0.1083,0.2064,0.8804,15.9334,1.798,14.9611,56.8476,9.5624,1.1568,13.8605,34.2718,0.0,8661.8778,0.7932,0.8348,88.0575,-1.3647,0.0
TWN_A03,4.0601,138.0011,0.0018,0.0076,0.0036,126.0049,0.0212,0.0929,0.013,0.0539,0.7723,0.8786,0.0127,0.0406,0.0742,0.0304,0.1129,0.0165,0.0361,0.0115,0.0091,8.1958,0.0242,0.0129,0.0941,3.309,0.017,0.0334,0.0045,0.0306,0.0218,138.8342,0.0328,0.0029,0.0098,0.0304,0.3406,0.239,0.1084,5.2924,0.0165,0.0344,1.2122,0.1614,0.0,2079.8689,0.2233,0.0687,0.0732,0.8396,0.0
TWN_B05_06,0.001,0.0015,0.6309,0.1478,0.0744,0.1317,0.7861,0.0023,0.4761,360.8774,9.5274,0.0295,0.1796,15.4133,45.1472,0.0149,0.3634,0.2523,0.0239,0.006,0.0035,0.0128,126.2864,0.0996,6.5685,0.2058,0.0747,0.0119,0.0233,0.0049,0.0019,0.3466,0.0148,0.0132,0.1471,0.0834,0.0658,0.054,0.0185,0.0473,0.0109,0.0162,0.0079,0.0119,0.0,0.4345,0.0002,0.0019,1.998,-0.3597,0.0
TWN_B07_08,0.0091,0.0195,0.0477,0.8926,0.201,1.0226,4.6916,0.0068,4.0539,49.0142,166.8784,0.0927,1.2362,332.3501,366.7078,0.1787,2.9117,1.1632,0.2717,0.0271,0.0525,0.068,104.8344,0.637,220.2257,0.1594,0.3301,0.0494,0.0,0.0041,0.0,0.6934,0.0,0.0042,0.0,0.0,0.0,0.0745,0.0081,0.0121,0.0,0.0,0.0074,0.0201,0.0,1.9691,0.0,0.0,1.4868,0.0176,0.0
TWN_B09,0.0152,0.0464,8.8497,0.238,0.3788,0.8229,0.0242,0.0039,6.1755,91.8448,23.4106,0.0543,1.6023,122.2418,33.9579,0.2066,0.5728,0.6141,0.3552,0.0281,0.0025,0.0744,305.5398,0.4719,96.8003,0.2173,0.1867,0.0292,0.0,0.0028,0.0,0.4763,0.0,0.0,0.0,0.0,0.0,0.1039,0.0044,0.0266,0.0,0.0,0.0043,0.0114,0.0,0.0,0.0,0.0,0.8584,0.0,0.0
TWN_C10T12,1423.3907,190.4715,0.4885,0.9337,0.4654,2972.4569,121.2729,5.5149,39.1099,11.8212,81.9371,39.2812,25.1291,10.4425,46.4491,22.6837,103.6616,15.8482,24.8598,5.1265,8.3638,55.7376,10.4718,2.0748,37.6626,314.5357,5.4966,4.7976,7.8974,4.2565,1.157,2462.4235,9.2802,2.6064,3.1855,11.0906,32.7683,15.9202,3.894,101.4106,29.8912,48.4766,182.6175,29.8682,0.0,16668.9686,2.5268,20.5285,128.9382,-5.8096,0.0
TWN_C13T15,20.1051,65.1742,1.0103,1.5158,0.7653,35.1639,5378.8118,2.303,99.0191,10.1656,464.0149,23.1711,305.3833,47.7249,42.808,62.3389,427.6695,30.3255,43.687,39.8934,25.1333,172.0846,6.9757,6.3474,63.0247,211.5067,7.4629,5.8797,7.0776,5.4359,2.4278,150.7228,12.8413,5.0385,4.2179,8.5773,5.8718,68.4967,4.5559,28.0045,13.1735,24.7434,8.0236,65.1621,0.0,4134.7733,0.9707,12.9979,84.8846,6.3511,0.0
TWN_C16,8.7314,3.476,1.4928,3.7705,2.0,1.6228,3.915,280.1006,54.1262,0.4039,4.3756,0.1971,4.1553,7.2793,5.4919,27.7953,18.4103,6.6894,16.6683,4.7614,23.5095,61.4176,2.6614,0.4725,752.0774,50.0826,0.3371,0.2603,0.1132,1.2525,0.1003,19.9642,4.7897,0.1891,0.5962,0.3482,0.4563,17.0971,2.9554,3.9794,5.3325,0.649,1.9558,3.4646,0.0,55.455,0.1383,0.4147,3.1605,-0.134,0.0
TWN_C17_18,11.5107,5.1805,0.8565,0.2545,0.1211,274.8342,105.8358,22.653,2440.0009,8.3256,259.7645,40.4048,198.1451,80.4967,48.2259,109.4922,478.2844,58.495,60.3388,26.0074,11.7969,57.1332,14.5582,4.9385,75.8641,961.2578,11.6483,0.9406,11.0127,13.9946,18.2355,316.3423,785.8001,75.9096,42.1077,338.3966,52.6327,823.0675,195.7315,389.7353,155.0301,106.6271,53.1361,273.6831,0.0,696.5502,0.4995,2.6767,28.119,-0.0305,0.0
TWN_C19,115.6127,371.8855,41.1463,269.7752,97.0368,124.7879,138.5528,16.5641,96.6567,2938.3867,6651.6731,10.0668,181.8124,294.4216,2030.9491,333.5482,546.9298,77.2258,172.0825,44.7719,36.8177,36.2002,1614.1295,68.658,477.2944,1131.2967,1872.273,446.1809,1944.9153,171.7066,32.4679,99.1114,35.7393,30.1606,9.8082,35.5358,59.6966,78.2463,122.6708,199.4621,53.3161,137.8863,17.731,81.7497,0.0,3996.438,0.1539,4.629,50.4473,6.8869,0.0
