V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,USA_HFCE,USA_NPISH,USA_GGFC,USA_GFCF,USA_INVNT,USA_DPABR
USA_A01_02,77286.8337,10.7942,66.2094,34.8563,22.9076,172735.6834,1528.6249,8550.2344,4273.1621,21.1612,6314.9511,68.0111,1265.5701,1.5023,0.8174,0.9379,0.1375,0.1063,0.5416,0.6109,0.2175,334.6158,6.4419,0.6917,2244.7402,3272.6768,30.1624,95.9252,0.2234,5.4874,0.3201,626.8663,166.8431,5.6851,7.3688,18.347,88.3083,803.2852,1148.1504,4203.1357,420.8073,9.0021,647.418,61.7192,0.0,92792.8026,1125.7794,0.0,671.4933,16971.4006,0.0
USA_A03,6.6894,37.7264,0.0,0.0,0.0,1596.0939,0.0,0.0,0.0,0.0,3.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4835,0.0,0.8736,0.0,0.0,0.0,1018.7096,0.0,0.0,0.0,0.0,0.0,21.8621,0.0,101.9589,21.7712,0.0,40.7154,31.5394,0.0,693.6679,32.4398,0.0,0.0,-594.6485,0.0
USA_B05_06,778.3462,6.211,16839.8919,478.7225,390.0806,704.568,45.5334,36.2305,722.1808,150137.0717,1979.368,18.6583,126.9605,832.3365,2074.9854,42.4321,9.1629,52.2676,50.2913,43.3972,16.8911,34.5959,21389.299,44.1796,1503.2906,349.4056,1454.1642,115.2368,791.255,142.6551,308.7194,352.0107,20.5477,25.942,44.4191,423.544,524.2017,222.7798,203.0334,17488.3439,1056.4198,274.1371,48.1237,91.0038,0.0,6681.9618,3.6197,0.7257,42048.2406,8900.88,0.0
USA_B07_08,1045.2166,0.0465,584.9238,3132.5794,74.8449,128.4422,32.2124,11.6681,309.1034,94.4718,3257.9307,33.1771,211.8609,7448.1961,8688.9764,336.9607,12.5523,63.7163,97.1036,73.561,155.5192,122.786,950.052,526.7236,12981.9428,67.5706,113.0753,0.5363,1.7922,21.5312,3.2773,82.0405,66.5243,136.5271,277.8838,25.7811,575.1167,728.9257,369.2391,1475.4179,209.0916,127.897,595.774,654.7935,0.0,760.8699,6.6429,0.3976,8410.2797,2015.3814,0.0
USA_B09,21.3255,0.1423,7230.7042,609.0378,550.5761,54.6848,3.1922,9.3424,23.8566,74.8701,38.2946,4.5706,22.0485,24.0491,29.6309,102.3682,14.9398,20.3863,54.2331,175.0206,29.5258,24.1782,48.4286,7.19,1181.9049,68.9686,23.6631,5.1101,3.5677,14.0117,5.7804,24.911,6.7714,24.6172,10.0845,26.7227,508.8767,56.3466,17.5082,355.8753,40.3506,24.5805,4.539,22.553,0.0,194.591,5.2446,0.6881,73178.1167,60.2382,0.0
USA_C10T12,32900.4336,0.1331,28.4919,9.308,8.2458,122182.794,756.3966,44.19,1663.8769,446.3947,2578.1524,827.9966,304.6941,249.8425,39.5388,59.714,23.5317,22.5844,58.9402,108.9874,32.6725,52.7188,22.6686,8.143,224.6734,6544.9487,48.0181,472.9383,423.8382,13.1791,5.7065,50243.9801,79.0641,24.8249,79.6281,18.1068,58.4825,4385.3884,56.0018,32168.0712,17351.8005,17760.6952,4938.6217,2020.6675,0.0,521554.0172,1984.797,13.8849,3340.8142,38192.6052,0.0
USA_C13T15,215.706,5.2233,35.5833,10.37,8.1865,135.0249,3057.4129,243.0516,1548.0001,69.2274,710.2433,50.8572,1104.3891,280.8524,16.852,113.2874,17.9065,17.4237,412.4644,1970.2549,573.2543,1691.5429,16.9491,55.3675,1658.8162,3463.0025,15.9945,53.3251,2.0183,22.7665,21.1207,939.4536,82.8514,68.759,24.7406,18.3061,117.0974,231.8329,204.4889,1482.7863,313.9581,1675.1247,174.0226,649.6696,0.0,33488.7321,133.3605,1.793,1964.3621,2626.2264,0.0
USA_C16,398.3831,42.0095,10.0901,335.656,246.3424,386.4929,38.5044,18355.782,4362.7631,7.9473,192.4617,11.1598,949.9116,196.5736,449.8732,696.4797,63.084,284.8324,582.3285,2132.749,151.3834,5269.5588,7.9206,15.0622,36164.3838,4834.774,1588.5239,1.255,1.8339,212.8213,53.3627,1094.1896,137.8596,598.5197,907.3604,87.2921,3522.4096,505.6005,685.1825,758.4596,1878.7904,1007.1053,111.8521,347.9055,0.0,4476.1147,120.9218,1.4846,6945.9651,4227.5529,0.0
USA_C17_18,417.4753,0.4229,116.2663,125.2151,69.5578,21264.6725,417.4472,592.4175,37096.0638,200.5088,4585.781,837.4908,3314.1077,1244.1524,1435.3447,1985.7438,437.6464,777.7249,1666.6017,2150.2433,642.6394,2240.4311,134.4441,256.6664,3373.0644,25407.5276,1501.4872,80.0318,46.0259,2117.909,794.235,6888.8762,8319.3973,1396.0626,5190.2896,7461.1659,1709.5872,12236.1599,7303.4467,10166.3067,9982.4241,10309.8899,1214.3321,2882.9659,0.0,32423.9963,289.8227,2.5285,1477.7757,9209.4734,0.0002
USA_C19,7319.8556,143.1554,3811.9247,1854.1422,1787.7467,2597.2379,468.2346,723.4616,2487.6306,7894.4397,13593.2319,545.1887,3068.5381,4755.0667,1630.9618,946.1825,206.9013,1151.9505,843.2531,685.395,276.4783,859.6372,14862.5228,958.3903,22081.3663,6652.8552,33368.1341,2659.0237,18291.4733,3111.5827,7105.3462,2755.4328,407.0181,400.097,911.5424,9336.2514,4592.4392,2782.9704,4719.7356,46854.2152,20096.4668,5283.6697,842.3896,1694.9593,0.0,156455.5347,26.9793,5.4025,695.8589,18954.7711,0.0
