V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_A01_02,8192.7605,1064.0286,35.1435,118.3915,1.2511,21719.4906,537.8507,2069.2629,6.5026,8.3787,103.7226,129.8777,208.2033,8.649,4.8746,9.6059,0.6618,0.7286,1.7987,2.2736,4.4721,7.1274,8.6248,25.8437,1015.2006,1735.7827,40.7252,15.8894,8.8272,36.2997,13.229,1083.0308,27.8147,41.4842,31.8867,38.1852,148.972,137.4425,146.8097,123.4919,176.2315,354.3351,373.913,369.9197,0
AUS_A03,97.1426,135.4392,0.0,0.0,0.0,2087.5411,21.1139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9762,0.0,0.0,0.0,1624.4973,0.0,0.0,0.0,0.0,0.0,755.6628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1551,0.0,0.0,36.2583,0.0,0
AUS_B05_06,183.2595,11.0723,2000.6085,2529.0721,144.4193,647.7867,14.646,48.9613,154.4805,5272.5662,1247.1713,75.3182,172.6613,519.2356,3904.3329,265.4996,5.1013,5.1952,14.3365,12.2244,33.9175,8.5417,4591.8979,28.3361,1811.2923,1633.7201,277.4517,22.2532,14.5514,102.3269,254.9556,524.9872,19.3395,33.4775,9.9507,24.6124,198.08,144.0507,84.1617,221.0289,80.6865,193.3312,21.356,52.674,0
AUS_B07_08,127.7489,13.8705,401.621,548.9897,13.854,210.4195,10.271,24.5781,32.5681,29.7665,151.0709,77.0695,26.5254,1434.689,17525.4999,66.4632,6.5622,6.7025,15.774,11.0832,16.7212,30.2803,292.1903,60.8244,2704.9332,447.971,196.8041,31.5107,27.8043,133.8894,56.6363,54.907,20.9478,45.252,46.4488,37.8056,117.6364,99.741,81.5012,118.044,40.6739,79.669,54.0052,37.1221,0
AUS_B09,36.811,3.243,3355.4656,4490.4903,41.3093,36.3554,1.8994,4.038,11.1163,8.0156,9.5551,7.3821,6.204,10.9378,10.6072,17.8238,2.1896,1.5955,3.6155,3.5522,5.6841,2.305,31.943,13.489,448.8244,117.4992,25.8809,10.6985,30.4753,67.8375,6.9071,10.9701,3.0191,26.4605,14.8932,19.0743,23.2806,31.3986,21.8376,33.0093,17.6417,25.5618,8.0,7.8466,0
AUS_C10T12,837.8862,120.7269,88.8028,118.6211,22.5069,7629.1743,173.2492,14.0129,23.1104,47.4717,106.5958,92.0575,38.7261,30.1579,28.1865,27.0671,11.4551,8.0995,20.0772,12.4158,23.8759,17.0546,75.7178,68.3328,524.2712,1300.2171,46.2269,11.1219,22.4143,22.4758,26.0506,7251.5217,19.3097,26.5956,43.1071,75.2932,58.8824,184.3221,123.8621,272.219,378.4975,1628.0932,609.2452,186.7664,0
AUS_C13T15,14.6876,15.1402,20.2881,18.0369,0.8276,56.8534,123.6054,3.5723,13.1881,1.4547,10.2241,13.1488,22.3693,28.9215,9.4535,25.5534,3.4829,2.3292,6.6182,14.9435,29.6886,33.4076,6.2662,15.512,219.8316,113.4818,22.0627,3.7247,2.5807,1.1822,7.7329,17.2253,1.5828,8.7343,0.0,0.6326,2.6983,22.4295,20.9461,65.8119,99.5655,235.2629,34.7931,73.1971,0
AUS_C16,25.594,5.8403,10.2875,28.1786,2.3538,16.3412,4.5303,985.2131,187.3385,13.3771,2.6288,1.657,16.8816,25.003,13.7893,57.7685,3.4255,4.3411,10.733,16.3383,37.6984,245.0978,13.0369,22.5749,7270.5198,92.6909,14.1306,1.5062,1.54,9.1074,2.8034,10.7649,1.7554,1.4882,0.9095,2.1772,4.471,3.057,3.1885,20.166,118.3865,13.6484,28.0204,17.2782,0
AUS_C17_18,103.5321,13.6079,100.6721,122.531,18.1944,791.3834,18.9178,40.7632,946.8443,31.3558,91.9526,117.8267,79.9861,138.0888,38.4716,49.3643,20.637,16.089,29.6202,16.806,27.8164,18.0139,65.6356,45.0477,710.7354,1081.273,113.5347,26.7255,18.648,45.7302,59.4359,146.6887,619.8814,58.0611,84.9351,280.7186,47.1697,145.2772,113.5151,250.7408,251.2477,238.0501,108.4043,128.1269,0
AUS_C19,835.6288,292.4533,666.148,1331.1453,54.688,138.2945,8.1482,16.808,14.8779,554.313,114.9257,36.8781,69.3455,52.9055,398.6408,66.0792,5.7226,4.8722,10.7503,16.8884,32.6566,8.8239,92.9324,144.042,1820.0897,411.4174,1463.4233,403.3749,1116.9274,95.1491,173.3143,68.3152,24.6687,309.7251,3.1337,229.8679,18.8465,178.0847,57.7207,242.0697,34.0155,97.2442,39.2127,47.0844,0
