V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_A01_02,9815.5862,156.0628,20.7018,16.3427,2.1814,18960.861,6.2276,7057.4551,924.0703,11.7849,504.7917,1.5807,213.7388,6.9591,8.4404,6.992,1.4231,2.1494,6.4426,10.2981,2.7192,18.0304,56.8668,2.1644,1184.5647,122.5041,56.3994,0.985,1.2814,18.7238,5.3498,1451.3681,13.2901,4.3013,5.0336,20.9318,12.1142,45.1006,12.3758,168.5597,31.4361,52.1295,19.9634,40.4838,0.0
CAN_A03,87.5414,45.6655,0.2065,0.0664,0.0311,1782.0879,0.0142,0.052,0.0752,0.0692,0.3253,6.7423,0.1529,0.0519,0.0712,0.0522,0.025,0.0158,0.0609,0.1084,0.0514,0.0504,0.0908,0.0273,1.0247,1.2793,0.3267,0.0028,0.0176,0.1317,0.0373,237.16,0.0646,0.0948,0.1348,0.6164,0.165,0.3403,0.2038,2.0529,0.1522,0.1958,0.0465,0.0907,0.0
CAN_B05_06,228.072,3.1839,3079.066,243.7052,266.3443,254.6881,9.4501,84.0242,184.5275,18444.0689,1171.4133,23.7031,59.3617,215.7644,1067.8809,74.9228,10.4743,9.6498,48.0844,43.9893,30.6336,47.8852,1566.6364,15.8691,913.4133,826.102,117.1471,9.0689,14.7395,71.7592,93.3378,78.5598,80.3631,29.0099,23.4719,390.2099,614.7871,206.6019,149.199,344.4553,317.8591,289.054,46.2964,105.0144,0.0
CAN_B07_08,189.5177,0.3387,308.3976,163.9904,32.9164,30.0608,1.5239,5.6151,75.864,287.1181,248.5029,4.1274,8.6059,1110.4705,10010.2123,17.1623,6.7442,3.2045,23.901,13.226,11.9321,1146.1124,174.2989,4.4159,1445.3027,186.1839,12.7107,2.518,2.424,49.0043,1.92,20.0588,21.1656,17.617,13.8697,121.2609,43.3518,81.5491,44.9557,276.9806,41.1558,154.6369,8.1559,15.0222,0.0
CAN_B09,4.9785,0.0853,5430.9891,1211.5169,458.9327,6.1424,0.3239,1.3227,2.0368,0.9316,2.5232,1.0981,1.3173,1.9682,1.9619,1.2943,1.0524,0.3739,2.8462,1.9002,3.2545,1.6944,6.5209,1.1529,6402.3254,60.1422,3.4382,0.0591,0.7589,1.7325,0.4771,4.1124,3.8195,6.2314,7.0129,45.6336,16.5796,23.321,14.988,22.148,5.9068,11.9594,2.7951,4.7869,0.0
CAN_C10T12,2485.1223,200.028,93.9882,34.2843,16.1861,9986.8625,26.6575,24.3557,79.4931,14.094,107.877,40.5119,30.2678,27.0273,28.8138,34.7398,17.4079,9.8871,44.3073,31.2113,35.4843,66.4303,53.4372,32.162,284.3713,830.354,39.7759,3.8662,23.4658,36.7845,6.9793,9804.5586,84.3765,64.8349,66.7087,289.5218,154.5564,249.7988,163.1281,351.0059,270.0481,753.2865,261.0879,108.6252,0.0
CAN_C13T15,41.7617,9.4474,7.4704,10.1302,1.869,25.6468,238.085,7.0781,35.6315,2.72,26.7066,3.2124,51.3481,12.4356,6.6831,8.2274,1.997,1.7975,7.363,66.85,4.4559,128.9897,2.85,7.612,342.8776,39.8986,5.2062,3.0239,2.0482,5.7452,0.6866,60.241,10.744,3.887,5.5123,12.429,7.7119,29.9743,10.742,83.7917,46.7555,119.1286,18.959,35.7828,0.0
CAN_C16,93.0123,4.5079,27.8126,15.9548,5.9401,104.5,12.8017,2860.9146,1809.7336,21.6452,24.9253,7.3237,50.8208,47.0607,27.1291,44.8502,5.5676,4.5224,30.4881,28.3146,23.8165,826.5544,30.6786,22.2821,8439.5237,151.2266,48.3485,2.714,20.6934,8.7201,6.7293,23.2882,9.2021,9.7668,10.0665,53.5619,26.8984,41.9306,34.5153,109.5625,17.2594,64.0353,14.5561,13.6964,0.0
CAN_C17_18,132.0328,19.528,81.0497,26.8979,12.2901,1157.6676,33.7298,96.4769,3303.495,26.9923,168.8465,50.2528,173.1407,67.0704,31.1656,85.7353,42.4466,37.1188,84.0215,39.9205,34.8689,173.8058,35.9861,41.5653,509.1259,1718.0406,56.3155,6.3315,20.5824,90.2406,51.5185,203.1924,756.073,210.1223,173.1909,662.3598,157.4292,692.6079,299.4282,427.2657,563.2674,649.8816,282.1393,349.9064,0.0
CAN_C19,1795.6085,103.3994,1042.66,613.9395,362.8059,206.9095,17.4996,185.4138,116.718,1927.4036,632.3876,37.382,132.1194,178.3309,301.7022,67.5571,11.0812,15.2047,48.6664,38.8517,35.3711,261.1336,277.9638,242.1157,3379.0363,1764.5196,4106.5995,285.7717,1865.9213,233.0459,254.966,225.5036,86.5706,219.2908,62.8056,503.4552,554.6541,344.0609,991.9811,1069.4276,759.0501,892.3806,91.5292,388.8052,0.0
