V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_A01_02,1641.3875,109.9006,351.3947,19.5478,0.3921,11763.751,199.027,152.3006,55.2067,4.4247,132.9877,23.4817,54.0055,22.734,22.5267,8.435,0.042,2.1156,4.9453,1.6848,0.4436,25.5853,142.7142,39.15,222.5347,150.8237,5.1979,0.5011,0.8706,0.7304,0.8101,1513.2824,11.9913,0.1267,2.5047,18.9609,6.6258,3.1376,11.004,138.2547,38.6609,43.9149,11.2794,8.3819,0.0
COL_A03,7.8612,1.6367,23.5526,1.2597,0.0262,39.5104,52.5966,0.0986,1.5326,0.254,28.3196,10.3917,1.3069,1.4921,1.2375,0.4276,0.0018,0.1083,0.3189,0.0319,0.0229,0.3979,9.504,2.5118,0.1519,4.8797,0.319,0.0328,0.0495,0.034,0.0519,28.9729,0.0635,0.0,0.1558,1.1191,0.301,0.0863,0.7023,72.9933,4.6235,6.4464,3.3938,4.2271,0.0
COL_B05_06,485.6224,21.5911,1478.6427,81.4178,2.3881,277.2233,56.1799,6.95,100.7393,3138.5689,70.0504,1.3411,81.057,107.5899,88.0696,28.6078,0.115,6.726,19.94,2.0542,1.433,25.7774,1728.5051,155.1367,25.1818,303.9809,28.1278,2.0395,4.8334,3.2919,3.3182,46.1493,3.9703,0.0098,9.6161,69.132,18.899,6.1273,43.3931,191.4828,69.1084,37.2665,25.766,18.7699,0.0
COL_B07_08,34.7914,0.6869,38.2486,19.4061,0.029,16.5625,2.0521,0.1082,2.9556,13.2009,59.7169,1.9951,2.157,188.1146,1240.3432,242.0413,0.0142,0.736,0.6222,4.6124,1.1845,21.0758,10.5172,2.8126,945.9323,5.4107,0.7178,0.036,0.0552,0.043,0.0577,8.8365,0.075,0.0004,0.171,1.2443,0.5166,0.1232,0.7861,3.7886,1.3232,0.6872,0.4826,0.3609,0.0
COL_B09,11.5635,0.5124,34.482,1.8871,0.0383,6.2029,1.1754,0.1442,2.245,0.4035,1.6483,0.033,1.9134,2.6293,1.8193,0.6282,0.0027,0.1588,0.4667,0.047,0.0335,0.5976,13.9019,3.674,2.5522,7.1377,0.4666,0.048,0.0724,0.0497,0.0759,0.6473,0.0929,0.0,0.2279,1.6369,0.4402,0.1262,1.0273,4.5269,1.6338,0.8822,0.6086,0.4425,0.0
COL_C10T12,1924.6823,50.5536,6.6969,2.3709,0.2161,4816.7331,14.4405,8.4234,36.5499,4.3352,303.4038,40.1917,4.4859,22.4305,15.5624,4.4001,0.0399,1.6667,1.9794,0.3272,0.1176,11.2254,147.7563,5.2781,80.8926,43.7388,4.2978,0.0831,2.5006,0.4944,0.2169,4300.4378,0.3937,1.6318,4.3041,12.5146,0.8836,17.8164,11.3579,34.3923,60.9545,85.6439,4.4669,6.1271,0.0
COL_C13T15,52.8929,0.4926,18.8433,1.974,0.4538,23.796,1018.9921,0.9283,90.1595,1.987,14.0839,2.3559,10.6473,3.7351,11.3275,8.0179,0.0812,2.5554,1.3185,6.7445,1.6743,78.8112,32.5617,7.9783,155.4196,86.2622,20.8377,0.166,4.7615,13.2739,1.8211,102.6232,5.5872,10.12,5.8186,5.5447,1.8413,12.4278,28.579,46.0123,57.322,27.0169,9.8885,14.7748,0.0
COL_C16,38.2946,0.1746,5.5533,10.1909,0.0004,9.0812,9.1641,147.5308,1.3655,0.5487,1.6448,0.199,2.5735,4.1229,3.9641,4.6261,0.102,4.9888,0.9311,0.7086,0.0655,135.7612,6.6474,0.1752,417.1283,77.539,0.5675,0.1882,0.4708,1.6389,0.2004,2.8133,0.4104,0.732,0.3097,0.6967,0.0668,11.2519,0.098,8.6632,3.5108,2.8371,2.4584,4.382,0.0
COL_C17_18,132.6862,1.584,10.8685,5.7766,0.1287,313.7811,71.7374,19.9693,1052.9296,8.1598,146.5044,31.2875,45.2543,12.3968,11.4736,6.6995,0.5918,19.4209,8.3913,1.582,0.4457,98.4117,175.5183,5.8056,28.6975,190.2046,13.1204,0.2178,3.3736,7.387,3.9519,54.7263,31.1509,44.0992,18.5778,38.9485,10.0168,61.214,124.1171,620.2223,209.1722,47.5283,21.679,19.7448,0.0
COL_C19,345.8581,5.1381,1006.0928,30.2376,1.0047,83.5588,28.9924,4.6838,28.9896,6545.0034,99.5475,4.6453,11.5952,487.8062,16.1865,6.1287,0.2901,15.6786,1.4545,4.0466,1.2439,40.0105,263.8951,62.6932,401.5664,395.7785,2353.0861,20.4131,556.0646,66.6707,18.3661,34.3349,5.9931,27.5674,8.5259,23.7223,4.2853,39.9002,23.4101,267.393,5.7691,46.9383,7.0009,11.7078,0.0
COL_C20,759.0036,2.2817,42.0746,6.0044,1.7803,329.2052,228.3307,19.1044,164.6689,417.6192,1431.1228,82.5456,799.0173,106.8968,22.8344,16.8577,1.9176,86.4282,14.1954,11.6684,1.8291,61.5923,4.8247,32.6108,312.1389,66.8956,0.9754,0.1688,2.8755,2.7474,0.2614,23.2684,1.8599,1.6558,1.1425,3.0467,0.4573,53.1427,81.6975,0.4288,31.435,289.8756,60.1518,72.659,0.0
COL_C21,31.7903,0.4112,0.5704,0.1951,0.0491,32.8556,5.7039,0.7088,3.8494,17.9471,64.8453,180.2882,13.6303,2.5435,0.8728,0.5165,0.1095,2.1216,0.6058,0.2757,0.105,2.5093,0.2475,0.8293,9.9797,0.9553,0.0676,0.013,0.3532,0.1462,0.0382,2.2225,0.0575,0.1345,0.0716,0.2763,0.0258,0.0,7.8782,0.1072,5.246,287.9714,4.2599,5.2325,0.0
COL_C22,21.7849,7.2522,28.4578,11.1286,0.0274,482.9824,95.7216,11.1552,101.5718,13.2005,220.7665,36.1347,141.0127,10.196,11.8543,16.3213,0.6197,25.3567,17.8565,27.5622,6.5865,80.9316,49.3062,49.2855,802.3943,192.3062,263.5218,1.4812,39.4944,31.3978,0.7537,79.3982,1.0728,3.3252,1.3623,5.5432,0.638,1.5625,95.3334,58.4642,15.1763,13.132,16.1812,47.772,0.0
COL_C23,12.4648,0.7918,5.5083,9.2672,0.0155,69.0652,4.877,2.2805,1.924,6.1462,80.0093,12.6002,3.2628,1010.1661,38.2727,22.7261,0.3306,13.2434,4.9641,19.562,2.6256,38.8797,17.2795,24.3547,6188.6669,45.9068,2.1825,0.1478,1.6784,0.5484,0.1763,39.9416,0.4925,1.5104,0.4637,1.0522,0.2073,22.9116,18.081,1.4413,7.6611,2.687,6.5255,16.0172,0.0
COL_C24,1.9308,0.0,145.6422,5.0585,0.0,21.1675,1.396,3.3765,0.7828,0.0,9.7864,0.5501,4.0245,17.0273,372.8067,242.3724,2.8224,196.193,72.5364,12.0091,2.0005,184.0475,0.0,0.0613,769.7914,6.0016,8.4981,0.0309,3.2367,2.2522,0.0126,21.3248,0.9103,1.9323,0.6123,5.5214,0.0985,0.0,0.0,0.114,6.2303,0.379,0.0692,0.7234,0.0
COL_C25,88.6839,1.9737,63.6975,3.1283,0.0,74.8071,7.8773,9.1822,1.7056,5.5396,14.9046,1.6358,2.0466,7.9427,16.9722,36.4191,0.4487,21.1157,21.0674,10.1021,2.3115,100.672,0.7505,0.1292,1007.1214,1.6742,0.0,0.0102,0.9889,0.8075,0.005,9.6224,0.2766,1.0475,0.3061,5.6524,0.0274,10.5771,0.0,1.3058,2.9583,0.1651,0.0146,0.3291,0.0
COL_C26,0.0014,0.0008,0.292,0.0122,0.0,0.1031,0.0201,0.0031,0.2416,0.0547,0.1626,0.0267,0.0151,0.0053,0.0025,0.0048,0.0429,0.2655,0.1951,0.046,0.0142,0.6511,0.0,0.0751,0.3323,0.6336,0.2583,0.0009,0.0555,0.0842,0.0077,0.4166,0.1584,1.1614,0.3828,0.0826,0.0268,0.0953,0.0,0.0445,0.459,4.6043,0.1673,0.1195,0.0
COL_C27,1.7027,0.0617,24.2288,0.7173,0.0,6.4353,1.1934,0.1746,0.696,3.3883,6.2299,0.8094,0.8427,0.0,3.6149,3.8363,0.8657,62.5033,28.3205,22.3442,5.1909,35.5532,108.0405,14.0063,516.8136,88.3225,15.114,0.0722,3.4375,5.1389,0.4772,34.1221,5.1221,33.8457,6.7719,32.4716,2.4387,16.0407,11.3426,1.5721,0.0,111.9277,7.9176,23.0405,0.0
COL_C28,8.8744,1.133,11.0659,2.88,0.1622,54.4846,15.5515,2.3768,11.8711,4.9901,23.8508,3.8791,15.9597,6.8896,2.4272,3.9923,0.2527,8.3916,21.1187,7.9847,1.8449,25.1421,7.8482,6.1824,175.6258,69.4936,35.2086,0.4499,5.6506,5.9952,0.4474,12.0618,1.3589,6.2449,2.1894,2.8232,0.4021,3.4224,9.8754,8.0904,6.9388,12.5529,3.5284,7.704,0.0
COL_C29,2.9006,0.0112,4.4582,0.885,0.0,2.5997,0.5544,0.2395,0.6341,1.1029,0.9221,0.1164,0.487,1.7363,0.3745,0.3122,0.0076,0.2829,0.0598,227.6966,10.8858,20.9296,0.2843,6.0424,22.2224,313.3132,14.2842,1.122,9.6604,3.226,2.1931,3.5432,0.0841,2.2008,0.0,0.811,0.4584,0.0,0.987,42.0815,0.7053,0.4732,0.103,14.3267,0.0
COL_C30,0.6321,0.0146,4.4096,0.5473,0.0,0.5227,0.2081,0.1395,0.1547,0.3223,0.2398,0.025,0.0764,0.3857,0.0312,0.0378,0.0032,0.0788,0.0162,122.2378,190.4086,27.0118,0.0765,1.0932,11.4754,9.2242,5.4768,0.6361,20.3988,1.5895,0.7036,1.9773,0.298,0.6348,0.0,0.2705,0.2631,0.0,0.6463,26.9233,0.4304,0.2102,0.0,2.5161,0.0
COL_C31T33,188.7734,4.9396,176.6228,30.67,1.1157,155.2778,58.5669,12.2774,46.7592,50.6073,62.0526,10.6784,22.2306,61.2904,39.3678,18.2173,0.5492,14.5529,22.1715,26.1669,10.5367,172.061,127.0641,39.1767,412.485,167.9138,143.5061,3.078,95.2509,30.7063,2.3972,61.6587,7.1645,59.8401,11.0423,40.3908,26.8758,37.2316,48.1217,105.485,56.8597,101.457,45.1388,21.4679,0.0
COL_D,1235.566,54.4757,3691.0769,210.5274,4.7481,762.5176,153.5817,16.0752,325.74,76.8782,230.3477,8.3041,222.8414,363.2804,209.6837,72.4341,0.4205,21.9713,69.0776,5.7402,3.7607,91.2316,3780.9584,393.1547,30.9986,816.0994,109.7738,5.714,12.2325,9.8508,8.8193,89.5076,12.2794,12.0817,27.3994,202.4356,49.1505,25.098,111.9525,538.7793,199.2816,97.6821,70.8667,51.7294,0.0
COL_E,34.4094,0.5156,61.6875,5.537,4.8689,107.9136,34.1096,1.92,217.5137,1.9714,28.5167,4.1504,23.9814,8.6975,341.9471,84.1891,0.6265,25.8231,10.0307,3.864,1.6378,13.235,30.3014,129.8026,76.1431,148.9344,8.0732,1.5305,12.9626,14.6151,2.4025,57.2786,15.0808,66.7406,28.0545,104.632,11.1759,85.9191,19.9929,242.2285,114.177,96.8072,25.7855,21.3853,0.0
COL_F,112.3624,0.7045,38.8218,16.1263,1.2163,32.5385,6.3331,0.6951,1.693,2.9378,58.5424,8.9579,48.8745,10.7852,2.1889,0.9611,0.0302,0.7601,1.2544,2.4178,0.2386,116.1937,423.6309,267.1976,10386.0672,273.8055,128.6028,0.1659,4.2317,27.0005,3.434,197.9075,0.314,1.9699,0.4637,79.4007,874.6975,134.6713,73.0281,1131.3005,462.3439,63.7304,125.5439,137.8064,0.0
