V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_A01_02,0.0704,0.0045,0,0,0.057,6.0696,0.4693,0.109,0.0331,0.0063,0.0649,0.0301,0,0.0108,0.005,0.0063,0.0433,0.0111,0.0635,0.0148,0.0068,0.0057,3.5873,1.2416,1.0978,4.7953,2.5899,9.4207,12.6645,0.0103,0.3652,24.665,0.1638,0.7303,0.027,0.7853,0.5767,0.2106,0.6535,0.6488,0.9204,0.9742,0.9259,1.687,0.0
HKG_A03,0.0049,0.0095,0,0,0.0101,0.1809,0.0458,0.0062,0.0062,0.0012,0.0076,0.0041,0,0.0017,0.001,0.0011,0.0089,0.0021,0.0115,0.003,0.0015,0.0006,0.2964,0.1328,0.1136,0.4447,0.2225,1.5027,2.323,0.0015,0.0615,4.0923,0.0414,0.1145,0.0045,0.1285,0.0666,0.0295,0.0674,0.0548,0.1048,0.1656,0.1384,0.2133,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,12.34,4.9762,0,0,155.482,99.8655,39.5727,7.9301,4.3265,4.186,0.3142,0.0212,0,0.3213,2.2408,1.5562,2.6301,1.4446,39.3965,1.6671,0.759,0.3471,11.7142,5.2498,2.0597,7.19,50.4328,0.6281,26.6156,4.6819,10.1936,1.6219,4.0834,0.1938,0.3784,24.2315,10.456,24.4945,29.8092,5.7274,20.859,8.1863,3.1335,7.3961,0.0
HKG_C10T12,3.1691,0.3889,0,0,0.0491,342.626,66.1878,14.8726,16.3886,1.925,19.1308,7.5728,0,1.8223,0.4487,0.6559,5.9406,1.5236,8.0703,0.9115,0.4775,0.1808,68.4001,35.2154,201.7524,328.5056,77.0303,248.8109,225.2594,1.2859,41.9102,431.3252,16.1704,57.1107,3.1595,142.1866,76.7284,21.961,47.4633,25.521,32.7104,109.822,40.1955,79.6342,0.0
HKG_C13T15,0.0944,0.0305,0,0,0.0195,6.3839,285.1328,0.499,0.7787,0.1028,0.8662,0.31,0,0.389,0.1412,0.238,1.5588,0.4764,1.9333,1.0023,0.3358,0.1481,2.3817,4.0283,3.9038,77.2351,16.0003,19.7115,14.1697,0.2755,10.3663,2.96,2.7288,11.7661,0.6431,33.142,16.8618,3.9813,12.9906,6.3156,4.6239,5.2712,4.53,17.1137,0.0
HKG_C16,1.0176,0.128,0,0,0.0089,26.911,0.4277,0.0372,0.0546,0.0227,0.1305,0.0492,0,0.1134,0.0423,0.0779,0.3426,0.1122,0.4791,0.1748,0.0613,0.0364,1.3595,1.728,63.9378,8.4967,11.561,47.2208,7.3397,0.2583,1.9034,1.2411,0.524,3.1414,0.0408,2.9299,1.9268,0.628,0.9245,0.617,0.6514,18.5549,1.4084,3.0433,0.0
HKG_C17_18,0.6685,0.149,0,0,0.0033,144.934,42.856,0.4083,9.1873,0.0712,1.0155,0.5674,0,1.3427,0.0533,0.1144,2.6265,0.8443,2.4706,0.3015,0.1042,0.3263,1.5262,2.6927,30.2739,57.2916,9.0369,13.3477,6.4807,0.1924,4.3479,0.8457,2.4325,6.6598,0.2865,25.9555,8.3106,2.7983,3.7917,2.2354,4.7907,27.9499,2.6602,5.3565,0.0
HKG_C19,0.0313,0.0072,0,0,0.1227,0.5938,0.5989,0.0619,0.0578,4.0245,8.2453,1.1574,0,1.9789,1.8976,1.1892,0.7872,0.3575,1.7387,0.4119,0.1823,0.087,1.7146,1.6273,0.2338,133.5846,5.6305,12.7694,10.5649,0.1982,0.9139,0.5202,0.3602,1.0432,0.1079,8.8408,3.2516,0.5966,2.7456,6.4581,3.1157,0.5487,0.7175,1.7383,0.0
HKG_C20,0.1899,0.0096,0,0,0.1957,4.6148,7.2133,0.8977,1.1773,4.7329,72.1475,13.0996,0,10.3564,1.2356,1.894,18.7935,8.0332,17.7975,2.9857,1.0761,0.9193,1.176,17.7393,1.2554,87.8571,1.5926,2.9594,2.741,0.1193,1.0503,2.2415,3.8653,2.0169,0.1766,8.3549,5.4959,1.8219,5.7702,7.6675,18.9389,7.2711,6.3906,24.9489,0.0
HKG_C21,0.0267,0.0033,0,0,0.0132,1.0096,0.6783,0.0851,0.0812,0.3053,2.9521,18.3092,0,0.4424,0.0869,0.1104,1.4727,0.327,1.2486,0.1673,0.0829,0.047,0.2248,1.1157,0.4647,12.1478,0.3613,0.6827,0.79,0.0131,0.2274,0.5682,0.3209,0.5957,0.0541,2.0961,0.835,0.6436,0.577,2.5812,3.9399,9.1457,1.461,2.2792,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.061,0.0122,0,0,0.2278,11.8973,1.8995,0.181,0.138,3.0414,3.847,2.1207,0,67.4727,4.8865,5.2677,24.1621,9.2479,16.2247,10.9567,3.6781,0.5754,0.7566,4.5567,6.1525,29.3511,0.8965,0.7379,1.0856,0.0924,1.229,0.7593,0.8175,3.7849,0.0809,4.8832,3.0055,0.576,1.5655,13.3687,9.7494,0.7921,2.0691,5.3548,0.0
