V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_A01_02,944.4243,6.6462,0.0037,0.2467,0.0093,3228.5639,0.619,0.1507,0.0684,0.0775,33.6931,3.7822,21.4457,0.14,0.0277,0.1621,0.0604,0.0282,0.0349,0.0167,0.0172,1.8786,1.552,1.8986,13.9456,29.1293,1.363,0.282,0.2744,0.1728,0.0455,488.1188,7.1194,0.0119,1.1608,1.3842,2.57,18.078,56.2167,111.8125,1.9308,5.8482,3.0,0.0821,0.0
ISR_A03,0.0014,0.1995,0.0001,0.0099,0.0004,4.3002,0.0024,0.0007,0.0042,0.0303,0.0234,0.0006,3.4628,0.0083,0.0011,0.0076,0.0246,0.0043,0.0011,0.0007,0.0254,0.0103,0.01,2.0499,0.0983,0.0407,0.0492,0.0219,0.0151,0.0404,0.0025,2.6002,1.2955,0.0681,0.0271,0.0726,1.7103,0.1176,0.0917,0.0273,0.0429,0.0082,6.8693,1.3773,0.0
ISR_B05_06,0.0149,0.0015,0.0879,1.5663,0.0872,0.0202,0.0017,0.0,0.0,201.3302,1.2161,0.0,0.0,1.6108,0.0492,0.0029,0.0485,0.0004,0.001,0.0,0.0011,5.1155,6.8219,1.9111,0.2738,0.0053,0.0008,0.0,0.0,0.0,0.0,0.001,0.0,0.0014,0.0055,0.0,0.0003,0.0229,0.0052,0.0,0.0,0.0002,0.0002,0.0,0.0
ISR_B07_08,0.7228,14.3099,0.0,0.0057,0.0001,0.0528,0.022,0.0729,10.3641,0.0006,0.8543,9.9193,8.9354,0.0834,0.0002,0.0031,0.0042,0.0,0.0001,0.0085,0.0,1059.2717,0.0001,0.0,2.3348,0.0,0.0,0.0,0.0,0.1257,0.0202,0.0,5.7431,1.9265,2.6777,0.1736,0.0001,0.7732,0.9588,4.7955,0.194,0.0,0.0,0.2836,0.0
ISR_B09,0.0,0.0,37.5243,1.3982,20.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,1098.831,19.4096,0.0725,4.0016,0.1767,3511.8425,4.2978,1.8981,6.3245,3.0317,122.7675,18.0847,2.9571,0.9997,0.7833,1.2055,4.1645,10.7212,1.3253,0.1186,1.0898,27.5189,1.5704,3.6882,10.2474,5.317,5.6702,3.9237,2.671,0.4917,0.1636,2230.2881,12.2779,0.9508,5.3992,4.5876,7.1026,20.3558,7.1395,228.8775,34.4445,39.6728,2.7014,2.4266,0.0
ISR_C13T15,5.1053,0.0516,0.0302,1.932,0.0504,7.4765,262.6427,0.7186,12.4333,2.2131,22.567,0.967,17.9782,3.1551,0.8655,6.4955,3.2007,1.1652,3.8755,3.9024,1.6055,56.6102,1.4811,6.9652,21.7343,31.4974,6.8634,4.5832,3.006,1.994,0.2098,9.6407,0.3184,0.0738,0.8363,1.9675,2.8932,14.3064,10.8796,27.3823,5.0141,34.5938,8.5566,6.1175,0.0
ISR_C16,0.9447,0.0326,0.0048,0.4079,0.0135,5.9491,1.1784,69.7961,5.7261,7.0506,8.7722,0.0674,4.9307,6.6011,1.9833,4.5187,2.7105,1.5754,0.7848,1.0678,0.9109,175.8952,0.3458,0.1911,115.5111,1.0995,0.2346,0.1348,0.0769,0.0398,0.0112,0.8917,0.0427,0.0094,0.029,0.1509,3.1481,0.8142,1.8744,3.5849,0.2129,0.4141,0.2842,0.17,0.0
ISR_C17_18,73.9425,0.2114,0.0154,1.2649,0.0329,169.9604,8.7439,12.3975,478.9362,19.9173,92.7636,25.8212,49.822,21.179,5.6555,33.9027,22.6499,7.0289,12.3758,1.5714,7.2054,85.3423,5.9763,12.7088,57.331,183.8475,5.1837,2.1684,2.1543,9.1434,2.0269,17.5006,179.6382,3.9633,8.8118,37.617,3.8304,259.7686,5.9803,91.0713,54.3047,66.1268,42.5091,8.4999,0.0
ISR_C19,34.3409,2.5097,0.4858,36.7461,0.6545,85.2821,80.8731,2.4703,28.1535,3877.4727,355.9383,32.6093,491.8318,151.3269,27.1797,34.292,73.2603,25.3761,25.8977,5.0404,7.4088,163.5207,71.6072,67.0271,207.5019,222.9777,469.1791,123.7649,178.8652,10.059,4.7312,28.262,3.3609,14.2082,23.3832,24.2579,20.1633,64.299,98.0497,184.1394,14.5616,34.1749,15.8695,12.5826,0.0
ISR_C20,174.6574,0.3702,0.4179,20.9424,0.6039,168.5999,33.6927,4.3825,114.7905,1021.6228,1388.8006,186.9679,174.3118,83.9677,32.0856,57.1769,71.0906,18.8266,50.6957,5.7544,11.2314,81.991,21.0245,46.7519,280.4452,57.244,6.6428,2.4387,1.7858,1.9344,0.9036,37.0266,9.203,0.0862,1.9911,4.3949,17.0907,49.3142,24.4875,45.7704,13.327,105.518,9.7897,8.4316,0.0
