V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_A01_02,4015.0649,5.5823,5.011,4.9682,1.8597,17744.011,920.4158,632.7261,177.3233,22.0923,115.7962,100.6793,406.4385,102.3178,179.1049,72.7177,80.4713,20.2403,104.2403,61.4454,14.6629,148.4474,1570.6799,110.4134,98.9047,1928.4134,126.5011,11.0463,8.9176,63.5509,30.8014,2394.2299,40.9931,23.9163,15.8091,50.3246,41.945,288.0368,687.711,225.2662,66.461,162.1266,197.942,156.4352,0.0
ITA_A03,0.7962,9.5531,0.0015,0.0004,0.0001,142.0532,0.8068,0.0003,0.0039,0.0024,0.6474,1.349,0.0038,0.0035,0.0033,0.0711,0.0065,0.0099,0.0737,0.024,0.0036,3.8491,0.0522,1.7889,0.1004,15.9808,0.0333,34.5357,0.0004,0.3375,0.0071,138.4411,3.0347,0.0017,0.2949,0.03,0.6488,0.598,1.4803,0.6354,0.1402,0.4773,0.3183,0.827,0.0
ITA_B05_06,1.8191,0.0277,14.7155,18.4551,1.7173,72.607,5.1621,0.4682,8.0606,2035.4587,108.4623,17.213,2.7076,8.3969,219.8963,4.5143,1.8644,3.1126,32.702,25.7086,4.3175,6.9068,570.1319,15.9449,55.6539,36.7097,2.1341,1.2705,1.9293,96.0234,3.857,75.1771,2.3042,2.1394,3.6765,16.4528,19.999,29.9505,18.0086,68.9762,28.3194,137.1604,19.6605,4.287,0.0
ITA_B07_08,13.9402,0.1219,0.0484,0.4801,2.3059,32.0851,4.0544,7.3559,75.9422,1.7887,12.6272,3.0306,10.2807,161.6076,14.8474,15.657,9.5937,18.7881,33.5685,27.3868,7.3134,12.388,7.0881,30.7473,282.7869,334.6991,157.7179,1.1345,0.2574,2.1971,0.0491,6.243,0.5836,0.6046,4.9972,3.9039,16.9278,16.1014,6.8039,0.38,0.8664,3.2821,2.6097,14.4945,0.0
ITA_B09,3.2608,0.4152,64.388,20.6749,32.9539,6.7233,0.6702,0.1683,5.8897,253.7806,16.3868,0.5341,1.8385,46.8216,89.4829,9.7983,0.083,0.3276,5.1017,0.129,0.2652,0.8329,80.0062,5.1361,145.5816,5.0775,11.5466,0.4194,0.2972,4.5166,0.0046,0.5735,0.0126,0.0,0.0133,0.0045,9.1323,4.629,1.9504,3.4021,0.1649,1.0993,0.4615,0.1676,0.0
ITA_C10T12,3025.6016,100.526,0.0095,36.9949,0.4957,29659.8666,995.6933,3.6956,55.6402,60.8615,685.9658,664.9819,15.4499,8.4146,192.3447,2.4319,1.4927,1.2241,20.2833,1.0633,0.3398,18.0301,171.0656,25.1777,19.2257,2123.8386,508.9469,375.693,5.8751,74.1894,1.5222,12890.32,5.4243,0.1712,1.9979,0.787,98.0237,202.0791,101.6858,39.6967,28.75,449.6899,134.0895,135.1554,0.0
ITA_C13T15,130.4534,37.3902,0.4724,0.1711,1.4508,73.7324,18491.0987,136.9237,507.9923,13.5531,207.1922,92.2443,425.3579,30.1144,48.7124,173.7347,29.283,38.7636,134.7252,532.1358,87.5125,728.3078,26.8936,41.0505,122.9691,456.8192,51.9687,4.8447,0.9922,34.7915,4.0897,36.0722,12.4452,8.1823,12.7214,11.6773,119.304,139.7875,206.7723,60.7691,31.8894,97.7171,133.6401,171.8022,0.0
ITA_C16,66.0964,3.697,2.9473,3.8972,0.978,372.8539,87.797,2315.6565,879.3698,12.23,32.9183,66.5732,61.4401,58.291,70.7085,209.3575,31.0343,54.4889,145.6895,138.3483,62.3374,3019.0343,83.5437,26.1637,1512.7983,283.2474,67.832,10.8577,5.028,41.7112,2.6392,60.5387,16.1326,8.5639,13.8105,18.9363,89.3623,130.904,142.613,132.2151,8.2976,122.9518,30.333,114.907,0.0
ITA_C17_18,75.7571,5.5316,2.3533,2.4376,1.4735,1117.1469,151.1977,154.275,6157.1233,36.9074,269.3756,185.0227,477.3574,123.7429,329.5702,344.7659,39.0434,251.4701,447.945,309.1496,52.4795,362.4386,217.3795,215.0596,372.3723,861.4026,503.0772,35.5053,9.243,567.5392,31.0729,455.3026,600.0701,546.2484,348.2626,1088.6486,367.5283,2610.0768,4751.1308,584.3116,266.386,393.3454,1102.8338,383.1577,0.0
ITA_C19,1366.1496,65.237,22.6031,209.9642,42.8261,225.5055,83.5599,64.1995,85.4653,3405.1316,4390.3983,95.0644,56.9856,263.0325,356.365,225.9247,18.9326,30.5468,492.2754,114.9511,7.2166,184.411,706.2784,264.004,1755.095,1853.6479,3572.9781,2107.385,1803.2834,234.6992,11.2931,148.3205,12.0707,7.2755,38.3914,73.8548,70.5697,180.3024,254.7501,136.6542,110.4599,85.2382,76.6366,83.1126,0.0
