V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_A01_02,263.5914,0.0182,0,0.6901,0.2034,341.3153,0.6548,12.3169,2.2972,0.0018,6.0983,1.1752,4.8718,0.3939,0.0222,0.0435,0.0,0.0,0.0,0.0239,0.0326,0.8847,15.8151,9.6213,26.9634,66.9594,4.0947,2.2571,0.9112,1.4519,0.3035,274.9998,1.7959,1.1018,0.0514,0.1203,3.5377,0.4258,0.6549,7.9929,2.1414,14.9953,4.4428,7.2145,0
KHM_A03,137.0291,159.8445,0,0.2503,0.0634,125.1847,0.2818,4.3688,0.6146,0.0,1.8832,0.6056,1.7464,0.1397,0.0083,0.0146,0.0,0.0,0.0,0.0072,0.0172,0.1294,5.4924,2.8147,0.0039,23.7539,1.0033,0.9516,0.5451,0.3722,0.1244,97.5603,1.4208,0.379,0.0244,0.0425,0.0047,0.0647,0.3132,0.0072,1.1231,6.0415,1.7247,2.6233,0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KHM_B07_08,2.9365,0.0168,0,0.2015,0.0248,1.5357,0.1783,0.0137,0.1877,0.688,0.0802,0.0045,0.1093,8.8391,10.6831,5.8876,0.0001,0.0003,0.0021,0.0015,0.0026,0.0405,13.5443,5.5565,7.8938,0.3386,0.4211,0.0476,0.1331,0.1201,0.2853,2.5991,0.9082,0.9296,0.1416,0.2145,10.2791,1.0428,0.5933,1.8915,0.2625,0.149,0.7039,1.9701,0
KHM_B09,2.5651,0.0146,0,0.1761,0.1152,0.8516,0.0467,0.021,0.0812,0.2287,0.0297,0.0006,0.0677,1.0671,2.9616,2.8587,0.0,0.0,0.0013,0.0007,0.0013,0.061,11.6068,1.7458,1.6559,0.1514,0.2143,0.0177,0.0215,0.0541,0.4041,0.6931,0.9737,0.0,0.0269,0.182,9.3496,0.6811,0.1279,1.8265,0.2389,0.2244,0.3474,0.929,0
KHM_C10T12,13.7293,0.1306,0,0.0658,0.0083,227.2469,0.8252,0.0344,2.0037,0.0004,0.1064,0.0143,0.1698,0.0994,1.1457,2.1277,0.0001,0.0001,0.0125,0.1095,0.1999,0.8947,1.8301,1.3081,14.837,27.7706,2.9943,1.7559,1.5574,0.916,0.4658,93.1246,1.0152,1.3991,0.1719,0.1154,4.3271,0.462,0.405,2.349,0.5771,0.3555,0.73,1.2247,0
KHM_C13T15,19.1698,0.1761,0,0.007,0.0015,45.5261,1508.7057,0.0417,40.2155,0.0217,0.3243,0.0523,45.1056,0.1359,2.3895,5.7652,0.0001,0.0001,0.0202,0.1631,0.2283,6.6742,2.4847,2.6093,49.0074,43.5246,13.2123,3.3525,4.7866,4.2032,0.9861,55.235,6.3339,2.1317,15.8194,0.0002,0.0102,32.5061,22.0006,32.5052,7.291,0.1429,0.6596,2.7568,0
KHM_C16,10.7023,0.0544,0,0.0228,0.0025,0.3797,0.6316,7.4429,0.0008,0.0094,0.0002,0.0,0.0008,0.0006,0.0083,0.0289,0.0,0.0,0.0001,0.0874,0.0965,0.4664,0.5772,0.1621,1.6453,3.0738,0.0222,0.0054,0.003,0.0131,0.0,1.7182,0.018,0.0,1.2837,0.0,0.0,3.5676,1.4395,0.0025,0.0,0.0006,0.0256,0.0911,0
KHM_C17_18,0.011,0.0001,0,0.006,0.0009,0.4841,0.9424,0.0221,7.0435,0.013,0.116,0.0253,0.047,0.0254,0.3934,1.2178,0.0001,0.0003,0.0132,0.0337,0.0418,0.8869,0.317,0.2703,2.64,1.7686,0.6211,0.0884,0.1525,0.3373,0.1037,3.9919,2.6966,0.2979,0.0284,0.0335,0.0092,0.0793,0.1546,3.0455,0.8331,0.0234,0.05,0.1013,0
KHM_C19,15.8171,0.0908,0,1.3262,0.1435,4.7778,0.0474,0.4079,0.0001,0.9759,0.0285,0.0013,0.149,0.3513,0.2064,0.357,0.0004,0.0017,0.0,0.1066,0.1517,0.3646,8.3477,1.7575,0.6941,7.2722,13.4789,2.6131,4.1586,0.8744,0.0558,0.7275,0.2775,0.0949,0.0595,0.1253,0.3162,0.1487,0.3077,1.7535,0.1291,0.0947,0.2911,0.5338,0
