V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_A01_02,305.844,1.2363,0.1858,0.0859,0.0046,713.7487,9.2024,116.202,14.0417,1.7305,150.4816,0.4341,0.4991,0.3106,0.024,0.5719,0.2057,0.2491,0.3997,0.1218,0.0597,6.9301,0.6966,0.3432,17.2563,62.1982,2.7811,0.0947,0.3112,0.9797,0.0198,0.5112,0.1775,0.0901,0.1876,0.0816,4.5989,1.208,2.7899,0.9483,2.2013,3.0503,1.288,1.6998,0.0
LTU_A03,0.0523,0.3084,0.0004,0.0003,0.0,59.6881,0.0784,0.004,0.0048,0.0085,0.0414,0.0004,0.002,0.0018,0.0002,0.0021,0.0006,0.0013,0.0015,0.0005,0.0001,0.0072,0.0227,0.0527,0.0079,1.7208,0.0062,0.0002,0.0512,0.0061,0.0003,1.0246,0.0359,0.0013,0.0007,0.0025,0.0121,0.07,0.0513,0.1566,0.094,1.7285,0.1122,0.0091,0.0
LTU_B05_06,1.948,0.0223,0.2316,0.2085,0.0094,2.1695,0.6176,0.5168,0.8065,65.8026,0.9209,0.0175,0.1994,3.0239,0.0218,0.2278,0.0819,0.0964,0.1258,0.0731,0.0323,0.9802,8.5552,0.1796,5.0809,0.7844,0.7287,0.0305,0.0601,0.2301,0.007,0.3161,0.0494,0.0256,0.0577,0.0238,0.8846,0.1259,0.652,2.4751,0.0738,0.2118,0.0763,0.0732,0.0
LTU_B07_08,0.9606,0.006,0.0,0.0,0.1687,0.0,0.0766,0.0,0.0,9.9808,0.0,0.0,0.0,0.0,0.5228,0.4405,0.0,0.0,0.1783,0.0928,0.0,0.0,0.0,0.0149,63.0563,0.0,1.8669,0.0,1.1908,0.0,0.0,0.0,0.0029,0.0,0.0011,0.0,0.1061,0.0612,0.0,0.7089,0.0196,0.0064,0.0,0.2304,0.0
LTU_B09,0.1356,0.0142,1.3124,0.3758,0.1773,0.1103,0.0059,0.0108,0.0859,13.0748,0.4678,0.0019,0.0315,0.4142,0.0657,0.0901,0.0013,0.003,0.0254,0.0005,0.0011,0.0218,0.9042,0.0505,2.1895,0.0878,0.3863,0.0056,0.0058,0.0759,0.0001,0.0036,0.0001,0.0,0.0002,0.0,0.0844,0.0446,0.0184,0.0481,0.0031,0.0117,0.005,0.0016,0.0
LTU_C10T12,111.0329,5.4229,0.0216,0.0211,0.0025,361.5189,15.2982,0.0326,0.395,0.0122,40.3181,2.2874,0.027,0.0146,0.2285,0.025,0.01,0.0123,2.316,0.7187,0.0092,0.8741,2.4107,0.8827,0.0116,25.616,0.0295,2.0222,2.9819,0.0082,0.0114,94.0187,0.0276,0.0865,0.2203,1.4459,0.2362,1.9487,1.5557,0.9965,4.0755,40.1007,5.5398,0.1728,0.0
LTU_C13T15,21.8057,0.1806,0.279,0.0777,0.0236,7.665,43.8144,2.274,2.0994,3.3348,1.9461,0.0756,1.2959,0.4877,0.0811,3.5245,0.5101,0.5859,1.5388,1.3158,3.6292,9.8749,6.3996,0.7362,6.5524,10.5012,4.7831,0.53,7.0793,6.7338,0.1669,1.1778,0.4431,0.6913,0.6162,0.5922,2.1211,8.319,3.1963,3.8204,1.0326,3.7922,1.0226,1.0101,0.0
LTU_C16,20.3988,0.2366,5.0957,0.7393,0.0049,2.2092,1.8415,111.9057,14.1101,10.0348,0.5468,0.0116,2.2108,2.2354,0.01,1.7999,0.0897,0.5574,0.2969,0.5339,0.2482,300.512,9.3489,2.0797,16.1289,2.2986,0.4738,0.3407,0.6742,0.7244,0.2036,0.8458,2.9783,0.084,0.0923,0.1642,1.3034,12.1786,3.4363,0.7047,0.5075,0.968,0.2087,1.499,0.0
LTU_C17_18,10.8783,0.4385,0.0232,0.0309,0.0068,34.9049,26.8937,2.5836,78.711,18.046,2.6125,1.976,1.6989,1.3599,0.1622,2.7444,0.7197,0.9355,17.5743,0.1048,0.042,6.4775,2.222,7.401,1.7452,21.8871,1.9571,0.4453,4.0724,0.5952,5.4304,1.4766,31.2802,1.4368,29.2311,7.4812,8.6491,27.2675,7.7978,81.5895,58.8591,4.3945,7.7323,0.7108,0.0
LTU_C19,147.943,13.1145,2.552,3.1555,0.4748,16.6733,9.9632,6.8506,9.0713,45.8758,6.657,0.0769,8.615,4.8164,1.4963,5.2187,0.2755,1.588,8.5361,0.1704,1.5051,13.0809,42.0589,21.8478,39.0289,96.1707,402.3755,20.3272,33.2914,19.2807,2.276,4.7355,8.3814,3.8821,4.2182,9.087,31.3625,17.2042,47.1165,52.5691,4.7745,14.9602,8.9559,7.4826,0.0
LTU_C20,61.0293,0.1301,0.5249,0.6675,0.0588,13.4265,16.3562,13.1589,5.7964,4.5546,230.5771,2.3091,94.3425,4.8878,0.1846,8.7473,0.904,0.7498,3.8997,2.4178,4.9253,26.986,3.8262,2.6651,22.6751,41.2348,33.9007,2.1379,1.9834,3.9027,0.0432,2.8089,2.3905,0.2419,0.3546,0.659,4.0883,3.2231,3.2935,3.0272,2.921,4.8281,0.8311,3.1331,0.0
LTU_C21,5.042,0.0651,0.0233,0.0167,0.0026,3.6188,0.6612,0.6936,0.2495,1.2699,1.4657,0.2195,0.5736,0.141,0.0189,0.3972,0.1672,0.1113,0.2277,0.0861,0.0663,0.8356,0.3004,0.1431,1.1248,1.2608,1.0028,0.0803,0.1728,0.1433,0.0164,0.4134,0.1593,0.0687,0.1572,0.0852,0.3492,0.3285,0.2501,0.6608,1.2208,13.2672,0.1368,0.0901,0.0
LTU_C22,69.92,0.3666,0.9102,0.4509,0.0325,51.9911,6.9474,3.9971,4.4987,20.4298,7.8411,2.211,20.1453,2.2505,0.7907,10.4767,9.9771,7.205,13.7969,1.948,2.2777,9.541,3.0555,8.1261,52.5411,19.043,0.8942,1.2899,3.4199,0.7628,0.1133,0.9034,1.1301,0.8398,0.1059,0.4272,6.8261,2.7289,5.7109,18.0921,1.56,2.1261,0.2962,0.4442,0.0
