V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_A01_02,3786.3145,0.6288,18.5987,1.2309,2.3823,11725.87,118.0683,47.8973,22.9252,14.4473,54.1158,15.8148,78.1582,8.6764,16.2113,21.2748,52.8251,9.7571,24.1727,7.2823,11.0445,90.9679,61.0108,11.0952,187.6703,342.5596,45.9282,8.8968,19.4732,48.2201,2.0774,349.3629,10.1229,12.1924,19.3693,22.9284,62.6462,82.0231,216.8096,108.1244,15.724,239.6041,20.8451,35.7495,0.0
NLD_A03,10.1702,8.195,0.0037,0.0004,0.0008,181.5485,0.1365,0.0031,0.1179,0.7941,3.0309,0.8438,0.0509,0.0108,0.0108,0.0195,0.0178,0.0073,0.0252,0.0096,0.0112,0.5193,0.3232,1.5299,0.123,2.7966,0.0522,0.239,0.0121,0.072,0.0042,26.0029,0.0229,0.0137,0.0564,0.1065,0.131,0.233,0.1345,2.2299,0.1623,15.5196,0.7327,0.6301,0.0
NLD_B05_06,48.8837,0.0208,191.0545,36.3367,93.3313,37.8066,4.1616,0.5979,11.0188,1899.6219,174.7995,2.5693,5.3409,7.3532,177.1485,10.1582,0.7754,0.6561,1.0887,1.1589,8.6471,3.7157,185.7546,3.8117,123.7952,39.6051,2.9053,0.1968,0.1864,6.3465,0.5597,25.2644,0.8635,1.685,1.9629,5.0668,8.5698,44.6647,6.6366,7.9003,14.0105,26.8246,11.6645,13.0812,0.0
NLD_B07_08,24.1028,0.3674,3.3646,31.4127,30.5899,3.3112,2.2561,0.0,1.1649,0.0,157.0079,0.8903,4.2792,189.2571,97.006,5.4384,0.0,0.0,2.3674,0.0,5.5091,1.1524,0.0,2.074,338.776,9.1338,0.0,0.0,0.0697,0.0,0.0,0.0,0.0,0.0,0.551,0.0,4.0612,16.25,2.0247,33.4752,0.6442,0.0,0.0,0.0,0.0
NLD_B09,0.0,0.0,450.3341,85.6881,204.4728,0.0,2.5711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.5423,0.0,0.0,0.0,0.0,0.0,2.4685,1.4042,0.0,0.0,313.93,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.6714,0.0,4.9487,19.8012,2.4672,0.0,0.0,0.0,0.0,0.0,0.0
NLD_C10T12,2793.4612,13.6234,3.5539,10.288,10.6921,12422.0086,68.9175,3.4877,50.089,216.2437,544.5392,236.4015,47.2782,67.5744,33.9226,44.3192,96.2003,21.229,47.7687,13.5207,13.9329,295.5879,92.2133,411.7217,221.0332,1478.0993,40.5683,13.955,15.1678,30.2164,17.4535,3564.1866,48.0712,13.7268,95.6937,111.6846,68.5667,413.4215,131.7707,183.5489,81.2878,940.1381,550.4821,82.5272,0.0
NLD_C13T15,3.9938,3.2064,0.2377,0.0329,0.0815,2.7404,207.8222,1.4434,16.162,0.4459,2.9312,0.4277,18.0624,1.8535,0.8082,3.919,9.1983,15.9862,11.2218,4.2638,0.5746,27.6396,0.496,2.48,16.7187,15.6703,2.2825,0.6137,0.5311,1.3244,2.659,4.9914,0.4375,7.4532,0.5143,2.0311,1.7414,20.0888,38.4813,46.8976,1.6237,82.8535,3.0795,14.2963,0.0
NLD_C16,30.568,0.0205,1.0117,0.4744,0.7617,65.9134,12.2177,371.3559,13.9968,2.7265,28.5185,11.9092,32.2774,15.9874,18.7832,59.1693,11.602,5.9282,32.896,12.6203,24.2963,175.3112,3.8154,10.9712,915.2416,101.4681,9.4325,1.4097,1.9042,37.9008,0.7888,18.3998,8.3681,8.7329,7.6318,9.013,251.9156,28.5196,148.5446,13.7163,10.7927,14.1101,3.8258,39.9214,0.0
NLD_C17_18,22.2027,4.0273,3.7729,4.4582,9.3427,666.0713,10.8931,8.0612,1961.5366,5.1907,84.7238,51.5605,75.287,24.2159,40.1325,51.3759,38.6975,14.1525,99.3069,34.0795,11.4824,75.5265,19.7733,35.1531,106.9854,463.0962,38.9407,16.9346,10.9274,38.6632,5.7006,68.1774,741.6295,58.6526,114.0775,116.9884,59.281,294.4103,277.8224,138.3115,127.8206,314.5907,41.3596,37.953,0.0
NLD_C19,272.5407,18.0881,7.0444,7.0085,10.3593,44.5542,6.0462,4.8003,14.0787,1277.1314,1614.8096,9.787,29.8137,24.745,17.4899,41.5442,7.1232,77.5261,21.0659,5.4817,11.6312,75.3975,214.678,41.9889,385.9048,425.5328,1066.5494,400.0035,1392.0916,129.8287,16.1526,22.8295,6.3563,1.9509,42.987,103.4995,65.908,148.1828,247.8392,79.3475,58.9313,42.8378,65.5462,50.3544,0.0
