V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_A01_02,704.0412,0.6781,0,1.1738,0.0627,2996.7666,45.5999,468.9456,544.3843,6.5383,124.6369,5.1386,48.6898,3.6325,1.7152,5.5603,1.8497,2.7642,2.5658,12.4417,0.7466,14.1857,8.4225,6.3516,23.9112,88.2309,6.1896,0.6234,5.2995,4.6869,0.4475,212.0455,4.5544,5.8437,5.5914,4.5649,7.3631,28.1028,35.3677,22.1628,3.7003,54.0615,4.7562,22.9894,0.0
PRT_A03,0.376,17.2189,0,0.0545,0.0044,28.9641,0.5679,0.1714,0.3342,0.2242,0.3563,0.2776,0.2478,0.2199,0.1067,0.31,0.0995,0.1535,0.1192,0.2493,0.0347,0.3798,1.5274,0.586,0.577,2.3172,0.3648,0.041,0.2546,0.2276,0.0273,46.0537,0.1395,0.3502,0.2722,0.2331,0.3088,1.1848,0.7026,0.8053,0.1873,1.4203,0.2029,0.1581,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.6715,0.0234,0,100.6664,5.2921,12.393,0.3884,0.3425,2.3127,3.1764,20.317,0.1982,0.2115,253.7478,6.5572,5.5129,0.0979,2.0999,0.7156,0.4945,0.0501,0.8499,3.045,5.7264,141.635,6.7085,0.8062,0.0476,0.283,2.0368,0.0248,1.2752,0.1768,0.1844,0.2811,0.1611,1.3991,1.5597,1.5664,4.5469,0.7117,0.6011,0.3756,0.1573,0.0
PRT_B09,0.117,0.0426,0,2.6147,0.322,0.2247,0.0186,0.01,0.2593,10.1134,0.3727,0.0064,0.0438,1.3492,1.4391,0.1976,0.0025,0.0061,0.0295,0.0046,0.0022,0.0188,3.6619,0.1585,3.7353,0.1345,0.1959,0.0042,0.0323,0.1054,0.0001,0.0239,0.0004,0.0,0.0002,0.0001,0.1914,0.0963,0.0523,0.0949,0.0062,0.0345,0.0093,0.0055,0.0
PRT_C10T12,757.9074,12.6623,0,1.6394,0.2207,2110.702,50.1508,1.9811,15.5351,0.6162,108.4699,17.8526,2.535,2.4896,1.223,6.003,2.1194,1.6237,2.0462,2.7673,0.3338,6.395,1.2432,2.6705,14.9123,145.4281,4.2593,0.658,1.9049,2.6327,0.1916,2145.8051,7.6866,0.9153,3.1031,1.6248,10.8732,22.1102,11.5913,13.8902,5.81,283.3338,5.4495,1.8009,0.0
PRT_C13T15,20.8078,3.711,0,1.7615,0.1863,8.5176,2578.9983,1.2921,7.1219,0.8116,7.5983,10.0504,37.8707,6.7194,0.5791,10.4321,0.8811,1.6983,14.7231,158.6188,3.8732,129.9678,2.4539,1.1562,20.199,41.0161,1.9621,0.184,1.8956,1.9273,0.1014,32.9262,2.7395,0.6947,1.6191,0.629,4.2211,7.3475,7.3511,2.9131,3.2359,34.7613,27.7475,3.5232,0.0
PRT_C16,41.1394,0.0897,0,0.9221,0.0866,85.1872,3.176,762.5381,44.3518,1.1279,6.587,0.5966,9.5739,38.5284,38.4925,19.8415,0.6036,16.8036,4.9489,4.5958,1.8473,304.5082,1.0763,49.5113,422.5191,63.703,2.7092,0.1059,0.7101,5.5245,0.0653,18.8509,0.5564,0.8098,0.9164,0.7151,18.3516,8.7143,14.4445,9.9736,1.7957,4.4191,2.6145,2.8665,0.0
PRT_C17_18,26.2818,2.6824,0,3.5546,0.2946,334.5265,34.0868,21.0553,1110.1467,3.4422,32.978,15.362,23.1395,35.7668,10.2652,17.84,7.4109,9.0961,6.5223,11.1906,3.1781,26.9199,134.8957,12.6317,15.4419,223.4233,13.3132,3.0671,3.7111,9.7535,2.1836,42.418,128.389,10.2223,19.6252,26.5892,172.3957,99.7336,135.5097,29.272,52.1134,55.9019,16.4571,29.8554,0.0
PRT_C19,147.2092,30.4488,0,34.64,2.1616,101.2751,39.9456,22.0497,49.4772,354.8114,208.3569,7.555,40.2496,88.6376,8.1766,45.0292,4.2997,11.8542,11.0554,15.5167,1.5094,37.1994,92.9682,43.7318,209.2332,370.9288,637.3421,16.6662,796.8413,30.8233,3.4542,35.4733,6.1902,5.8036,7.1986,17.7631,5.3921,50.9789,66.9004,76.4879,17.4969,115.4171,17.3561,17.5205,0.0
PRT_C20,110.1348,0.8423,0,12.1688,0.9905,71.3781,130.4255,35.747,102.8056,101.4804,595.2609,49.542,418.141,71.1314,9.1049,59.1821,8.657,65.6602,18.9421,162.2475,7.4982,45.8629,6.5247,27.763,93.3211,93.9841,9.0999,0.3189,1.2593,2.1981,0.2372,40.7597,7.3567,2.1966,8.3837,2.0614,18.6982,20.4626,17.9116,9.2211,14.286,196.3222,7.3207,53.4171,0.0
PRT_C21,4.7421,0.2017,0,0.325,0.0265,13.2648,4.756,1.2994,2.7393,2.4119,5.2783,26.2949,3.1171,1.5637,0.7374,2.9398,1.0256,1.4548,1.0979,2.8781,0.3105,2.4008,2.97,0.7938,5.3864,37.0883,3.0752,0.4168,3.591,2.2044,0.2567,9.1619,2.2274,2.4281,4.3972,1.9092,2.1596,9.9358,7.4317,2.8695,1.0242,224.7075,1.6945,1.7195,0.0
PRT_C22,22.5538,0.3466,0,1.0773,0.1111,216.9764,81.5338,17.2181,15.9764,0.7746,31.5266,9.1472,240.7969,43.8794,5.0654,63.2439,35.7869,54.694,43.3158,80.9006,11.3342,128.5082,2.6932,5.7865,272.3053,293.4831,20.8625,0.0885,0.6847,1.9943,0.112,24.6946,8.8152,1.2134,6.863,0.7445,11.421,46.8895,61.1205,5.2292,1.624,16.8786,3.0589,6.307,0.0
PRT_C23,47.6378,0.2144,0,4.2172,0.3906,214.0935,9.0996,10.3501,9.3821,2.4305,46.2978,8.2295,12.0203,348.1313,20.3928,86.7473,5.0841,20.48,11.9275,47.7319,1.3504,31.7668,13.9725,11.1999,1208.2365,89.1491,11.2906,0.2363,1.9976,5.4536,0.176,60.9391,2.2178,2.0054,2.75,1.6483,43.4089,15.4408,8.0916,18.144,2.5253,9.2302,2.8621,2.5523,0.0
PRT_C24,2.6627,0.0244,0,1.0304,0.1294,0.848,3.2458,2.2373,4.4368,0.2309,3.5129,2.8341,11.8929,28.7673,453.582,433.9433,19.9559,147.6938,216.6232,208.7368,17.0086,42.1528,1.4746,50.5871,212.1469,14.9647,0.8954,0.0,0.0,2.1073,0.0,1.6611,0.2674,0.0,0.0158,0.0,0.5173,3.0779,0.6077,1.9305,0.2927,0.0349,0.4014,0.8177,0.0
PRT_C25,47.8472,11.2907,0,12.304,1.5787,197.7917,64.9514,32.6783,29.7703,7.9971,29.064,8.8691,55.2085,40.2572,11.1987,1137.6579,27.0166,81.8384,144.0073,153.5904,44.2037,160.147,22.7315,21.5977,654.5439,273.0896,48.0758,14.227,16.6699,14.2995,2.133,63.4725,11.8996,14.9429,16.3625,4.4784,13.6852,77.5645,46.2984,19.0165,12.6237,50.7262,21.5735,14.5419,0.0
PRT_C26,2.2958,0.7356,0,0.6377,0.0637,8.9993,3.5501,1.4934,3.8942,1.37,2.9754,0.6147,2.3463,2.1896,0.9329,7.2188,130.1362,21.7003,4.4466,83.9326,0.886,18.8852,7.584,1.7807,19.6238,62.8726,6.2614,0.7831,3.995,1.8799,0.5815,7.3867,3.514,60.7919,15.1427,4.787,2.3477,8.0904,10.282,1.9507,1.4306,10.1596,2.9581,2.3233,0.0
PRT_C27,2.3827,0.4464,0,0.5868,0.057,8.74,3.9315,1.2904,2.5335,1.3523,2.7556,0.8401,5.5555,3.5201,5.8056,18.9414,79.1653,125.4228,22.4736,78.0631,2.274,30.4882,27.6527,5.7844,119.2259,52.7721,7.6463,0.4237,1.8703,0.7042,2.6221,19.8987,3.4662,24.1814,7.8812,11.3354,3.8587,8.8889,12.221,1.9059,0.7683,4.1217,2.3346,0.723,0.0
PRT_C28,4.2557,1.3313,0,2.2248,0.2181,16.0735,5.0712,2.0101,7.6137,1.2291,3.3883,1.9949,6.1213,13.2183,1.7262,39.1057,9.4968,23.5428,108.0886,33.8402,3.851,23.8579,5.6354,6.3364,78.6749,34.0118,8.0049,1.0689,3.3416,1.6029,0.3902,11.5767,1.1254,3.3333,2.6597,1.047,10.3406,7.8688,5.4618,5.8228,1.5208,10.5069,1.6549,1.471,0.0
PRT_C29,1.6866,0.1685,0,7.2165,0.6377,4.6503,1.6446,0.5671,1.5137,0.4779,1.7084,0.7132,7.5506,1.8432,2.1608,9.1051,37.3857,13.2452,5.8052,1350.1778,1.2308,8.785,5.0242,3.8388,21.2274,235.3072,7.9088,0.5913,1.7411,2.8012,0.4239,4.5098,2.0468,18.6831,6.341,3.6319,3.9345,13.3567,10.0258,6.9072,1.3734,8.7288,2.565,1.672,0.0
PRT_C30,0.0267,0.2323,0,0.0217,0.0,0.0,0.1334,0.0,0.0,0.0,0.0551,0.0,0.0216,0.0,0.0054,2.7128,0.1268,0.0,0.055,1.3451,97.6958,43.8057,0.0,0.0171,0.4052,16.9167,0.1875,0.0681,70.5122,0.004,0.0,0.0046,0.1645,0.0,0.0,0.0,0.0201,0.0516,0.0635,0.1824,0.4025,0.0982,0.1022,2.8747,0.0
PRT_C31T33,20.8887,15.6984,0,12.0718,1.2797,166.5303,61.7267,34.5972,41.9685,10.5805,24.6364,8.8979,24.2002,28.0088,27.6582,41.8561,11.9118,18.5992,13.8872,30.8316,3.5099,175.6937,40.9573,32.3965,75.0162,100.508,93.0855,16.2585,46.1377,13.9335,6.455,83.5175,12.7311,49.8019,25.8149,9.8814,41.0691,61.4964,49.1502,22.5177,28.0385,180.466,30.9531,17.6873,0.0
PRT_D,134.0437,13.8688,0,48.8804,1.9589,402.2936,213.8921,91.0241,247.4595,114.8631,201.9132,14.3232,135.2829,198.6868,170.073,129.6575,26.1414,38.7376,32.503,66.7221,7.4266,82.0692,8803.3834,137.8195,98.8381,719.2602,102.0489,7.7469,6.017,88.6986,5.0785,567.8435,20.9842,78.1305,16.7991,46.2305,104.8845,76.7813,56.7073,284.0922,95.6429,253.9722,85.3249,111.3145,0.0
