V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_A01_02,3197.8211,8.4652,10.143,28.5615,0.831,9015.2298,665.7261,538.1639,257.9822,26.5144,92.2024,23.4828,113.5229,7.7447,11.4324,8.8331,7.6536,5.1406,13.5787,13.9334,4.5757,70.3581,16.4119,31.8296,26.9513,92.9087,29.3477,1.908,18.0557,28.4937,2.2885,143.3206,24.5875,27.5003,21.5162,37.7693,35.3985,36.6886,45.9443,80.4155,26.2729,51.9751,41.4504,27.7447,0.0
ZAF_A03,27.6251,385.7905,0.1758,0.5551,0.0165,413.0571,0.0294,0.0108,0.2493,0.2044,4.1043,0.8846,0.0209,0.03,0.0287,0.4869,0.0093,0.0094,0.0508,0.0513,0.007,8.0557,1.7576,1.1278,0.0535,1.2389,0.6166,0.195,0.6429,0.5014,0.0088,41.6375,2.4606,0.209,2.9282,0.3176,3.4954,2.66,3.5033,12.967,4.0287,7.9959,5.3348,7.0245,0.0
ZAF_B05_06,15.1588,1.0209,10.6529,137.9596,3.1415,32.9616,8.4174,18.8105,99.7268,1928.8648,40.8543,3.231,4.7701,84.6635,386.5502,39.3763,4.7285,25.3908,30.3456,128.682,1.9372,12.0404,2259.7547,29.8569,25.4099,5.2894,7.3007,0.3463,2.2075,4.3019,0.1105,4.2976,1.4253,3.8597,4.9374,11.1094,2.3016,6.9148,6.2532,29.109,3.1675,11.6695,2.202,1.5788,0.0
ZAF_B07_08,30.8163,0.0997,21.5863,221.8825,1.3466,20.6482,5.6322,13.7845,8.9236,161.1221,231.5525,21.2424,81.2832,514.3444,6968.2027,1611.9668,113.5205,510.0537,927.2866,2792.0685,51.2023,430.6636,20.3176,10.8173,557.8757,12.1001,9.8026,0.6495,5.3007,8.9451,0.2852,3.5545,4.1686,6.7765,5.767,13.2586,28.1684,8.8224,9.0946,84.7504,5.4541,6.2489,1.9163,3.012,0.0
ZAF_B09,0.0,0.0,373.1259,3.942,237.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7509,0.0,0.0,329.7997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,1397.535,7.3568,21.2207,28.921,0.4249,5711.7166,4.0739,0.7874,16.1259,12.5961,241.6541,47.2841,12.2738,2.033,5.2001,24.6922,0.3317,0.7435,2.0332,3.7317,0.1436,21.885,24.6428,25.3153,8.8599,57.2442,74.8765,15.9401,52.897,71.2976,0.6879,1752.7319,100.3926,10.2572,79.6807,2.894,98.0908,70.3659,93.1535,266.7668,61.5157,182.6959,208.7325,113.6172,0.0
ZAF_C13T15,112.8916,1.6078,19.8709,64.1317,0.7746,18.7362,860.435,3.834,32.7822,3.4719,22.5291,4.88,42.3145,2.2066,1.0284,5.0248,4.5756,1.7705,10.125,137.7002,1.3867,50.7202,4.4862,21.2264,122.2673,47.7493,14.9872,1.2447,11.7853,13.4839,0.1287,7.5398,14.3145,1.5899,2.3396,0.6849,3.1028,2.0124,2.7899,52.3099,16.9318,43.516,16.7288,15.9729,0.0
ZAF_C16,183.9102,0.9389,20.3925,129.1726,2.5673,172.9292,9.9354,318.76,50.0838,73.4036,78.5641,8.3736,10.2921,32.314,7.1043,22.7811,5.2085,2.7992,11.0174,31.4875,4.622,83.1433,14.4532,6.8419,308.6878,79.0569,19.938,0.9687,6.2238,37.5528,1.1093,5.0057,6.3344,0.5272,1.2447,0.7946,43.6235,4.1132,6.544,22.2995,22.6935,33.3023,7.877,5.1839,0.0
ZAF_C17_18,76.1384,3.4159,15.556,58.8654,0.2294,376.4923,27.853,31.2821,1951.4306,26.7297,140.5607,41.8553,94.3467,38.6416,11.8596,17.0547,17.2085,16.6977,49.4392,68.4271,2.2662,28.6634,24.5229,41.9711,93.407,907.5494,52.6349,2.9826,35.0151,79.2129,5.4227,22.9809,425.0023,63.9819,194.1522,103.7827,272.6167,321.3768,219.5667,172.1818,235.1482,188.3828,54.8371,33.8586,0.0
ZAF_C19,1468.9414,37.4719,339.7079,1309.3177,54.8411,170.7824,37.5091,45.3935,89.9398,3244.075,789.5012,61.2677,177.2199,117.5321,325.1352,51.447,13.3591,63.5708,53.9021,66.0796,4.8585,107.0371,886.5931,170.6466,1178.0522,1035.9626,2393.7625,86.7478,881.6056,1224.2986,123.9208,51.4338,24.5796,103.6532,306.6551,106.7531,361.767,346.1271,417.81,413.917,60.2665,171.2328,39.5474,26.8542,0.0
