V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T,AUT_HFCE,AUT_NPISH,AUT_GGFC,AUT_GFCF,AUT_INVNT,AUT_DPABR
AUT_A01_02,1654.8287,0.1152,1.027,1.4042,0.2162,2924.5045,4.8975,1042.1333,396.4309,2.7122,123.6135,5.1371,16.255,7.9172,10.6103,10.4082,3.2765,4.1293,9.4647,4.2135,1.2405,21.2533,65.6692,7.0196,141.8564,91.7297,13.3366,0.8034,2.4315,9.3413,1.0241,199.9308,6.5451,2.1907,6.0082,11.3231,72.2528,19.0964,61.0286,24.4234,11.8756,33.46,5.7781,6.0865,0.0,2680.3235,1.8361,199.058,330.9019,152.7454,0.0
AUT_A03,0.0,1.6159,0.0,0.0,0.0,5.8027,0.0,0.0001,0.0002,0.0,0.0013,0.0004,0.0002,0.0001,0.0022,0.0003,0.0007,0.0002,0.0005,0.0011,0.0004,0.4923,0.0002,0.0,0.0001,0.0008,0.0002,0.0,0.0,0.0,0.0,27.154,0.0,0.0,0.0004,0.0004,0.0,0.0024,0.0002,0.0008,0.0001,0.0031,0.0001,0.0002,0.0,58.6793,0.0,0.0286,0.9113,1.5548,0.0
AUT_B05_06,1.3559,0.021,11.5561,0.1679,0.2197,3.9018,0.7011,1.6063,1.2617,339.851,16.8543,0.5967,0.7889,1.2845,44.6474,1.9102,1.0922,1.9572,11.7675,5.9914,0.6004,2.077,270.4118,0.6278,11.8696,4.2011,6.3551,0.0334,0.4182,1.6219,0.1586,2.0744,0.2168,0.2864,0.1392,0.2711,3.5533,1.8759,0.8725,0.7979,0.8043,2.2362,0.3993,0.4838,0.0,22.7246,0.0,1.9156,36.8227,14.4328,0.0
AUT_B07_08,1.9754,0.0339,0.5461,36.7817,2.5564,2.4897,0.0,0.3658,15.0113,0.0028,123.9857,0.0721,0.2704,146.6133,362.7624,0.4492,0.0175,1.345,0.6325,0.0242,0.0264,0.6859,2.66,2.1203,76.8287,1.2752,0.6469,0.0004,0.0,7.7426,0.0766,0.1348,0.0058,0.0143,0.0,0.0,4.5181,4.5642,2.9019,11.3439,0.6052,1.0014,0.4105,0.2019,0.0,4.855,0.0,0.0,21.7091,7.7035,0.0
AUT_B09,1.195,0.0314,0.2068,10.8167,3.3187,0.6724,0.0,0.5925,9.7385,0.0018,32.7908,0.0191,0.1622,25.9642,98.7097,0.3745,0.0013,0.1914,0.3272,0.0077,0.0095,0.0185,1.79,0.7219,16.6014,0.9915,0.2104,0.0003,0.0,2.0477,0.0202,0.0308,0.0004,0.0,0.0,0.0,1.1949,1.2087,0.7675,9.5361,0.3696,0.2648,0.1086,0.0056,0.0,0.0,0.0,0.0,2.874,0.0,0.0
AUT_C10T12,476.8059,11.9125,0.0328,0.0403,0.0053,2645.0806,40.4915,1.0541,37.728,0.5349,93.8483,57.4962,2.5645,1.979,2.7804,1.6718,0.7868,1.2569,3.6379,1.5977,0.4124,1.2984,1.211,0.1249,3.4937,14.5935,2.4929,24.6732,17.2991,0.347,0.1875,2220.0579,0.9707,0.6136,0.418,12.5471,0.154,4.5523,3.9428,40.4474,95.8836,415.5993,6.3773,0.7801,0.0,11479.3421,0.0,1.5405,5.2655,502.6063,0.0
AUT_C13T15,15.4714,0.2856,0.2834,0.1672,0.0221,15.1316,360.4937,3.0156,19.6836,1.6645,5.3542,1.3859,33.8131,33.1301,7.6988,20.3864,8.4512,9.9646,11.375,30.8093,7.4869,77.7452,3.5418,2.1949,32.0703,109.5589,9.1928,0.3173,1.5075,28.6285,0.0864,22.956,1.1125,1.2239,0.6841,22.0716,2.0141,18.9777,23.1521,15.1796,3.7591,49.7526,8.7828,11.3691,0.0,2261.5502,0.0,4.3739,67.8494,118.1909,0.0
AUT_C16,34.1147,0.556,5.3194,10.0967,1.187,51.3964,4.6977,2058.4299,68.1235,1.5073,22.5946,5.6211,34.3293,19.2275,43.8497,96.5467,9.4987,32.8329,55.3508,19.2794,7.1259,359.3755,41.0861,5.248,1230.8517,240.2115,11.903,0.3986,3.2964,25.8278,1.9636,17.4603,2.244,2.2806,10.7027,11.5258,25.9753,41.4837,30.483,61.5933,19.7398,43.8405,17.2027,6.3275,0.0,486.8335,1.3454,12.1425,876.4835,135.0557,0.0
AUT_C17_18,5.4537,0.1058,0.3768,2.6299,0.304,171.2419,6.3881,97.2677,1177.5391,1.6167,115.3758,29.9349,27.4261,23.0678,13.781,31.3829,6.092,13.7536,38.449,11.1172,9.5577,23.6737,10.3664,6.8972,38.2731,324.696,13.1611,0.9121,3.997,26.7452,3.3372,36.5901,815.2959,6.9919,38.3241,84.9884,38.0857,466.772,106.4725,169.4679,12.6366,69.0069,29.9363,100.0685,0.0,332.4966,0.9695,11.8615,124.7853,102.5374,0.0
AUT_C19,110.1363,0.4969,3.1278,8.5467,1.0346,30.112,4.6246,14.4792,14.2974,61.424,172.6747,8.6488,34.4843,54.7611,297.6179,12.0939,7.6376,46.0331,12.1478,12.1626,3.1681,10.4995,58.1605,62.7896,167.1566,331.122,495.609,13.3996,266.1677,148.1655,8.438,84.9362,2.983,3.1828,18.1744,16.5841,38.556,56.4867,81.4345,98.4067,103.1264,148.8995,40.1851,43.9882,0.0,1304.5438,0.0183,6.4604,28.3081,94.2964,0.0
AUT_C20,84.0283,0.1216,6.8954,13.0606,1.8963,119.5141,57.897,50.1596,145.1453,64.1935,2234.9255,123.4954,508.8898,114.643,189.7516,65.6423,115.296,98.4193,55.2583,57.0331,25.8471,57.9127,23.7584,16.3051,190.4188,96.8089,33.64,0.7949,8.9383,35.5592,2.9412,32.5882,5.9628,5.7336,22.6198,18.7293,27.7737,104.9709,64.5996,23.6955,6.5885,88.4992,9.078,24.0678,0.0,865.7483,1.3198,45.6119,345.5048,139.9526,0.0
AUT_C21,9.7771,0.0912,1.5928,2.6962,0.4166,28.6787,8.7608,7.7687,6.5462,3.7962,47.6613,174.9816,7.7354,5.3868,34.1086,11.167,11.5987,8.379,18.1601,11.9255,4.1428,17.5186,11.508,4.4671,41.7935,43.647,16.2814,0.5701,6.6706,5.3687,0.7209,21.0617,2.3876,3.7334,10.9249,8.3243,6.7046,55.4842,22.7269,16.2437,4.9157,299.2548,3.2148,4.3171,0.0,565.8519,2.0625,1059.3851,574.1619,49.7969,0.0
AUT_C22,36.0244,0.2825,1.2806,5.1899,0.7547,194.5668,21.4429,33.2877,64.7769,3.827,48.0589,33.1589,237.7811,32.6409,40.6441,68.7218,21.9588,109.3328,190.2785,147.9958,49.6159,70.0735,10.0862,15.4894,436.7147,467.4738,51.969,0.6869,4.7899,51.5729,1.2802,18.4869,22.7279,4.8894,20.2396,53.2938,23.7317,149.6169,50.6077,30.018,12.1786,148.1662,13.3592,24.0079,0.0,550.682,47.9084,20.3481,536.0328,74.0494,0.0
AUT_C23,24.9804,0.9297,0.5479,1.277,0.2099,86.6336,6.2497,58.4894,6.9566,3.1172,26.6842,33.256,122.791,787.782,86.6383,96.2523,21.2172,98.0087,72.7985,54.4077,14.5184,53.3731,16.392,15.4802,2466.1421,96.2862,56.3651,0.3331,3.8315,8.1253,1.6105,61.3728,3.9269,3.3953,33.1345,16.9314,151.1367,63.9456,34.2805,79.7897,10.8091,47.2814,5.4554,9.7709,0.0,414.3137,16.0282,19.4856,784.4549,116.2122,0.0
AUT_C24,1.7545,0.0,0.4969,5.5475,1.5066,2.9228,0.0,5.3381,12.6387,0.3922,9.4286,0.4939,19.4841,33.0537,3364.301,1337.1691,8.3762,268.8028,479.0533,239.9647,52.0449,295.3429,2.3376,4.4137,403.7301,21.8699,8.2339,0.0,0.0,1.1882,0.0,0.0033,0.3668,0.0,0.0,0.0,0.3344,3.9134,0.2635,1.6506,1.9496,25.825,0.0512,1.3355,0.0,21.9095,0.0,0.0,143.1538,123.0024,0.0
AUT_C25,77.0619,0.4836,13.0898,7.8657,1.3327,389.5787,8.7563,116.3886,17.3523,5.4228,31.672,10.8245,58.9555,76.0991,458.4329,2143.9448,70.8706,304.1472,1282.4231,417.7891,211.1703,323.3666,31.2338,19.3734,978.0263,674.9045,68.4353,1.4334,15.1305,55.78,2.5404,82.8156,8.6762,6.8886,43.0866,46.9385,60.4392,146.6264,32.201,84.375,36.2244,80.9088,21.6317,19.5245,0.0,675.0031,0.9719,43.9929,1489.6841,200.0775,0.0
AUT_C26,7.4,0.076,0.7939,1.5076,0.3101,16.2257,1.5441,4.7596,11.3693,1.9703,15.7034,4.0487,2.983,5.6319,15.1627,25.9534,973.1787,481.5093,137.7769,150.7987,24.2118,203.5215,12.1894,6.1514,112.9035,89.0567,17.3769,0.4472,8.5101,5.7543,0.6352,10.0325,37.2277,267.8575,114.6266,21.3897,9.1113,104.3381,37.1458,12.1035,28.0155,119.4133,3.391,21.4503,0.0,1358.4035,1.1554,84.935,2404.1078,164.7383,0.0
