V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T,CZE_HFCE,CZE_NPISH,CZE_GGFC,CZE_GFCF,CZE_INVNT,CZE_DPABR
CZE_A01_02,1389.0372,1.4747,3.1395,6.7095,0.845,3511.7266,127.2018,749.9099,105.1496,6.5452,31.6874,26.4027,18.6076,3.0529,11.5208,4.4367,8.8531,2.6267,6.5666,27.9101,3.8914,25.4369,176.6557,12.8169,19.7977,401.3939,13.5739,0.1858,0.9744,4.2975,0.2264,369.7179,4.2961,1.5247,1.084,4.3702,20.0039,34.0798,50.2675,4.3743,2.4057,22.5681,44.2394,6.8137,0.0,2614.7608,7.1623,15.2231,148.5837,106.5018,0.0
CZE_A03,1.7976,0.0656,0.0072,0.007,0.0004,6.3182,0.1886,0.0304,0.0264,0.0095,0.0865,0.0416,0.0615,0.021,0.0232,0.0326,0.0617,0.0769,0.0573,0.1292,0.0094,0.0576,0.2639,0.052,0.08,0.6765,0.1043,0.0008,0.0085,0.0888,0.0032,0.6345,0.03,0.0102,0.0703,0.0395,0.0879,0.181,0.1271,0.0838,0.0524,0.113,0.1064,0.2488,0.0,13.5212,0.0289,0.1263,0.5275,-0.2216,0.0
CZE_B05_06,6.6932,0.0688,6.7959,2.0952,1.5632,9.0892,2.4191,1.4334,7.7325,25.0399,84.1945,0.7872,4.4654,22.5575,300.7058,4.4277,5.2154,1.9941,7.8795,9.0489,0.487,1.9414,681.0823,2.5865,6.4263,11.6287,9.717,0.0456,0.7007,6.608,0.3721,2.5577,0.99,0.7175,0.7719,1.5613,15.4383,5.8758,3.9603,13.3703,8.1144,6.414,2.0236,1.6316,0.0,286.8427,0.0358,2.6053,4.0393,15.889,0.0
CZE_B07_08,8.0206,0.2195,0.8883,35.2638,0.0753,5.4488,0.7694,0.6061,1.1996,0.12,28.8617,0.3209,3.1059,126.1919,130.1445,4.1689,4.0999,4.2618,5.6794,4.2986,1.1148,3.1443,7.2161,17.5099,245.6205,9.9858,5.6199,0.0698,0.0833,7.4161,0.118,0.7566,0.2607,0.1079,0.1509,0.3937,6.2742,7.195,7.5341,2.6204,0.6299,1.4177,0.9632,0.8836,0.0,42.6384,0.051,1.3528,25.3741,8.3882,0.0
CZE_B09,25.8395,0.2393,10.7061,0.1069,12.6241,0.237,0.0278,0.1273,0.1065,0.2108,4.0352,0.1918,0.9898,1.0993,20.3235,0.5346,0.0588,0.1265,0.2421,1.4665,0.0504,0.2222,21.5764,0.0335,1.285,0.4355,5.5046,0.0034,0.0506,0.8213,0.0101,0.1065,0.0103,0.0141,0.0987,0.0427,0.2105,23.3804,2.8137,0.1253,0.1583,0.476,0.045,0.0731,0.0,0.8086,0.0009,0.268,1.0899,0.0446,0.0
CZE_C10T12,755.5929,2.7695,2.1762,1.6579,0.1349,1237.2011,13.3357,8.1817,11.9276,1.0237,70.9753,9.4053,67.8083,13.6428,16.9216,30.9426,35.8061,17.2428,30.1916,70.4013,3.4191,16.0227,25.4475,11.3519,26.0063,233.6597,20.8305,0.5238,4.9865,9.6466,0.7851,629.9253,8.0956,2.9287,8.5562,13.6687,48.7791,40.9349,54.6456,53.2781,47.6762,81.0606,17.0085,16.8601,0.0,8252.67,9.096,12.9052,67.5185,140.0968,0.0
CZE_C13T15,25.2827,0.1363,4.047,0.8557,0.0855,10.4412,282.0757,2.2423,12.4003,0.1935,16.367,37.7659,80.3682,4.9127,7.2151,20.3521,14.5856,15.2109,30.756,378.7179,6.6743,47.7462,16.7951,12.2741,21.4977,79.6187,12.9729,0.105,0.3227,2.7216,1.3831,11.3902,16.3973,0.7757,2.3823,2.2947,20.0565,17.0319,37.2015,11.4868,3.9935,56.3917,14.2626,9.3598,0.0,728.3765,0.6774,13.679,22.8863,27.9596,0.0
CZE_C16,51.8638,0.069,5.4344,2.1825,0.0676,14.9304,1.487,629.1033,151.2884,0.1556,10.9431,0.8927,35.4064,39.8418,141.8391,35.8651,22.1801,9.0901,26.7044,286.6404,5.7396,290.8607,36.7168,13.7583,167.8125,67.9257,6.9063,0.0532,0.641,11.4384,1.3917,19.7625,12.6847,1.7276,8.8944,4.7146,398.5571,42.6331,21.2679,3.4638,7.2034,10.2103,4.1706,12.4323,0.0,184.9895,0.1451,3.2237,25.4477,37.4109,0.0
CZE_C17_18,9.2706,0.0941,0.7009,1.2639,0.0813,108.3478,14.2102,30.6116,987.8412,0.1572,43.0117,25.7482,45.0839,30.4855,16.2194,22.8096,42.8241,29.1093,32.6033,75.7205,1.5987,47.125,21.0189,7.6739,27.1328,162.7036,9.334,0.609,1.1515,17.743,2.6266,39.4792,377.0253,2.3889,7.1691,88.6341,55.3228,539.3403,123.9303,35.1701,54.2874,32.1427,24.6125,38.7879,0.0,255.1085,0.4957,11.7845,13.5532,38.6708,0.0
CZE_C19,18.2406,0.0244,0.4758,0.4811,0.1371,3.2315,0.994,2.4436,0.8879,0.8886,22.5735,0.164,4.6115,3.6065,5.3888,4.2367,0.9965,1.5313,3.6898,10.9381,0.4087,3.3627,3.7127,6.5889,26.4586,38.4491,79.538,0.5299,11.4715,6.0064,1.1105,1.388,0.4894,0.6668,1.0135,2.1065,9.2767,4.6294,7.4419,6.3653,0.7265,1.818,0.9078,0.9508,0.0,37.2755,0.0004,0.1354,0.3205,1.7447,0.0
