V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T,IRL_HFCE,IRL_NPISH,IRL_GGFC,IRL_GFCF,IRL_INVNT,IRL_DPABR
IRL_A01_02,436.6293,27.709,0.0788,0.0436,0.0008,2449.3559,0.1185,178.4276,0.0172,0.2343,8.7254,20.0572,0.1207,0.1353,0.0248,0.0407,0.4558,0.0083,0.2292,0.0082,0.0069,0.7606,3.1727,0.1056,33.6253,31.024,0.0837,0.2055,0.0257,0.0897,0.0143,3.2302,0.073,0.0954,0.097,0.5965,1.1128,0.9144,0.2479,1.0116,0.1418,13.9056,1.4937,0.1607,0.0,439.7354,2.324,128.0552,51.1511,44.4708,0.0
IRL_A03,0.0,80.5955,0.0001,0.0001,0.0,13.5619,0.0,0.0,0.0,0.0,0.004,0.0346,0.0002,0.0006,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0252,0.0,0.1069,0.0,0.0,0.0,0.018,0.0004,0.0,0.0,0.0028,0.0049,0.0,0.0,0.0,0.0,0.0379,0.0,0.0002,0.0,54.6672,0.2789,4.6541,0.0,-21.8841,0.0
IRL_B05_06,0.0129,0.0,0.4153,0.3141,0.0011,5.3323,0.0341,0.0579,0.0543,104.4427,0.3179,0.0342,0.0854,1.8121,2.3107,0.1203,0.9808,0.0224,0.0148,0.0028,0.0003,0.0231,4.9453,0.0239,1.8358,0.8632,0.3929,0.0053,0.0002,0.068,0.0066,0.1196,0.0198,0.0372,0.1659,0.0009,0.009,0.0253,0.044,2.9558,0.0646,2.3002,0.0475,0.5076,0.0,16.6369,0.0935,0.0,0.7728,-0.1683,0.0
IRL_B07_08,188.6065,0.0274,0.0346,36.9109,0.1634,33.365,0.0154,0.0186,0.0878,0.215,5.0534,3.9375,0.6032,29.3814,31.146,0.463,0.3754,0.2406,0.2156,0.0163,0.7723,31.9108,0.098,0.6558,244.6812,10.7313,0.6605,0.0174,0.3292,0.9951,0.1125,2.0027,0.277,0.8836,0.4503,0.3996,0.4116,3.2559,0.5296,1.445,0.2918,0.9634,0.8457,3.1655,0.0,3.9777,0.0018,0.3169,0.8778,10.8362,0.0
IRL_B09,0.0274,0.0209,0.193,0.4478,0.0211,0.0982,0.0001,0.0003,0.0032,23.1962,0.2617,0.0915,0.004,0.1825,0.1629,0.0089,0.0028,0.0004,0.0103,0.0001,0.0027,0.0051,0.1737,0.0176,1.2607,0.0211,0.0247,0.0006,0.0182,0.0226,0.002,0.0018,0.0,0.0,0.0007,0.0,0.0274,0.0229,0.0201,0.0125,0.001,0.0042,0.0031,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRL_C10T12,657.263,7.0446,0.2184,3.1473,0.0195,2628.7654,4.543,7.4542,7.0462,1.4658,47.399,576.2802,19.7016,7.803,10.8335,3.1865,26.629,0.2998,0.8489,1.6032,0.2735,7.6052,31.7505,3.4742,21.8437,280.2288,26.6799,2.0424,9.0797,28.137,4.8226,430.7423,108.5323,2.4192,62.052,5.5134,12.9873,13.8135,30.8394,20.5033,4.4591,37.9126,25.7202,26.8153,0.0,3818.9685,19.1514,2.2522,131.783,261.9043,0.0
IRL_C13T15,0.1683,0.0758,0.0058,0.0726,0.0019,0.0652,6.1379,0.0597,0.1481,0.0522,2.2923,5.9734,0.0838,0.1309,0.0037,0.0215,1.196,0.0062,0.0236,0.0119,0.0041,10.2514,0.0151,0.1239,8.1333,61.1302,0.2035,0.0064,0.6215,0.2231,0.2174,1.996,0.4118,0.2868,5.0372,0.4323,0.6427,9.066,4.5687,3.3791,0.0625,3.4249,0.2976,0.9669,0.0,320.8867,0.0006,0.0727,8.51,9.9828,0.0
IRL_C16,0.3382,0.0051,0.0085,0.0205,0.0018,1.8724,0.0257,6.0373,0.1255,0.2912,0.1257,0.6878,2.0588,0.285,0.0393,0.0576,0.3763,0.0292,0.1318,0.044,0.0057,17.9665,1.7658,1.0004,85.7551,0.9938,0.1178,0.0091,0.188,0.0535,0.0577,0.0852,1.0665,0.4707,2.2032,0.7321,1.2886,0.8685,2.4164,2.4675,0.1686,0.475,0.055,0.9879,0.0,58.2756,0.0005,0.0061,2.7756,3.3073,0.0
IRL_C17_18,2.0541,0.058,0.0044,0.027,0.0052,15.7715,0.2001,0.3322,14.249,0.3533,6.8182,16.1654,0.6723,0.5241,0.1575,0.5201,3.3521,0.3318,0.3417,0.1431,0.0591,12.075,0.1453,1.0806,10.3284,96.6806,4.2141,0.1505,2.9965,2.4953,1.391,9.1848,349.2307,3.6446,78.0593,41.8878,1.1705,56.5623,13.3404,3.0041,24.3176,33.3725,4.9561,8.1345,0.0,197.9599,0.0015,0.0639,6.1336,12.5557,0.0
IRL_C19,133.0196,14.0258,0.7194,6.2956,0.2492,51.4392,0.1504,4.1755,1.7054,836.8043,32.5403,1227.5316,23.6356,42.4248,7.0245,92.734,1413.4464,71.3497,338.7775,15.4737,17.334,464.271,7.9082,11.2772,239.9251,231.7246,112.3887,3.2728,503.8228,34.9423,13.4946,14.2564,39.9757,66.744,149.9687,21.0268,4.9625,67.4853,183.8212,72.539,15.5462,481.6419,14.0143,22.0069,0.0,1726.3109,0.7751,0.0568,383.1351,223.9098,0.0
